Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,3.64,3.7,3.5,3.66,3.66,140200
2012-02-22,3.64,3.68,3.58,3.59,3.59,66400
2012-02-23,3.61,3.61,3.52,3.55,3.55,26100
2012-02-24,3.55,3.55,3.35,3.51,3.51,106400
2012-02-27,3.46,3.7,3.46,3.69,3.69,209100
2012-02-28,3.65,3.89,3.63,3.87,3.87,52500
2012-02-29,3.9,4,3.83,3.86,3.86,180800
2012-03-01,3.87,3.98,3.76,3.91,3.91,42700
2012-03-02,3.92,3.92,3.6,3.61,3.61,83800
2012-03-05,3.61,3.76,3.6,3.72,3.72,51500
2012-03-06,3.89,3.89,3.6,3.61,3.61,72500
2012-03-07,3.6,3.69,3.51,3.58,3.58,32400
2012-03-08,3.68,3.68,3.46,3.53,3.53,52500
2012-03-09,3.52,3.52,3.4,3.41,3.41,69300
2012-03-12,3.39,3.41,3.26,3.29,3.29,58400
2012-03-13,3.34,3.36,3.15,3.2,3.2,138700
2012-03-14,3.17,3.17,2.91,2.97,2.97,246600
2012-03-15,3.02,3.14,2.73,2.84,2.84,367800
2012-03-16,2.84,2.84,2.61,2.68,2.68,319100
2012-03-19,3.12,4.58,3.12,3.82,3.82,3360000
2012-03-20,4.15,4.47,3.85,3.9,3.9,2076200
2012-03-21,3.97,3.98,3.5,3.66,3.66,647600
2012-03-22,3.62,3.65,3.42,3.63,3.63,336800
2012-03-23,3.63,3.71,3.47,3.52,3.52,209600
2012-03-26,3.57,3.58,3.28,3.42,3.42,364000
2012-03-27,3.46,3.66,3.44,3.5,3.5,102600
2012-03-28,3.5,3.52,3.2,3.22,3.22,197600
2012-03-29,3.2,3.51,3.2,3.35,3.35,298800
2012-03-30,3.38,3.54,3.37,3.41,3.41,271600
2012-04-02,3.53,3.74,3.29,3.72,3.72,227700
2012-04-03,3.72,3.84,3.45,3.47,3.47,224600
2012-04-04,3.48,3.67,3.39,3.55,3.55,173900
2012-04-05,3.48,3.48,3.33,3.37,3.37,179700
2012-04-09,3.31,3.35,3.12,3.13,3.13,223400
2012-04-10,3.14,3.18,2.91,2.96,2.96,208000
2012-04-11,3,3,2.79,2.81,2.81,125300
2012-04-12,2.82,3.04,2.79,2.81,2.81,173600
2012-04-13,2.81,2.88,2.71,2.76,2.76,176800
2012-04-16,2.79,2.94,2.71,2.75,2.75,149600
2012-04-17,2.75,2.82,2.67,2.69,2.69,126600
2012-04-18,2.66,2.77,2.65,2.66,2.66,114600
2012-04-19,2.67,2.78,2.63,2.63,2.63,123200
2012-04-20,2.75,2.75,2.63,2.67,2.67,120300
2012-04-23,2.65,2.82,2.63,2.72,2.72,178000
2012-04-24,2.73,2.95,2.72,2.78,2.78,129000
2012-04-25,2.81,2.85,2.74,2.76,2.76,54300
2012-04-26,2.74,3.16,2.74,3.09,3.09,121400
2012-04-27,3.16,3.5,3.02,3.07,3.07,197000
2012-04-30,3.11,3.21,3.05,3.09,3.09,104900
2012-05-01,3.08,3.08,2.82,2.83,2.83,151000
2012-05-02,2.8,2.92,2.7,2.91,2.91,106000
2012-05-03,2.92,2.92,2.75,2.77,2.77,132900
2012-05-04,2.8,2.86,2.64,2.69,2.69,77600
2012-05-07,2.67,2.79,2.65,2.76,2.76,36100
2012-05-08,2.73,2.82,2.63,2.77,2.77,111800
2012-05-09,2.65,3.05,2.65,2.91,2.91,121500
2012-05-10,2.95,3.14,2.89,3,3,209000
2012-05-11,3.05,3.07,2.68,2.75,2.75,164500
2012-05-14,2.71,2.74,2.61,2.63,2.63,110000
2012-05-15,2.66,2.68,2.54,2.56,2.56,122600
2012-05-16,2.57,2.99,2.57,2.82,2.82,160000
2012-05-17,2.84,2.87,2.72,2.81,2.81,165700
2012-05-18,2.8,2.85,2.63,2.67,2.67,144000
2012-05-21,2.78,2.78,2.65,2.74,2.74,96200
2012-05-22,2.81,2.9,2.64,2.7,2.7,75600
2012-05-23,2.65,2.7,2.6,2.69,2.69,49100
2012-05-24,2.7,2.79,2.66,2.73,2.73,96200
2012-05-25,2.8,2.9,2.75,2.85,2.85,184400
2012-05-29,2.89,3.08,2.81,2.83,2.83,133700
2012-05-30,2.81,3.25,2.81,3.16,3.16,257800
2012-05-31,3.35,3.45,3.12,3.23,3.23,350700
2012-06-01,3.19,3.19,2.92,2.98,2.98,176900
2012-06-04,3.02,3.19,2.98,3.18,3.18,76600
2012-06-05,3.17,3.34,3.16,3.28,3.28,170100
2012-06-06,3.28,3.29,3.18,3.21,3.21,99100
2012-06-07,3.25,3.4,3.18,3.2,3.2,115100
2012-06-08,3.18,3.37,3.17,3.2,3.2,94200
2012-06-11,3.49,3.99,3.36,3.48,3.48,1647200
2012-06-12,3.4,3.4,3.18,3.36,3.36,399000
2012-06-13,3.4,3.57,3.38,3.53,3.53,185600
2012-06-14,3.54,3.7,3.48,3.7,3.7,147400
2012-06-15,3.8,3.89,3.65,3.79,3.79,891500
2012-06-18,3.74,3.8,3.61,3.71,3.71,150900
2012-06-19,3.69,3.85,3.64,3.84,3.84,210800
2012-06-20,3.85,4.23,3.75,3.95,3.95,311500
2012-06-21,3.99,4.19,3.81,4.12,4.12,362400
2012-06-22,4.1,4.12,3.17,3.85,3.85,1061200
2012-06-25,4.16,4.16,3.49,3.84,3.84,215900
2012-06-26,3.94,4.05,3.8,4.02,4.02,179700
2012-06-27,4.03,4.09,3.91,4.02,4.02,109100
2012-06-28,3.98,4,3.89,3.94,3.94,87500
2012-06-29,4.39,5.5,4.3,5.08,5.08,4405700
2012-07-02,6.25,6.25,5.21,5.43,5.43,5719000
2012-07-03,5.64,5.67,5.1,5.39,5.39,1230900
