Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,13.484445,13.484445,13.346666,13.422222,10.274795,3300
2012-02-22,13.444445,13.444445,13.444445,13.444445,10.291804,400
2012-02-23,13.444445,13.444445,13.355556,13.355556,10.223759,1000
2012-02-24,13.364445,13.644444,13.355556,13.644444,10.444904,8700
2012-02-27,13.697778,13.773334,13.622222,13.622222,10.427895,3600
2012-02-28,13.764444,13.777778,13.64,13.64,10.441503,3100
2012-02-29,13.777778,13.866667,13.577778,13.577778,10.393874,3700
2012-03-01,13.711111,13.724444,13.657778,13.657778,10.455112,3100
2012-03-02,13.791111,13.791111,13.657778,13.657778,10.455112,3700
2012-03-05,13.822222,13.822222,13.573334,13.573334,10.390471,5800
2012-03-06,13.684444,13.702222,13.511111,13.702222,10.489134,1300
2012-03-07,13.795555,13.906667,13.795555,13.906667,10.645637,2800
2012-03-08,13.902223,14.017777,13.777778,14,10.717087,10900
2012-03-09,14.088889,14.093333,14.044444,14.093333,10.788532,4500
2012-03-12,14.137777,14.155556,13.942223,13.942223,10.672856,9900
2012-03-13,13.937778,14.035556,13.937778,14.035556,10.744302,900
2012-03-14,14.088889,14.124444,14.035556,14.044444,10.751107,7600
2012-03-15,14.084444,14.24,14.044444,14.2,10.87019,7600
2012-03-16,14.346666,14.617778,14.2,14.2,10.87019,6000
2012-03-19,14.084444,14.555555,14.084444,14.555555,11.142367,3100
2012-03-20,14.444445,14.657778,13.844444,14.253333,10.911015,27900
2012-03-21,14.08,14.657778,14.066667,14.657778,11.220619,9900
2012-03-22,14.342222,14.533334,14.32,14.533334,11.125354,6700
2012-03-23,14.355556,14.4,14.133333,14.133333,10.819152,12100
2012-03-26,14.4,14.404445,14.151111,14.4,11.023289,6900
2012-03-27,14.408889,14.555555,14.4,14.506667,11.10494,5500
2012-03-28,14.555555,14.555555,14.444445,14.555555,11.142367,10800
2012-03-29,14.515555,14.666667,14.515555,14.666667,11.227423,2700
2012-03-30,14.555555,14.777778,14.333333,14.773334,11.309078,47700
2012-04-02,14.657778,14.755555,14.657778,14.755555,11.295467,2400
2012-04-03,14.666667,14.942223,14.542222,14.844444,11.363516,3100
2012-04-04,14.653334,14.755555,14.484445,14.737778,11.281857,2200
2012-04-05,14.72,14.933333,14.72,14.933333,11.431559,2800
2012-04-09,14.666667,14.777778,14.604445,14.777778,11.312479,4500
2012-04-10,14.6,14.977777,14.6,14.888889,11.397538,17100
2012-04-11,15.035556,15.497778,15.035556,15.333333,11.737761,22000
2012-04-12,15.44,15.728889,15.44,15.506667,11.870447,29400
2012-04-13,15.528889,15.555555,15.364445,15.466666,11.839828,10000
2012-04-16,15.311111,15.653334,15.311111,15.644444,11.975917,9400
2012-04-17,15.68,16.444445,15.666667,16.280001,12.462438,12100
2012-04-18,16.186666,16.844444,16.084444,16.084444,12.312741,13000
2012-04-19,16.222221,16.222221,15.822222,16.111111,12.333154,6300
2012-04-20,16.102222,16.502222,15.822222,15.822222,12.112011,17200
2012-04-23,16.004444,16.328888,16.004444,16.280001,12.462438,6300
2012-04-24,16.182222,16.333334,16.115555,16.333334,12.503268,12600
2012-04-25,16.355556,16.444445,16.200001,16.417778,12.567911,4600
2012-04-26,16.444445,16.444445,16.222221,16.444445,12.588323,14500
2012-04-27,16.444445,16.444445,16.235556,16.444445,12.588323,12300
2012-04-30,16.444445,16.444445,16.422222,16.444445,12.588323,4000
2012-05-01,16.35111,16.444445,16.346666,16.444445,12.588323,10900
2012-05-02,16.391111,16.444445,16.266666,16.311111,12.486259,13000
2012-05-03,16.280001,16.311111,15.568889,16,12.248097,9100
2012-05-04,15.888889,15.946667,15.817778,15.933333,12.197064,5400
2012-05-07,15.902223,15.928889,15.706667,15.902223,12.17325,3300
2012-05-08,15.875556,16.444445,15.377778,16.111111,12.333154,11700
2012-05-09,16.022223,16.222221,15.844444,15.848889,12.132421,8200
2012-05-10,15.951111,16.377777,15.786667,16.377777,12.537289,8100
2012-05-11,15.773334,15.991111,15.773334,15.937778,12.297244,3600
2012-05-14,15.848889,15.933333,15.848889,15.933333,12.293814,3100
2012-05-15,15.933333,15.933333,15.866667,15.928889,12.290386,1800
2012-05-16,15.817778,15.933333,15.746667,15.844444,12.225229,2800
2012-05-17,15.906667,15.906667,15.591111,15.755555,12.156646,1900
2012-05-18,15.888889,16,15.888889,16,12.345252,900
2012-05-21,15.924444,16.253334,15.675555,16.253334,12.540721,18000
2012-05-22,16.111111,16.115555,15.671111,15.688889,12.105207,7600
2012-05-23,15.648889,16,15.648889,15.888889,12.259522,16200
2012-05-24,15.84,15.857778,15.555555,15.857778,12.235518,3700
2012-05-25,15.72,15.822222,15.644444,15.68,12.098348,3600
2012-05-29,15.56,15.848889,15.56,15.813334,12.201226,1500
2012-05-30,15.857778,15.857778,15.568889,15.604445,12.040051,2800
2012-05-31,15.573334,15.831111,15.533334,15.555555,12.002332,3300
2012-06-01,15.288889,15.555555,15.288889,15.555555,12.002332,1500
2012-06-04,15.533334,15.688889,15.533334,15.688889,12.105207,9400
2012-06-05,15.444445,15.88,15.444445,15.88,12.252666,45400
2012-06-06,15.76,16.208889,15.733334,16.208889,12.506426,6000
2012-06-07,16.044445,16.422222,16.044445,16.155556,12.465274,9100
2012-06-08,16.200001,16.435556,16.017778,16.435556,12.681319,7300
2012-06-11,16.484444,16.484444,16.022223,16.035555,12.372684,9100
2012-06-12,16.013334,16.022223,15.675555,15.933333,12.293814,13500
2012-06-13,16.111111,16.111111,16.111111,16.111111,12.430984,400
2012-06-14,16.266666,16.266666,16.004444,16.088888,12.413839,27900
2012-06-15,15.92,16.795555,15.911111,16.51111,12.739614,21700
2012-06-18,16.671112,16.822222,16.448889,16.622223,12.825345,30100
2012-06-19,16.888889,16.888889,16.515556,16.711111,12.893931,31900
2012-06-20,16.68,16.68,15.951111,16.177778,12.48242,34300
2012-06-21,16.297777,16.386667,16.013334,16.200001,12.499572,33300
2012-06-22,16.324444,16.360001,15.777778,16.128889,12.4447,903300
2012-06-25,15.96,15.96,15.217778,15.333333,11.830864,15400
2012-06-26,15.493333,15.6,15.337778,15.6,12.036622,5500
2012-06-27,15.444445,16.222221,15.12,16.222221,12.516712,16600
2012-06-28,15.955556,15.964444,15.475555,15.897778,12.266381,5500
2012-06-29,16.222221,16.222221,15.786667,16,12.345252,26200
2012-07-02,16.075556,16.213333,15.684444,16.048889,12.382974,39300
2012-07-03,15.977777,16.222221,15.964444,16.106667,12.427554,39700
2012-07-05,16.16,16.226667,15.808888,16.102222,12.424125,24900
2012-07-06,15.968889,16.222221,15.911111,15.937778,12.297244,8500
2012-07-09,16.008888,16.222221,15.591111,15.906667,12.273239,5800
2012-07-10,16.222221,16.222221,15.977777,16.133333,12.44813,4600
2012-07-11,16.124445,16.435556,15.8,15.977777,12.328108,32500
2012-07-12,15.928889,16.106667,15.928889,15.937778,12.297244,11400
2012-07-13,15.96,16.097778,15.666667,16.097778,12.420696,15000
2012-07-16,16.155556,16.155556,15.8,15.995556,12.341824,12100
2012-07-17,16.084444,16.222221,16,16,12.345252,18100
2012-07-18,16.031111,16.062222,15.777778,16,12.345252,48600
2012-07-19,16.048889,16.062222,15.742222,15.848889,12.228661,29200
2012-07-20,15.755555,16.177778,14.955556,15.888889,12.259522,23500
2012-07-23,15.8,15.8,15.555555,15.555555,12.002332,5800
2012-07-24,15.657778,15.977777,14.888889,15.022223,11.590822,32100
2012-07-25,15.071111,15.702222,15.071111,15.333333,11.830864,61300
2012-07-26,15.493333,15.897778,15.493333,15.604445,12.040051,5400
2012-07-27,15.888889,15.888889,14.813334,15.248889,11.765715,17100
2012-07-30,15.288889,15.964444,15.115556,15.328889,11.827435,21700
2012-07-31,15.355556,15.942223,15.244445,15.48,11.944032,20200
2012-08-01,15.617778,15.835556,14.888889,14.888889,11.487944,37300
2012-08-02,15.053333,15.502222,15.022223,15.253333,11.769142,29200
2012-08-03,15.395555,15.746667,15.395555,15.666667,12.088061,24700
2012-08-06,15.68,15.777778,15.68,15.755555,12.156646,10000
2012-08-07,15.862223,15.862223,15.377778,15.644444,12.070913,7600
2012-08-08,15.644444,15.688889,15.644444,15.688889,12.105207,2400
2012-08-09,15.697778,15.813334,15.355556,15.573334,12.016047,15000
2012-08-10,15.573334,15.711111,15.342222,15.511111,11.968036,12100
2012-08-13,15.56,15.56,15.2,15.377778,11.865161,1900
2012-08-14,15.368889,15.684444,15.36,15.511111,11.968036,9100
2012-08-15,15.444445,15.822222,15.444445,15.755555,12.260276,35500
2012-08-16,15.68,15.844444,15.6,15.755555,12.260276,13600
2012-08-17,15.813334,15.866667,15.564445,15.866667,12.34674,6700
2012-08-20,15.728889,16,15.591111,15.728889,12.239523,8500
2012-08-21,15.657778,15.666667,15.524445,15.524445,12.080438,3700
2012-08-22,15.626667,15.733334,15.555555,15.733334,12.242983,6400
2012-08-23,15.657778,16.217777,15.555555,15.555555,12.104649,18400
2012-08-24,15.613334,15.684444,15.355556,15.684444,12.204943,2700
2012-08-27,15.671111,16.066668,15.671111,16.057777,12.495453,5800
2012-08-28,15.973333,15.973333,15.733334,15.968889,12.426285,14400
2012-08-29,15.702222,15.977777,15.702222,15.942223,12.405534,17100
2012-08-30,15.817778,15.866667,15.506667,15.631111,12.16344,7600
2012-08-31,15.751111,15.888889,15.386666,15.888889,12.36403,10000
2012-09-04,15.786667,15.786667,15.568889,15.72,12.232609,9000
2012-09-05,15.746667,15.844444,15.653334,15.653334,12.180734,9400
2012-09-06,15.648889,15.8,15.648889,15.795555,12.291402,13900
2012-09-07,15.844444,15.844444,15.555555,15.706667,12.222237,9900
2012-09-10,15.768888,15.817778,15.617778,15.657778,12.184191,11800
2012-09-11,15.68,15.768888,15.613334,15.768888,12.27065,5800
2012-09-12,15.777778,15.777778,15.533334,15.76,12.263735,12600
2012-09-13,15.653334,15.888889,15.555555,15.848889,12.332905,22000
2012-09-14,15.937778,16.084444,15.777778,16.084444,12.516203,22600
2012-09-17,15.982223,15.982223,15.715555,15.857778,12.339823,6900
2012-09-18,15.773334,15.915556,15.773334,15.884444,12.360572,16200
2012-09-19,15.866667,15.977777,15.826667,15.977777,12.433201,10300
2012-09-20,15.875556,15.915556,15.604445,15.728889,12.239523,3100
2012-09-21,15.964444,16.128889,15.791111,15.875556,12.353657,37000
2012-09-24,15.795555,15.973333,15.777778,15.88,12.357115,16300
2012-09-25,15.946667,16.151112,15.897778,15.964444,12.422826,23800
2012-09-26,16.013334,16.066668,15.871111,16.004444,12.453952,16300
2012-09-27,16.106667,16.208889,15.84,16.182222,12.592294,11200
2012-09-28,16.031111,16.031111,15.826667,15.884444,12.360572,22600
2012-10-01,15.866667,15.964444,15.608889,15.728889,12.239523,18900
2012-10-02,15.791111,16.08,15.724444,15.991111,12.443577,32100
2012-10-03,15.942223,16.155556,15.693334,15.862223,12.343281,9000
2012-10-04,15.951111,16.124445,15.862223,16.124445,12.547332,8700
2012-10-05,16.120001,16.195555,15.804444,16,12.450491,6900
2012-10-08,16,16,15.826667,15.826667,12.315613,4000
2012-10-09,15.88,15.888889,15.746667,15.746667,12.25336,3700
2012-10-10,15.786667,15.871111,15.777778,15.804444,12.298321,3100
2012-10-11,15.782222,15.782222,15.782222,15.782222,12.281027,1500
2012-10-12,15.786667,15.875556,15.711111,15.84,12.325987,100300
2012-10-15,15.928889,16,15.657778,16,12.450491,7200
2012-10-16,16.066668,16.111111,15.8,15.951111,12.412453,15000
2012-10-17,15.888889,16.222221,15.888889,16.208889,12.613041,4000
2012-10-18,16.222221,16.222221,15.92,16.186666,12.595746,19900
2012-10-19,16.066668,16.208889,15.875556,15.897778,12.370945,46900
2012-10-22,16.177778,16.177778,15.906667,15.911111,12.381324,3300
2012-10-23,15.875556,16.191111,15.702222,15.728889,12.239523,28000
2012-10-24,15.755555,15.906667,15.755555,15.813334,12.305238,3300
2012-10-25,15.875556,16.017778,15.751111,15.8,12.294866,2700
2012-10-26,16.044445,16.044445,15.76,15.76,12.263735,3700
2012-10-31,15.751111,15.76,15.617778,15.76,12.263735,10000
2012-11-01,15.564445,16.208889,15.546667,15.675555,12.198025,9900
2012-11-02,15.733334,15.742222,15.444445,15.444445,12.018185,6400
2012-11-05,15.68,15.733334,15.528889,15.528889,12.083896,3300
2012-11-06,15.675555,15.675555,15.662222,15.675555,12.198025,1500
2012-11-07,15.515555,15.755555,15.217778,15.217778,11.841802,16600
2012-11-08,15.24,15.666667,15.111111,15.155556,11.793385,17200
