Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,1.88,1.95,1.87,1.87,1.87,1527300
2012-02-22,1.9,2.03,1.85,1.96,1.96,3378300
2012-02-23,1.95,2.07,1.92,1.95,1.95,3044200
2012-02-24,1.97,2.02,1.92,1.94,1.94,1635700
2012-02-27,1.93,1.95,1.85,1.91,1.91,1239200
2012-02-28,1.92,1.99,1.9,1.93,1.93,1158900
2012-02-29,1.95,2.05,1.91,1.94,1.94,2066600
2012-03-01,1.96,2.01,1.93,1.93,1.93,638900
2012-03-02,1.94,1.95,1.82,1.86,1.86,1288200
2012-03-05,1.85,1.86,1.7,1.71,1.71,1670900
2012-03-06,1.63,1.65,1.57,1.61,1.61,2248800
2012-03-07,1.65,1.69,1.6,1.69,1.69,1447000
2012-03-08,1.69,1.73,1.68,1.72,1.72,1147200
2012-03-09,1.64,1.67,1.52,1.56,1.56,3050400
2012-03-12,1.54,1.58,1.5,1.51,1.51,1064400
2012-03-13,1.54,1.68,1.53,1.66,1.66,1899100
2012-03-14,1.68,1.69,1.58,1.61,1.61,1058300
2012-03-15,1.6,1.63,1.58,1.58,1.58,712100
2012-03-16,1.58,1.61,1.55,1.55,1.55,970100
2012-03-19,1.53,1.61,1.53,1.58,1.58,708800
2012-03-20,1.54,1.62,1.54,1.58,1.58,655700
2012-03-21,1.58,1.65,1.58,1.65,1.65,1100600
2012-03-22,1.62,1.63,1.57,1.58,1.58,666800
2012-03-23,1.56,1.62,1.56,1.59,1.59,348500
2012-03-26,1.61,1.62,1.59,1.59,1.59,375700
2012-03-27,1.58,1.61,1.57,1.58,1.58,318300
2012-03-28,1.56,1.59,1.55,1.55,1.55,676000
2012-03-29,1.55,1.55,1.5,1.52,1.52,919200
2012-03-30,1.52,1.53,1.5,1.53,1.53,693000
2012-04-02,1.49,1.53,1.49,1.52,1.52,401700
2012-04-03,1.52,1.58,1.51,1.53,1.53,981100
2012-04-04,1.52,1.52,1.46,1.48,1.48,805500
2012-04-05,1.46,1.5,1.43,1.49,1.49,425300
2012-04-09,1.43,1.45,1.41,1.42,1.42,387400
2012-04-10,1.4,1.44,1.37,1.41,1.41,694300
2012-04-11,1.41,1.43,1.3,1.34,1.34,1318600
2012-04-12,1.36,1.54,1.36,1.54,1.54,720000
2012-04-13,1.52,1.52,1.43,1.44,1.44,554100
2012-04-16,1.45,1.5,1.4,1.43,1.43,265600
2012-04-17,1.47,1.78,1.46,1.7,1.7,5245400
2012-04-18,1.64,1.78,1.63,1.76,1.76,1806000
2012-04-19,1.73,1.88,1.68,1.79,1.79,1739600
2012-04-20,1.84,1.9,1.81,1.83,1.83,1251000
2012-04-23,1.79,1.81,1.74,1.79,1.79,1078500
2012-04-24,1.79,1.83,1.77,1.81,1.81,401500
2012-04-25,1.82,1.84,1.78,1.82,1.82,298600
2012-04-26,1.8,1.92,1.8,1.92,1.92,906400
2012-04-27,1.92,1.92,1.85,1.87,1.87,503100
2012-04-30,1.87,1.87,1.78,1.83,1.83,726600
2012-05-01,1.82,1.91,1.82,1.9,1.9,808300
2012-05-02,1.86,1.98,1.84,1.97,1.97,834400
2012-05-03,1.94,1.98,1.85,1.88,1.88,666700
2012-05-04,1.84,1.84,1.76,1.78,1.78,505500
2012-05-07,1.74,1.76,1.7,1.74,1.74,386400
2012-05-08,1.67,1.68,1.56,1.6,1.6,1135700
2012-05-09,1.56,1.59,1.55,1.58,1.58,617100
2012-05-10,1.57,1.66,1.57,1.64,1.64,620000
2012-05-11,1.64,1.68,1.57,1.6,1.6,634800
2012-05-14,1.52,1.55,1.48,1.51,1.51,1058800
