Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,558,562.440002,544.799988,560.400024,560.400024,600
2012-02-22,570,570,540,546,546,600
2012-02-23,547.200012,560.400024,547.200012,556.799988,556.799988,400
2012-02-24,555.599976,570,549.599976,556.799988,556.799988,400
2012-02-27,560.400024,570,548.400024,561.599976,561.599976,300
2012-02-28,560.400024,560.400024,532.799988,538.799988,538.799988,1000
2012-02-29,543.599976,550.799988,535.200012,543.599976,543.599976,400
2012-03-01,548.400024,550.799988,534,535.200012,535.200012,500
2012-03-02,534,534,499.200012,512.400024,512.400024,900
2012-03-05,512.400024,512.400024,455.399994,455.399994,455.399994,1600
2012-03-06,459.600006,459.600006,405.600006,415.200012,415.200012,2100
2012-03-07,415.200012,434.399994,411.600006,423.600006,423.600006,900
2012-03-08,423.600006,451.200012,423.600006,447.600006,447.600006,1100
2012-03-09,450,512.400024,442.799988,494.399994,494.399994,2100
2012-03-12,494.399994,534,493.200012,526.799988,526.799988,1200
2012-03-13,522,528,489.600006,493.200012,493.200012,1100
2012-03-14,499.200012,502.799988,462,474,474,400
2012-03-15,474,476.399994,441.600006,459.600006,459.600006,900
2012-03-16,462,481.200012,457.200012,480,480,900
2012-03-19,537.599976,537.599976,456,465.600006,465.600006,1000
2012-03-20,471.600006,490.799988,451.200012,487.200012,487.200012,500
2012-03-21,488.399994,496.799988,471.600006,471.600006,471.600006,700
2012-03-22,470.399994,474,451.200012,457.200012,457.200012,400
2012-03-23,457.200012,468,423.600006,427.200012,427.200012,1000
2012-03-26,432,435.600006,404.399994,410.399994,410.399994,1100
2012-03-27,418.799988,418.799988,348,369.600006,369.600006,3600
2012-03-28,374.399994,376.799988,360,362.399994,362.399994,900
2012-03-29,362.399994,368.399994,356.399994,366,366,600
2012-03-30,360,366,345.600006,362.399994,362.399994,1800
2012-04-02,360,388.679993,355.200012,382.799988,382.799988,700
2012-04-03,378,398.399994,372,384,384,1000
2012-04-04,384,393.600006,374.399994,378,378,200
2012-04-05,379.200012,388.799988,361.200012,374.399994,374.399994,300
2012-04-09,375.600006,380.279999,355.200012,362.399994,362.399994,600
2012-04-10,363.600006,370.799988,349.200012,355.200012,355.200012,600
2012-04-11,363.600006,364.799988,354,364.799988,364.799988,300
2012-04-12,361.200012,398.399994,361.200012,393.600006,393.600006,400
2012-04-13,394.799988,438,392.399994,427.200012,427.200012,1200
2012-04-16,434.399994,438,394.799988,421.200012,421.200012,1200
2012-04-17,420,420,397.200012,398.399994,398.399994,800
2012-04-18,402,408,390,393.600006,393.600006,200
2012-04-19,393.600006,408,393.600006,403.200012,403.200012,400
2012-04-20,396,400.799988,356.399994,361.200012,361.200012,2400
2012-04-23,361.200012,367.799988,357.600006,357.600006,357.600006,900
