Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,12.99,13.12,12.99,13.05,8.203745,178800
2012-02-22,13.05,13.1,13.01,13.06,8.210037,135100
2012-02-23,13.01,13.11,13.01,13.1,8.235177,180800
2012-02-24,13.13,13.17,13.1,13.17,8.279183,152500
2012-02-27,13.15,13.25,13.15,13.21,8.304329,121600
2012-02-28,13.18,13.27,13.18,13.27,8.342046,98300
2012-02-29,13.3,13.31,13.23,13.24,8.323189,115200
2012-03-01,13.28,13.39,13.25,13.39,8.417485,147600
2012-03-02,13.41,13.42,13.26,13.26,8.335762,250400
2012-03-05,13.3,13.42,13.28,13.42,8.436346,139800
2012-03-06,13.38,13.42,13.33,13.4,8.423774,141300
2012-03-07,13.42,13.42,13.33,13.36,8.398628,99300
2012-03-08,13.34,13.41,13.2,13.28,8.348333,177800
2012-03-09,13.33,13.39,13.27,13.34,8.386047,89300
2012-03-12,13.32,13.41,13.32,13.41,8.430057,99500
2012-03-13,13.44,13.44,13.34,13.35,8.392334,141200
2012-03-14,13.37,13.37,13.01,13.02,8.184889,265800
2012-03-15,13.08,13.08,12.62,12.67,7.96486,420300
2012-03-16,12.61,12.65,12.34,12.44,7.820277,465500
2012-03-19,12.4,12.68,12.34,12.54,7.883145,196200
2012-03-20,12.46,12.68,12.46,12.68,7.971149,167300
2012-03-21,12.69,12.76,12.62,12.73,8.044456,143000
2012-03-22,12.67,12.75,12.6,12.68,8.012858,137100
2012-03-23,12.66,12.7,12.57,12.62,7.974944,181000
2012-03-26,12.65,12.71,12.59,12.61,7.968622,168500
2012-03-27,12.66,12.8,12.54,12.79,8.082373,114900
2012-03-28,12.83,12.9,12.79,12.89,8.145565,193800
2012-03-29,12.9,12.96,12.75,12.92,8.164521,99500
2012-03-30,13,13.03,12.94,13,8.215074,107300
2012-04-02,13.08,13.1,12.79,12.86,8.126607,148600
2012-04-03,12.91,12.94,12.8,12.89,8.145565,59100
2012-04-04,12.96,12.99,12.89,12.9,8.151885,82200
2012-04-05,13,13.01,12.91,12.98,8.202435,74000
2012-04-09,13.01,13.06,12.94,13,8.215074,130900
2012-04-10,13.06,13.13,12.91,12.99,8.208755,96300
2012-04-11,13.01,13.1,12.93,13,8.215074,159700
2012-04-12,13.01,13.1,12.98,13.08,8.265631,108900
2012-04-13,13.07,13.14,13.02,13.13,8.297224,82500
2012-04-16,13.11,13.29,13.1,13.22,8.354097,241200
2012-04-17,13.2,13.26,13.1,13.16,8.316182,178000
2012-04-18,13.19,13.23,13.12,13.2,8.341463,110300
2012-04-19,13.15,13.23,13.09,13.21,8.389724,136200
2012-04-20,13.24,13.24,13.07,13.24,8.408781,128700
2012-04-23,13.22,13.26,13.17,13.23,8.402429,101600
2012-04-24,13.24,13.27,13.19,13.26,8.421486,68000
2012-04-25,13.25,13.28,13.18,13.18,8.370677,132100
2012-04-26,13.23,13.24,13.14,13.19,8.377028,108400
2012-04-27,13.2,13.22,13.13,13.16,8.357974,210700
2012-04-30,13.2,13.26,13.18,13.26,8.421486,127500
2012-05-01,13.28,13.29,13.23,13.23,8.402429,122000
2012-05-02,13.27,13.28,13.2,13.28,8.434182,129600
2012-05-03,13.28,13.29,13.24,13.28,8.434182,94300
2012-05-04,13.25,13.29,13.21,13.25,8.415131,116700
2012-05-07,13.27,13.28,13.23,13.23,8.402429,88600
