Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,65,66.199997,64.400002,64.400002,64.400002,8000
2012-02-22,64.400002,64.800003,63.599998,63.599998,63.599998,9700
2012-02-23,64.199997,66,63.400002,66,66,7700
2012-02-24,66,67,64.199997,64.400002,64.400002,9500
2012-02-27,64.400002,64.800003,64,64,64,6900
2012-02-28,64.199997,64.199997,61.599998,61.799999,61.799999,10300
2012-02-29,63.200001,63.200001,60,60,60,15400
2012-03-01,60.400002,63.400002,60.200001,60.200001,60.200001,13400
2012-03-02,60.400002,60.599998,57.200001,58,58,21900
2012-03-05,57,58,57,57.200001,57.200001,19600
2012-03-06,56.799999,57,56.400002,56.400002,56.400002,18700
2012-03-07,56.799999,57.799999,56.599998,57.799999,57.799999,13300
2012-03-08,59,59.799999,58,59.799999,59.799999,11500
2012-03-09,59.799999,63.200001,59.799999,62.599998,62.599998,19100
2012-03-12,63,63.200001,61.400002,61.799999,61.799999,7500
2012-03-13,62,63.200001,61,63.200001,63.200001,13100
2012-03-14,63,63.400002,62,62.599998,62.599998,10200
2012-03-15,63,64,61.400002,64,64,18800
2012-03-16,63.799999,64,62,63,63,18900
2012-03-19,62.599998,63.799999,60.400002,61.200001,61.200001,32300
2012-03-20,60.599998,63,60.599998,62.799999,62.799999,13200
2012-03-21,62.799999,63.799999,62,63.799999,63.799999,13600
2012-03-22,64.400002,66,63.200001,65.800003,65.800003,21800
2012-03-23,67,69.400002,63.799999,69,69,29700
2012-03-26,68.599998,69,66.400002,66.400002,66.400002,24900
2012-03-27,66.800003,68.599998,65.599998,67.199997,67.199997,14000
2012-03-28,68.599998,70,65.599998,67.800003,67.800003,32400
2012-03-29,67,68.199997,66,66.800003,66.800003,17600
2012-03-30,68.199997,68.400002,65.599998,65.599998,65.599998,16300
2012-04-02,67.800003,67.800003,63.599998,65.800003,65.800003,29800
2012-04-03,62.200001,63,58,58.799999,58.799999,75800
2012-04-04,58.200001,58.799999,57,58.799999,58.799999,63900
2012-04-05,59.400002,59.599998,57.200001,57.799999,57.799999,19000
2012-04-09,57.200001,57.799999,55.200001,55.599998,55.599998,26500
2012-04-10,55.599998,56,52,55,55,42700
2012-04-11,55.400002,55.400002,53,53.400002,53.400002,27700
2012-04-12,53.200001,56.799999,53.200001,54.599998,54.599998,17100
2012-04-13,54.799999,56.599998,54,54.599998,54.599998,15900
2012-04-16,55,55,52.799999,53.799999,53.799999,13000
2012-04-17,54.400002,56,53.799999,55.599998,55.599998,9500
2012-04-18,55.200001,56,54.799999,55.599998,55.599998,8100
2012-04-19,56.400002,56.400002,54.200001,55.799999,55.799999,14800
2012-04-20,56.599998,57.400002,55,57.400002,57.400002,23100
2012-04-23,56.200001,57.599998,56,57.200001,57.200001,17200
2012-04-24,57.200001,59,57.200001,58,58,14500
2012-04-25,58.799999,60.599998,58.599998,59,59,21100
2012-04-26,59.200001,62.400002,59,62.400002,62.400002,26600
2012-04-27,62.599998,63.599998,62.400002,62.799999,62.799999,35900
2012-04-30,63.200001,64.800003,62.200001,62.400002,62.400002,19100
2012-05-01,62.200001,63,61,61.599998,61.599998,18500
2012-05-02,61.599998,61.599998,60,61.200001,61.200001,15600
2012-05-03,62.799999,62.799999,59,60.599998,60.599998,22900
2012-05-04,60.200001,60.400002,58,58.799999,58.799999,23700
2012-05-07,58.400002,59.200001,56.799999,58.200001,58.200001,18400
2012-05-08,58,59.200001,57.400002,58.599998,58.599998,13800
2012-05-09,58.200001,59,58,58.200001,58.200001,9900
