Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,37,37,30.5,30.5,30.5,5600
2012-02-22,32,35,31.75,34.75,34.75,5100
2012-02-23,34.75,35,32.5,34.25,34.25,1400
2012-02-24,34.5,34.5,32.75,32.75,32.75,600
2012-02-27,31.25,32.25,30.25,30.5,30.5,2200
2012-02-28,31.25,39.75,30.25,39.75,39.75,4900
2012-02-29,39.5,39.5,34.25,35.25,35.25,2900
2012-03-01,35.25,35.25,31.75,31.75,31.75,2600
2012-03-02,33,33.5,31.75,33.25,33.25,1700
2012-03-05,32,33,31.75,32.5,32.5,300
2012-03-06,31.75,33.25,31.25,32.5,32.5,1000
2012-03-07,33,33,30.25,31,31,3600
2012-03-08,31.25,33,31.25,32,32,1800
2012-03-09,31.5,32.5,30,30.5,30.5,5000
2012-03-12,31,33.25,30.5,30.75,30.75,700
2012-03-13,31,31.25,30.5,31,31,800
2012-03-14,32.75,32.75,30,30.25,30.25,1900
2012-03-15,30.25,32.75,30,30.75,30.75,2000
2012-03-16,30.5,32.25,30,32.25,32.25,2100
2012-03-19,32.25,32.25,29.75,30.25,30.25,1500
2012-03-20,31.25,31.5,30,30.75,30.75,3500
2012-03-21,30.75,33.25,30.75,32.5,32.5,6500
2012-03-22,36.5,36.5,31.25,34,34,18100
2012-03-23,35,36.25,33.25,33.75,33.75,14800
2012-03-26,35,35.75,32.5,35.75,35.75,8600
2012-03-27,35.75,35.75,33.75,34.25,34.25,2900
2012-03-28,34,34.75,32.75,34.25,34.25,1800
2012-03-29,34.25,34.25,32.25,32.25,32.25,3800
2012-03-30,33.25,34.25,32,34.25,34.25,2600
2012-04-02,34.25,34.25,31.75,32.5,32.5,2400
2012-04-03,33,34,31.5,33.75,33.75,4300
2012-04-04,34,34.25,32.5,33.5,33.5,500
2012-04-05,34,34,32,33.25,33.25,1300
2012-04-09,32.5,33.25,31.75,32.75,32.75,1900
2012-04-10,33,33,31.5,32.25,32.25,1600
2012-04-11,32.75,32.75,31.75,32,32,800
2012-04-12,33.25,33.25,32.5,32.5,32.5,400
2012-04-13,32.25,33.25,32,33,33,800
2012-04-16,32.75,33.5,32.25,32.5,32.5,700
2012-04-17,32.5,33,31.75,32.5,32.5,1500
2012-04-18,32.25,32.5,31.25,32.25,32.25,1800
2012-04-19,31.25,32.25,30.75,30.75,30.75,1100
2012-04-20,31,32,31,31.75,31.75,1400
2012-04-23,31.75,32.75,31,32.5,32.5,400
2012-04-24,33.75,33.75,32.5,33,33,800
2012-04-25,33.5,33.75,32,33.5,33.5,1300
2012-04-26,33.5,33.5,32,33.25,33.25,1200
2012-04-27,32.5,33.25,32,32.5,32.5,600
2012-04-30,33,33,32,32.25,32.25,200
2012-05-01,32.75,33.25,32,32.75,32.75,100
2012-05-02,33.25,33.25,32,32.75,32.75,1700
2012-05-03,33,33,32,32.75,32.75,2300
2012-05-04,32.25,32.75,32,32.5,32.5,900
2012-05-07,32.5,33.25,32.25,32.5,32.5,700
2012-05-08,32,33,32,32,32,1000
2012-05-09,32,32.25,31,31.25,31.25,1500
2012-05-10,31.25,31.25,29.5,29.5,29.5,1600
2012-05-11,30.5,30.5,28.5,29.25,29.25,1400
2012-05-14,29.5,29.5,26.5,29,29,3300
2012-05-15,29,29,26.5,26.5,26.5,700
2012-05-16,25.5,25.75,22,23.5,23.5,11700
2012-05-17,24,26.5,23.75,24.75,24.75,4200
2012-05-18,24,26.75,24,25.75,25.75,900
2012-05-21,25.5,27,23.75,25.5,25.5,1800
2012-05-22,26.75,26.75,24.75,24.75,24.75,1400
2012-05-23,25,26.25,24.75,25.5,25.5,2000
2012-05-24,26.25,26.75,23.75,24.5,24.5,5900
2012-05-25,25,25,24.5,24.5,24.5,600
2012-05-29,24.75,24.75,23.75,24,24,2800
2012-05-30,22.5,23.75,22.5,23.75,23.75,3800
2012-05-31,23.5,26.5,23.5,26.5,26.5,1500
2012-06-01,27,27,22.5,24,24,4600
2012-06-04,27.5,27.5,23.75,25.25,25.25,2500
2012-06-05,25.75,27.25,24.75,27.25,27.25,6000
2012-06-06,30,31,26.5,29.75,29.75,11800
2012-06-07,30.75,30.75,26.5,28.25,28.25,4300
2012-06-08,28.5,29.75,28.25,28.5,28.5,4300
2012-06-11,30.5,30.5,28.25,29,29,1800
2012-06-12,28.75,30.75,28.25,30,30,6900
2012-06-13,30,32.25,29.5,32.25,32.25,8300
2012-06-14,32.5,32.75,29.75,31.5,31.5,4500
2012-06-15,30.25,32,30.25,30.75,30.75,2700
2012-06-18,30.5,31.5,30.25,31.5,31.5,2200
2012-06-19,30.75,32.75,28.75,29.5,29.5,2200
2012-06-20,29.5,29.5,27.5,28.5,28.5,2100
2012-06-21,29.25,29.25,27.75,28.5,28.5,2500
2012-06-22,28.75,31.25,28.75,31.25,31.25,2700
2012-06-25,31.25,31.25,28.25,30.5,30.5,3600
2012-06-26,30.75,31,29,29.75,29.75,1500
2012-06-27,29,32.25,28.75,29.75,29.75,10300
2012-06-28,30.25,32,29,32,32,7400
2012-06-29,32.75,32.75,30,31.5,31.5,6100
2012-07-02,31.25,31.25,28.75,29.5,29.5,2200
2012-07-03,30,31.75,30,31.5,31.5,2400
2012-07-05,30.75,33.75,30.5,32.5,32.5,9300
2012-07-06,32.5,33,30.5,31.5,31.5,3200
2012-07-09,32,32,30.25,30.75,30.75,900
2012-07-10,30.75,31,30.5,30.75,30.75,600
2012-07-11,31.25,32.25,30.5,31.5,31.5,1600
2012-07-12,30.75,31.25,30.5,31,31,1100
2012-07-13,30.25,31,28,28.5,28.5,6500
2012-07-16,28.25,30,28,29.75,29.75,3200
2012-07-17,29,30.5,29,29.5,29.5,1900
2012-07-18,28.5,31.75,28.5,30.5,30.5,3100
2012-07-19,29.5,32,29.5,31,31,3400
2012-07-20,31.5,33,30.25,33,33,3700
2012-07-23,33.25,33.25,30.75,32,32,4200
2012-07-24,31.25,32.75,30.25,30.5,30.5,2200
2012-07-25,31.25,32.5,28.75,30.25,30.25,2000
2012-07-26,29.25,30.5,29,29.75,29.75,1700
2012-07-27,29.75,31.25,29.75,30,30,900
2012-07-30,28.75,30.5,28.75,29.75,29.75,1100
2012-07-31,29.25,30.25,28.75,29.75,29.75,1000
2012-08-01,28.75,29.5,28,28,28,1700
2012-08-02,29,30.75,29,30.5,30.5,3500
2012-08-03,30.5,31.25,29.5,31,31,4200
2012-08-06,28.75,31.5,28.75,29.5,29.5,1400
2012-08-07,29.5,31,29.5,29.75,29.75,600
2012-08-08,30,30.75,29,30,30,1700
2012-08-09,29,31,28.75,29,29,3100
2012-08-10,29.75,30.25,29,29.25,29.25,900
2012-08-13,29.5,31.25,29,29.25,29.25,6500
2012-08-14,29.5,30.75,29.5,30,30,600
2012-08-15,29.75,30.25,29,29,29,800
2012-08-16,29.25,30,29,29.5,29.5,3400
2012-08-17,29,30.75,28.75,30.5,30.5,5900
2012-08-20,30.75,31.25,29.5,30.75,30.75,900
