Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,11.57,11.84,11.5,11.74,11.74,2768000
2012-02-22,11.68,11.99,11.54,11.9,11.9,2200700
2012-02-23,11.93,12.06,11.79,11.96,11.96,1917500
2012-02-24,11.92,11.97,11.8,11.84,11.84,1118100
2012-02-27,11.75,11.99,11.62,11.88,11.88,1707000
2012-02-28,11.99,12.18,11.88,12.13,12.13,2642800
2012-02-29,12.14,12.25,11.6,11.7,11.7,3804800
2012-03-01,11.69,11.97,11.4,11.45,11.45,6117300
2012-03-02,11.45,11.49,10.8,10.92,10.92,3942200
2012-03-05,10.86,10.89,10.35,10.52,10.52,4127300
2012-03-06,10.29,10.29,10,10.16,10.16,3670200
2012-03-07,10.22,10.32,10.04,10.3,10.3,1948500
2012-03-08,10.44,10.76,10.22,10.74,10.74,4414100
2012-03-09,10.59,10.91,10.55,10.68,10.68,2777500
2012-03-12,10.52,10.62,10.05,10.12,10.12,3920600
2012-03-13,10.05,10.19,9.9,9.96,9.96,3775400
2012-03-14,9.82,9.83,9.51,9.65,9.65,5666500
2012-03-15,9.65,9.8,9.48,9.54,9.54,4722000
2012-03-16,9.51,9.7,9.42,9.56,9.56,9231500
2012-03-19,9.74,9.82,9.47,9.47,9.47,2683300
2012-03-20,9.28,9.37,9.08,9.37,9.37,4192000
2012-03-21,9.46,9.59,9.4,9.46,9.46,2419700
2012-03-22,9.33,9.36,9.01,9.11,9.11,2410800
2012-03-23,9.21,9.38,9.09,9.38,9.38,2858900
2012-03-26,9.69,9.72,9.5,9.56,9.56,3480700
2012-03-27,9.61,9.82,9.54,9.69,9.69,4705900
2012-03-28,9.67,9.73,9.56,9.67,9.67,3769300
2012-03-29,9.53,9.77,9.52,9.73,9.73,2423100
2012-03-30,9.8,9.89,9.67,9.88,9.88,2288500
2012-04-02,9.83,10.29,9.83,10.19,10.19,3850500
2012-04-03,10.15,10.18,9.59,9.74,9.74,5267300
2012-04-04,9.44,9.5,9.19,9.28,9.28,4948700
2012-04-05,9.35,9.53,9.35,9.51,9.51,3580100
2012-04-09,9.49,9.75,9.45,9.45,9.45,2655700
2012-04-10,9.5,9.66,9.26,9.66,9.66,3366400
2012-04-11,9.76,9.81,9.5,9.53,9.53,1739500
2012-04-12,9.58,10.03,9.56,10,10,2568900
2012-04-13,9.87,9.9,9.59,9.68,9.68,1917300
2012-04-16,9.61,9.85,9.34,9.46,9.46,1754500
2012-04-17,9.57,9.96,9.46,9.88,9.88,2237300
2012-04-18,9.83,10.03,9.79,9.94,9.94,1793300
2012-04-19,9.97,10.1,9.81,9.82,9.82,2065400
2012-04-20,9.92,9.99,9.76,9.78,9.78,1481700
2012-04-23,9.49,9.52,9.15,9.42,9.42,2548600
2012-04-24,9.4,9.47,9.15,9.19,9.19,2430900
2012-04-25,9.24,9.71,9.16,9.69,9.69,2302600
2012-04-26,9.82,9.94,9.7,9.91,9.91,2108100
2012-04-27,10.01,10.1,9.87,10.02,10.02,2661200
2012-04-30,9.44,9.58,8.93,9.1,9.1,4434100
2012-05-01,9.14,9.46,9.12,9.36,9.36,2162000
2012-05-02,9.34,9.37,9.06,9.09,9.09,1791500
2012-05-03,9,9.1,8.45,8.5,8.5,3381400
2012-05-04,8.45,8.79,8.45,8.59,8.59,2749000
2012-05-07,8.59,8.75,8.48,8.54,8.54,1501500
2012-05-08,8.38,8.44,8.07,8.39,8.39,2537900
2012-05-09,8.08,8.83,7.98,8.7,8.7,3052100
2012-05-10,8.84,8.9,8.37,8.43,8.43,2200000
2012-05-11,8.34,8.42,7.98,8,8,2616300
2012-05-14,7.78,8,7.63,7.68,7.68,3971900
2012-05-15,7.7,7.82,7.17,7.3,7.3,5882400
2012-05-16,7.18,7.58,7.13,7.27,7.27,5170600
2012-05-17,7.4,7.88,7.4,7.78,7.78,4133700
2012-05-18,8.11,8.3,7.98,8.23,8.23,5676500
2012-05-21,8.29,8.82,8.28,8.67,8.67,2945400
2012-05-22,8.55,8.74,8.28,8.41,8.41,2944500
2012-05-23,8.36,8.65,8.05,8.65,8.65,3500000
2012-05-24,8.79,9.07,8.51,8.68,8.68,4006100
2012-05-25,8.77,8.93,8.66,8.92,8.92,2107600
2012-05-29,9.17,9.25,8.67,8.78,8.78,2872200
2012-05-30,8.64,8.88,8.44,8.87,8.87,2773900
2012-05-31,8.92,9,8.52,8.76,8.76,1949700
2012-06-01,9.01,9.54,8.95,9.48,9.48,3899300
2012-06-04,9.54,9.74,9.25,9.71,9.71,2444300
2012-06-05,9.63,10.08,9.62,10,10,2850200
2012-06-06,10.12,10.37,9.89,10.12,10.12,3662400
2012-06-07,10.17,10.18,9.7,9.78,9.78,3457900
2012-06-08,9.56,10.09,9.44,10.06,10.06,2609300
2012-06-11,10.1,10.17,9.8,9.82,9.82,3041700
2012-06-12,9.93,10.26,9.79,10.23,10.23,3042100
2012-06-13,10.26,10.45,10.14,10.14,10.14,3709700
2012-06-14,10.25,10.25,9.93,10.07,10.07,3219000
2012-06-15,10.07,10.13,9.58,9.58,9.58,9972800
2012-06-18,9.66,9.92,9.42,9.9,9.9,4009400
2012-06-19,9.98,10.03,9.76,9.93,9.93,1810100
2012-06-20,9.8,10.08,9.63,9.97,9.97,4207400
2012-06-21,9.66,9.71,9.28,9.28,9.28,2064000
2012-06-22,9.32,9.56,9.15,9.53,9.53,3459400
