Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,11.5,12,11.5,11.5,11.5,1000
2012-02-22,12,12,12,12,12,2700
2012-02-23,12,12,11.5,11.5,11.5,1000
2012-02-24,11,11,10.5,11,11,500
2012-02-27,10.5,11,10.5,10.5,10.5,700
2012-02-28,10.5,12.5,10.5,11.5,11.5,1800
2012-02-29,11.5,12.5,11.5,11.5,11.5,2400
2012-03-01,12,12,11,11.5,11.5,1100
2012-03-02,11.5,12,11.5,11.5,11.5,200
2012-03-05,12,12.5,11.5,12,12,1900
2012-03-06,12,12,12,12,12,100
2012-03-07,11.5,12.5,11.5,12.5,12.5,200
2012-03-08,12,12,12,12,12,300
2012-03-09,11.5,12.5,11.5,12.5,12.5,300
2012-03-12,12.5,12.5,11.5,12,12,900
2012-03-13,12.5,12.5,12.5,12.5,12.5,500
2012-03-14,12,12.5,11.5,11.5,11.5,1000
2012-03-15,11.5,12,11.5,12,12,1000
2012-03-16,13,13,11.5,11.5,11.5,1300
2012-03-19,11,11.5,11,11,11,100
2012-03-20,11.5,12,11,11,11,500
2012-03-21,11,11.5,10.5,11.5,11.5,300
2012-03-22,11.5,11.5,11.5,11.5,11.5,100
2012-03-23,12,14,12,12,12,800
2012-03-26,12.5,13,11.5,12.5,12.5,600
2012-03-27,13,13,12,12.5,12.5,2000
2012-03-28,12.5,12.5,12.5,12.5,12.5,2000
2012-03-29,11.5,12.5,11,12.5,12.5,700
2012-03-30,12.5,13,11,12.5,12.5,900
2012-04-02,12,12.5,11.5,11.5,11.5,200
2012-04-03,11.5,11.5,11,11,11,0
2012-04-04,11,12,11,11,11,100
2012-04-05,11,11,11,11,11,0
2012-04-09,11,11,10.5,11,11,400
2012-04-10,10.5,12,10.5,11,11,200
2012-04-11,11,11,11,11,11,0
2012-04-12,10.5,11.5,10.5,11,11,200
2012-04-13,11,11.5,11,11.5,11.5,0
2012-04-16,12,12,10.5,11,11,1000
2012-04-17,11,11,11,11,11,0
2012-04-18,11,11,11,11,11,0
2012-04-19,11,11.5,11,11,11,500
2012-04-20,11.5,12.5,11.5,12.5,12.5,1100
2012-04-23,11.5,12.5,10.5,11.5,11.5,900
2012-04-24,11.5,11.5,11,11,11,0
2012-04-25,11.5,12.5,11.5,11.5,11.5,200
2012-04-26,11.5,12,11,11,11,200
2012-04-27,11,12,11,11.5,11.5,0
2012-04-30,12,12.5,12,12.5,12.5,600
2012-05-01,12,12,11.5,11.5,11.5,600
2012-05-02,11.5,11.5,11.5,11.5,11.5,100
2012-05-03,12,12.5,11.5,12.5,12.5,700
2012-05-04,12.5,12.5,12,12,12,100
2012-05-07,12,12.5,12,12.5,12.5,100
2012-05-08,11.5,12.5,11.5,12.5,12.5,400
2012-05-09,12.5,12.5,12,12.5,12.5,100
2012-05-10,12,12.5,12,12,12,200
2012-05-11,11.5,12,11.5,12,12,200
2012-05-14,12,12.5,11,11,11,1200
2012-05-15,11.5,11.5,10,10,10,2100
2012-05-16,10.5,11,10,11,11,19200
2012-05-17,13,13,10,10,10,300
2012-05-18,9.5,10,9,9,9,37400
2012-05-21,11.5,11.5,9.5,10,10,900
2012-05-22,9.5,10.5,9.5,10,10,0
2012-05-23,10,10,9,9.5,9.5,5500
2012-05-24,10,10,9.5,10,10,0
2012-05-25,9.5,10,9,10,10,0
2012-05-29,10,10,10,10,10,0
2012-05-30,10,10,9,9,9,2100
2012-05-31,9.5,9.5,9,9,9,500
2012-06-01,9,9,8.5,8.5,8.5,900
2012-06-04,8.5,9,8,8.5,8.5,2400
2012-06-05,8.5,10,7.5,9,9,8400
2012-06-06,9,9,7.5,8,8,800
2012-06-07,8,8.5,7.5,7.5,7.5,4400
2012-06-08,7,8,7,7,7,400
2012-06-11,7.5,8.5,7.5,8.5,8.5,1100
2012-06-12,8.5,8.5,8.5,8.5,8.5,0
