Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,2.3,2.35,2.28,2.3,2.3,11400
2012-02-22,2.32,2.34,2.21,2.24,2.24,7600
2012-02-23,2.24,2.3,2.24,2.29,2.29,3600
2012-02-24,2.29,2.35,2.2,2.24,2.24,27100
2012-02-27,2.24,2.35,2.24,2.31,2.31,8600
2012-02-28,2.32,2.35,2.3,2.3,2.3,6400
2012-02-29,2.32,2.35,2.26,2.3,2.3,24500
2012-03-01,2.29,2.3,2.26,2.26,2.26,3400
2012-03-02,2.27,2.33,2.23,2.29,2.29,12900
2012-03-05,2.28,2.3,2.28,2.3,2.3,10500
2012-03-06,2.28,2.3,2.28,2.3,2.3,3500
2012-03-07,2.28,2.3,2.2,2.3,2.3,2400
2012-03-08,2.3,2.3,2.28,2.3,2.3,7100
2012-03-09,2.3,2.4,2.22,2.22,2.22,29500
2012-03-12,2.24,2.4,2.23,2.23,2.23,25900
2012-03-13,2.25,2.37,2.24,2.29,2.29,11300
2012-03-14,2.29,2.29,2.21,2.28,2.28,1200
2012-03-15,2.2,2.27,2.2,2.25,2.25,23100
2012-03-16,2.2,2.25,2.11,2.11,2.11,13100
2012-03-19,2.06,2.23,2.06,2.23,2.23,11800
2012-03-20,2.17,2.19,2.15,2.19,2.19,6700
2012-03-21,2.2,2.28,2.2,2.22,2.22,4100
2012-03-22,2.24,2.26,2.22,2.24,2.24,9300
2012-03-23,2.15,2.2,2.15,2.2,2.2,10700
2012-03-26,2.2,2.29,2.2,2.29,2.29,1100
2012-03-27,2.29,2.29,2.29,2.29,2.29,0
2012-03-28,2.26,2.29,2.14,2.24,2.24,23100
2012-03-29,2.22,2.28,2.15,2.28,2.28,10000
2012-03-30,2.23,2.25,2.16,2.2,2.2,46700
2012-04-02,2.17,2.2,2.17,2.19,2.19,11700
2012-04-03,2.18,2.18,2.12,2.16,2.16,22900
2012-04-04,2.17,2.17,2.1,2.14,2.14,4200
2012-04-05,2.13,2.13,2.07,2.12,2.12,5900
2012-04-09,2.1,2.1,2.08,2.1,2.1,3300
2012-04-10,2.1,2.1,2,2.09,2.09,9600
2012-04-11,2.09,2.09,2.07,2.08,2.08,31400
2012-04-12,2.08,2.1,2.06,2.06,2.06,7200
2012-04-13,2.08,2.1,2.08,2.1,2.1,200
2012-04-16,2.06,2.06,2,2.06,2.06,13200
2012-04-17,2.04,2.06,2,2,2,5100
2012-04-18,2,2,1.98,2,2,31100
2012-04-19,2,2.05,1.99,2.04,2.04,8800
2012-04-20,2.06,2.1,1.88,2,2,25300
2012-04-23,1.99,2,1.99,2,2,1400
2012-04-24,1.98,2.08,1.96,2.08,2.08,34900
2012-04-25,2.15,2.15,1.71,2.06,2.06,111500
2012-04-26,2.07,2.1,1.75,2.06,2.06,34400
2012-04-27,2.02,2.06,1.99,1.99,1.99,4300
2012-04-30,2.01,2.01,1.98,1.98,1.98,2300
2012-05-01,1.97,1.99,1.95,1.99,1.99,6500
2012-05-02,1.99,1.99,1.95,1.95,1.95,7100
2012-05-03,1.97,2,1.95,2,2,4000
2012-05-04,2,2,2,2,2,3000
2012-05-07,1.99,2,1.97,2,2,4600
2012-05-08,2.15,2.15,1.98,2,2,22700
2012-05-09,1.93,2.03,1.93,2,2,30600
2012-05-10,2.01,2.03,1.98,1.98,1.98,2400
2012-05-11,2.02,2.1,1.98,2,2,335700
2012-05-14,2.02,2.02,1.96,2,2,5500
2012-05-15,2,2,2,2,2,0
2012-05-16,1.97,2,1.9,1.95,1.95,17600
2012-05-17,1.98,2,1.91,1.91,1.91,17900
2012-05-18,1.93,1.99,1.73,1.82,1.82,97800
2012-05-21,1.8,1.83,1.79,1.81,1.81,67300
2012-05-22,1.81,1.84,1.81,1.84,1.84,29600
2012-05-23,1.84,1.84,1.79,1.8,1.8,17000
2012-05-24,1.82,1.84,1.8,1.84,1.84,8100
2012-05-25,1.8,1.84,1.79,1.84,1.84,3500
2012-05-29,1.84,1.85,1.8,1.83,1.83,9300
2012-05-30,1.81,1.85,1.73,1.75,1.75,100200
2012-05-31,1.76,1.8,1.76,1.77,1.77,62900
2012-06-01,1.77,1.79,1.76,1.78,1.78,11800
2012-06-04,1.78,1.8,1.74,1.8,1.8,43000
2012-06-05,1.77,1.86,1.77,1.86,1.86,45000
2012-06-06,1.86,1.89,1.83,1.85,1.85,103300
2012-06-07,1.87,1.89,1.83,1.84,1.84,36800
2012-06-08,1.82,1.86,1.81,1.85,1.85,6600
2012-06-11,1.85,1.85,1.69,1.75,1.75,64500
2012-06-12,1.74,1.77,1.62,1.66,1.66,52600
2012-06-13,1.64,1.7,1.56,1.68,1.68,192900
2012-06-14,1.7,1.72,1.7,1.7,1.7,26500
2012-06-15,1.7,1.74,1.7,1.73,1.73,8300
2012-06-18,1.73,1.77,1.72,1.77,1.77,18900
2012-06-19,1.75,1.83,1.75,1.78,1.78,57000
2012-06-20,1.78,1.79,1.74,1.75,1.75,5300
2012-06-21,1.78,1.83,1.75,1.75,1.75,6200
2012-06-22,1.79,1.85,1.68,1.68,1.68,10400
2012-06-25,1.75,1.8,1.75,1.75,1.75,4900
2012-06-26,1.77,1.8,1.67,1.76,1.76,26600
