Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,1.2,1.35,1.19,1.35,1.35,3900
2012-02-22,1.38,1.38,1.17,1.23,1.23,2300
2012-02-23,1.24,1.32,1.1,1.28,1.28,16500
2012-02-24,1.28,1.28,1.28,1.28,1.28,0
2012-02-27,1.17,1.26,1.16,1.26,1.26,1400
2012-02-28,1.27,1.27,1.27,1.27,1.27,300
2012-02-29,1.25,1.31,1.2,1.2,1.2,2100
2012-03-01,1.2,1.2,1.2,1.2,1.2,500
2012-03-02,1.18,1.23,1.18,1.23,1.23,2500
2012-03-05,1.21,1.21,1.12,1.18,1.18,7900
2012-03-06,1.18,1.18,1.01,1.07,1.07,16800
2012-03-07,1.15,1.3,1.15,1.27,1.27,17300
2012-03-08,1.28,1.4,1.28,1.33,1.33,8000
2012-03-09,1.4,1.4,1.38,1.38,1.38,6400
2012-03-12,1.34,1.34,1.26,1.29,1.29,2800
2012-03-13,1.29,1.29,1.29,1.29,1.29,0
2012-03-14,1.29,1.31,1.29,1.31,1.31,300
2012-03-15,1.31,1.31,1.31,1.31,1.31,300
2012-03-16,1.22,1.24,1.16,1.16,1.16,2500
2012-03-19,1.15,1.16,1.15,1.16,1.16,3600
2012-03-20,1.11,1.2,1.11,1.2,1.2,5300
2012-03-21,1.17,1.17,1.15,1.17,1.17,1300
2012-03-22,1.16,1.16,1.12,1.12,1.12,1000
2012-03-23,1.15,1.15,1.15,1.15,1.15,400
2012-03-26,1.17,1.18,1.15,1.15,1.15,1200
2012-03-27,1.21,1.4,1.21,1.3,1.3,7600
2012-03-28,1.25,1.3,1.25,1.3,1.3,700
2012-03-29,1.18,1.25,1.12,1.24,1.24,2900
2012-03-30,1.28,1.43,1.26,1.35,1.35,22400
2012-04-02,1.3,1.3,1.23,1.23,1.23,1000
2012-04-03,1.17,1.28,1.15,1.28,1.28,1200
2012-04-04,1.28,1.28,1.28,1.28,1.28,0
2012-04-05,1.15,1.25,1.11,1.13,1.13,14500
2012-04-09,1.15,1.16,1.14,1.16,1.16,9600
2012-04-10,1.13,1.13,1.1,1.12,1.12,2100
2012-04-11,1.12,1.12,1.12,1.12,1.12,900
2012-04-12,1.15,1.15,1.14,1.15,1.15,5800
2012-04-13,1.15,1.15,1.15,1.15,1.15,0
2012-04-16,1.13,1.15,1.12,1.15,1.15,1400
2012-04-17,1.11,1.15,1.11,1.15,1.15,6900
2012-04-18,1.15,1.15,1.15,1.15,1.15,2100
2012-04-19,1.15,1.15,1.15,1.15,1.15,0
2012-04-20,1.14,1.14,1.1,1.11,1.11,8400
2012-04-23,1.11,1.13,1.11,1.13,1.13,1100
2012-04-24,1.1,1.1,1.1,1.1,1.1,43200
2012-04-25,1.1,1.6,1.1,1.12,1.12,71400
2012-04-26,1.14,1.28,1.14,1.21,1.21,8600
2012-04-27,1.21,1.21,1.21,1.21,1.21,400
2012-04-30,1.24,1.3,1.21,1.26,1.26,8400
2012-05-01,1.21,1.21,1.15,1.15,1.15,5900
2012-05-02,1.13,1.14,1.12,1.13,1.13,4900
2012-05-03,1.2,1.2,1.17,1.17,1.17,600
2012-05-04,1.1,1.11,1.01,1.11,1.11,4100
2012-05-07,1.11,1.11,1.11,1.11,1.11,0
2012-05-08,1.09,1.09,1.09,1.09,1.09,100
2012-05-09,1.09,1.13,1.04,1.13,1.13,12900
2012-05-10,1.11,1.11,1.08,1.1,1.1,1300
