Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,1.32,1.33,1.25,1.29,1.29,321800
2012-02-22,1.28,1.3,1.25,1.25,1.25,373400
2012-02-23,1.25,1.31,1.23,1.31,1.31,430900
2012-02-24,1.31,1.31,1.22,1.24,1.24,565700
2012-02-27,1.26,1.27,1.24,1.25,1.25,276400
2012-02-28,1.24,1.27,1.21,1.22,1.22,226500
2012-02-29,1.22,1.26,1.16,1.16,1.16,487200
2012-03-01,1.19,1.23,1.19,1.19,1.19,241600
2012-03-02,1.18,1.21,1.13,1.14,1.14,655700
2012-03-05,1.15,1.16,1.13,1.13,1.13,183000
2012-03-06,1.15,1.15,1.1,1.1,1.1,427400
2012-03-07,1.11,1.15,1.1,1.14,1.14,355900
2012-03-08,1.15,1.18,1.12,1.16,1.16,254600
2012-03-09,1.15,1.2,1.14,1.19,1.19,310100
2012-03-12,1.22,1.22,1.16,1.16,1.16,133100
2012-03-13,1.18,1.22,1.17,1.22,1.22,515600
2012-03-14,1.22,1.27,1.21,1.23,1.23,393300
2012-03-15,1.23,1.31,1.22,1.24,1.24,713100
2012-03-16,1.25,1.25,1.19,1.2,1.2,499000
2012-03-19,1.19,1.23,1.15,1.23,1.23,323800
2012-03-20,1.22,1.22,1.15,1.18,1.18,200300
2012-03-21,1.19,1.25,1.19,1.23,1.23,200100
2012-03-22,1.21,1.21,1.18,1.18,1.18,203900
2012-03-23,1.19,1.23,1.18,1.23,1.23,125000
2012-03-26,1.23,1.24,1.21,1.24,1.24,215000
2012-03-27,1.24,1.26,1.2,1.25,1.25,383700
2012-03-28,1.25,1.26,1.22,1.25,1.25,572200
2012-03-29,1.23,1.24,1.21,1.23,1.23,135200
2012-03-30,1.22,1.24,1.21,1.22,1.22,218000
2012-04-02,1.2,1.24,1.2,1.21,1.21,297300
2012-04-03,1.2,1.21,1.15,1.15,1.15,280100
2012-04-04,1.14,1.19,1.14,1.14,1.14,311300
2012-04-05,1.14,1.18,1.14,1.17,1.17,136200
2012-04-09,1.14,1.16,1.12,1.12,1.12,248500
2012-04-10,1.11,1.15,1.11,1.12,1.12,477800
2012-04-11,1.13,1.14,1.12,1.13,1.13,154000
2012-04-12,1.13,1.17,1.11,1.16,1.16,218100
2012-04-13,1.15,1.15,1.1,1.1,1.1,157600
2012-04-16,1.09,1.11,1.05,1.09,1.09,423000
2012-04-17,1.11,1.15,1.1,1.14,1.14,193200
2012-04-18,1.13,1.13,1.08,1.09,1.09,181200
2012-04-19,1.09,1.1,1.03,1.03,1.03,309900
2012-04-20,1.09,1.09,1.03,1.04,1.04,262500
2012-04-23,1.02,1.06,1,1.01,1.01,396100
2012-04-24,1.02,1.03,1,1.02,1.02,125800
2012-04-25,1.03,1.03,0.96,1.03,1.03,306100
2012-04-26,1.13,1.13,1.01,1.07,1.07,345200
2012-04-27,1.08,1.08,1.06,1.08,1.08,136300
2012-04-30,1.07,1.1,1.05,1.09,1.09,355100
2012-05-01,1.08,1.17,1.07,1.1,1.1,485700
2012-05-02,1.1,1.14,1.1,1.14,1.14,204800
2012-05-03,1.13,1.14,1.07,1.08,1.08,272300
2012-05-04,1.06,1.09,1.04,1.05,1.05,279300
2012-05-07,1.05,1.08,1.04,1.06,1.06,492200
2012-05-08,1.05,1.09,1.02,1.05,1.05,825600
2012-05-09,1.04,1.08,1.03,1.06,1.06,410000
2012-05-10,1.07,1.08,1.04,1.06,1.06,386000
2012-05-11,1.04,1.06,1.03,1.05,1.05,296000
2012-05-14,1,1.05,1,1.02,1.02,1061200
2012-05-15,1.02,1.04,0.99,1,1,341200
2012-05-16,1,1,0.9,0.9,0.9,639200
2012-05-17,0.9,0.94,0.86,0.88,0.88,352000
2012-05-18,0.87,0.92,0.87,0.89,0.89,441000
2012-05-21,0.89,1.08,0.88,1,1,330200
2012-05-22,0.93,0.96,0.9,0.92,0.92,419800
2012-05-23,0.9,0.92,0.89,0.91,0.91,271200
2012-05-24,0.92,0.93,0.89,0.91,0.91,163000
2012-05-25,0.91,0.93,0.89,0.92,0.92,257500
2012-05-29,0.96,0.96,0.89,0.93,0.93,220400
2012-05-30,0.92,0.93,0.89,0.91,0.91,256200
2012-05-31,0.91,0.91,0.88,0.89,0.89,248700
2012-06-01,0.87,0.89,0.86,0.87,0.87,276600
2012-06-04,0.88,0.92,0.87,0.89,0.89,215600
2012-06-05,0.88,0.9,0.87,0.89,0.89,176300
2012-06-06,0.9,0.91,0.88,0.9,0.9,198400
2012-06-07,0.91,0.91,0.87,0.87,0.87,232000
2012-06-08,0.87,0.88,0.83,0.86,0.86,279700
2012-06-11,0.87,0.87,0.78,0.78,0.78,806600
2012-06-12,0.79,0.83,0.79,0.83,0.83,292000
2012-06-13,0.83,0.83,0.78,0.79,0.79,195000
2012-06-14,0.79,0.82,0.77,0.81,0.81,304500
2012-06-15,0.83,0.83,0.8,0.83,0.83,354700
2012-06-18,0.82,0.85,0.81,0.83,0.83,330700
2012-06-19,0.84,0.88,0.83,0.87,0.87,593500
2012-06-20,0.87,0.87,0.81,0.86,0.86,305500
2012-06-21,0.86,0.86,0.82,0.83,0.83,420000
2012-06-22,0.84,0.85,0.76,0.76,0.76,11425400
2012-06-25,0.77,0.79,0.74,0.75,0.75,463100
2012-06-26,0.75,0.78,0.75,0.75,0.75,246500
2012-06-27,0.75,0.76,0.72,0.72,0.72,335100
2012-06-28,0.73,0.75,0.72,0.72,0.72,187700
2012-06-29,0.73,0.76,0.73,0.73,0.73,159000
2012-07-02,0.73,0.76,0.73,0.75,0.75,84900
2012-07-03,0.75,0.8,0.75,0.78,0.78,145600
2012-07-05,0.79,0.8,0.78,0.78,0.78,173200
2012-07-06,0.78,0.79,0.75,0.75,0.75,140700
2012-07-09,0.79,0.79,0.73,0.73,0.73,563600
2012-07-10,0.74,0.75,0.71,0.71,0.71,450400
2012-07-11,0.7,0.76,0.69,0.72,0.72,540500
2012-07-12,0.71,0.74,0.69,0.72,0.72,108300
2012-07-13,0.72,0.74,0.72,0.72,0.72,187800
2012-07-16,0.73,0.73,0.7,0.7,0.7,130100
2012-07-17,0.73,0.73,0.7,0.7,0.7,192000
2012-07-18,0.7,0.72,0.66,0.67,0.67,423700
2012-07-19,0.66,0.7,0.66,0.67,0.67,682700
2012-07-20,0.68,0.68,0.64,0.68,0.68,558300
2012-07-23,0.65,0.68,0.63,0.68,0.68,466900
2012-07-24,0.68,0.68,0.66,0.68,0.68,170700
2012-07-25,0.68,0.74,0.65,0.74,0.74,826600
2012-07-26,0.72,0.8,0.7,0.8,0.8,1196000
2012-07-27,0.79,0.79,0.77,0.79,0.79,275800
2012-07-30,0.79,0.85,0.79,0.85,0.85,533400
2012-07-31,0.87,0.95,0.84,0.95,0.95,855600
2012-08-01,0.91,0.94,0.85,0.85,0.85,380700
2012-08-02,0.83,0.86,0.83,0.86,0.86,152800
2012-08-03,0.86,0.9,0.85,0.9,0.9,259800
2012-08-06,0.9,0.92,0.89,0.91,0.91,77400
2012-08-07,0.91,0.95,0.89,0.95,0.95,127400
2012-08-08,0.93,0.95,0.92,0.93,0.93,179600
2012-08-09,0.92,0.95,0.91,0.92,0.92,389100
2012-08-10,0.94,0.94,0.9,0.94,0.94,89800
2012-08-13,0.94,1.02,0.92,0.94,0.94,135100
2012-08-14,0.92,0.94,0.89,0.94,0.94,84300
2012-08-15,0.93,0.97,0.91,0.96,0.96,243300
2012-08-16,0.97,1.03,0.94,1.02,1.02,758400
2012-08-17,1.02,1.23,1.02,1.15,1.15,1049100
2012-08-20,1.2,1.23,1.12,1.16,1.16,1324700
2012-08-21,1.14,1.18,0.93,1.06,1.06,679200
2012-08-22,1.05,1.09,1.03,1.09,1.09,318000
2012-08-23,1.09,1.09,1.04,1.05,1.05,322100
2012-08-24,1.05,1.07,1.04,1.07,1.07,263600
2012-08-27,1.05,1.07,1.03,1.03,1.03,164800
2012-08-28,1.02,1.05,1.02,1.04,1.04,149500
2012-08-29,1.05,1.07,1.02,1.06,1.06,329900
2012-08-30,1.04,1.04,0.98,1,1,272900
2012-08-31,1.01,1.01,0.99,1.01,1.01,72500
2012-09-04,0.97,1.02,0.97,1.01,1.01,184800
2012-09-05,1,1.02,0.99,1,1,299400
2012-09-06,0.99,0.99,0.97,0.99,0.99,177400
2012-09-07,0.97,0.99,0.95,0.99,0.99,177100
2012-09-10,1,1.01,0.96,0.99,0.99,101800
2012-09-11,0.99,1.01,0.97,0.99,0.99,99900
2012-09-12,0.98,1,0.98,1,1,61200
2012-09-13,1.01,1.02,0.98,1.02,1.02,122800
2012-09-14,1,1.03,0.98,1,1,523500
2012-09-17,0.98,1,0.98,1,1,237700
2012-09-18,0.99,1.05,0.98,1.04,1.04,537700
2012-09-19,1.04,1.04,1.01,1.01,1.01,335400
2012-09-20,1.01,1.02,0.95,0.95,0.95,386200
2012-09-21,0.97,1.02,0.96,1,1,701700
2012-09-24,0.99,1.04,0.99,1,1,808500
2012-09-25,1.02,1.05,0.99,1,1,346600
2012-09-26,1.02,1.02,0.97,0.98,0.98,213400
2012-09-27,0.98,1,0.97,0.97,0.97,138800
2012-09-28,0.96,0.99,0.96,0.99,0.99,40900
2012-10-01,0.99,1.03,0.95,0.97,0.97,306800
2012-10-02,0.96,0.98,0.95,0.95,0.95,86700
2012-10-03,0.98,0.99,0.96,0.99,0.99,81700
2012-10-04,0.98,0.98,0.95,0.95,0.95,87800
2012-10-05,0.95,1.06,0.95,1.01,1.01,615500
2012-10-08,1.02,1.08,1.02,1.05,1.05,364700
2012-10-09,1.05,1.07,1.01,1.01,1.01,230900
2012-10-10,1.01,1.02,1,1.01,1.01,135000
2012-10-11,0.99,1.03,0.99,1.01,1.01,170400
2012-10-12,1.01,1.03,1,1,1,123300
2012-10-15,1.01,1.01,0.97,0.98,0.98,238400
2012-10-16,0.98,1,0.98,0.98,0.98,356500
2012-10-17,0.98,1,0.95,0.97,0.97,216200
2012-10-18,0.97,0.98,0.95,0.95,0.95,127800
2012-10-19,0.95,0.95,0.91,0.93,0.93,279700
2012-10-22,0.92,0.92,0.84,0.9,0.9,407100
2012-10-23,0.9,0.9,0.85,0.88,0.88,305600
2012-10-24,0.88,0.89,0.86,0.87,0.87,136900
2012-10-25,0.88,0.88,0.86,0.87,0.87,214700
2012-10-26,0.87,0.9,0.86,0.9,0.9,55100
2012-10-31,0.88,0.91,0.85,0.91,0.91,248200
