Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,5.46,5.46,5.46,5.46,5.46,500
2012-02-22,5.36,5.4,5.32,5.32,5.32,3000
2012-02-23,5.38,5.74,5.38,5.74,5.74,2600
2012-02-24,5.54,5.79,5.5,5.79,5.79,5200
2012-02-27,5.75,5.75,5.41,5.62,5.62,9700
2012-02-28,5.7,5.7,5.36,5.38,5.38,5100
2012-02-29,5.36,5.77,5.36,5.6,5.6,10100
2012-03-01,5.51,5.51,5.45,5.45,5.45,800
2012-03-02,5.47,5.47,5.36,5.36,5.36,4500
2012-03-05,5.42,5.42,5.4,5.4,5.4,1300
2012-03-06,5.4,5.4,5.38,5.38,5.38,400
2012-03-07,5.4,5.51,5.4,5.51,5.51,2000
2012-03-08,5.48,5.48,5.48,5.48,5.48,100
2012-03-09,5.5,5.5,5.5,5.5,5.5,1100
2012-03-12,5.5,5.5,5.5,5.5,5.5,0
2012-03-13,5.48,5.48,5.39,5.4,5.4,900
2012-03-14,5.34,5.45,5.34,5.37,5.37,1700
2012-03-15,5.36,5.38,5.36,5.36,5.36,1200
2012-03-16,5.4,5.5,5.4,5.5,5.5,6200
2012-03-19,5.52,5.52,5.35,5.35,5.35,1800
2012-03-20,5.36,5.36,5.33,5.34,5.34,2000
2012-03-21,5.35,5.35,5.35,5.35,5.35,600
2012-03-22,5.35,5.35,5.3,5.3,5.3,2300
2012-03-23,5.31,5.32,5.3,5.31,5.31,1600
2012-03-26,5.34,5.55,5.31,5.53,5.53,21600
2012-03-27,5.53,5.53,5.53,5.53,5.53,0
2012-03-28,5.42,5.68,5.41,5.42,5.42,1700
2012-03-29,5.48,5.48,5.38,5.38,5.38,2100
2012-03-30,5.4,5.4,5.38,5.38,5.38,1500
2012-04-02,5.35,5.5,5.35,5.4,5.4,2700
2012-04-03,5.4,5.4,5.35,5.38,5.38,4800
2012-04-04,5.38,5.38,5.35,5.35,5.35,1500
2012-04-05,5.37,5.37,5.37,5.37,5.37,2000
2012-04-09,5.35,5.39,5.35,5.35,5.35,1800
2012-04-10,5.38,5.38,5.38,5.38,5.38,300
2012-04-11,5.37,5.5,5.35,5.35,5.35,2400
2012-04-12,5.36,5.36,5.35,5.35,5.35,1800
2012-04-13,5.35,5.35,5.35,5.35,5.35,1000
2012-04-16,5.36,5.36,5.36,5.36,5.36,1000
2012-04-17,5.48,5.64,5.37,5.37,5.37,3000
2012-04-18,5.36,5.41,5.36,5.41,5.41,3600
2012-04-19,5.37,5.51,5.36,5.36,5.36,16500
2012-04-20,5.36,5.36,5.36,5.36,5.36,0
2012-04-23,5.36,5.36,5.36,5.36,5.36,0
2012-04-24,5.49,5.51,5.33,5.5,5.5,3200
2012-04-25,5.34,5.5,5.1,5.5,5.5,4500
2012-04-26,5.46,5.46,5.46,5.46,5.46,200
2012-04-27,5.46,5.46,5.46,5.46,5.46,0
2012-04-30,5.45,5.45,5.45,5.45,5.45,100
2012-05-01,5.23,5.28,5.23,5.23,5.23,500
2012-05-02,5.36,5.36,5.13,5.13,5.13,2300
2012-05-03,5.3,5.3,5.2,5.3,5.3,3000
2012-05-04,5.44,5.44,5.44,5.44,5.44,200
2012-05-07,5.44,5.44,5.44,5.44,5.44,0
2012-05-08,5.22,5.22,5.21,5.21,5.21,700
2012-05-09,5.21,5.21,5.21,5.21,5.21,0
2012-05-10,5.26,5.35,5.2,5.2,5.2,1900
2012-05-11,5.15,5.31,5.15,5.31,5.31,1200
2012-05-14,5.24,5.25,5.15,5.15,5.15,300
2012-05-15,5.26,5.27,5.26,5.27,5.27,400
2012-05-16,5.15,5.44,5,5,5,3700
2012-05-17,5.12,5.25,5.1,5.25,5.25,2500
2012-05-18,5,5.26,4.93,5.26,5.26,1100
2012-05-21,5.28,5.28,5.15,5.15,5.15,1100
2012-05-22,5.15,5.15,5.15,5.15,5.15,0
2012-05-23,5.15,5.15,5.15,5.15,5.15,0
2012-05-24,5,5.24,4.97,5,5,3100
2012-05-25,5,5.24,5,5.23,5.23,2900
2012-05-29,5.24,5.24,5.05,5.05,5.05,400
2012-05-30,5.12,5.12,5.1,5.1,5.1,800
2012-05-31,5.1,5.39,5.02,5.02,5.02,8200
2012-06-01,5.17,5.17,5,5.09,5.09,900
2012-06-04,4.94,5.15,4.91,4.97,4.97,3800
2012-06-05,5,5.16,4.97,5.03,5.03,1200
2012-06-06,5,5,5,5,5,700
2012-06-07,5,5,4.97,4.99,4.99,800
2012-06-08,4.91,5,4.91,5,5,1800
2012-06-11,4.95,4.99,4.95,4.95,4.95,1200
2012-06-12,4.95,4.95,4.95,4.95,4.95,0
2012-06-13,4.96,4.96,4.95,4.96,4.96,1100
2012-06-14,4.9,5.09,4.9,5.09,5.09,600
2012-06-15,4.78,5.09,4.78,5.05,5.05,900
2012-06-18,4.9,5.08,4.7,5.08,5.08,1900
2012-06-19,5.01,5.05,5.01,5.05,5.05,800
2012-06-20,4.82,4.83,4.81,4.83,4.83,1100
2012-06-21,4.82,4.82,4.82,4.82,4.82,500
2012-06-22,4.8,4.89,4.8,4.89,4.89,800
2012-06-25,4.9,4.93,4.65,4.9,4.9,3100
2012-06-26,4.88,4.9,4.8,4.8,4.8,400
2012-06-27,4.8,4.8,4.8,4.8,4.8,0
2012-06-28,4.8,4.8,4.8,4.8,4.8,1000
2012-06-29,4.77,5.1,4.77,5.09,5.09,1400
2012-07-02,4.93,4.98,4.91,4.92,4.92,2300
2012-07-03,4.86,4.86,4.86,4.86,4.86,500
2012-07-05,4.92,4.92,4.91,4.91,4.91,1500
2012-07-06,4.96,4.96,4.91,4.91,4.91,1700
2012-07-09,4.91,5,4.91,5,5,2500
2012-07-10,4.93,5.01,4.91,5.01,5.01,5500
2012-07-11,4.95,4.95,4.93,4.93,4.93,1600
2012-07-12,4.92,4.92,4.92,4.92,4.92,1300
2012-07-13,4.97,4.97,4.94,4.95,4.95,5800
2012-07-16,4.97,4.98,4.93,4.93,4.93,2200
2012-07-17,4.91,4.91,4.9,4.9,4.9,5100
2012-07-18,4.9,4.91,4.87,4.87,4.87,3700
2012-07-19,4.86,4.9,4.84,4.89,4.89,5900
2012-07-20,4.9,4.9,4.9,4.9,4.9,1400
2012-07-23,4.9,4.9,4.9,4.9,4.9,0
2012-07-24,4.9,4.9,4.9,4.9,4.9,1500
2012-07-25,4.89,4.9,4.88,4.9,4.9,15700
2012-07-26,4.89,4.9,4.89,4.9,4.9,600
2012-07-27,4.92,5.05,4.87,4.95,4.95,1800
2012-07-30,4.89,4.89,4.89,4.89,4.89,200
2012-07-31,4.89,4.89,4.89,4.89,4.89,0
2012-08-01,4.89,4.89,4.89,4.89,4.89,0
2012-08-02,4.92,4.92,4.92,4.92,4.92,400
2012-08-03,4.81,4.83,4.8,4.81,4.81,1500
2012-08-06,4.82,4.82,4.82,4.82,4.82,200
2012-08-07,4.82,4.82,4.82,4.82,4.82,0
2012-08-08,4.8,4.8,4.8,4.8,4.8,200
2012-08-09,4.85,4.85,4.85,4.85,4.85,1600
2012-08-10,4.85,4.85,4.64,4.65,4.65,4100
2012-08-13,4.63,4.75,4.63,4.74,4.74,2700
2012-08-14,4.65,4.68,4.6,4.63,4.63,2400
2012-08-15,4.63,4.63,4.63,4.63,4.63,300
2012-08-16,4.56,4.68,4.56,4.57,4.57,1600
2012-08-17,4.58,4.69,4.5,4.69,4.69,2100
2012-08-20,4.54,4.54,4.44,4.48,4.48,7700
2012-08-21,4.4,4.41,4.21,4.41,4.41,18300
2012-08-22,4.33,4.36,4.25,4.35,4.35,2800
2012-08-23,4.35,4.35,4.35,4.35,4.35,0
2012-08-24,4.28,4.35,4.25,4.35,4.35,8400
2012-08-27,4.4,4.49,4.4,4.49,4.49,1400
2012-08-28,4.47,4.5,4.45,4.45,4.45,6800
2012-08-29,4.45,4.45,4.2,4.41,4.41,7400
2012-08-30,4.26,4.32,4.25,4.32,4.32,2200
2012-08-31,4.29,4.29,4.29,4.29,4.29,300
2012-09-04,4.29,4.29,4.29,4.29,4.29,0
2012-09-05,4.27,4.27,4.26,4.26,4.26,900
2012-09-06,4.25,4.33,4.21,4.33,4.33,4100
2012-09-07,4.35,4.45,4.35,4.44,4.44,2700
2012-09-10,4.42,4.49,4.21,4.44,4.44,11000
2012-09-11,4.44,4.44,4.44,4.44,4.44,0
2012-09-12,4.42,4.44,4.42,4.44,4.44,200
2012-09-13,4.42,4.43,4.42,4.42,4.42,5200
2012-09-14,4.36,4.36,4.36,4.36,4.36,100
2012-09-17,4.25,4.28,4.25,4.28,4.28,1200
2012-09-18,4.28,4.28,4.23,4.23,4.23,1100
2012-09-19,4.2,4.25,4.2,4.25,4.25,1500
2012-09-20,4.24,4.24,4.11,4.11,4.11,4000
2012-09-21,4.2,4.31,4.15,4.3,4.3,8600
2012-09-24,4.3,4.3,4.16,4.27,4.27,14700
2012-09-25,4.25,4.25,4.25,4.25,4.25,300
2012-09-26,4.27,4.44,4.23,4.44,4.44,7100
2012-09-27,4.4,4.43,4.35,4.43,4.43,3400
2012-09-28,4.4,4.4,4.38,4.4,4.4,1300
2012-10-01,4.4,4.41,4.39,4.4,4.4,2900
2012-10-02,4.43,4.44,4.41,4.42,4.42,1300
2012-10-03,4.44,4.5,4.41,4.44,4.44,15000
2012-10-04,4.41,4.45,4.4,4.4,4.4,3000
2012-10-05,4.45,4.5,4.43,4.48,4.48,5300
2012-10-08,4.49,4.5,4.49,4.5,4.5,1200
2012-10-09,4.45,4.46,4.4,4.4,4.4,500
2012-10-10,4.5,4.5,4.4,4.5,4.5,1000
2012-10-11,4.49,4.49,4.49,4.49,4.49,200
2012-10-12,4.36,4.36,4.35,4.35,4.35,500
2012-10-15,4.35,4.35,4.24,4.24,4.24,1700
2012-10-16,4.39,4.4,4.21,4.38,4.38,1600
2012-10-17,4.38,4.38,4.38,4.38,4.38,0
2012-10-18,4.38,4.38,4.38,4.38,4.38,0
2012-10-19,4.38,4.38,4.38,4.38,4.38,0
2012-10-22,4.39,4.39,4.28,4.34,4.34,1500
2012-10-23,4.34,4.34,4.34,4.34,4.34,0
2012-10-24,4.35,4.35,4.35,4.35,4.35,8500
2012-10-25,4.4,4.4,4.35,4.35,4.35,3800
2012-10-26,4.35,4.35,4.35,4.35,4.35,0
2012-10-31,4.35,4.35,4.35,4.35,4.35,0
2012-11-01,4.35,4.35,4.35,4.35,4.35,1700
2012-11-02,4.35,4.35,4.35,4.35,4.35,0
2012-11-05,4.37,4.38,4.37,4.38,4.38,400
2012-11-06,4.38,4.4,4.38,4.38,4.38,8400
2012-11-07,4.38,4.38,4.38,4.38,4.38,100
2012-11-08,4.38,4.38,4.38,4.38,4.38,0
2012-11-09,4.25,4.25,4.23,4.23,4.23,1000
2012-11-12,4.23,4.23,4.23,4.23,4.23,0
2012-11-13,4.38,4.38,4.29,4.29,4.29,1800
2012-11-14,4.25,4.25,4.19,4.19,4.19,300
2012-11-15,4.21,4.21,4.21,4.21,4.21,200
2012-11-16,4.21,4.29,4.21,4.29,4.29,1200
2012-11-19,4.29,4.29,4.29,4.29,4.29,900
2012-11-20,4.3,4.31,4.3,4.3,4.3,5000
2012-11-21,4.29,4.29,4.29,4.29,4.29,200
2012-11-23,4.29,4.29,4.29,4.29,4.29,0
2012-11-26,4.2,4.21,4.12,4.2,4.2,4600
2012-11-27,4.14,4.16,3.93,4.12,4.12,3300
2012-11-28,4.1,4.1,4.04,4.04,4.04,5400
2012-11-29,4.01,4.05,4,4.03,4.03,4000
2012-11-30,4,4,4,4,4,200
2012-12-03,4,4,4,4,4,0
2012-12-04,4,4,4,4,4,0
2012-12-05,4.1,4.1,4,4,4,4200
2012-12-06,4.04,4.04,4.02,4.02,4.02,2000
2012-12-07,4.04,4.04,4.04,4.04,4.04,200
2012-12-10,4.2,4.2,4.04,4.17,4.17,500
2012-12-11,4.03,4.05,4.01,4.05,4.05,4200
2012-12-12,4.2,4.2,4.2,4.2,4.2,500
2012-12-13,4.12,4.12,4.12,4.12,4.12,500
2012-12-14,4.15,4.15,4.15,4.15,4.15,400
2012-12-17,4.2,4.25,4.13,4.15,4.15,4800
2012-12-18,4.2,4.2,4.2,4.2,4.2,400
2012-12-19,4.2,4.32,4.2,4.32,4.32,2700
2012-12-20,4.3,4.3,4.18,4.2,4.2,2300
2012-12-21,4.29,4.3,4.18,4.3,4.3,16900
2012-12-24,4.2,4.3,4.2,4.2,4.2,800
2012-12-26,4.3,4.3,4.25,4.3,4.3,1500
2012-12-27,4.25,4.25,4.2,4.2,4.2,400
2012-12-28,4.2,4.4,4.17,4.23,4.23,8000
2012-12-31,4.31,4.35,4.23,4.35,4.35,1200
2013-01-02,4.34,4.35,4.33,4.35,4.35,3600
2013-01-03,4.3,4.4,4.3,4.31,4.31,5500
2013-01-04,4.31,4.31,4.31,4.31,4.31,300
2013-01-07,4.32,4.4,4.31,4.4,4.4,7800
2013-01-08,4.39,4.39,4.33,4.33,4.33,3400
2013-01-09,4.39,4.39,4.33,4.39,4.39,1900
2013-01-10,4.41,4.41,4.3,4.32,4.32,11800
2013-01-11,4.31,4.4,4.3,4.34,4.34,7200
2013-01-14,4.38,4.4,4.35,4.38,4.38,2300
2013-01-15,4.39,4.5,4.37,4.44,4.44,3700
2013-01-16,4.4,4.45,4.4,4.45,4.45,200
2013-01-17,4.43,4.43,4.25,4.25,4.25,19500
2013-01-18,4.49,4.56,4.35,4.35,4.35,29400
2013-01-22,4.41,4.41,4.33,4.4,4.4,6900
2013-01-23,4.36,4.39,4.33,4.39,4.39,1000
2013-01-24,4.33,4.4,4.26,4.26,4.26,10500
2013-01-25,4.29,4.29,4.27,4.27,4.27,400
2013-01-28,4.26,4.33,4.18,4.22,4.22,10400
2013-01-29,4.26,4.35,4.1,4.32,4.32,15900
2013-01-30,4.3,4.3,4.3,4.3,4.3,500
2013-01-31,4.2,4.34,4.01,4.07,4.07,7700
2013-02-01,4.07,4.26,4.07,4.26,4.26,1100
2013-02-04,4.12,4.33,4.12,4.26,4.26,1200
2013-02-05,4.25,4.33,4.25,4.33,4.33,200
2013-02-06,4.14,4.28,4.01,4.26,4.26,9500
2013-02-07,4.11,4.12,4.1,4.12,4.12,1200
2013-02-08,4.29,4.3,4.21,4.29,4.29,2700
2013-02-11,4.34,4.34,4.3,4.34,4.34,1300
2013-02-12,4.35,4.35,4.16,4.33,4.33,1500
2013-02-13,4.4,4.9,4.4,4.6,4.6,35500
2013-02-14,4.61,4.61,4.52,4.52,4.52,23800
2013-02-15,4.45,4.45,4.24,4.28,4.28,6400
2013-02-19,4.31,4.35,4.31,4.32,4.32,5800
2013-02-20,4.33,4.4,4.32,4.4,4.4,4800
2013-02-21,4.34,4.39,4.17,4.24,4.24,2900
2013-02-22,4.39,4.4,4.39,4.4,4.4,300
2013-02-25,4.25,4.27,4.22,4.25,4.25,4700
2013-02-26,4.22,4.38,4.19,4.36,4.36,1300
2013-02-27,4.36,4.36,4.2,4.2,4.2,500
2013-02-28,4.2,4.2,4.2,4.2,4.2,0
2013-03-01,4.21,4.38,4.21,4.38,4.38,600
2013-03-04,4.22,4.39,4.22,4.3,4.3,900
2013-03-05,4.2,4.4,4.17,4.4,4.4,1000
2013-03-06,4.35,4.35,4.34,4.35,4.35,2600
2013-03-07,4.19,4.29,4.19,4.25,4.25,2800
2013-03-08,4.31,4.31,4.3,4.3,4.3,600
2013-03-11,4.27,4.34,4.27,4.32,4.32,2200
2013-03-12,4.32,4.35,4.32,4.35,4.35,300
2013-03-13,4.22,4.29,4.2,4.29,4.29,3100
2013-03-14,4.26,4.26,4.21,4.25,4.25,2400
2013-03-15,4.3,4.35,4.3,4.32,4.32,6300
2013-03-18,4.34,4.35,4.21,4.21,4.21,4600
2013-03-19,4.21,4.32,4.2,4.3,4.3,2400
2013-03-20,4.35,4.35,4.27,4.27,4.27,2000
2013-03-21,4.27,4.27,4.27,4.27,4.27,0
2013-03-22,4.26,4.26,4.22,4.22,4.22,600
2013-03-25,4.21,4.3,4.21,4.28,4.28,5100
2013-03-26,4.33,4.35,4.3,4.3,4.3,5000
2013-03-27,4.31,4.35,4.23,4.34,4.34,7800
2013-03-28,4.31,4.35,4.3,4.35,4.35,5300
2013-04-01,4.35,4.35,4.3,4.3,4.3,7000
2013-04-02,4.26,4.26,4.26,4.26,4.26,200
2013-04-03,4.26,4.35,4.23,4.35,4.35,10300
2013-04-04,4.27,4.27,4.15,4.18,4.18,1300
2013-04-05,4.13,4.34,4.13,4.34,4.34,200
2013-04-08,4.34,4.34,4.34,4.34,4.34,0
2013-04-09,4.26,4.26,4.26,4.26,4.26,300
2013-04-10,4.31,4.33,4.15,4.33,4.33,5200
2013-04-11,4.32,4.33,4.32,4.33,4.33,200
2013-04-12,4.35,4.36,4.3,4.3,4.3,8200
2013-04-15,4.31,4.33,4.27,4.31,4.31,4300
2013-04-16,4.32,4.32,4.25,4.27,4.27,3600
2013-04-17,4.33,4.35,4.33,4.35,4.35,200
2013-04-18,4.3,4.32,4.3,4.32,4.32,1000
2013-04-19,4.33,4.35,4.33,4.35,4.35,2000
2013-04-22,4.33,4.67,4.33,4.55,4.55,15000
