Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,3.51,3.7,3.51,3.7,3.7,659200
2012-02-22,3.66,3.84,3.61,3.74,3.74,543900
2012-02-23,3.78,3.92,3.71,3.92,3.92,777500
2012-02-24,3.94,3.95,3.73,3.75,3.75,425000
2012-02-27,3.76,3.83,3.65,3.69,3.69,188600
2012-02-28,3.72,3.86,3.71,3.76,3.76,340800
2012-02-29,3.81,3.87,3.52,3.54,3.54,683800
2012-03-01,3.58,3.64,3.51,3.57,3.57,432800
2012-03-02,3.57,3.59,3.5,3.51,3.51,373300
2012-03-05,3.49,3.53,3.41,3.44,3.44,332800
2012-03-06,3.32,3.39,3.2,3.26,3.26,565000
2012-03-07,3.29,3.47,3.23,3.43,3.43,372000
2012-03-08,3.46,3.5,3.37,3.43,3.43,323500
2012-03-09,3.41,3.5,3.35,3.43,3.43,347000
2012-03-12,3.41,3.46,3.34,3.36,3.36,263100
2012-03-13,3.38,3.44,3.33,3.39,3.39,345100
2012-03-14,3.34,3.35,3.1,3.11,3.11,853000
2012-03-15,3.12,3.21,3.08,3.15,3.15,497800
2012-03-16,3.16,3.23,3.02,3.04,3.04,2063600
2012-03-19,3.05,3.14,3.05,3.07,3.07,355900
2012-03-20,3.04,3.07,2.94,3.05,3.05,365100
2012-03-21,3.04,3.13,3.04,3.06,3.06,224900
2012-03-22,3.04,3.05,2.97,3.02,3.02,289100
2012-03-23,3.04,3.22,3,3.21,3.21,347600
2012-03-26,3.22,3.41,3.22,3.41,3.41,476400
2012-03-27,3.45,3.49,3.3,3.3,3.3,432900
2012-03-28,3.29,3.29,3.16,3.22,3.22,480700
2012-03-29,3.21,3.22,3.08,3.13,3.13,389400
2012-03-30,3.17,3.2,3.11,3.14,3.14,328100
2012-04-02,3.15,3.26,3.11,3.21,3.21,437000
2012-04-03,3.22,3.22,3.06,3.07,3.07,316200
2012-04-04,3.03,3.07,2.91,2.93,2.93,554800
2012-04-05,2.94,3.01,2.9,2.93,2.93,267800
2012-04-09,2.92,3.03,2.83,2.83,2.83,392800
2012-04-10,2.84,2.95,2.67,2.86,2.86,679700
2012-04-11,2.88,2.93,2.81,2.88,2.88,272700
2012-04-12,2.86,3.01,2.8,2.95,2.95,513600
