Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,12.77,12.96,12.77,12.87,7.693433,78900
2012-02-22,12.86,12.89,12.75,12.86,7.687452,67300
2012-02-23,12.9,12.9,12.76,12.78,7.63963,103800
2012-02-24,12.78,13.08,12.78,13.06,7.807007,49600
2012-02-27,13.1,13.19,13.04,13.19,7.884722,93100
2012-02-28,13.24,13.24,13.03,13.16,7.866784,81400
2012-02-29,13.2,13.23,13.02,13.08,7.818963,85600
2012-03-01,13.13,13.26,13.07,13.26,7.926565,67100
2012-03-02,13.25,13.32,13.18,13.32,7.96243,54500
2012-03-05,13.35,13.36,13.25,13.32,7.96243,53400
2012-03-06,13.25,13.31,13.08,13.16,7.866784,70500
2012-03-07,13.2,13.2,13.03,13.12,7.842874,82800
2012-03-08,13.2,13.3,13.13,13.29,7.944499,56300
2012-03-09,13.34,13.37,13.25,13.29,7.944499,63600
2012-03-12,13.26,13.35,13.21,13.34,8.01843,74600
2012-03-13,13.33,13.33,13.2,13.2,7.934279,45100
2012-03-14,13.18,13.19,12.91,12.92,7.765978,106400
2012-03-15,12.85,12.85,12.49,12.54,7.537565,247200
2012-03-16,12.5,12.5,12.21,12.44,7.477458,259000
2012-03-19,12.41,12.63,12.31,12.55,7.543576,124200
2012-03-20,12.55,12.66,12.52,12.55,7.543576,89400
2012-03-21,12.64,12.77,12.53,12.77,7.675816,70500
2012-03-22,12.82,12.82,12.59,12.7,7.633737,91500
2012-03-23,12.76,12.77,12.55,12.59,7.567621,106700
2012-03-26,12.5,12.62,12.5,12.52,7.525545,151800
2012-03-27,12.55,12.74,12.48,12.72,7.645762,113900
2012-03-28,12.79,12.95,12.76,12.91,7.759966,83500
2012-03-29,12.95,12.95,12.77,12.92,7.765978,104200
2012-03-30,12.87,13.05,12.87,12.95,7.784008,61200
2012-04-02,13.01,13.09,12.92,13.08,7.862146,82000
2012-04-03,13.1,13.1,12.98,12.99,7.808049,56200
2012-04-04,13.06,13.09,12.9,13.06,7.850131,65400
2012-04-05,13.09,13.14,12.94,13.02,7.826088,43200
2012-04-09,12.91,13.21,12.91,13.11,7.880175,66300
2012-04-10,13.2,13.2,12.96,13.04,7.838108,72500
2012-04-11,13.07,13.07,12.92,12.97,7.839921,49600
2012-04-12,13.02,13.03,12.92,12.99,7.852006,60900
2012-04-13,12.93,13.06,12.93,12.98,7.845965,41400
2012-04-16,13.02,13.02,12.9,12.98,7.845965,56600
2012-04-17,12.94,12.97,12.86,12.93,7.815741,38800
2012-04-18,12.95,13.02,12.92,13.01,7.8641,51300
2012-04-19,13.06,13.06,12.94,13,7.858057,54200
2012-04-20,12.98,13.08,12.96,13.06,7.894326,44900
2012-04-23,13.08,13.1,13.01,13.09,7.912458,43000
2012-04-24,13.04,13.09,13,13.06,7.894326,58800
2012-04-25,13.09,13.17,13.09,13.13,7.936635,101000
2012-04-26,13.14,13.16,13.12,13.15,7.94872,76600
2012-04-27,13.12,13.16,13.06,13.12,7.93059,49900
2012-04-30,13.17,13.19,13.12,13.13,7.936635,50800
2012-05-01,13.17,13.19,13.07,13.08,7.906407,62000
2012-05-02,13.04,13.15,13.03,13.08,7.906407,68200
2012-05-03,13.03,13.12,12.99,13.07,7.900366,99700
2012-05-04,13.11,13.11,13.02,13.04,7.882234,71800
2012-05-07,12.99,13.09,12.97,13,7.858057,101700
2012-05-08,12.98,13.02,12.94,13.01,7.8641,67100
2012-05-09,13.06,13.13,13.01,13.07,7.900366,62000
2012-05-10,13.09,13.2,13.01,13.14,7.942677,106800
2012-05-11,13.15,13.16,13.01,13.11,7.968816,68600
2012-05-14,13.17,13.17,12.97,13.15,7.993131,68800
2012-05-15,13.19,13.3,13.14,13.21,8.0296,91000
2012-05-16,13.21,13.26,13.14,13.24,8.047838,42100
2012-05-17,13.28,13.33,13.18,13.24,8.047838,83600
2012-05-18,13.25,13.45,13.21,13.33,8.102544,105200
2012-05-21,13.38,13.38,13.23,13.34,8.108618,53200
2012-05-22,13.37,13.4,13.3,13.39,8.139013,53700
2012-05-23,13.35,13.48,13.35,13.48,8.193715,69800
2012-05-24,13.48,13.49,13.44,13.46,8.181563,62600
2012-05-25,13.49,13.73,13.4,13.49,8.199795,94800
2012-05-29,13.62,13.62,13.41,13.42,8.15725,74900
2012-05-30,13.4,13.42,13.23,13.28,8.072151,113800
2012-05-31,13.35,13.52,13.27,13.51,8.211956,92200
2012-06-01,13.57,13.57,13.32,13.42,8.15725,73500
2012-06-04,13.37,13.49,13.31,13.33,8.102544,100300
2012-06-05,13.39,13.46,13.31,13.46,8.181563,55500
2012-06-06,13.49,13.54,13.41,13.47,8.187643,50300
2012-06-07,13.56,13.58,13.34,13.5,8.205875,56300
2012-06-08,13.44,13.55,13.4,13.46,8.181563,61800
2012-06-11,13.49,13.55,13.42,13.51,8.211956,44400
2012-06-12,13.73,13.73,13.36,13.39,8.139013,61900
2012-06-13,13.29,13.32,13.14,13.14,8.030837,97000
2012-06-14,13.12,13.22,12.9,12.9,7.884154,178200
2012-06-15,12.85,12.97,12.7,12.83,7.841372,182600
2012-06-18,12.8,13.07,12.78,12.9,7.884154,142300
2012-06-19,12.88,13.1,12.88,13.04,7.969719,81100
2012-06-20,12.99,13.1,12.96,13.06,7.981945,113700
2012-06-21,13.11,13.16,12.87,12.94,7.908597,78200
2012-06-22,12.88,12.95,12.81,12.86,7.859705,112600
2012-06-25,12.82,12.86,12.8,12.81,7.829145,149500
2012-06-26,12.8,12.9,12.78,12.81,7.829145,154900
2012-06-27,12.78,12.99,12.78,12.97,7.926937,151500
2012-06-28,12.98,13.08,12.9,13.08,7.994162,48500
2012-06-29,13.16,13.17,13.02,13.16,8.043057,79300
2012-07-02,13.21,13.21,13.1,13.17,8.049169,108800
2012-07-03,13.15,13.23,13.15,13.15,8.036946,48100
2012-07-05,13.15,13.19,13.09,13.11,8.012497,64100
2012-07-06,13.08,13.22,13.08,13.22,8.079729,70500
2012-07-09,13.16,13.25,13.13,13.16,8.043057,86600
2012-07-10,13.16,13.25,13.16,13.2,8.067508,94700
2012-07-11,13.2,13.3,13.2,13.25,8.098061,123400
2012-07-12,13.19,13.21,13.07,13.15,8.081471,66400
2012-07-13,13.18,13.21,13.06,13.06,8.026159,79400
2012-07-16,13.05,13.09,12.96,13.06,8.026159,114700
2012-07-17,13.1,13.28,13.1,13.28,8.161365,108800
2012-07-18,13.3,13.4,13.28,13.39,8.228964,74800
2012-07-19,13.39,13.49,13.38,13.44,8.259691,93700
2012-07-20,13.47,13.55,13.44,13.54,8.321149,90900
2012-07-23,13.55,13.65,13.5,13.62,8.370312,135300
2012-07-24,13.65,13.78,13.64,13.71,8.425627,146000
2012-07-25,13.71,13.79,13.71,13.77,8.462496,87600
2012-07-26,13.88,13.89,13.81,13.87,8.523954,113400
2012-07-27,13.83,13.92,13.81,13.86,8.517807,99800
2012-07-30,13.93,13.93,13.78,13.85,8.511663,108200
2012-07-31,13.78,13.91,13.78,13.85,8.511663,180600
2012-08-01,13.95,13.97,13.79,13.87,8.523954,89000
2012-08-02,13.86,13.96,13.7,13.8,8.480934,124100
2012-08-03,13.87,13.93,13.8,13.84,8.505514,92900
2012-08-06,13.89,14,13.86,13.97,8.585411,76600
2012-08-07,13.94,13.99,13.79,13.79,8.474794,114900
2012-08-08,13.77,13.92,13.68,13.68,8.407187,80300
2012-08-09,13.65,13.69,13.52,13.59,8.351876,79300
2012-08-10,13.59,13.63,13.5,13.51,8.302713,95000
2012-08-13,13.52,13.52,13.2,13.34,8.242773,171200
2012-08-14,13.27,13.52,13.27,13.48,8.329281,66000
2012-08-15,13.55,13.63,13.46,13.63,8.421968,76000
2012-08-16,13.56,13.72,13.56,13.6,8.403427,76400
2012-08-17,13.55,13.74,13.55,13.69,8.459038,57100
2012-08-20,13.68,13.75,13.54,13.71,8.471397,87400
2012-08-21,13.71,13.71,13.43,13.46,8.316921,88300
2012-08-22,13.46,13.53,13.27,13.44,8.304562,125900
2012-08-23,13.35,13.46,13.24,13.34,8.242773,132900
2012-08-24,13.31,13.39,13.29,13.31,8.224239,48600
2012-08-27,13.3,13.39,13.2,13.25,8.187164,106200
2012-08-28,13.2,13.39,13.2,13.39,8.273671,77800
