Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,1.66,1.73,1.61,1.65,1.65,37200
2012-02-22,1.63,1.7,1.57,1.65,1.65,67200
2012-02-23,1.67,1.67,1.55,1.61,1.61,89300
2012-02-24,1.58,1.62,1.55,1.57,1.57,39400
2012-02-27,1.6,1.63,1.53,1.54,1.54,45300
2012-02-28,1.56,1.57,1.52,1.53,1.53,50100
2012-02-29,1.55,1.56,1.39,1.41,1.41,135100
2012-03-01,1.39,1.5,1.39,1.49,1.49,40000
2012-03-02,1.53,1.53,1.45,1.49,1.49,28700
2012-03-05,1.48,1.58,1.46,1.47,1.47,18000
2012-03-06,1.46,1.47,1.44,1.45,1.45,19100
2012-03-07,1.45,1.51,1.45,1.5,1.5,38100
2012-03-08,1.47,1.5,1.47,1.47,1.47,43400
2012-03-09,1.5,1.52,1.45,1.51,1.51,124000
2012-03-12,1.51,1.52,1.42,1.5,1.5,59700
2012-03-13,1.54,1.54,1.47,1.53,1.53,140600
2012-03-14,1.5,1.5,1.39,1.45,1.45,54100
2012-03-15,1.44,1.44,1.35,1.35,1.35,48500
2012-03-16,1.35,1.46,1.35,1.45,1.45,62900
2012-03-19,1.45,1.45,1.39,1.39,1.39,40000
2012-03-20,1.39,1.42,1.36,1.4,1.4,27500
2012-03-21,1.4,1.4,1.36,1.38,1.38,29800
2012-03-22,1.38,1.38,1.28,1.33,1.33,81500
2012-03-23,1.33,1.47,1.33,1.47,1.47,54500
2012-03-26,1.51,1.51,1.4,1.4,1.4,35900
2012-03-27,1.39,1.43,1.39,1.43,1.43,4200
2012-03-28,1.39,1.39,1.3,1.32,1.32,45100
2012-03-29,1.29,1.42,1.29,1.35,1.35,55200
2012-03-30,1.34,1.41,1.34,1.38,1.38,40800
2012-04-02,1.39,1.44,1.37,1.42,1.42,46800
2012-04-03,1.39,1.41,1.35,1.36,1.36,38900
2012-04-04,1.35,1.36,1.3,1.32,1.32,105300
2012-04-05,1.29,1.34,1.29,1.31,1.31,25900
2012-04-09,1.32,1.34,1.32,1.34,1.34,9700
2012-04-10,1.34,1.34,1.32,1.32,1.32,7500
2012-04-11,1.33,1.36,1.31,1.31,1.31,24100
2012-04-12,1.31,1.42,1.3,1.4,1.4,157200
2012-04-13,1.4,1.43,1.33,1.41,1.41,45100
2012-04-16,1.41,1.43,1.34,1.37,1.37,12500
2012-04-17,1.38,1.42,1.34,1.4,1.4,42500
2012-04-18,1.37,1.43,1.36,1.43,1.43,45700
2012-04-19,1.4,1.4,1.36,1.39,1.39,12000
2012-04-20,1.36,1.39,1.31,1.34,1.34,101500
2012-04-23,1.35,1.35,1.29,1.3,1.3,31500
2012-04-24,1.3,1.34,1.28,1.29,1.29,7700
2012-04-25,1.33,1.33,1.29,1.31,1.31,14400
2012-04-26,1.34,1.34,1.31,1.31,1.31,7200
2012-04-27,1.32,1.34,1.25,1.27,1.27,67000
2012-04-30,1.26,1.3,1.25,1.29,1.29,60000
2012-05-01,1.32,1.32,1.28,1.3,1.3,26000
2012-05-02,1.28,1.3,1.26,1.26,1.26,13400
2012-05-03,1.29,1.32,1.25,1.29,1.29,42900
2012-05-04,1.31,1.31,1.26,1.28,1.28,28900
2012-05-07,1.32,1.37,1.22,1.34,1.34,88800
2012-05-08,1.28,1.3,1.24,1.25,1.25,63800
2012-05-09,1.24,1.29,1.23,1.25,1.25,60200
2012-05-10,1.24,1.26,1.23,1.24,1.24,6100
2012-05-11,1.25,1.27,1.24,1.25,1.25,14000
2012-05-14,1.23,1.24,1.2,1.2,1.2,26000
2012-05-15,1.2,1.24,1.17,1.21,1.21,33700
2012-05-16,1.23,1.25,1.2,1.22,1.22,33100
2012-05-17,1.24,1.27,1.17,1.23,1.23,219400
2012-05-18,1.23,1.25,1.13,1.19,1.19,101100
2012-05-21,1.16,1.19,1.15,1.19,1.19,45100
2012-05-22,1.18,1.18,0.97,1.02,1.02,405300
2012-05-23,1.05,1.11,1,1.1,1.1,53700
2012-05-24,1.08,1.12,1.05,1.1,1.1,55000
2012-05-25,1.06,1.12,1.06,1.1,1.1,23000
2012-05-29,1.11,1.12,1.05,1.07,1.07,69300
2012-05-30,1.06,1.08,1.03,1.03,1.03,14000
2012-05-31,1.02,1.04,1,1,1,23900
2012-06-01,1.03,1.09,1,1.07,1.07,97100
2012-06-04,1.06,1.08,0.99,1.02,1.02,63900
2012-06-05,1.03,1.06,1,1.03,1.03,27900
2012-06-06,1.07,1.07,0.98,1.06,1.06,102200
2012-06-07,1.03,1.1,1.01,1.09,1.09,41500
2012-06-08,1.07,1.1,1.04,1.1,1.1,25800
2012-06-11,1.1,1.1,1.05,1.06,1.06,33900
2012-06-12,1.12,1.15,1.1,1.12,1.12,371400
2012-06-13,1.15,1.2,1.11,1.17,1.17,214300
2012-06-14,1.16,1.19,1.16,1.19,1.19,10700
2012-06-15,1.22,1.25,1.18,1.2,1.2,93500
2012-06-18,1.21,1.25,1.2,1.23,1.23,92400
2012-06-19,1.22,1.25,1.19,1.22,1.22,82700
2012-06-20,1.22,1.23,1.19,1.21,1.21,35200
2012-06-21,1.19,1.2,1.1,1.12,1.12,75600
2012-06-22,1.13,1.25,1.12,1.25,1.25,41200
2012-06-25,1.2,1.24,1.2,1.22,1.22,66700
2012-06-26,1.2,1.28,1.2,1.24,1.24,78100
2012-06-27,1.25,1.26,1.23,1.24,1.24,28700
2012-06-28,1.23,1.29,1.12,1.29,1.29,46500
