Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,23.82,24.01,23.620001,23.620001,22.062824,7900
2012-02-22,23.73,23.969999,23.5,23.5,21.950735,1300
2012-02-23,23.73,24,23.48,24,22.417774,8200
2012-02-24,24,24,23.610001,23.860001,22.286999,7500
2012-02-27,23.620001,23.709999,23.559999,23.559999,22.006783,1100
2012-02-28,23.450001,23.75,23.450001,23.57,22.016121,11700
2012-02-29,23.950001,23.99,23.26,23.26,21.726559,10200
2012-03-01,23.280001,24.15,23.280001,23.549999,21.997442,9100
2012-03-02,23.99,24.030001,23.299999,23.299999,21.763927,8000
2012-03-05,23.059999,23.889999,23.059999,23.799999,22.230959,6700
2012-03-06,23.700001,23.950001,23.389999,23.620001,22.062824,9300
2012-03-07,23.639999,23.700001,23.51,23.629999,22.072166,4900
2012-03-08,23.639999,23.9,23.6,23.860001,22.286999,3100
2012-03-09,24.190001,24.26,23.73,23.73,22.165575,5000
2012-03-12,23.690001,23.809999,23.620001,23.620001,22.062824,1900
2012-03-13,23.42,23.91,23.309999,23.860001,22.286999,5300
2012-03-14,23.690001,24.049999,23.41,23.450001,21.904034,4500
2012-03-15,23.42,24.18,23.42,24.18,22.585909,19900
2012-03-16,24.07,24.49,24.07,24.290001,22.688656,17100
2012-03-19,24.610001,24.66,23.75,23.790001,22.221619,9100
2012-03-20,24.360001,24.5,23.450001,23.450001,21.904034,12300
2012-03-21,23.549999,24.389999,23.200001,23.23,21.698538,27800
2012-03-22,23.1,23.280001,22.540001,22.809999,21.306231,11100
2012-03-23,22.780001,23.459999,22.540001,23.459999,21.91337,5200
2012-03-26,23.790001,24.290001,23.58,23.969999,22.389751,9100
2012-03-27,23.879999,24.290001,23.620001,23.629999,22.072166,7800
2012-03-28,23.299999,23.93,23.02,23.389999,21.885029,11200
2012-03-29,23.389999,23.65,23.030001,23.41,21.903749,22700
2012-03-30,23.459999,23.469999,22.780001,23.110001,21.623053,22100
2012-04-02,23.059999,23.450001,22.549999,23.360001,21.856962,5900
2012-04-03,23.280001,23.280001,22.91,22.99,21.510767,7600
2012-04-04,22.82,23.139999,22.790001,22.940001,21.463991,4500
2012-04-05,22.709999,23.129999,22.66,22.66,21.202009,4300
2012-04-09,22.459999,22.91,22.15,22.309999,20.874525,29000
2012-04-10,22.27,22.58,21.120001,21.24,19.873369,19900
2012-04-11,21.5,21.629999,21.1,21.309999,19.938866,11500
2012-04-12,21.209999,22.84,21.059999,22.84,21.370424,11800
2012-04-13,22.26,23.129999,22.26,22.639999,21.18329,14800
2012-04-16,22.66,23,22.66,22.77,21.304935,6100
2012-04-17,22.959999,24.360001,22.950001,24.110001,22.55871,23100
2012-04-18,24.1,24.370001,23.809999,24.040001,22.493212,7400
2012-04-19,24.040001,24.33,23.719999,23.719999,22.193806,14400
2012-04-20,24.27,25.26,24.030001,25.049999,23.438225,24000
2012-04-23,24.66,25.02,24.389999,24.889999,23.288517,30500
2012-04-24,24.93,25.08,24.51,24.799999,23.204313,31400
2012-04-25,24.860001,25.120001,23.379999,23.709999,22.18445,35900
2012-04-26,23.469999,24.15,23.33,23.719999,22.193806,23800
2012-04-27,23.629999,23.870001,22.860001,23.110001,21.623053,30100
2012-04-30,23.059999,23.4,22.559999,22.74,21.276855,27000
2012-05-01,22.879999,23.139999,22.559999,22.6,21.145868,27000
2012-05-02,22.719999,22.790001,22.290001,22.709999,21.248791,19900
2012-05-03,22.51,22.75,22.34,22.52,21.071016,18000
2012-05-04,22.43,22.690001,21.85,21.85,20.444122,25600
2012-05-07,21.93,22.379999,21.549999,21.879999,20.472195,17000
2012-05-08,21.74,22.09,21.700001,21.91,20.500257,17700
2012-05-09,21.860001,22.33,21.48,21.76,20.359911,21000
2012-05-10,21.799999,22.5,21.799999,22.190001,20.762247,5200
2012-05-11,22.549999,22.77,22.18,22.469999,21.024233,11300
2012-05-14,22.26,22.620001,21.74,22.360001,20.921305,20900
2012-05-15,22.709999,23.959999,22.709999,23.459999,21.950527,19000
2012-05-16,23.610001,23.639999,22.959999,23.15,21.660479,13800
2012-05-17,23.139999,23.49,22.799999,23.030001,21.548201,15500
2012-05-18,22.85,23.959999,22.459999,23.02,21.538843,29200
2012-05-21,23.27,24.59,22.93,24.24,22.680349,20400
2012-05-22,24.09,24.440001,23.700001,23.719999,22.193806,12000
2012-05-23,23.77,24.26,23.77,24.219999,22.661633,14000
2012-05-24,24.26,25.120001,23.879999,24.93,23.325951,8400
2012-05-25,24.940001,24.98,24.18,24.620001,23.035898,8800
2012-05-29,24.92,25.120001,24.65,25.040001,23.428867,8700
2012-05-30,24.85,25.120001,24.200001,24.799999,23.204313,13700
2012-05-31,24.530001,24.85,24.42,24.42,22.848766,10300
2012-06-01,23.940001,24.5,23.309999,23.440001,21.931818,27000
2012-06-04,23.83,24.379999,23.41,24.18,22.624208,14300
2012-06-05,24.18,24.18,23.139999,23.459999,21.950527,20700
2012-06-06,23.73,23.809999,23.200001,23.5,21.987959,20900
2012-06-07,23.85,23.85,23,23.58,22.062807,34600
2012-06-08,23.450001,23.459999,22.959999,23.24,21.744682,25700
2012-06-11,23.41,23.57,23,23.139999,21.651119,18300
2012-06-12,23.41,23.74,23.030001,23.690001,22.165733,10600
2012-06-13,23.98,24.23,23.540001,23.870001,22.334152,19900
2012-06-14,23.889999,24.440001,23.58,24.219999,22.661633,13400
2012-06-15,23.610001,25.219999,23.43,24.940001,23.335308,56900
2012-06-18,25.59,25.83,24.790001,25.629999,23.980907,19100
2012-06-19,25.73,26.639999,25.01,26.48,24.776215,51900
2012-06-20,26.59,27.75,26.450001,27.68,25.899004,13900
2012-06-21,27.6,28.27,27.08,28.209999,26.394905,17400
2012-06-22,28.18,29.110001,27.540001,28.940001,27.077936,75100
2012-06-25,28.48,28.870001,28.01,28.32,26.497828,14400
2012-06-26,28.35,28.49,27.610001,28.389999,26.563324,33400
2012-06-27,28.32,28.860001,27.950001,28.84,27.022444,52900
2012-06-28,28.559999,29.26,27.809999,29.26,27.415977,10400
2012-06-29,29.77,30.809999,29.27,30.540001,28.615309,33900
2012-07-02,30.32,30.77,29.76,30.77,28.830812,9900
2012-07-03,30.77,31.32,30.120001,31.209999,29.243082,24000
2012-07-05,31.049999,31.83,30.469999,31.83,29.824009,10800
2012-07-06,31.74,31.969999,31.33,31.84,29.833378,27000
2012-07-09,31.799999,32.459999,31.799999,32.25,30.217537,20000
2012-07-10,32.169998,32.799999,31.610001,31.75,29.749044,11400
2012-07-11,31.799999,31.9,31.26,31.690001,29.692827,20400
2012-07-12,31.379999,31.780001,31.299999,31.42,29.439848,8300
2012-07-13,31.68,32.5,31.59,32.25,30.217537,14100
2012-07-16,32,32.459999,31.74,31.74,29.739676,9600
2012-07-17,31.709999,32.029999,31.139999,31.65,29.655355,29300
2012-07-18,31.76,31.780001,31.09,31.360001,29.383625,5400
2012-07-19,31.48,31.700001,30.959999,31.23,29.261822,15300
2012-07-20,30.790001,31.66,30.18,31.440001,29.458591,37800
2012-07-23,30.77,31.74,30.690001,31.15,29.186865,9000
2012-07-24,30.41,31.49,30.190001,30.190001,28.287359,8100
2012-07-25,30.530001,30.530001,29.75,30.1,28.203037,8600
2012-07-26,30.639999,31.67,30.41,30.629999,28.699633,3200
2012-07-27,29.870001,30.85,29.870001,30.75,28.812075,3100
2012-07-30,30.6,30.85,30.09,30.190001,28.287359,2600
2012-07-31,30.1,30.360001,28.66,29.23,27.387861,13600
2012-08-01,29.219999,29.219999,28.530001,28.530001,26.731983,7100
2012-08-02,28.27,28.6,28.01,28.01,26.244753,5200
2012-08-03,28.389999,29.360001,28.309999,29.07,27.237947,6000
2012-08-06,28.99,29.440001,27.92,28.969999,27.144251,7700
2012-08-07,28.83,29.190001,28.41,28.889999,27.069288,17000
2012-08-08,28.68,29.190001,26.370001,28.389999,26.600803,7000
2012-08-09,28.09,28.1,26.59,27.4,25.673193,16100
2012-08-10,26.629999,28.52,26.629999,27.93,26.169792,11400
2012-08-13,27.969999,29.049999,26.889999,29.049999,27.21921,5300
