Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,12.22,12.44,11.62,11.98,11.98,709300
2012-02-22,11.92,12.04,11.59,11.95,11.95,414800
2012-02-23,11.95,12.82,11.87,12.76,12.76,507900
2012-02-24,12.93,13.71,12.54,13.42,13.42,848300
2012-02-27,13.42,13.75,13.38,13.58,13.58,573800
2012-02-28,13.59,13.66,13.39,13.52,13.52,738500
2012-02-29,13.53,13.73,13.18,13.34,13.34,1369700
2012-03-01,13.38,13.73,13.04,13.64,13.64,467100
2012-03-02,13.58,13.66,12.48,12.51,12.51,534500
2012-03-05,12.52,12.67,12.31,12.65,12.65,549900
2012-03-06,12.49,12.57,11.6,11.68,11.68,439800
2012-03-07,11.7,12.05,11.69,12.02,12.02,486900
2012-03-08,12.15,12.24,11.96,12.14,12.14,209600
2012-03-09,12.12,12.35,12.01,12.18,12.18,259600
2012-03-12,12.21,12.32,11.82,11.95,11.95,273600
2012-03-13,12.02,12.05,11.75,12,12,240500
2012-03-14,11.96,12.07,11.75,11.79,11.79,158100
2012-03-15,11.84,12.16,11.8,12,12,234800
2012-03-16,12.03,12.17,11.54,11.59,11.59,1312700
2012-03-19,11.52,12.13,11.51,12.09,12.09,278000
2012-03-20,11.99,11.99,11.49,11.58,11.58,241400
2012-03-21,11.61,11.65,11.38,11.45,11.45,166200
2012-03-22,11.35,11.35,11,11.3,11.3,299200
2012-03-23,11.34,11.43,11.1,11.34,11.34,240700
2012-03-26,11.47,11.64,11.31,11.39,11.39,520800
2012-03-27,11.41,11.58,11.28,11.33,11.33,320900
2012-03-28,11.38,11.64,11.1,11.35,11.35,213200
2012-03-29,11.26,11.36,11.01,11.27,11.27,172200
2012-03-30,11.35,11.55,11.01,11.07,11.07,370400
2012-04-02,11.05,11.37,10.95,11.1,11.1,508300
2012-04-03,11.11,11.22,10.75,10.82,10.82,209900
2012-04-04,10.68,10.82,10.17,10.36,10.36,489400
2012-04-05,10.31,10.72,10.31,10.64,10.64,282100
2012-04-09,10.33,10.54,9.96,10.29,10.29,684800
2012-04-10,10.28,10.35,9.99,10,10,553800
2012-04-11,10.14,10.33,10.1,10.28,10.28,209500
2012-04-12,10.27,10.5,10.23,10.33,10.33,209000
2012-04-13,10.26,10.3,9.91,10.02,10.02,363700
2012-04-16,10.11,10.17,9.84,10.01,10.01,505600
2012-04-17,10.11,10.3,9.99,10.14,10.14,244900
2012-04-18,10.05,10.15,9.95,10,10,116100
2012-04-19,10.05,10.44,9.97,10,10,173000
2012-04-20,10.76,10.76,10.29,10.62,10.62,347200
2012-04-23,10.51,10.82,10.4,10.66,10.66,327600
2012-04-24,10.69,11.26,10.6,11.19,11.19,380500
2012-04-25,11.39,11.92,11.31,11.55,11.55,495400
2012-04-26,11.49,11.71,11.42,11.63,11.63,394900
2012-04-27,11.69,11.75,11.4,11.67,11.67,204000
2012-04-30,11.66,11.87,11.27,11.39,11.39,283500
2012-05-01,11.34,11.53,11.15,11.17,11.17,300000
2012-05-02,10.95,11.06,10.64,10.75,10.75,379200
2012-05-03,10.7,10.72,10.19,10.29,10.29,321400
2012-05-04,10.39,10.49,9.69,9.78,9.78,366200
2012-05-07,9.75,10.07,9.55,9.97,9.97,356700
2012-05-08,10.25,10.72,10.14,10.61,10.61,597700
2012-05-09,10.38,10.78,10.2,10.6,10.6,279300
2012-05-10,10.72,10.78,10.46,10.7,10.7,337000
2012-05-11,10.59,10.8,10.54,10.69,10.69,266200
2012-05-14,10.53,10.7,10.37,10.61,10.61,196000
2012-05-15,10.57,10.59,10.36,10.47,10.47,200300
2012-05-16,10.5,10.58,10.27,10.29,10.29,213000
2012-05-17,10.27,10.39,9.85,10,10,243000
2012-05-18,9.99,10.05,9.51,9.91,9.91,490000
2012-05-21,9.95,10.13,9.8,10.07,10.07,329200
2012-05-22,10.09,10.4,9.93,10.06,10.06,311400
2012-05-23,10,10.35,9.78,10.3,10.3,219000
2012-05-24,10.31,10.47,10.12,10.43,10.43,124200
2012-05-25,10.42,10.5,10.25,10.43,10.43,108200
2012-05-29,10.25,10.34,9.97,10.13,10.13,329200
2012-05-30,10.01,10.33,9.99,10.04,10.04,692500
2012-05-31,10.04,10.31,9.98,10.24,10.24,389900
2012-06-01,9.99,10.17,9.94,10.09,10.09,400000
2012-06-04,10.2,10.46,10.1,10.42,10.42,189500
2012-06-05,10.35,10.86,10.31,10.66,10.66,336500
2012-06-06,10.75,11.12,10.75,11.05,11.05,240600
2012-06-07,11.23,11.23,10.85,11,11,314000
2012-06-08,10.94,11.45,10.9,11.35,11.35,215700
2012-06-11,11.46,11.46,10.99,11.03,11.03,286500
2012-06-12,11.06,11.56,10.91,11.54,11.54,357300
2012-06-13,11.46,11.75,11.3,11.43,11.43,450100
2012-06-14,11.43,11.66,11.3,11.63,11.63,192700
2012-06-15,11.6,11.83,11.38,11.58,11.58,516900
