Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,2.54,2.64,2.48,2.57,2.261793,27300
2012-02-22,2.61,2.63,2.55,2.55,2.244192,12300
2012-02-23,2.39,2.62,2.39,2.55,2.244192,6900
2012-02-24,2.58,2.63,2.42,2.63,2.314598,54400
2012-02-27,2.64,2.64,2.57,2.63,2.314598,7800
2012-02-28,2.55,2.64,2.55,2.6,2.288196,7700
2012-02-29,2.57,2.57,2.52,2.52,2.21779,23700
2012-03-01,2.56,2.7,2.56,2.7,2.376204,10600
2012-03-02,2.71,2.71,2.65,2.69,2.367403,14000
2012-03-05,2.63,2.74,2.63,2.73,2.402606,8400
2012-03-06,2.66,2.75,2.65,2.7,2.376204,22300
2012-03-07,2.68,2.75,2.65,2.7,2.376204,33700
2012-03-08,2.67,2.75,2.65,2.7,2.376204,19700
2012-03-09,2.71,2.75,2.62,2.7,2.376204,15700
2012-03-12,2.7,2.76,2.66,2.74,2.411407,14200
2012-03-13,2.71,2.91,2.61,2.74,2.411407,47800
2012-03-14,2.79,2.79,2.65,2.65,2.3322,26400
2012-03-15,2.72,2.85,2.7,2.75,2.420207,6600
2012-03-16,2.83,2.83,2.65,2.79,2.45541,17200
2012-03-19,2.67,2.83,2.65,2.75,2.420207,5500
2012-03-20,2.72,2.82,2.65,2.75,2.420207,2600
2012-03-21,2.71,2.83,2.69,2.74,2.411407,3700
2012-03-22,2.75,2.8,2.65,2.65,2.3322,13900
2012-03-23,2.68,2.77,2.58,2.64,2.323399,6700
2012-03-26,2.64,2.73,2.63,2.66,2.341001,13900
2012-03-27,2.75,2.75,2.59,2.68,2.358602,7900
2012-03-28,2.65,2.8,2.65,2.8,2.464212,2900
2012-03-29,2.74,2.8,2.65,2.65,2.3322,1300
2012-03-30,2.7,2.75,2.59,2.74,2.411407,7800
2012-04-02,2.69,2.8,2.61,2.75,2.420207,11000
2012-04-03,2.67,2.77,2.67,2.77,2.437809,2300
2012-04-04,2.73,2.73,2.67,2.67,2.349801,2300
2012-04-05,2.68,2.73,2.67,2.67,2.349801,1300
2012-04-09,2.67,2.73,2.67,2.67,2.349801,9300
2012-04-10,2.67,2.67,2.51,2.55,2.244192,18600
2012-04-11,2.6,2.63,2.56,2.6,2.288196,8100
2012-04-12,2.58,2.6,2.5,2.6,2.288196,10200
2012-04-13,2.56,2.71,2.5,2.71,2.385005,17700
2012-04-16,2.68,2.71,2.52,2.71,2.385005,5700
2012-04-17,2.72,2.79,2.63,2.71,2.385005,18400
2012-04-18,2.56,2.69,2.56,2.67,2.349801,6400
2012-04-19,2.67,2.69,2.5,2.69,2.367403,8000
