Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,37.990002,40.68,37.540001,38.939999,34.948723,479200
2012-02-22,39.060001,40.290001,39.060001,39.66,35.594917,232700
2012-02-23,39.77,40.09,38.970001,39.900002,35.810322,145000
2012-02-24,39.880001,40.099998,39.439999,39.599998,35.541069,123000
2012-02-27,39.040001,39.669998,38.34,39.349998,35.316696,145500
2012-02-28,39.400002,39.490002,38.759998,39.099998,35.092312,126500
2012-02-29,39.25,39.689999,37.84,37.950001,34.060188,119900
2012-03-01,38.310001,38.93,37.779999,38.09,34.185844,84700
2012-03-02,38.09,38.09,36.759998,37.259998,33.440922,119900
2012-03-05,37.310001,37.310001,36.310001,37.09,33.288345,82600
2012-03-06,36.32,36.459999,35.029999,35.580002,31.933115,82200
2012-03-07,35.59,36.02,35.369999,35.900002,32.22031,179200
2012-03-08,36.099998,36.599998,35.400002,36.57,32.82164,68600
2012-03-09,36.549999,37.490002,36.310001,37.080002,33.279358,123000
2012-03-12,36.950001,37.02,36.400002,36.560001,32.81266,78300
2012-03-13,36.98,37.66,36.709999,37.619999,33.764008,85000
2012-03-14,37.450001,37.549999,36.630001,36.84,33.063961,51900
2012-03-15,36.970001,37.650002,36.5,37.639999,33.781963,51900
2012-03-16,37.720001,37.950001,37.34,37.619999,33.764008,111100
2012-03-19,37.490002,38.529999,37.490002,38,34.105068,54500
2012-03-20,37.549999,37.880001,37.130001,37.169998,33.360142,111100
2012-03-21,37.310001,37.810001,36.799999,37.130001,33.324242,65700
2012-03-22,36.59,36.900002,35.5,36.16,32.453659,65700
2012-03-23,36.27,37.080002,35.59,36.950001,33.162701,128400
2012-03-26,37.619999,38.720001,37.619999,38.369999,34.437145,114200
2012-03-27,38.310001,38.369999,36.75,38,34.105068,105500
2012-03-28,37.990002,37.990002,37.110001,37.540001,33.692215,87800
2012-03-29,37.049999,37.41,36.110001,36.700001,32.938313,191400
2012-03-30,37.009998,37.009998,36.400002,36.48,32.740856,155400
2012-04-02,36.34,37.060001,36.220001,36.799999,33.028069,175700
2012-04-03,36.669998,37.02,36.439999,36.650002,32.89344,129800
2012-04-04,36.080002,36.540001,36,36.419998,32.687012,100100
2012-04-05,36.220001,37.119999,36.220001,36.810001,33.037041,73900
2012-04-09,35.91,35.970001,35.52,35.810001,32.139545,80700
2012-04-10,35.810001,35.810001,34.34,34.779999,31.215103,154000
2012-04-11,35.220001,35.259998,34.290001,35.040001,31.448465,231600
2012-04-12,35.009998,36.049999,35.009998,35.759998,32.094654,143600
2012-04-13,35.52,35.630001,34.869999,34.990002,31.403578,105200
2012-04-16,35.23,35.490002,34.59,34.650002,31.098446,74100
2012-04-17,35,35.880001,34.669998,35.07,31.475382,186200
2012-04-18,34.709999,35.220001,34.43,34.790001,31.224098,137000
2012-04-19,34.779999,35.049999,34.029999,34.369999,30.847128,105100
2012-04-20,34.849998,35.27,34.52,34.810001,31.242031,174800
2012-04-23,34.07,34.240002,33.07,33.189999,29.788082,271100
2012-04-24,33.360001,33.369999,31.889999,32.799999,29.438051,334200
2012-04-25,33.139999,33.16,31.52,31.940001,28.666204,240700
2012-04-26,31.73,32.110001,31.139999,31.84,28.576454,140000
2012-04-27,31.959999,32.25,31.549999,31.99,28.711082,111700
2012-04-30,31.870001,31.889999,30.92,31.290001,28.082827,115000
2012-05-01,31.209999,31.610001,30.52,30.58,27.445602,127000
2012-05-02,30.75,30.75,30.299999,30.690001,27.544327,241600
2012-05-03,30.6,30.6,29.860001,29.969999,26.898125,123000
2012-05-04,29.690001,29.690001,28.74,28.76,25.812147,120800
2012-05-07,28.75,30.1,28.6,29.969999,26.898125,288000
2012-05-08,29.65,29.889999,29.16,29.690001,26.646824,214400
2012-05-09,29.190001,29.879999,28.940001,29.559999,26.530155,240000
2012-05-10,29.889999,29.889999,28.52,28.67,25.731373,117000
2012-05-11,28.35,29.08,28.139999,29.01,26.036522,202700
2012-05-14,28.559999,30.040001,28.43,29.74,26.6917,351600
2012-05-15,29.68,30.26,29.67,30,26.925051,291000
2012-05-16,30.25,30.25,28.73,28.91,25.946775,132900
2012-05-17,29.01,29.08,28.370001,28.379999,25.471098,242800
2012-05-18,28.41,29.01,28,28.25,25.354424,185900
2012-05-21,28.450001,29.18,28.129999,28.85,25.892921,123400
2012-05-22,28.940001,29.110001,28.34,28.700001,25.758301,139000
2012-05-23,28.280001,28.74,28.120001,28.58,25.6506,278000
