Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,22.110001,22.190001,21.93,21.959999,16.585939,2300
2012-02-22,21.950001,21.99,21.610001,21.799999,16.465097,3500
2012-02-23,21.75,22.219999,21.75,22.190001,16.759657,9400
2012-02-24,22,22,21.700001,21.809999,16.472649,8100
2012-02-27,21.690001,22,21.530001,21.860001,16.51041,3300
2012-02-28,21.940001,21.940001,21.700001,21.790001,16.457548,2000
2012-02-29,21.959999,22,21.65,21.65,16.351801,12100
2012-03-01,21.77,21.82,21,21.02,15.875983,8200
2012-03-02,21.139999,21.139999,19.059999,19.110001,14.433396,14000
2012-03-05,19.27,19.35,19.18,19.35,14.614662,8100
2012-03-06,19.15,19.25,19.02,19.08,14.410741,8800
2012-03-07,19.26,19.26,19,19.15,14.463605,6500
2012-03-08,19.33,19.57,19,19.280001,14.56179,5400
2012-03-09,19.309999,19.959999,19.309999,19.85,14.9923,7400
2012-03-12,19.99,20.5,19.99,20.24,15.286858,6300
2012-03-13,20.709999,21.469999,20.379999,21.469999,16.215855,8300
2012-03-14,21.65,21.889999,21.09,21.66,16.359358,15400
2012-03-15,21.73,22,21.6,22,16.616154,9200
2012-03-16,22.129999,22.4,21.780001,22.4,16.918262,30800
2012-03-19,22.5,23,22.450001,22.879999,17.280798,12300
2012-03-20,22.809999,22.85,22.58,22.76,17.190163,6000
2012-03-21,22.85,22.85,22.440001,22.57,17.046658,3600
2012-03-22,22.4,22.6,22.18,22.59,17.061768,2600
2012-03-23,22.639999,22.9,22.49,22.9,17.295908,10500
2012-03-26,22.969999,23.23,22.67,23.01,17.378984,24200
2012-03-27,23.120001,23.120001,22.73,22.959999,17.341219,7300
2012-03-28,22.98,23.49,22.959999,23.17,17.49983,6600
2012-03-29,23.07,23.450001,22.59,23.200001,17.522484,6900
2012-03-30,23.48,24,22.99,23.799999,17.975655,47100
2012-04-02,23.68,24,23.35,24,18.126711,18200
2012-04-03,23.639999,23.719999,23.32,23.360001,17.643332,5400
2012-04-04,23.200001,23.99,23.190001,23.6,17.824604,10300
2012-04-05,23.49,23.85,23.059999,23.059999,17.41675,5600
2012-04-09,22.59,22.620001,22.02,22.02,16.63126,10600
2012-04-10,22.08,23.98,21.15,21.190001,16.004377,24900
2012-04-11,21.6,21.6,21.09,21.530001,16.261173,11200
2012-04-12,21.43,21.969999,21.33,21.85,16.502859,9600
2012-04-13,21.6,21.780001,21.1,21.290001,16.079905,17000
2012-04-16,21.389999,22.049999,21.35,21.940001,16.570837,3700
2012-04-17,22.049999,22.950001,21.719999,22.42,16.933369,6200
2012-04-18,22.309999,22.450001,21.9,21.959999,16.585939,4000
2012-04-19,22.120001,22.98,21.5,21.52,16.253624,6600
2012-04-20,22.950001,22.950001,21.6,21.73,16.412226,11000
2012-04-23,21.299999,21.540001,20.52,20.52,15.498339,22100
2012-04-24,20.52,21.84,20.52,21.82,16.480198,7300
2012-04-25,22,22.780001,22,22.780001,17.205265,4200
2012-04-26,22.610001,22.719999,22.299999,22.620001,17.084425,3100
2012-04-27,22.6,23.15,22.6,22.969999,17.464588,19000
2012-04-30,22.299999,22.51,21.719999,22.08,16.787899,8100
2012-05-01,22.08,22.860001,21.01,21.059999,16.012369,11000
2012-05-02,20.9,21.1,20.190001,20.49,15.578991,10200
2012-05-03,20.5,21.01,20.040001,20.120001,15.297669,11000
2012-05-04,20.02,20.33,20.02,20.200001,15.358497,11900
2012-05-07,20.139999,20.59,20.059999,20.25,15.396511,3400
2012-05-08,20.02,21.530001,20.02,21.040001,15.997166,20400
2012-05-09,20.91,21.07,20.459999,20.459999,15.556179,4300
2012-05-10,20.889999,21,20.889999,20.99,15.959151,800
2012-05-11,20.75,21.700001,20.16,21.700001,16.498983,5600
2012-05-14,21.48,21.559999,20.440001,20.440001,15.540968,8400
2012-05-15,20.549999,20.799999,20.200001,20.200001,15.358497,3500
2012-05-16,20.389999,20.74,20.049999,20.049999,15.244448,3400
2012-05-17,20.27,20.799999,20.15,20.17,15.335686,9300
2012-05-18,20.110001,20.719999,20.110001,20.280001,15.419323,10000
2012-05-21,20.459999,21.48,20.459999,21.469999,16.324104,7900
2012-05-22,21.4,22.35,20.860001,20.860001,15.860312,8500
2012-05-23,20.790001,21.35,20.209999,20.360001,15.480147,6000
2012-05-24,20.48,21.24,20.370001,20.9,15.890723,12600
2012-05-25,21,21.75,20.51,21.299999,16.194849,11000
2012-05-29,21.41,21.450001,21.16,21.450001,16.308897,7600
2012-05-30,21.09,21.48,20.65,20.65,15.700643,8300
2012-05-31,21.01,21.24,20.309999,20.309999,15.442129,18600
2012-06-01,20.01,20.049999,19.51,19.610001,14.909906,16700
2012-06-04,19.68,20.33,19.68,20.129999,15.305272,2700
2012-06-05,20.040001,20.940001,20.040001,20.85,15.852707,10300
2012-06-06,21.030001,21.83,20.9,21.77,16.552198,7500
2012-06-07,21.99,22,21.110001,21.799999,16.575012,11900
2012-06-08,21.67,22.33,21.67,22.33,16.977983,4500
2012-06-11,22.35,22.35,21.290001,21.5,16.346916,12100
2012-06-12,21.610001,22.209999,21.48,22.09,16.795504,4800
2012-06-13,22.07,22.07,21.110001,21.27,16.172043,9000
2012-06-14,21.51,22.15,21.15,22.139999,16.833519,6900
2012-06-15,22.190001,23,21.91,23,17.487392,31200
2012-06-18,22.690001,22.690001,21.85,22.530001,17.130043,10100
2012-06-19,22.57,23,21.530001,23,17.487392,15700
2012-06-20,22.4,22.950001,22.18,22.700001,17.2593,3700
2012-06-21,22.73,22.73,22.02,22.07,16.780302,7400
2012-06-22,22.34,22.99,22.040001,22.92,17.426573,27600
2012-06-25,22.309999,22.82,21.65,22.450001,17.069223,5700
2012-06-26,22.59,22.75,22.209999,22.75,17.297316,3500
2012-06-27,22.68,23.02,22.26,22.99,17.479788,7200
2012-06-28,22.799999,22.84,22.16,22.4,17.031199,7200
2012-06-29,23.01,23.01,22.809999,22.99,17.479788,14700
2012-07-02,23,23.139999,22.950001,23.139999,17.593845,13000
2012-07-03,23.08,23.25,23.08,23.25,17.677475,5200
2012-07-05,23,23.25,22.99,23,17.487392,4800
2012-07-06,22.67,23.190001,22.49,22.559999,17.152853,5600
2012-07-09,22.5,22.74,22.5,22.690001,17.251696,1400
2012-07-10,22.93,22.959999,22.5,22.959999,17.456985,6300
2012-07-11,22.83,22.950001,22.51,22.65,17.221285,9600
2012-07-12,22.75,22.940001,22.74,22.82,17.350542,13100
2012-07-13,23,23.719999,22.92,23.719999,18.03483,6900
2012-07-16,23.559999,23.559999,22.99,23.15,17.601446,1900
2012-07-17,23.200001,23.25,22.040001,22.780001,17.320124,11700
2012-07-18,22.84,23,22.42,22.76,17.304922,18600
2012-07-19,22.549999,22.889999,22.200001,22.52,17.122444,4700
2012-07-20,22.48,23.59,22.23,22.25,16.917156,9400
2012-07-23,22.01,22.879999,22.01,22.24,16.909548,6600
2012-07-24,22.41,22.41,22.01,22.15,16.841124,7100
2012-07-25,22.43,22.5,22.01,22.110001,16.810717,11400
2012-07-26,22.620001,22.620001,22.1,22.219999,16.894344,10800
2012-07-27,22.25,22.790001,22.059999,22.58,17.168066,11400
2012-07-30,22.51,22.51,22.1,22.1,16.915476,3200
2012-07-31,22.120001,22.120001,21.469999,21.639999,16.563389,11200
2012-08-01,21.870001,21.870001,20.15,20.16,15.430586,16200
2012-08-02,20.190001,20.549999,20.059999,20.34,15.568361,8600
