Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,4.55,4.59,4.3,4.39,4.39,590500
2012-02-22,4.37,4.37,4.18,4.19,4.19,351300
2012-02-23,4.22,4.25,4.17,4.21,4.21,336800
2012-02-24,4.2,4.45,4.11,4.31,4.31,1125600
2012-02-27,4.27,4.44,4.22,4.39,4.39,133900
2012-02-28,4.43,4.54,4.38,4.51,4.51,502700
2012-02-29,4.51,4.8,4.49,4.66,4.66,640400
2012-03-01,4.72,4.82,4.63,4.73,4.73,439500
2012-03-02,4.73,4.88,4.63,4.69,4.69,418300
2012-03-05,4.7,5.6,4.69,5.58,5.58,2239100
2012-03-06,5.47,5.65,5.14,5.61,5.61,1547400
2012-03-07,5.54,5.95,5.51,5.59,5.59,1095000
2012-03-08,5.62,5.67,5.38,5.51,5.51,477600
2012-03-09,5.5,5.72,5.44,5.59,5.59,327800
2012-03-12,5.62,5.7,5.51,5.55,5.55,262200
2012-03-13,5.3,5.36,4.78,5.26,5.26,1126300
2012-03-14,5.24,5.44,5.21,5.36,5.36,294600
2012-03-15,5.34,5.35,5.12,5.23,5.23,309800
2012-03-16,5.24,5.47,5.22,5.37,5.37,494000
2012-03-19,5.36,5.51,5.29,5.41,5.41,437600
2012-03-20,5.37,5.39,5.15,5.27,5.27,208000
2012-03-21,5.26,5.3,5.19,5.24,5.24,154500
2012-03-22,5.18,5.3,5.18,5.28,5.28,291100
2012-03-23,5.28,5.3,5.04,5.17,5.17,201500
2012-03-26,5.16,5.29,5.09,5.26,5.26,189100
2012-03-27,5.28,5.28,5.11,5.21,5.21,359400
2012-03-28,5.25,5.25,4.97,5.03,5.03,196500
2012-03-29,5,5.14,4.91,5.13,5.13,153500
2012-03-30,5.13,5.13,4.82,4.83,4.83,307200
2012-04-02,4.82,4.97,4.64,4.97,4.97,260200
2012-04-03,4.97,5,4.77,4.82,4.82,176800
2012-04-04,4.79,4.86,4.64,4.73,4.73,319300
