Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,2.96,2.96,2.8,2.8,2.8,63800
2012-02-22,2.79,2.95,2.75,2.76,2.76,65100
2012-02-23,2.97,3.07,2.82,3.03,3.03,241200
2012-02-24,3.03,3.15,3.02,3.1,3.1,90900
2012-02-27,3.11,3.32,3.1,3.26,3.26,125200
2012-02-28,3.26,3.38,3.21,3.37,3.37,76700
2012-02-29,3.37,3.44,3.18,3.19,3.19,92700
2012-03-01,3.2,3.27,3.13,3.18,3.18,91600
2012-03-02,3.22,3.29,3.08,3.1,3.1,203400
2012-03-05,3.1,3.23,3.04,3.12,3.12,63400
2012-03-06,3.1,3.15,3.05,3.1,3.1,140100
2012-03-07,3.1,3.24,3.1,3.18,3.18,107300
2012-03-08,3.07,3.15,3.07,3.11,3.11,86400
2012-03-09,3.11,3.16,3.1,3.11,3.11,78000
2012-03-12,3.13,3.13,3.08,3.08,3.08,81000
2012-03-13,3.09,3.18,3.08,3.16,3.16,167900
2012-03-14,3.16,3.19,3.1,3.1,3.1,56000
2012-03-15,3.11,3.12,3.07,3.11,3.11,49300
2012-03-16,3.11,3.11,3.02,3.04,3.04,137300
2012-03-19,3.04,3.15,3.03,3.11,3.11,91100
2012-03-20,3.07,3.12,3.05,3.06,3.06,33600
2012-03-21,3.05,3.11,3.05,3.06,3.06,82200
2012-03-22,3.03,3.09,3.03,3.09,3.09,34700
2012-03-23,3.05,3.09,3.05,3.07,3.07,33400
2012-03-26,3.11,3.18,3.07,3.17,3.17,68600
2012-03-27,3.17,3.17,3.12,3.14,3.14,40200
2012-03-28,3.14,3.14,3.09,3.12,3.12,40100
2012-03-29,3.1,3.16,3.1,3.12,3.12,27800
2012-03-30,3.15,3.15,3.08,3.08,3.08,35700
2012-04-02,3.07,3.13,3.02,3.11,3.11,58600
2012-04-03,3.1,3.13,3,3.02,3.02,45500
2012-04-04,3,3.09,2.99,3.06,3.06,67400
2012-04-05,3.04,3.07,3.03,3.06,3.06,29100
2012-04-09,2.99,3.05,2.98,3.02,3.02,59200
2012-04-10,3.02,3.04,2.97,3.02,3.02,82500
2012-04-11,3.04,3.09,3.04,3.09,3.09,59900
2012-04-12,3.08,3.14,3.08,3.1,3.1,49400
2012-04-13,3.07,3.09,3.03,3.04,3.04,60600
2012-04-16,3.06,3.1,3.03,3.05,3.05,55700
2012-04-17,3.09,3.15,3.03,3.08,3.08,51800
2012-04-18,3.05,3.13,3.05,3.07,3.07,47000
2012-04-19,3.06,3.1,3.02,3.02,3.02,60600
2012-04-20,3.08,3.08,2.95,2.99,2.99,70700
2012-04-23,2.95,3,2.95,2.98,2.98,69300
2012-04-24,2.96,3.01,2.92,3.01,3.01,45500
2012-04-25,3.06,3.07,2.91,2.95,2.95,39800
2012-04-26,2.94,2.96,2.9,2.91,2.91,30200
2012-04-27,2.91,2.91,2.85,2.87,2.87,50000
2012-04-30,2.88,2.9,2.82,2.82,2.82,63400
2012-05-01,2.82,2.91,2.71,2.73,2.73,81000
2012-05-02,2.7,2.87,2.68,2.8,2.8,77000
2012-05-03,2.77,2.83,2.68,2.74,2.74,66700
2012-05-04,2.72,2.73,2.66,2.69,2.69,59300
2012-05-07,2.73,2.95,2.65,2.92,2.92,74200
2012-05-08,2.89,2.91,2.82,2.86,2.86,57800
