Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,2.55,2.55,2.28,2.4,2.131772,202600
2012-02-22,2.28,2.38,2.25,2.31,2.051831,41100
2012-02-23,2.35,2.44,2.3,2.42,2.149537,64000
2012-02-24,2.4,2.41,2.3,2.4,2.131772,56900
2012-02-27,2.34,2.39,2.25,2.36,2.096243,51800
2012-02-28,2.34,2.36,2.3,2.35,2.08736,44300
2012-02-29,2.35,2.35,2.2,2.26,2.007419,71100
2012-03-01,2.22,2.4,2.22,2.36,2.096243,62100
2012-03-02,2.34,2.35,2.3,2.3,2.042948,6000
2012-03-05,2.33,2.33,2.14,2.28,2.025183,50600
2012-03-06,2.34,2.34,2.05,2.26,2.007419,36000
2012-03-07,2.22,2.28,2.22,2.26,2.007419,32000
2012-03-08,2.25,2.3,2.21,2.29,2.034066,36200
2012-03-09,2.28,2.29,2.21,2.25,1.998536,17600
2012-03-12,2.24,2.24,2.21,2.22,1.971889,6500
2012-03-13,2.27,2.27,2.1,2.23,1.980772,47000
2012-03-14,2.26,2.37,2.25,2.35,2.08736,105000
2012-03-15,2.39,2.48,2.38,2.46,2.185066,51300
2012-03-16,2.49,2.49,2.4,2.46,2.185066,28600
2012-03-19,2.45,2.45,2.41,2.42,2.149537,9500
2012-03-20,2.42,2.42,2.38,2.42,2.149537,15600
2012-03-21,2.41,2.45,2.4,2.44,2.167302,7800
2012-03-22,2.44,2.44,2.35,2.37,2.105125,4800
2012-03-23,2.4,2.44,2.4,2.4,2.131772,18000
2012-03-26,2.49,2.51,2.44,2.49,2.211714,45300
2012-03-27,2.49,2.5,2.42,2.5,2.220596,39300
2012-03-28,2.49,2.51,2.44,2.5,2.220596,36800
2012-03-29,2.48,2.48,2.37,2.47,2.193949,5600
2012-03-30,2.47,2.5,2.41,2.5,2.220596,45900
2012-04-02,2.49,2.62,2.48,2.52,2.238361,18100
2012-04-03,2.62,2.65,2.51,2.57,2.282773,27000
2012-04-04,2.57,2.63,2.48,2.48,2.202831,8700
2012-04-05,2.55,2.56,2.48,2.49,2.211714,2500
2012-04-09,2.51,2.51,2.32,2.37,2.105125,9100
2012-04-10,2.31,2.33,2.3,2.31,2.051831,18400
2012-04-11,2.35,2.42,2.33,2.39,2.12289,1000
2012-04-12,2.38,2.43,2.35,2.36,2.096243,16600
2012-04-13,2.4,2.4,2.33,2.38,2.114007,1400
2012-04-16,2.35,2.39,2.3,2.34,2.078478,12900
2012-04-17,2.38,2.44,2.36,2.43,2.158419,4700
2012-04-18,2.31,2.41,2.28,2.41,2.140655,18400
2012-04-19,2.39,2.46,2.31,2.36,2.096243,25600
2012-04-20,2.37,2.37,2.3,2.37,2.105125,3300
2012-04-23,2.33,2.39,2.2,2.39,2.12289,7300
2012-04-24,2.25,2.46,2.23,2.41,2.140655,13200
2012-04-25,2.41,2.44,2.32,2.4,2.131772,2900
2012-04-26,2.44,2.44,2.32,2.33,2.069596,3600
2012-04-27,2.37,2.48,2.23,2.35,2.08736,41500
2012-04-30,2.39,2.46,2.3,2.39,2.12289,3200
2012-05-01,2.44,2.44,2.34,2.41,2.140655,17000
2012-05-02,2.35,2.43,2.35,2.41,2.140655,8000
2012-05-03,2.5,2.53,2.35,2.51,2.229478,47000
2012-05-04,2.47,2.5,2.33,2.42,2.149537,9400
2012-05-07,2.41,2.44,2.29,2.42,2.149537,9100
2012-05-08,2.32,2.51,2.32,2.51,2.229478,38400
2012-05-09,2.37,2.45,2.33,2.44,2.167302,18000
2012-05-10,2.44,2.52,2.37,2.44,2.167302,2400
2012-05-11,2.36,2.42,2.36,2.37,2.105125,2800
2012-05-14,2.36,2.38,2.3,2.38,2.114007,12800
2012-05-15,2.36,2.37,2.36,2.37,2.105125,6800
2012-05-16,2.35,2.48,2.27,2.46,2.185066,13900
2012-05-17,2.45,2.45,2.3,2.38,2.114007,16600
2012-05-18,2.33,2.35,2.32,2.32,2.060713,2400
2012-05-21,2.3,2.36,2.3,2.32,2.060713,5200
2012-05-22,2.28,2.3,2.27,2.3,2.042948,600
2012-05-23,2.25,2.26,2.25,2.25,1.998536,10000
2012-05-24,2.28,2.3,2.12,2.17,1.927477,22900
2012-05-25,2.25,2.25,2.25,2.25,1.998536,2200
2012-05-29,2.24,2.26,2.19,2.22,1.971889,7900
2012-05-30,2.2,2.2,2.18,2.2,1.954125,11400
2012-05-31,2.14,2.18,2.05,2.18,1.93636,9000
2012-06-01,2.05,2.1,2.05,2.08,1.847536,2800
2012-06-04,2.09,2.16,2.03,2.16,1.918595,8700
2012-06-05,2.08,2.23,2.08,2.23,1.980772,8000
2012-06-06,2.18,2.36,2.18,2.36,2.096243,2200
2012-06-07,2.36,2.36,2.2,2.32,2.060713,17700
2012-06-08,2.22,2.31,2.15,2.3,2.042948,9800
2012-06-11,2.32,2.46,2.25,2.4,2.131772,12100
2012-06-12,2.4,2.4,2.32,2.38,2.114007,10100
2012-06-13,2.36,2.43,2.36,2.42,2.149537,10100
2012-06-14,2.42,2.43,2.34,2.39,2.12289,7500
2012-06-15,2.39,2.42,2.39,2.42,2.149537,1200
2012-06-18,2.35,2.43,2.31,2.35,2.08736,8800
2012-06-19,2.31,2.36,2.28,2.34,2.078478,4700
2012-06-20,2.21,2.26,2.21,2.24,1.989654,5500
2012-06-21,2.24,2.27,2.24,2.24,1.989654,3100
2012-06-22,2.3,2.33,2.3,2.33,2.069596,500
2012-06-25,2.24,2.24,2.23,2.23,1.980772,1400
2012-06-26,2.23,2.23,2.21,2.21,1.963007,1600
2012-06-27,2.2,2.21,2.15,2.21,1.963007,25900
2012-06-28,2.22,2.27,2.18,2.19,1.945242,17800
2012-06-29,2.25,2.27,2.24,2.27,2.016301,1700
2012-07-02,2.22,2.23,2.22,2.22,1.971889,16200
2012-07-03,2.22,2.26,2.21,2.21,1.963007,2400
2012-07-05,2.24,2.26,2.24,2.24,1.989654,1600
2012-07-06,2.21,2.26,2.21,2.26,2.007419,1000
2012-07-09,2.23,2.26,2.1,2.25,1.998536,19900
2012-07-10,2.25,2.25,2.17,2.17,1.927477,7300
2012-07-11,2.17,2.23,2.17,2.2,1.954125,5700
2012-07-12,2.2,2.25,2.2,2.23,1.980772,16600
2012-07-13,2.24,2.25,2.19,2.23,1.980772,8000
2012-07-16,2.19,2.22,2.1,2.21,1.963007,44900
2012-07-17,2.14,2.24,2.09,2.12,1.883065,6100
2012-07-18,2.14,2.15,2.1,2.14,1.90083,3400
2012-07-19,2.08,2.11,2.01,2.1,1.8653,10300
2012-07-20,2.05,2.09,2.05,2.08,1.847536,5500
2012-07-23,2.06,2.06,2.01,2.02,1.794242,6500
2012-07-24,2,2.03,1.81,1.95,1.732065,28600
2012-07-25,1.96,1.96,1.95,1.95,1.732065,3400
2012-07-26,1.97,1.99,1.97,1.98,1.758712,5100
2012-07-27,2,2.07,1.89,2.02,1.794242,4800
2012-07-30,1.96,2.04,1.96,2.03,1.803124,4600
2012-07-31,2,2.16,2,2.1,1.8653,11800
2012-08-01,2.11,2.22,2.1,2.13,1.891948,19700
2012-08-02,2.07,2.16,2.07,2.09,1.856418,1100
2012-08-03,2.15,2.15,2,2,1.776477,200
