Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,9.87,9.93,9.65,9.69,9.69,19300
2012-02-22,9.86,10.15,9.76,10,10,13700
2012-02-23,10,10.3,9.81,10.2,10.2,14000
2012-02-24,10.22,10.52,10.12,10.28,10.28,16000
2012-02-27,10.15,10.5,10,10.44,10.44,10700
2012-02-28,10.86,10.97,10.56,10.67,10.67,42800
2012-02-29,10.75,10.93,10.45,10.62,10.62,183100
2012-03-01,10.62,10.62,10.29,10.32,10.32,46500
2012-03-02,10.36,10.52,9.77,9.79,9.79,31900
2012-03-05,9.78,10.54,9.76,10.24,10.24,42800
2012-03-06,10.05,10.4,9.55,9.82,9.82,101100
2012-03-07,9.71,9.99,9.71,9.94,9.94,14800
2012-03-08,9.99,10.29,9.78,10.25,10.25,15700
2012-03-09,10.2,10.59,10.2,10.38,10.38,18200
2012-03-12,10.31,10.49,10.22,10.26,10.26,8400
2012-03-13,10.28,10.3,10.01,10.25,10.25,20900
2012-03-14,10.26,10.44,9.91,10.01,10.01,32100
2012-03-15,10.06,10.74,9.88,10.54,10.54,25100
2012-03-16,10.61,10.61,9.9,9.91,9.91,55900
2012-03-19,10,10.5,10,10.28,10.28,30600
2012-03-20,10.2,10.36,9.89,10,10,14900
2012-03-21,10,10.07,9.89,9.93,9.93,19400
2012-03-22,9.9,10,9.46,9.54,9.54,17200
2012-03-23,9.49,9.96,9.49,9.91,9.91,19800
2012-03-26,10.07,10.31,9.87,10.11,10.11,32200
2012-03-27,10.11,10.11,9.64,9.67,9.67,19000
2012-03-28,9.68,9.7,9.41,9.55,9.55,27000
2012-03-29,9.33,9.55,9.03,9.09,9.09,50600
2012-03-30,9.22,9.44,9.12,9.2,9.2,38700
2012-04-02,9.18,9.83,9.16,9.75,9.75,23200
2012-04-03,9.68,9.73,9.49,9.58,9.58,28900
2012-04-04,9.54,9.54,8.87,9.11,9.11,34300
2012-04-05,8.88,8.99,8.6,8.87,8.87,31100
2012-04-09,8.64,8.85,8.61,8.65,8.65,24000
2012-04-10,8.63,8.84,8.15,8.26,8.26,35000
2012-04-11,8.35,8.38,8.04,8.2,8.2,42100
2012-04-12,8.19,8.64,8,8.41,8.41,128000
2012-04-13,8.34,8.42,8.22,8.27,8.27,24700
2012-04-16,8.36,8.58,8.36,8.54,8.54,11100
2012-04-17,8.65,8.75,8.53,8.6,8.6,33600
2012-04-18,8.5,8.58,8.45,8.45,8.45,24900
2012-04-19,8.46,8.55,8.05,8.1,8.1,11100
2012-04-20,8.29,8.4,8.13,8.24,8.24,20600
2012-04-23,8.05,8.43,8.05,8.21,8.21,31500
2012-04-24,8.19,8.57,8.13,8.46,8.46,45100
2012-04-25,8.58,9.14,8.46,8.98,8.98,33400
2012-04-26,8.98,9.02,8.74,8.77,8.77,19700
2012-04-27,8.77,8.89,8.77,8.87,8.87,13000
2012-04-30,8.91,8.91,8.35,8.43,8.43,23000
2012-05-01,8.49,8.77,8.41,8.44,8.44,25000
2012-05-02,8.99,9.09,8.52,9.03,9.03,115000
2012-05-03,9.02,9.04,8.7,8.72,8.72,20000
2012-05-04,8.65,8.7,8.12,8.16,8.16,31200
2012-05-07,8.16,8.48,8.14,8.38,8.38,21000
2012-05-08,8.22,8.75,8.22,8.6,8.6,26200
2012-05-09,8.31,8.74,8.25,8.66,8.66,42000
2012-05-10,8.8,8.85,8.59,8.68,8.68,32000
2012-05-11,8.49,8.51,8.27,8.34,8.34,31100
2012-05-14,8.16,8.5,8.16,8.25,8.25,22400
2012-05-15,8.16,8.34,8.16,8.19,8.19,15000
2012-05-16,8.15,8.35,7.94,7.95,7.95,27200
2012-05-17,7.89,8.18,7.75,7.8,7.8,31000
2012-05-18,7.72,8.63,7.7,8.21,8.21,41800
2012-05-21,8.22,8.4,7.99,8.08,8.08,30800
2012-05-22,8.08,8.19,7.61,7.8,7.8,29000
2012-05-23,7.7,7.99,7.48,7.84,7.84,31000
2012-05-24,7.8,8.1,7.69,8.1,8.1,27500
2012-05-25,8.04,8.04,7.82,7.89,7.89,7600
2012-05-29,7.95,8.02,7.78,7.94,7.94,22500
2012-05-30,7.82,7.94,7.61,7.67,7.67,18700
2012-05-31,7.73,8.28,7.5,7.56,7.56,54400
2012-06-01,7.35,7.53,7.15,7.17,7.17,38600
2012-06-04,7.15,7.15,6.86,6.89,6.89,32400
2012-06-05,6.87,7.07,6.74,6.94,6.94,18900
2012-06-06,6.98,7.23,6.76,7.14,7.14,65500
2012-06-07,7.29,7.29,6.99,7.13,7.13,18700
2012-06-08,7.07,7.27,6.98,7.27,7.27,12100
2012-06-11,7.39,7.39,6.98,6.98,6.98,27400
2012-06-12,7.07,7.4,6.86,7.37,7.37,17200
2012-06-13,7.4,7.68,7.11,7.23,7.23,25600
2012-06-14,7.25,7.7,7.21,7.62,7.62,27700
2012-06-15,7.59,7.87,7.32,7.66,7.66,66200
2012-06-18,7.56,7.79,7.54,7.58,7.58,28500
2012-06-19,7.5,7.9,7.48,7.75,7.75,52800
2012-06-20,7.72,7.88,7.41,7.59,7.59,40200
2012-06-21,7.65,8,7.65,7.82,7.82,71100
2012-06-22,7.94,7.97,7.21,7.24,7.24,497600
2012-06-25,7.11,7.25,6.68,6.77,6.77,70200
2012-06-26,6.8,7.04,6.8,6.97,6.97,34800
2012-06-27,7,7.1,6.59,6.82,6.82,26500
2012-06-28,6.76,7.16,6.76,7.11,7.11,31600
2012-06-29,7.32,7.33,7.12,7.21,7.21,60600
2012-07-02,7.25,7.31,7,7.11,7.11,38800
2012-07-03,7.1,7.32,6.96,7.3,7.3,35200
2012-07-05,7.18,7.4,7.14,7.21,7.21,14200
2012-07-06,7.15,7.15,6.85,6.93,6.93,26900
2012-07-09,6.95,7.1,6.77,7.08,7.08,34600
2012-07-10,7.17,7.39,6.99,7.28,7.28,57400
2012-07-11,7.28,7.68,7.17,7.51,7.51,39700
2012-07-12,7.46,7.89,7.37,7.79,7.79,42600
2012-07-13,7.8,7.91,7.7,7.77,7.77,31400
2012-07-16,7.71,7.73,7.04,7.15,7.15,68100
2012-07-17,7.18,7.28,6.86,6.89,6.89,51600
2012-07-18,6.86,6.88,6.48,6.51,6.51,58400
2012-07-19,6.51,7.14,6.5,7.12,7.12,44200
2012-07-20,7.05,7.52,7.05,7.3,7.3,85300
2012-07-23,7.1,7.25,7,7,7,28600
2012-07-24,7,7.18,6.98,7.03,7.03,59400
2012-07-25,7.1,7.19,6.97,7.01,7.01,50900
2012-07-26,7.1,7.16,6.95,7.07,7.07,23800
2012-07-27,7.02,7.3,6.92,7.2,7.2,35500
2012-07-30,7.18,7.3,7.05,7.15,7.15,15300
2012-07-31,7.13,7.34,7.08,7.1,7.1,38000
2012-08-01,8.51,11,8.51,9.94,9.94,1220100
2012-08-02,9.66,10.17,8.98,9.11,9.11,244400
2012-08-03,9.66,9.66,9.2,9.28,9.28,64100
2012-08-06,9.34,9.34,8.52,8.58,8.58,59600
2012-08-07,8.61,9,8.6,8.69,8.69,88000
2012-08-08,8.63,8.74,8.5,8.51,8.51,20900
2012-08-09,8.47,9.08,8.26,8.69,8.69,31000
2012-08-10,8.7,8.93,8.58,8.65,8.65,35000
2012-08-13,8.62,8.62,8.41,8.49,8.49,19800
2012-08-14,8.55,8.65,8.35,8.43,8.43,13200
2012-08-15,8.42,8.72,8.35,8.72,8.72,12200
2012-08-16,8.69,8.91,8.5,8.75,8.75,31600
2012-08-17,8.74,8.95,8.64,8.84,8.84,16600
2012-08-20,8.82,9.03,8.8,8.86,8.86,29100
2012-08-21,8.94,9.4,8.6,8.62,8.62,37000
2012-08-22,8.64,8.86,8.52,8.7,8.7,26600
2012-08-23,8.73,8.86,8.26,8.4,8.4,16400
2012-08-24,8.34,8.67,8.32,8.38,8.38,8800
2012-08-27,8.27,8.5,8.27,8.4,8.4,13000
2012-08-28,8.38,8.67,8.38,8.59,8.59,29300
2012-08-29,8.75,8.75,8.52,8.6,8.6,27800
2012-08-30,8.5,8.68,8.36,8.36,8.36,10800
2012-08-31,8.42,8.42,8.13,8.16,8.16,12900
2012-09-04,8.49,8.74,8.12,8.3,8.3,20200
2012-09-05,8.29,8.41,8.11,8.18,8.18,22000
2012-09-06,8.25,8.52,8.05,8.44,8.44,29700
2012-09-07,8.46,8.46,8.09,8.21,8.21,49500
2012-09-10,8.16,8.34,8.05,8.13,8.13,22400
2012-09-11,8.09,8.55,7.75,8.39,8.39,39500
2012-09-12,8.3,8.6,8.1,8.34,8.34,16800
2012-09-13,8.3,8.75,8.3,8.71,8.71,37000
2012-09-14,8.7,9.2,8.62,9.15,9.15,58400
2012-09-17,9.04,9.41,8.84,9.39,9.39,24200
2012-09-18,9.4,9.75,9.31,9.63,9.63,49400
2012-09-19,9.49,10.3,9.39,10.04,10.04,91900
2012-09-20,9.98,10.22,9.55,9.94,9.94,58800
2012-09-21,10.18,10.5,9.86,10.01,10.01,288300
2012-09-24,9.95,10.07,9.63,9.91,9.91,20100
2012-09-25,9.9,9.9,9.48,9.68,9.68,41200
2012-09-26,9.67,9.9,9.65,9.8,9.8,22000
2012-09-27,9.84,10,9.69,9.97,9.97,16300
2012-09-28,9.96,10.12,9.68,9.71,9.71,37200
2012-10-01,9.75,10.2,9.73,10.01,10.01,18500
2012-10-02,10.2,10.2,9.89,9.96,9.96,36900
2012-10-03,10.01,10.01,9.56,9.87,9.87,19200
2012-10-04,9.9,10,9.73,9.99,9.99,46300
2012-10-05,10.1,10.25,9.96,10.18,10.18,65100
2012-10-08,10.16,10.16,9.82,9.88,9.88,25200
2012-10-09,9.86,9.86,9.36,9.49,9.49,30600
2012-10-10,9.47,9.55,9.05,9.25,9.25,22500
2012-10-11,9.33,9.33,8.94,9.01,9.01,22400
2012-10-12,9.08,9.17,8.72,8.81,8.81,20400
2012-10-15,8.82,8.96,8.7,8.87,8.87,11900
2012-10-16,8.87,9.1,8.71,8.8,8.8,39100
2012-10-17,8.73,8.85,8.59,8.77,8.77,9200
2012-10-18,8.8,8.8,8.64,8.71,8.71,11700
2012-10-19,8.7,8.84,8.57,8.73,8.73,51300
2012-10-22,8.81,8.81,8.7,8.73,8.73,14700
2012-10-23,8.65,8.75,8.57,8.7,8.7,24800
2012-10-24,8.74,9,8.65,8.71,8.71,21500
2012-10-25,8.81,8.81,8.64,8.74,8.74,23000
2012-10-26,8.71,8.8,8.66,8.7,8.7,12000
2012-10-31,8.8,8.8,8.5,8.6,8.6,11900
2012-11-01,8.58,8.58,8.46,8.49,8.49,21000
2012-11-02,8.5,8.75,8.28,8.36,8.36,34200
2012-11-05,8.25,8.25,8.05,8.19,8.19,53300
2012-11-06,8.23,8.49,8.2,8.49,8.49,16900
2012-11-07,8.5,8.88,8.2,8.25,8.25,70800
2012-11-08,8.26,8.27,8.01,8.06,8.06,35100
2012-11-09,8,8.3,7.81,7.91,7.91,33300
2012-11-12,7.95,8.39,7.95,8.19,8.19,389900
2012-11-13,8.21,8.39,8.15,8.28,8.28,28700
2012-11-14,8.29,8.29,8.03,8.03,8.03,37000
2012-11-15,8,8.06,7.79,7.84,7.84,34500
2012-11-16,7.85,8.13,7.45,7.48,7.48,49300
2012-11-19,7.57,7.94,7.41,7.59,7.59,57300
2012-11-20,7.65,7.65,7.5,7.6,7.6,15100
2012-11-21,7.61,7.61,7.42,7.56,7.56,26300
2012-11-23,7.6,8.25,7.56,7.92,7.92,11800
2012-11-26,7.92,8.18,7.92,8.14,8.14,19600
2012-11-27,8.16,8.4,8.08,8.24,8.24,17600
2012-11-28,8.86,8.91,8.08,8.3,8.3,14200
2012-11-29,8.39,8.98,8.17,8.49,8.49,13600
2012-11-30,8.48,8.6,8.26,8.55,8.55,18400
2012-12-03,8.6,8.6,8.31,8.35,8.35,10100
2012-12-04,8.35,8.35,7.71,7.95,7.95,28100
2012-12-05,8,8,7.5,7.65,7.65,14800
2012-12-06,7.67,7.79,7.56,7.66,7.66,11700
2012-12-07,7.72,8.02,7.72,7.88,7.88,27500
2012-12-10,7.92,7.95,7.56,7.9,7.9,15900
2012-12-11,7.97,8.2,7.69,7.77,7.77,62600
2012-12-12,7.81,8.03,7.65,7.8,7.8,40600
2012-12-13,7.56,7.91,7.56,7.66,7.66,26100
2012-12-14,7.66,7.78,7.5,7.57,7.57,32700
2012-12-17,7.6,7.8,7.5,7.67,7.67,31300
2012-12-18,7.5,7.81,7.5,7.58,7.58,28000
2012-12-19,7.5,7.55,7.46,7.5,7.5,31000
2012-12-20,7.5,7.72,7.32,7.71,7.71,95800
2012-12-21,7.73,7.83,7.37,7.83,7.83,316700
2012-12-24,7.81,7.81,7.55,7.58,7.58,17200
2012-12-26,7.97,7.97,7.48,7.53,7.53,12700
2012-12-27,7.5,7.76,7.5,7.58,7.58,11000
2012-12-28,7.58,7.92,7.58,7.87,7.87,27600
2012-12-31,7.88,8.1,7.5,7.92,7.92,64800
2013-01-02,8.1,8.45,8,8.32,8.32,66300
2013-01-03,8.34,8.44,7.41,8.13,8.13,26200
2013-01-04,8.21,8.21,7.67,7.75,7.75,24600
2013-01-07,7.7,7.75,7.55,7.59,7.59,35600
2013-01-08,7.52,7.63,7.33,7.39,7.39,117100
2013-01-09,7.39,7.46,7.24,7.29,7.29,44500
2013-01-10,7.3,7.5,7.25,7.31,7.31,37700
2013-01-11,7.35,7.5,7.32,7.36,7.36,29800
2013-01-14,7.36,7.38,7.18,7.26,7.26,19700
2013-01-15,7.22,7.35,7.13,7.31,7.31,8800
2013-01-16,7.3,7.34,7.21,7.3,7.3,18200
2013-01-17,7.35,7.35,7.25,7.35,7.35,18400
2013-01-18,7.35,7.41,7.25,7.26,7.26,24600
2013-01-22,7.25,7.34,7.1,7.15,7.15,22600
2013-01-23,7.12,7.27,7.06,7.12,7.12,9700
2013-01-24,7.08,7.08,6.8,6.99,6.99,25300
2013-01-25,7,7,6.81,6.88,6.88,10600
2013-01-28,6.87,7.17,6.86,7,7,90500
