Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,6.99,7.14,6.99,7.11,6.232065,40200
2012-02-22,7.15,7.18,6.94,7.05,6.179474,18300
2012-02-23,7.08,7.21,7.08,7.17,6.284656,13800
2012-02-24,7.21,7.24,7.16,7.17,6.284656,26900
2012-02-27,7.18,7.24,7.16,7.2,6.310953,10900
2012-02-28,7.2,7.25,7.07,7.07,6.197005,18300
2012-02-29,7.17,7.24,7.02,7.15,6.267127,11900
2012-03-01,7.21,7.31,7.12,7.24,6.346013,11100
2012-03-02,7.27,7.3,7.08,7.18,6.293421,7600
2012-03-05,7.1,7.2,6.9,6.95,6.091822,45400
2012-03-06,7,7.06,6.91,6.96,6.100589,15700
2012-03-07,7,7.24,6.95,7.2,6.310953,23800
2012-03-08,7.35,7.5,6.9,7.4,6.486258,80800
2012-03-09,7.5,8.2,7.5,7.93,6.950814,98600
2012-03-12,7.9,8.6,7.61,8.58,7.520552,96300
2012-03-13,8.55,8.6,8.39,8.47,7.424134,91300
2012-03-14,8.5,8.5,7.6,8.25,7.231299,101700
2012-03-15,8.15,8.4,7.8,8.2,7.187473,60700
2012-03-16,8.16,8.65,8.02,8.4,7.394339,117600
2012-03-19,8.3,8.5,8.25,8.48,7.464762,51600
2012-03-20,8.47,8.47,8.32,8.42,7.411946,32900
2012-03-21,8.41,8.47,8.35,8.36,7.359128,17400
2012-03-22,8.4,8.4,8.07,8.29,7.297507,15500
2012-03-23,8.16,8.2,8.13,8.16,7.183072,3900
2012-03-26,8.29,8.37,7.71,7.95,6.998213,84600
2012-03-27,7.9,7.9,7.5,7.71,6.786948,43700
2012-03-28,7.77,7.78,7.52,7.69,6.769343,22400
2012-03-29,7.74,7.86,7.5,7.79,6.857368,31400
2012-03-30,7.9,7.93,7.73,7.75,6.822158,14300
2012-04-02,7.82,8.27,7.81,8.25,7.262297,63500
2012-04-03,8.33,8.34,8.18,8.31,7.315114,19600
2012-04-04,8.19,8.26,8.16,8.21,7.227086,19800
2012-04-05,8.24,8.33,8.16,8.23,7.24469,21000
2012-04-09,8.03,8.3,7.82,8.13,7.156664,57500
2012-04-10,8.25,8.25,8.11,8.24,7.253492,12400
2012-04-11,8.24,8.3,8.17,8.27,7.279903,40300
2012-04-12,8.22,8.33,8.22,8.32,7.323915,53800
2012-04-13,8.23,8.25,8.07,8.21,7.227086,37300
2012-04-16,8.13,8.32,8.13,8.28,7.288705,22600
2012-04-17,8.25,8.25,8.18,8.25,7.262297,43100
2012-04-18,8.26,8.33,8.21,8.26,7.271099,13300
2012-04-19,8.26,8.26,8.19,8.22,7.235889,12100
2012-04-20,8.25,8.3,8.09,8.27,7.279903,22700
2012-04-23,8.26,8.35,8.01,8.35,7.350326,38300
2012-04-24,8.35,8.35,8.3,8.35,7.350326,24200
2012-04-25,8.37,8.37,8.03,8.15,7.174268,78300
2012-04-26,8.22,8.28,8.05,8.28,7.288705,37900
2012-04-27,8.21,8.25,8.1,8.1,7.130256,63100
2012-04-30,8.08,8.22,8,8.2,7.218283,46000
2012-05-01,8.18,8.21,8.1,8.15,7.174268,49000
2012-05-02,8.23,8.23,8.11,8.17,7.191873,65800
2012-05-03,8.15,8.23,7.93,7.99,7.033424,49000
2012-05-04,8,8.02,7.39,7.54,6.637299,91400
2012-05-07,7.59,7.85,7.31,7.76,6.830962,22000
2012-05-08,7.67,7.75,7.2,7.49,6.593285,50900
2012-05-09,7.27,7.59,7.16,7.56,6.654905,34000
2012-05-10,8.09,8.09,7.54,7.69,6.769343,23000
2012-05-11,7.6,7.7,7.38,7.47,6.575679,30400
2012-05-14,7.35,7.42,7.09,7.13,6.276385,26100
2012-05-15,7,7.31,7,7.07,6.223569,54000
2012-05-16,7.2,7.49,7.19,7.2,6.338005,53400
2012-05-17,7.16,7.33,7.04,7.11,6.258779,31900
2012-05-18,7.19,7.4,7.11,7.33,6.452442,43800
2012-05-21,7.39,7.42,7.01,7.09,6.241174,54300
2012-05-22,7.03,7.13,6.83,7.04,6.19716,30000
2012-05-23,7.01,7.06,6.87,7.04,6.19716,31000
2012-05-24,7.09,7.15,6.81,7.04,6.19716,32300
2012-05-25,6.97,7.23,6.84,7.15,6.293991,20000
2012-05-29,7.22,7.25,6.89,7.24,6.373215,46200
2012-05-30,7.13,7.22,7.06,7.18,6.320398,22700
2012-05-31,7.25,7.25,7.03,7.08,6.232371,24300
2012-06-01,7.08,7.12,6.99,7.07,6.223569,23900
2012-06-04,7.04,7.11,6.96,7.03,6.188357,28200
2012-06-05,7.12,7.15,7.06,7.08,6.232371,15200
2012-06-06,7.12,7.44,7.12,7.29,6.417231,22200
2012-06-07,7.28,7.45,7.16,7.38,6.496456,26000
2012-06-08,7.41,7.54,7.31,7.45,6.558073,90000
2012-06-11,7.54,7.54,7.23,7.38,6.496456,51000
2012-06-12,7.33,7.65,7.33,7.48,6.584483,50800
2012-06-13,7.41,7.75,7.41,7.63,6.7481,50500
2012-06-14,7.59,8,7.52,7.77,6.871917,92300
2012-06-15,7.73,7.75,7.63,7.74,6.845386,95900
2012-06-18,7.69,7.7,7.51,7.67,6.783476,35600
2012-06-19,7.65,8.11,7.57,8.08,7.146087,47500
2012-06-20,8.14,8.18,7.91,8.11,7.172619,81400
2012-06-21,8.07,8.15,7.49,7.72,6.827696,75300
2012-06-22,7.77,7.8,7.29,7.3,6.456244,1048400
2012-06-25,7.37,7.54,7.11,7.41,6.553528,99600
2012-06-26,7.45,7.65,7.21,7.25,6.412021,44900
2012-06-27,7.22,7.53,7.22,7.4,6.544684,95100
2012-06-28,7.36,7.57,7.24,7.51,6.64197,72500
2012-06-29,7.66,7.94,7.66,7.9,6.986892,82200
2012-07-02,7.88,8,7.8,7.99,7.06649,43700
2012-07-03,8.05,8.1,7.95,8.1,7.163776,32900
2012-07-05,8.01,8.05,7.69,7.75,6.85423,93400
2012-07-06,7.68,7.79,7.45,7.57,6.695035,92400
2012-07-09,7.78,7.96,7.6,7.87,6.96036,60800
2012-07-10,7.96,7.99,7.72,7.82,6.916139,29800
2012-07-11,7.82,8.02,7.73,7.91,6.995737,225100
2012-07-12,7.84,8.18,7.75,8.16,7.216841,44000
2012-07-13,8.2,8.2,8.07,8.14,7.199152,50700
2012-07-16,8.08,8.2,8.08,8.15,7.207995,46400
2012-07-17,8.2,8.22,8.11,8.14,7.199152,21200
2012-07-18,8.04,8.17,8.04,8.16,7.216841,37000
2012-07-19,8.16,8.25,7.93,8.22,7.269906,82500
2012-07-20,8.21,8.25,8.11,8.17,7.225684,41400
2012-07-23,8.08,8.09,7.85,7.85,6.942672,23000
2012-07-24,7.9,7.9,7.7,7.82,6.916139,15700
2012-07-25,7.88,8.04,7.75,8.02,7.093022,49600
2012-07-26,8.15,8.15,7.9,7.99,7.06649,233500
2012-07-27,8,8,7.91,7.99,7.06649,27500
2012-07-30,8.02,8.02,7.96,8,7.075333,17100
2012-07-31,8,8.01,7.85,8,7.075333,50300
2012-08-01,7.94,8.02,7.79,7.9,6.986892,34000
2012-08-02,7.9,8,7.8,7.95,7.031112,15700
2012-08-03,8.02,8.02,7.94,8.02,7.093022,19800
2012-08-06,8,8.02,7.96,7.98,7.057645,45000
2012-08-07,8,8,7.7,7.88,6.969203,74000
2012-08-08,7.85,7.99,7.85,7.97,7.048801,26300
2012-08-09,7.9,8.37,7.9,8.23,7.278749,64000
2012-08-10,8.26,8.34,7.81,8.2,7.252217,286700
2012-08-13,8.15,8.27,8.04,8.09,7.154932,46100
2012-08-14,8.15,8.3,8.15,8.29,7.331814,26800
2012-08-15,8.25,8.99,8.25,8.99,7.950904,128300
2012-08-16,8.99,9.43,8.77,9.35,8.269296,137200
2012-08-17,9.35,9.35,9.04,9.17,8.110101,71700
2012-08-20,9.13,9.25,8.86,9.17,8.110101,104500
2012-08-21,9.2,9.2,9,9.06,8.012814,37700
2012-08-22,9.06,9.21,9.06,9.16,8.101256,25000
2012-08-23,9.18,9.2,9.05,9.16,8.101256,31000
2012-08-24,9.13,9.31,8.93,9.31,8.233921,24800
2012-08-27,9.29,9.75,9.2,9.3,8.225076,69800
2012-08-28,9.3,9.39,9.17,9.23,8.163168,45100
2012-08-29,9.27,9.27,8.92,9.08,8.030505,86600
2012-08-30,9.02,9.16,8.97,9.12,8.06588,52100
2012-08-31,9.19,9.5,9.19,9.48,8.384272,26500
2012-09-04,9.5,9.8,9.42,9.78,8.649596,34400
2012-09-05,9.74,9.9,9.63,9.8,8.667285,116600
2012-09-06,9.85,9.88,9.35,9.54,8.437335,124600
2012-09-07,9.6,9.6,9.03,9.23,8.163168,71300
2012-09-10,9.24,9.49,9.06,9.32,8.242764,37500
2012-09-11,9.32,9.49,9.04,9.48,8.384272,23400
2012-09-12,9.33,9.53,9.33,9.47,8.415373,27400
2012-09-13,9.44,9.75,9.41,9.69,8.610871,57600
2012-09-14,9.78,9.96,9.72,9.84,8.744166,52400
2012-09-17,9.77,9.84,9.75,9.83,8.735283,23500
2012-09-18,9.79,9.84,9.71,9.76,8.673076,30700
2012-09-19,9.75,9.83,9.57,9.59,8.522012,36400
2012-09-20,9.45,9.73,9.15,9.73,8.646419,52100
2012-09-21,9.94,10.18,9.93,10.03,8.913009,103300
2012-09-24,10.07,10.15,10.01,10.08,8.957441,24100
2012-09-25,10.15,10.2,9.8,9.85,8.753054,48300
2012-09-26,9.85,9.87,9.5,9.6,8.530895,54100
2012-09-27,9.6,10.07,9.56,10.02,8.904123,34900
2012-09-28,10.05,10.17,9.74,9.77,8.681961,24700
2012-10-01,9.84,9.9,9.19,9.44,8.388714,68500
2012-10-02,9.49,9.61,9.45,9.47,8.415373,22500
2012-10-03,9.41,9.67,9.34,9.51,8.450917,18000
2012-10-04,9.57,9.66,9.4,9.6,8.530895,28600
2012-10-05,9.61,9.75,9.5,9.67,8.593101,15800
2012-10-08,9.58,9.85,9.35,9.79,8.699735,26100
2012-10-09,9.82,9.82,9.42,9.44,8.388714,29900
2012-10-10,9.42,9.5,9.25,9.31,8.273192,18100
2012-10-11,9.36,9.89,9.36,9.59,8.522012,16300
2012-10-12,9.56,9.59,9.36,9.48,8.424262,8100
2012-10-15,9.5,9.55,9.27,9.49,8.433148,19800
2012-10-16,9.5,9.5,9.36,9.45,8.397601,13100
2012-10-17,9.46,9.57,9.45,9.56,8.495352,5700
2012-10-18,9.55,9.87,9.55,9.82,8.726394,24900
2012-10-19,9.71,9.74,9.17,9.17,8.148784,26900
2012-10-22,9.17,9.35,9.16,9.3,8.264306,21600
2012-10-23,9.26,9.38,9.25,9.29,8.25542,19800
2012-10-24,9.29,9.44,9.21,9.31,8.273192,13100
2012-10-25,9.29,9.48,9.21,9.31,8.273192,34800
2012-10-26,9.28,9.29,8.79,9.01,8.006599,19800
2012-10-31,8.94,9.23,8.75,8.85,7.864419,33700
2012-11-01,8.88,8.99,8.75,8.91,7.917737,27000
2012-11-02,8.91,9.05,8.87,8.97,7.971056,19400
2012-11-05,8.97,9.6,8.91,9.55,8.486465,39100
2012-11-06,9.63,10.04,9.01,9.37,8.326511,86500
2012-11-07,9.42,9.99,9.01,9.9,8.797485,54100
2012-11-08,9.99,10.1,9.86,9.93,8.824144,38500
