Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,130200,130200,126000,130200,130200,0
2012-02-22,117768,121800,117768,121800,121800,0
2012-02-23,118440,126000,117600,117600,117600,0
2012-02-24,114240,121128,114240,117852,117852,0
2012-02-27,130200,130200,130200,130200,130200,0
2012-02-28,126000,142800,126000,126000,126000,0
2012-02-29,126000,130200,126000,127092,127092,0
2012-03-01,123900,192360,119700,163632,163632,0
2012-03-02,159600,159600,126000,126000,126000,0
2012-03-05,124236,124236,115920,117600,117600,0
2012-03-06,115668,121380,88200,88200,88200,0
2012-03-07,90384,100800,88200,100632,100632,0
2012-03-08,89964,96516,88284,92400,92400,0
2012-03-09,96516,109200,94080,107100,107100,0
2012-03-12,117600,117600,92568,98952,98952,0
2012-03-13,97272,100800,91476,92400,92400,0
2012-03-14,92652,92652,88284,88536,88536,0
2012-03-15,88620,92652,84000,84168,84168,0
2012-03-16,100800,100800,84420,91560,91560,0
2012-03-19,99960,99960,86520,88032,88032,0
2012-03-20,86604,87276,76440,77868,77868,0
2012-03-21,83076,83076,74340,74340,74340,0
2012-03-22,74676,79800,73500,73500,73500,0
2012-03-23,71484,79800,71484,75600,75600,0
2012-03-26,71568,73584,71400,73500,73500,0
2012-03-27,75600,83412,75600,76860,76860,0
2012-03-28,76860,76860,73500,73500,73500,0
2012-03-29,75600,75600,75600,75600,75600,0
2012-03-30,73500,74340,73500,74340,74340,0
2012-04-02,74340,74340,74340,74340,74340,0
2012-04-03,74340,74340,67200,69972,69972,0
2012-04-04,69888,71400,69300,71400,71400,0
2012-04-05,71400,71400,71400,71400,71400,0
2012-04-09,67620,67620,67620,67620,67620,0
2012-04-10,65520,67200,63000,63000,63000,0
2012-04-11,60900,60900,54600,60900,60900,0
2012-04-12,60900,60900,60900,60900,60900,0
2012-04-13,60900,60900,60900,60900,60900,0
2012-04-16,60900,60900,60900,60900,60900,0
2012-04-17,60900,60900,60900,60900,60900,0
2012-04-18,60900,60900,60900,60900,60900,0
2012-04-19,60900,60900,60900,60900,60900,0
2012-04-20,61152,63000,52920,63000,63000,0
2012-04-23,63000,63000,63000,63000,63000,0
2012-04-24,63000,63000,63000,63000,63000,0
2012-04-25,63000,63000,63000,63000,63000,0
2012-04-26,63000,63000,63000,63000,63000,0
2012-04-27,57792,57792,57792,57792,57792,0
2012-04-30,66276,66276,61740,61740,61740,0
2012-05-01,57960,66024,57960,66024,66024,0
2012-05-02,59052,66780,58800,58884,58884,0
2012-05-03,58884,58884,58884,58884,58884,0
2012-05-04,58884,58884,58884,58884,58884,0
2012-05-07,58884,58884,58884,58884,58884,0
2012-05-08,63000,63000,63000,63000,63000,0
2012-05-09,63000,63000,63000,63000,63000,0
2012-05-10,63000,63000,63000,63000,63000,0
2012-05-11,63000,63000,63000,63000,63000,0
2012-05-14,63000,63000,63000,63000,63000,0
2012-05-15,56952,56952,54600,54600,54600,0
2012-05-16,54600,54600,54600,54600,54600,0
2012-05-17,54600,54600,54600,54600,54600,0
2012-05-18,56700,56700,56700,56700,56700,0
2012-05-21,54600,54600,54600,54600,54600,0
2012-05-22,54600,54600,54600,54600,54600,0
2012-05-23,54600,54600,54600,54600,54600,0
2012-05-24,54600,54600,54600,54600,54600,0
2012-05-25,50400,50400,50400,50400,50400,0
2012-05-29,50400,50400,50400,50400,50400,0
2012-05-30,50400,50400,50400,50400,50400,0
2012-05-31,44436,44436,42084,42084,42084,0
2012-06-01,46200,58716,46200,58716,58716,0
2012-06-04,58716,58716,50400,52668,52668,0
2012-06-05,52668,52668,52668,52668,52668,0
2012-06-06,50652,50820,50400,50400,50400,0
2012-06-07,50400,50400,50400,50400,50400,0
2012-06-08,50400,50400,50400,50400,50400,0
2012-06-11,50400,50400,50400,50400,50400,0
2012-06-12,54348,54348,54348,54348,54348,0
2012-06-13,54348,54348,54348,54348,54348,0
2012-06-14,53508,53508,53172,53172,53172,0
2012-06-15,53172,53172,53172,53172,53172,0
2012-06-18,53172,53172,53172,53172,53172,0
2012-06-19,47880,47880,47880,47880,47880,0
2012-06-20,44520,45780,44520,44520,44520,0
2012-06-21,44520,44772,44520,44520,44520,0
2012-06-22,42000,46284,39900,39900,39900,0
2012-06-25,39900,39900,39900,39900,39900,0
2012-06-26,39900,39900,39900,39900,39900,0
2012-06-27,39900,39900,39900,39900,39900,0
2012-06-28,41580,41916,37800,37800,37800,0
2012-06-29,34860,34860,21000,27384,27384,0
2012-07-02,28812,31500,28812,31080,31080,0
2012-07-03,31080,31080,28224,30240,30240,0
2012-07-05,30240,30240,23100,25284,25284,0
2012-07-06,29400,45108,29400,41916,41916,0
2012-07-09,53676,90300,42000,81060,81060,100
2012-07-10,80220,122136,76020,111720,111720,100
2012-07-11,114996,144900,93156,95844,95844,200
2012-07-12,91560,117684,87360,106344,106344,100
2012-07-13,114240,122136,100800,106512,106512,0
2012-07-16,109032,110460,91980,92652,92652,0
2012-07-17,92400,92400,72744,78960,78960,0
2012-07-18,81900,91812,76272,83160,83160,0
2012-07-19,91644,91644,80640,86184,86184,0
2012-07-20,85680,87780,80892,85596,85596,0
2012-07-23,83916,105000,80640,88620,88620,0
2012-07-24,88620,94080,83160,84420,84420,0
2012-07-25,108024,114996,92400,96096,96096,0
2012-07-26,95592,95592,87360,90132,90132,0
2012-07-27,89880,90552,83580,84084,84084,0
2012-07-30,84000,86100,80640,82320,82320,0
2012-07-31,81816,85428,76020,77700,77700,0
2012-08-01,84000,84000,72156,75684,75684,0
2012-08-02,76440,77616,71232,71316,71316,0
2012-08-03,74760,74760,67200,71148,71148,0
2012-08-06,83160,86100,74592,78288,78288,0
2012-08-07,79716,79716,71820,74844,74844,0
2012-08-08,74172,77280,71064,71064,71064,0
2012-08-09,72996,75012,65268,68880,68880,0
2012-08-10,56280,59304,56280,58212,58212,100
2012-08-13,58548,59640,57624,58800,58800,0
2012-08-14,59220,60060,58632,59052,59052,0
2012-08-15,58632,59472,57960,58884,58884,0
2012-08-16,58800,59472,58632,58800,58800,0
2012-08-17,59388,62916,57960,58800,58800,0
2012-08-20,58800,58800,56784,57960,57960,0
2012-08-21,57960,58884,53340,55860,55860,0
2012-08-22,53760,55944,53424,55524,55524,0
2012-08-23,59220,59220,55524,56868,56868,0
2012-08-24,57288,58800,55020,56616,56616,0
2012-08-27,56028,57204,54180,56280,56280,0
2012-08-28,56700,57540,53760,56952,56952,0
2012-08-29,57624,62916,55188,56952,56952,0
2012-08-30,57288,60480,55860,58800,58800,0
2012-08-31,59136,59556,56700,58212,58212,0
2012-09-04,58296,58716,56028,56952,56952,0
2012-09-05,57288,58548,56532,58380,58380,0
2012-09-06,57960,58296,56952,57540,57540,0
2012-09-07,58716,60060,57876,58044,58044,0
2012-09-10,60900,73584,60144,71568,71568,100
2012-09-11,74928,80976,72324,77028,77028,100
2012-09-12,77280,77700,67872,69468,69468,0
2012-09-13,70476,73500,68628,70560,70560,0
2012-09-14,70644,77196,68124,73416,73416,0
2012-09-17,72576,75936,71484,72828,72828,0
2012-09-18,72828,76692,72576,74676,74676,0
2012-09-19,74340,75012,70140,72912,72912,0
2012-09-20,72408,75432,71568,73584,73584,0
2012-09-21,73584,77616,72744,73920,73920,0
2012-09-24,74508,76272,71652,72912,72912,0
2012-09-25,72492,73920,65184,66696,66696,0
2012-09-26,66528,66696,62244,62916,62916,0
2012-09-27,62664,67032,62076,65688,65688,0
2012-09-28,65520,70308,63336,70056,70056,0
2012-10-01,79800,82320,71484,71736,71736,0
2012-10-02,72660,72660,66360,67452,67452,0
2012-10-03,67452,68544,64512,67788,67788,0
2012-10-04,67956,67956,65100,66864,66864,0
2012-10-05,66528,67536,65772,66864,66864,0
2012-10-08,67116,67788,65520,65604,65604,0
2012-10-09,65772,65772,63000,63672,63672,0
2012-10-10,63252,63504,58632,61908,61908,0
2012-10-11,61824,63252,61740,62160,62160,0
2012-10-12,62580,62916,60648,61572,61572,0
2012-10-15,61488,61824,60060,60648,60648,0
2012-10-16,60228,61152,57960,59808,59808,0
2012-10-17,58464,58464,51576,54516,54516,0
2012-10-18,53676,53844,51492,53424,53424,0
2012-10-19,56868,56868,53928,54516,54516,0
2012-10-22,54936,57288,54600,57204,57204,0
2012-10-23,57288,59724,55356,58548,58548,0
2012-10-24,59052,59052,56784,57204,57204,0
2012-10-25,57288,57288,53340,53760,53760,0
2012-10-26,53592,55188,51996,53004,53004,0
2012-10-31,52920,53928,52500,53088,53088,0
2012-11-01,53004,53760,52668,53760,53760,0
2012-11-02,53088,54600,53088,53340,53340,0
2012-11-05,54600,58632,54600,56112,56112,0
2012-11-06,55776,56868,55356,55944,55944,0
2012-11-07,55860,56280,53340,54012,54012,0
2012-11-08,54600,55776,52332,52584,52584,0
2012-11-09,53172,56280,51660,55188,55188,0
2012-11-12,55692,55692,53844,54264,54264,0
2012-11-13,54432,55776,51912,53172,53172,0
2012-11-14,53676,55020,52164,52836,52836,0
2012-11-15,53004,55104,52248,53004,53004,0
2012-11-16,52500,54012,51828,52836,52836,0
2012-11-19,52920,56280,52668,55356,55356,0
2012-11-20,61572,64260,53844,54516,54516,0
2012-11-21,54600,55860,53004,54012,54012,0
2012-11-23,54516,54936,52080,52416,52416,0
2012-11-26,53592,56448,52500,55104,55104,0
2012-11-27,57120,58548,55020,55776,55776,0
2012-11-28,55944,56196,52500,54012,54012,0
2012-11-29,57960,58380,55188,57456,57456,0
2012-11-30,58212,60732,56868,59388,59388,0
2012-12-03,60060,60144,57960,58968,58968,0
2012-12-04,58716,63000,58716,59052,59052,0
2012-12-05,59220,60900,56280,56700,56700,0
2012-12-06,57036,58296,54684,55944,55944,0
2012-12-07,55776,56700,54600,55524,55524,0
2012-12-10,55944,58548,55524,55944,55944,0
2012-12-11,56700,60480,56700,58212,58212,0
2012-12-12,59136,59220,56700,57120,57120,0
2012-12-13,57120,57708,56280,56448,56448,0
2012-12-14,56784,57540,55440,55608,55608,0
2012-12-17,56112,56112,53592,54012,54012,0
2012-12-18,54012,54852,53424,53928,53928,0
2012-12-19,54012,55020,54012,54516,54516,0
2012-12-20,54180,56196,54180,54432,54432,0
2012-12-21,53928,55104,51828,52164,52164,0
2012-12-24,52500,54012,52500,53424,53424,0
2012-12-26,52752,53004,51828,52248,52248,0
2012-12-27,52500,52920,51660,52164,52164,0
2012-12-28,51744,52080,50568,51072,51072,0
2012-12-31,50904,52500,50400,51156,51156,0
2013-01-02,52080,53172,51660,52164,52164,0
2013-01-03,51912,52668,51324,51912,51912,0
2013-01-04,51912,53844,51744,53508,53508,0
2013-01-07,53508,53508,51912,52920,52920,0
2013-01-08,53256,53928,51828,53508,53508,0
2013-01-09,53760,53760,52584,52920,52920,0
2013-01-10,53424,53424,51660,51996,51996,0
2013-01-11,51660,52080,50568,51912,51912,0
2013-01-14,51408,53256,50484,51240,51240,0
2013-01-15,51156,52080,50904,50988,50988,0
2013-01-16,51408,52332,51156,51492,51492,0
2013-01-17,51744,51912,50904,51156,51156,0
2013-01-18,51156,51324,49056,49056,49056,0
2013-01-22,49392,49560,45528,45780,45780,0
2013-01-23,47880,47880,43764,46284,46284,0
2013-01-24,50400,50568,47040,47712,47712,0
2013-01-25,47880,50400,47124,49476,49476,0
2013-01-28,49896,50820,47712,48804,48804,0
2013-01-29,48888,51408,48888,50316,50316,0
2013-01-30,50400,51744,49140,49812,49812,0
2013-01-31,50736,51156,49140,49140,49140,0
2013-02-01,50400,54432,50400,53172,53172,0
2013-02-04,53088,54432,52080,53340,53340,0
2013-02-05,55188,58716,54012,57204,57204,0
2013-02-06,56784,66192,56700,65268,65268,0
2013-02-07,65688,68292,60312,64680,64680,0
2013-02-08,64680,65520,58800,61404,61404,0
2013-02-11,62076,62076,57120,57792,57792,0
2013-02-12,58380,58716,55440,56196,56196,0
2013-02-13,55860,56448,54684,56196,56196,0
2013-02-14,56700,58380,55440,58212,58212,0
2013-02-15,57960,59136,56280,57540,57540,0
2013-02-19,57540,59220,57120,57456,57456,0
2013-02-20,57372,57708,54012,54432,54432,0
2013-02-21,54852,54852,53004,53256,53256,0
2013-02-22,53172,53676,52164,53340,53340,0
2013-02-25,53340,53340,50484,50652,50652,0
2013-02-26,51408,52080,50316,50820,50820,0
2013-02-27,50904,50904,49308,50568,50568,0
2013-02-28,50232,50820,48804,49140,49140,0
2013-03-01,48720,50568,48720,49056,49056,0
2013-03-04,50400,52416,48804,50148,50148,0
2013-03-05,53340,54516,50232,50652,50652,0
2013-03-06,50652,52416,50652,51156,51156,0
2013-03-07,52416,57120,52416,56112,56112,0
2013-03-08,56952,56952,52248,52332,52332,0
2013-03-11,53004,55692,51912,52248,52248,0
2013-03-12,53508,54432,52500,53676,53676,0
2013-03-13,54432,54684,53760,54096,54096,0
2013-03-14,54096,55272,53256,54096,54096,0
2013-03-15,53424,53844,52500,52752,52752,0
2013-03-18,52500,53508,52164,52500,52500,0
2013-03-19,53760,53760,51324,51828,51828,0
2013-03-20,51744,52500,51744,52248,52248,0
2013-03-21,52668,53424,51828,52248,52248,0
2013-03-22,52500,54432,52500,53844,53844,0
2013-03-25,53676,53676,51660,52080,52080,0
2013-03-26,53592,53592,51660,51912,51912,0
2013-03-27,51660,52500,51660,51744,51744,0
2013-03-28,51912,51912,50568,51324,51324,0
2013-04-01,50736,51828,49560,51828,51828,0
2013-04-02,51828,52164,49224,51660,51660,0
2013-04-03,51072,51072,49812,50820,50820,0
2013-04-04,51072,52164,50904,51828,51828,0
2013-04-05,51072,51660,50988,51240,51240,0
2013-04-08,51324,52920,49896,50316,50316,0
