Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,10.17,10.24,9.78,10.13,10.13,164200
2012-02-22,10.1,10.21,10,10.1,10.1,100300
2012-02-23,10.12,10.5,9.99,10.45,10.45,130200
2012-02-24,10.46,10.59,10.42,10.47,10.47,112400
2012-02-27,10.38,10.39,10.15,10.23,10.23,211000
2012-02-28,10.25,10.34,10.16,10.25,10.25,70300
2012-02-29,10.31,10.44,10.16,10.3,10.3,111300
2012-03-01,10.36,10.75,10.25,10.25,10.25,149900
2012-03-02,10.5,10.91,10.4,10.68,10.68,308200
2012-03-05,10.67,10.67,10.49,10.62,10.62,129100
2012-03-06,10.48,10.77,10.48,10.58,10.58,119700
2012-03-07,10.62,10.77,10.42,10.71,10.71,232400
2012-03-08,10.78,11,10.66,11,11,106700
2012-03-09,10.98,11.1,10.78,11,11,216700
2012-03-12,11,11.18,10.97,11.14,11.14,94200
2012-03-13,11.25,11.27,11.07,11.27,11.27,196900
2012-03-14,11.25,11.39,11.12,11.24,11.24,128500
2012-03-15,11.23,11.33,11.04,11.27,11.27,200800
2012-03-16,11.32,11.7,11.13,11.5,11.5,378200
2012-03-19,11.5,12.36,11.31,12.22,12.22,325400
2012-03-20,12.05,12.22,11.9,12.19,12.19,185500
2012-03-21,12.25,12.36,12.16,12.26,12.26,88700
2012-03-22,12.15,12.35,12.09,12.28,12.28,51700
2012-03-23,12.28,12.32,12,12.29,12.29,90200
2012-03-26,12.4,12.55,12.28,12.5,12.5,126600
2012-03-27,12.55,12.78,12.5,12.56,12.56,92100
2012-03-28,12.64,12.92,12.45,12.68,12.68,107000
2012-03-29,12.56,13.05,12.56,13.02,13.02,107900
2012-03-30,13.15,13.44,12.52,12.63,12.63,186400
2012-04-02,12.58,13.2,12.53,12.82,12.82,168800
2012-04-03,12.81,13,12.6,12.66,12.66,109500
2012-04-04,12.55,12.73,12.03,12.69,12.69,179500
2012-04-05,12.6,12.9,12.6,12.83,12.83,101000
2012-04-09,12.63,12.94,12.63,12.86,12.86,83500
2012-04-10,12.87,12.96,12.6,12.62,12.62,187700
2012-04-11,12.71,12.87,12.43,12.87,12.87,112500
2012-04-12,12.89,13.18,12.88,13.16,13.16,69800
2012-04-13,13.07,13.48,12.79,12.95,12.95,54500
2012-04-16,13.08,13.12,12.79,12.96,12.96,100800
2012-04-17,13.04,13.46,13.04,13.36,13.36,87000
2012-04-18,13.35,13.43,13.16,13.41,13.41,90300
2012-04-19,13.45,13.45,12.98,13.03,13.03,105100
2012-04-20,13.39,13.39,12.63,12.85,12.85,177800
2012-04-23,12.68,12.78,12.23,12.48,12.48,197500
2012-04-24,12.46,12.93,12.26,12.88,12.88,94000
2012-04-25,12.97,13.25,12.56,13.09,13.09,322400
2012-04-26,13.05,13.12,12.84,13,13,156400
2012-04-27,13,13.22,12.82,13.01,13.01,331600
2012-04-30,12.97,13,12.77,12.82,12.82,142500
2012-05-01,12.79,13.24,12.71,12.78,12.78,173000
2012-05-02,11.94,12.99,11.02,12.8,12.8,258000
2012-05-03,12.8,13.26,12.52,13.19,13.19,158900
2012-05-04,13.09,13.2,12.82,13.04,13.04,94000
2012-05-07,12.96,13.07,12.81,12.85,12.85,86100
2012-05-08,12.77,13.02,12.58,12.83,12.83,67600
2012-05-09,12.71,12.93,12.55,12.75,12.75,102700
2012-05-10,12.84,13.05,12.63,12.99,12.99,102000
2012-05-11,12.85,13.08,12.85,12.93,12.93,65300
2012-05-14,12.78,13.09,12.63,12.76,12.76,102000
2012-05-15,12.74,13.1,12.72,12.83,12.83,60600
2012-05-16,12.95,12.96,12.78,12.8,12.8,139000
2012-05-17,12.85,12.85,11.64,11.8,11.8,205600
2012-05-18,11.77,11.8,11.28,11.46,11.46,226500
2012-05-21,11.47,11.79,11.38,11.72,11.72,62000
2012-05-22,11.72,11.84,11.61,11.74,11.74,139600
2012-05-23,11.61,11.78,11.51,11.76,11.76,102600
2012-05-24,11.78,11.94,11.69,11.9,11.9,72900
2012-05-25,11.93,12.02,11.73,11.73,11.73,43500
2012-05-29,11.78,11.95,11.62,11.87,11.87,54000
2012-05-30,11.75,11.82,11.74,11.75,11.75,48500
2012-05-31,11.75,11.79,11.56,11.71,11.71,170200
2012-06-01,11.47,11.56,10.82,10.84,10.84,144800
2012-06-04,10.91,11.16,10.63,11.11,11.11,128100
2012-06-05,11.05,11.42,10.92,11.21,11.21,59200
2012-06-06,11.31,11.7,11.31,11.45,11.45,99200
2012-06-07,11.61,11.75,11.35,11.41,11.41,76000
2012-06-08,11.35,11.62,11.35,11.51,11.51,86600
2012-06-11,11.67,11.86,11.53,11.56,11.56,138900
2012-06-12,11.66,11.82,11.3,11.6,11.6,90100
2012-06-13,11.6,11.75,11.37,11.45,11.45,70500
2012-06-14,11.41,11.99,11.26,11.8,11.8,214900
2012-06-15,11.8,12.19,11.8,12.12,12.12,123700
2012-06-18,12.07,12.29,12.07,12.22,12.22,68400
2012-06-19,12.31,12.69,12.31,12.59,12.59,104200
2012-06-20,12.62,12.83,12.44,12.64,12.64,126100
2012-06-21,12.68,12.68,12.08,12.14,12.14,68500
2012-06-22,12.27,12.57,12.11,12.36,12.36,882600
2012-06-25,12.15,12.61,12.13,12.55,12.55,126700
2012-06-26,12.59,12.76,12.43,12.68,12.68,98000
2012-06-27,12.74,12.77,12.41,12.53,12.53,53100
2012-06-28,12.39,12.67,12.16,12.67,12.67,47700
2012-06-29,12.97,13.31,12.84,13.29,13.29,94100
2012-07-02,13.32,13.62,13.29,13.51,13.51,109500
2012-07-03,13.52,13.88,13.49,13.8,13.8,34700
2012-07-05,13.81,13.82,13.45,13.54,13.54,65800
2012-07-06,13.36,13.36,12.82,13.07,13.07,69300
2012-07-09,13.25,13.51,13.15,13.45,13.45,64900
2012-07-10,13.6,13.77,13.37,13.43,13.43,84400
2012-07-11,13.37,13.47,13.01,13.05,13.05,139500
2012-07-12,12.99,13.11,12.64,12.92,12.92,102700
2012-07-13,12.94,13.22,12.94,13.13,13.13,46000
2012-07-16,13.13,13.13,12.79,12.83,12.83,87900
2012-07-17,12.94,13.12,12.71,12.88,12.88,39400
2012-07-18,12.88,13.16,12.83,13.11,13.11,121100
2012-07-19,13.16,13.16,12.56,12.65,12.65,65500
2012-07-20,12.55,12.81,12.5,12.66,12.66,143200
2012-07-23,12.5,12.64,12.24,12.35,12.35,118500
2012-07-24,12.4,12.4,11.89,11.96,11.96,96900
2012-07-25,12.01,12.24,11.81,11.87,11.87,50300
2012-07-26,12.11,12.2,11.71,12.05,12.05,89300
2012-07-27,9.31,12.32,9.31,12.15,12.15,213400
2012-07-30,12.19,12.5,12.11,12.29,12.29,112900
2012-07-31,12.31,13.18,12.3,12.92,12.92,87300
2012-08-01,13.04,13.27,12.52,12.53,12.53,92900
2012-08-02,12.41,12.75,12.27,12.61,12.61,76400
2012-08-03,12.87,13.2,12.58,13.03,13.03,77000
2012-08-06,13.13,13.2,12.9,13.03,13.03,62600
2012-08-07,13.13,13.2,12.79,12.82,12.82,87800
2012-08-08,12.77,13.2,12.68,13.11,13.11,102800
2012-08-09,13.04,13.25,12.93,13.05,13.05,52900
2012-08-10,13.06,13.06,12.84,12.97,12.97,52600
2012-08-13,13.01,13.01,12.38,12.5,12.5,55500
2012-08-14,12.54,12.72,12.52,12.65,12.65,61100
2012-08-15,12.67,12.92,12.6,12.83,12.83,62700
2012-08-16,12.86,13.27,12.61,13.06,13.06,109800
2012-08-17,13.1,13.46,13.02,13.39,13.39,101000
2012-08-20,13.33,13.34,12.99,13.15,13.15,57800
2012-08-21,13.15,13.59,13.15,13.23,13.23,90500
2012-08-22,13.24,13.48,13.09,13.33,13.33,42800
2012-08-23,13.26,13.35,12.86,13,13,75000
2012-08-24,12.94,13.19,12.89,13.01,13.01,31300
2012-08-27,13.04,13.2,12.98,13.06,13.06,26000
2012-08-28,13.08,13.25,13.05,13.11,13.11,66800
2012-08-29,13.16,13.25,12.9,13.16,13.16,32400
2012-08-30,13.1,13.1,12.86,12.97,12.97,56100
2012-08-31,13.14,13.14,12.91,13.02,13.02,45700
2012-09-04,12.97,13.25,12.83,13.18,13.18,81800
2012-09-05,13.18,13.32,13.02,13.06,13.06,50900
2012-09-06,13.18,13.6,13.07,13.15,13.15,64700
2012-09-07,13.22,13.24,12.94,13.14,13.14,72700
2012-09-10,13.11,13.11,12.95,13.01,13.01,68600
2012-09-11,13.06,13.35,12.94,13.34,13.34,67700
2012-09-12,13.38,13.44,13.25,13.44,13.44,42100
2012-09-13,13.43,13.58,13.28,13.45,13.45,83800
2012-09-14,13.54,13.59,13.37,13.4,13.4,77200
2012-09-17,13.29,13.37,13.21,13.29,13.29,37900
2012-09-18,13.3,13.35,13.21,13.34,13.34,39200
2012-09-19,13.34,13.34,13,13.2,13.2,50200
2012-09-20,13.09,13.15,12.86,13.05,13.05,17400
2012-09-21,13.29,13.29,12.8,12.85,12.85,138800
2012-09-24,12.83,12.92,12.63,12.79,12.79,30800
2012-09-25,12.85,12.91,12.65,12.7,12.7,81400
2012-09-26,12.72,12.84,12.38,12.44,12.44,52500
2012-09-27,12.53,12.6,12.35,12.54,12.54,34500
2012-09-28,12.46,12.64,12.37,12.37,12.37,104900
2012-10-01,12.48,12.72,12.4,12.59,12.59,130600
2012-10-02,12.69,13.23,12.69,13.22,13.22,61500
2012-10-03,13.21,13.55,13.05,13.26,13.26,52900
2012-10-04,13.36,13.4,13.12,13.3,13.3,24300
2012-10-05,13.29,13.4,12.7,12.74,12.74,37000
2012-10-08,12.71,12.72,12.17,12.26,12.26,55300
2012-10-09,12.2,12.31,12,12.23,12.23,46800
2012-10-10,12.28,12.33,11.9,12.08,12.08,146500
2012-10-11,12.08,12.13,11.77,11.84,11.84,120400
2012-10-12,11.81,11.88,11.76,11.79,11.79,35200
2012-10-15,11.8,11.81,11.59,11.77,11.77,44700
2012-10-16,11.84,12,11.68,11.94,11.94,88500
2012-10-17,11.93,12.19,11.88,12.15,12.15,58000
2012-10-18,12.15,12.18,11.92,11.95,11.95,101100
2012-10-19,11.92,12,11.44,11.6,11.6,122000
2012-10-22,11.61,11.71,11.55,11.68,11.68,39900
2012-10-23,11.58,11.72,11.49,11.7,11.7,40500
2012-10-24,11.54,11.75,11.26,11.36,11.36,43600
2012-10-25,11.49,11.57,10.6,11.38,11.38,36700
2012-10-26,11.34,12.66,11.09,12.64,12.64,102600
2012-10-31,12.63,12.76,12.18,12.6,12.6,76100
2012-11-01,12.65,12.65,12.23,12.47,12.47,102200
2012-11-02,12.56,12.65,12.46,12.55,12.55,84300
2012-11-05,12.51,12.6,12.26,12.46,12.46,103500
2012-11-06,12.7,13.18,12.65,13.13,13.13,80400
2012-11-07,13.01,13.01,12.75,12.75,12.75,80700
2012-11-08,12.76,12.8,12.36,12.42,12.42,75200
2012-11-09,12.33,12.7,12.33,12.52,12.52,37100
2012-11-12,12.53,13.25,12.27,12.27,12.27,40200
2012-11-13,12.21,12.53,12.1,12.16,12.16,53900
2012-11-14,12.2,12.37,11.99,12.03,12.03,59800
2012-11-15,11.94,12,11.26,11.77,11.77,76800
2012-11-16,11.72,11.75,11.41,11.59,11.59,136300
2012-11-19,12.14,12.57,11.83,11.89,11.89,212300
2012-11-20,11.9,11.94,11.65,11.74,11.74,173400
2012-11-21,11.84,12.03,11.52,11.64,11.64,331800
2012-11-23,11.64,12.1,11.64,11.98,11.98,66900
2012-11-26,12.1,12.42,12.01,12.33,12.33,123500
2012-11-27,12.35,12.5,12.2,12.39,12.39,150800
2012-11-28,9.37,10.2,9.32,9.85,9.85,276900
2012-11-29,9.99,10.05,9.65,9.99,9.99,152600
2012-11-30,10.05,10.21,9.8,10.12,10.12,152300
2012-12-03,10.22,10.58,10.1,10.49,10.49,181800
2012-12-04,10.49,10.99,10.49,10.9,10.9,108900
2012-12-05,10.98,11.15,10.67,10.71,10.71,76300
2012-12-06,10.73,11.14,10.73,10.94,10.94,68500
2012-12-07,11.03,11.03,10.74,10.89,10.89,49700
2012-12-10,10.92,10.93,10.61,10.72,10.72,72700
2012-12-11,10.82,10.88,10.55,10.68,10.68,131100
2012-12-12,10.73,10.93,10.67,10.73,10.73,44600
2012-12-13,10.71,10.79,10.52,10.56,10.56,49900
2012-12-14,10.53,10.55,10.4,10.5,10.5,75100
2012-12-17,10.56,10.65,10.4,10.52,10.52,111100
2012-12-18,10.56,10.72,10.31,10.69,10.69,87400
2012-12-19,10.77,10.77,10.35,10.41,10.41,55800
2012-12-20,10.37,10.6,10.34,10.49,10.49,76500
2012-12-21,10.38,10.38,10.04,10.22,10.22,189900
2012-12-24,10.2,10.34,10.15,10.21,10.21,11500
2012-12-26,10.26,10.37,10.02,10.15,10.15,93400
2012-12-27,10.13,10.41,10.07,10.22,10.22,103900
2012-12-28,10.19,10.38,10.07,10.27,10.27,44700
2012-12-31,10.25,10.74,10.08,10.66,10.66,78400
2013-01-02,10.98,11.11,10.73,10.88,10.88,113000
2013-01-03,10.88,10.93,10.62,10.73,10.73,55900
2013-01-04,10.8,10.95,10.55,10.75,10.75,52600
2013-01-07,10.64,10.64,10.3,10.4,10.4,27800
2013-01-08,10.36,10.39,10.17,10.26,10.26,31900
2013-01-09,10.3,10.51,10.26,10.42,10.42,54300
2013-01-10,10.45,10.5,10.29,10.44,10.44,54600
2013-01-11,10.45,10.5,10.39,10.41,10.41,30000
2013-01-14,10.4,10.45,10.16,10.21,10.21,30500
2013-01-15,10.12,10.22,10.05,10.21,10.21,22400
2013-01-16,10.17,10.18,10.06,10.09,10.09,53800
2013-01-17,10.04,10.07,9.91,9.99,9.99,96500
2013-01-18,9.99,10.19,9.97,10.14,10.14,53800
2013-01-22,10.11,10.22,9.99,10.22,10.22,27300
2013-01-23,10.24,10.24,10.13,10.19,10.19,90200
2013-01-24,10.18,10.38,10.18,10.2,10.2,71900
2013-01-25,10.28,10.36,10.2,10.36,10.36,57400
2013-01-28,10.39,10.42,10.17,10.39,10.39,44400
2013-01-29,10.4,10.5,10.32,10.44,10.44,31200
2013-01-30,10.41,10.44,10.16,10.27,10.27,31700
2013-01-31,10.28,10.55,10,10.53,10.53,146400
2013-02-01,10.61,10.78,10.3,10.39,10.39,58400
2013-02-04,10.35,10.37,10.01,10.3,10.3,92400
2013-02-05,10.03,10.35,9.95,10.34,10.34,299100
2013-02-06,10.37,10.46,10.19,10.44,10.44,455900
2013-02-07,10.41,10.62,10.17,10.54,10.54,477200
2013-02-08,10.58,10.74,10.51,10.65,10.65,100000
2013-02-11,10.73,10.85,10.66,10.8,10.8,43500
2013-02-12,10.81,10.86,10.55,10.61,10.61,64400
2013-02-13,10.61,10.61,10.31,10.46,10.46,55300
2013-02-14,10.4,10.4,10.18,10.3,10.3,49900
2013-02-15,10.38,10.71,10.3,10.62,10.62,84600
2013-02-19,10.62,10.91,10.62,10.89,10.89,64500
2013-02-20,10.07,10.33,9.44,9.46,9.46,394900
2013-02-21,9.47,9.62,8.95,9.17,9.17,135300
2013-02-22,9.24,9.34,9,9.15,9.15,87700
2013-02-25,9.16,9.32,8.93,8.94,8.94,130600
2013-02-26,8.98,9.26,8.91,9.02,9.02,81700
2013-02-27,8.98,9.34,8.98,9.21,9.21,122400
2013-02-28,9.23,9.32,9.04,9.27,9.27,58400
2013-03-01,9.2,9.36,9.01,9.09,9.09,130400
2013-03-04,9.03,9.29,9.01,9.28,9.28,131600
2013-03-05,9.36,9.69,9.28,9.62,9.62,91500
2013-03-06,9.7,9.7,9.37,9.45,9.45,133000
2013-03-07,9.44,9.51,9.37,9.4,9.4,68600
2013-03-08,9.43,9.44,9.15,9.35,9.35,131800
2013-03-11,9.29,9.44,9.28,9.31,9.31,56000
2013-03-12,9.27,9.49,9.25,9.3,9.3,73800
2013-03-13,9.33,9.52,9.32,9.44,9.44,47500
2013-03-14,9.49,9.5,9.37,9.43,9.43,110900
2013-03-15,9.43,9.57,9.34,9.46,9.46,206800
2013-03-18,9.32,9.54,9.32,9.42,9.42,23900
2013-03-19,9.47,9.55,9.4,9.51,9.51,32600
2013-03-20,9.56,9.6,9.38,9.48,9.48,41100
2013-03-21,9.38,9.48,9.24,9.29,9.29,106300
2013-03-22,9.31,9.39,9.18,9.29,9.29,23000
2013-03-25,9.29,9.39,9.14,9.25,9.25,121400
2013-03-26,9.3,9.46,9.23,9.43,9.43,31400
2013-03-27,9.35,9.43,9.32,9.42,9.42,51000
2013-03-28,9.45,9.54,9.4,9.46,9.46,71400
2013-04-01,9.49,9.5,9.31,9.4,9.4,71500
2013-04-02,9.46,9.61,9.37,9.57,9.57,81500
2013-04-03,9.56,9.67,9.5,9.6,9.6,87100
2013-04-04,9.63,9.64,9.4,9.53,9.53,41200
2013-04-05,9.34,9.58,9.34,9.56,9.56,72600
2013-04-08,9.62,9.67,9.52,9.63,9.63,46700
2013-04-09,9.69,9.69,9.49,9.55,9.55,54000
2013-04-10,9.56,9.83,9.5,9.72,9.72,45900
2013-04-11,9.74,9.84,9.71,9.78,9.78,24300
2013-04-12,9.76,9.89,9.7,9.83,9.83,15500
2013-04-15,9.74,9.74,9.55,9.59,9.59,88800
2013-04-16,9.66,9.73,9.59,9.67,9.67,43200
2013-04-17,9.55,9.63,9.55,9.6,9.6,92600
2013-04-18,9.66,9.7,9.6,9.6,9.6,84100
2013-04-19,9.6,9.68,9.57,9.67,9.67,50500
2013-04-22,9.67,9.67,9.52,9.61,9.61,84800
2013-04-23,9.66,9.75,9.54,9.64,9.64,41600
2013-04-24,9.61,9.75,9.6,9.64,9.64,123500
2013-04-25,9.7,9.82,9.65,9.73,9.73,63300
2013-04-26,9.75,10.18,9.64,10.06,10.06,94500
