Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,14.555,14.585,14.455,14.535,12.400883,28840400
2012-02-22,14.485,14.645,14.41,14.64,12.490467,42155200
2012-02-23,14.615,14.915,14.59,14.905,12.716558,40036800
2012-02-24,14.96,14.96,14.525,14.595,12.452073,32293400
2012-02-27,14.455,14.695,14.45,14.595,12.452073,24301200
2012-02-28,14.6,14.695,14.52,14.685,12.528859,27391800
2012-02-29,14.7,14.775,14.635,14.705,12.545924,34100800
2012-03-01,14.705,14.82,14.645,14.725,12.562985,26189600
2012-03-02,14.68,14.805,14.54,14.62,12.473401,22269800
2012-03-05,14.59,14.61,14.405,14.55,12.41368,26689200
2012-03-06,14.425,14.58,14.36,14.46,12.336894,28928600
2012-03-07,14.48,14.66,14.4,14.62,12.473401,25720400
2012-03-08,14.72,14.875,14.695,14.81,12.635509,20373400
2012-03-09,14.905,14.93,14.84,14.92,12.729354,18266600
2012-03-12,14.845,14.925,14.775,14.805,12.63124,17551200
2012-03-13,14.915,15.025,14.825,15.02,12.814672,22979000
2012-03-14,15,15,14.86,14.895,12.708025,22330800
2012-03-15,14.89,14.945,14.71,14.9,12.712291,22826200
2012-03-16,14.865,14.915,14.7,14.75,12.584314,41784200
2012-03-19,14.68,14.99,14.635,14.93,12.737883,19612200
2012-03-20,14.855,14.97,14.725,14.885,12.699493,20913400
2012-03-21,14.885,14.95,14.765,14.855,12.673897,22079800
2012-03-22,14.78,14.95,14.765,14.945,12.750686,24280600
2012-03-23,14.97,15,14.82,14.995,12.793344,16772000
2012-03-26,15.045,15.195,14.975,15.175,12.946917,27013400
2012-03-27,15.135,15.205,15.07,15.085,12.870129,23676400
2012-03-28,15.025,15.1,14.91,14.96,12.76348,27187000
2012-03-29,14.86,14.93,14.75,14.915,12.725092,24489000
2012-03-30,14.995,15.025,14.865,15.005,12.801876,19683400
2012-04-02,14.875,15.075,14.785,15.025,12.888944,23701200
2012-04-03,14.92,14.97,14.72,14.83,12.721668,25682000
2012-04-04,14.75,14.785,14.545,14.66,12.575835,22310400
2012-04-05,14.595,14.785,14.54,14.78,12.678775,22579000
2012-04-09,14.565,14.715,14.505,14.665,12.580123,20943400
2012-04-10,14.59,14.61,14.27,14.325,12.288459,24850600
2012-04-11,14.435,14.54,14.365,14.49,12.430004,18232400
2012-04-12,14.525,14.885,14.475,14.84,12.730246,28959800
2012-04-13,14.82,14.89,14.74,14.75,12.653039,23159200
2012-04-16,14.79,14.92,14.745,14.885,12.768846,18301600
2012-04-17,14.94,15.095,14.855,15.045,12.9061,17595400
2012-04-18,14.97,15.015,14.9,14.93,12.807446,18151600
2012-04-19,14.845,15.025,14.71,14.74,12.644461,23189200
2012-04-20,14.775,14.88,14.71,14.725,12.631596,28171200
2012-04-23,14.64,14.64,14.425,14.52,12.45574,29745400
2012-04-24,14.59,14.75,14.565,14.675,12.588703,23628400
2012-04-25,14.8,14.87,14.69,14.825,12.717378,21968000
2012-04-26,14.76,15.17,14.755,15.12,12.970439,36576800
2012-04-27,15.145,15.22,14.945,15.14,12.987598,29201000
2012-04-30,15.105,15.23,15.085,15.175,13.01762,17278000
2012-05-01,15.14,15.44,15.13,15.3,13.124847,43653800
2012-05-02,15.08,15.28,14.77,15.21,13.047643,56602800
2012-05-03,15.25,15.375,15.07,15.18,13.021913,26913600
2012-05-04,15.015,15.095,14.715,14.725,12.631596,32039600
2012-05-07,14.625,14.895,14.56,14.815,12.708801,25335200
2012-05-08,14.755,14.83,14.56,14.7,12.610147,31195000
2012-05-09,14.56,14.725,14.525,14.585,12.511499,29782400
2012-05-10,14.7,14.86,14.66,14.815,12.708801,23931000
2012-05-11,14.78,14.91,14.685,14.69,12.601569,21585400
2012-05-14,14.595,14.665,14.41,14.445,12.391402,28542400
2012-05-15,14.445,14.665,14.365,14.425,12.374245,22761800
2012-05-16,14.445,14.6,14.405,14.425,12.374245,22784600
2012-05-17,14.415,14.43,14.175,14.175,12.159788,19608200
2012-05-18,14.24,14.315,14.09,14.14,12.129761,33134800
2012-05-21,14.14,14.375,14.045,14.355,12.314198,21016200
2012-05-22,14.355,14.56,14.31,14.47,12.412849,23882600
