Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,11.12,11.16,11,11.08,1.602273,21500
2012-02-22,11.12,11.12,10.92,10.92,1.579135,43400
2012-02-23,10.92,11.36,10.8,11.32,1.636979,70100
2012-02-24,11.48,11.56,11.28,11.44,1.654332,51900
2012-02-27,11.44,11.92,11.4,11.44,1.654332,63600
2012-02-28,11.52,11.72,11.28,11.44,1.654332,66800
2012-02-29,11.48,11.64,11.2,11.2,1.619626,55800
2012-03-01,11.36,11.6,11.2,11.52,1.665901,75600
2012-03-02,11.48,11.56,11,11.04,1.596489,73600
2012-03-05,11.08,11.12,10.84,11.04,1.596489,43200
2012-03-06,10.88,10.88,10.6,10.6,1.53286,68600
2012-03-07,10.68,10.84,10.52,10.72,1.550214,134700
2012-03-08,10.8,11,10.64,10.8,1.561782,30200
2012-03-09,10.8,10.88,10.52,10.8,1.561782,58800
2012-03-12,10.84,10.92,10.6,10.68,1.544429,42400
2012-03-13,10.76,11.04,10.68,10.96,1.58492,90900
2012-03-14,11,11.48,10.72,10.88,1.573351,65500
2012-03-15,10.76,11.2,10.64,11,1.590704,63600
2012-03-16,11.04,11.16,10.72,10.84,1.567567,145000
2012-03-19,10.84,11.32,10.8,11.04,1.596489,37400
2012-03-20,11.04,11.2,10.88,11,1.590704,28500
2012-03-21,11.08,11.28,10.96,11.08,1.602273,44300
2012-03-22,11,11.24,10.96,11.2,1.619626,50100
2012-03-23,11.2,11.4,11,11.4,1.648548,36000
2012-03-26,11.56,11.8,11.48,11.6,1.67747,57400
2012-03-27,11.6,11.64,11.4,11.44,1.654332,61700
2012-03-28,11.44,11.44,11.2,11.36,1.642763,29900
2012-03-29,11.24,11.36,10.76,10.76,1.555998,97800
2012-03-30,10.88,10.96,10.76,10.84,1.567567,126900
2012-04-02,10.8,11.04,10.68,11.04,1.596489,117500
2012-04-03,10.96,11.4,10.84,10.96,1.58492,83400
2012-04-04,10.88,10.92,10.76,10.8,1.561782,67700
2012-04-05,10.72,10.8,10.52,10.56,1.527076,74300
2012-04-09,10.4,10.44,10.16,10.36,1.498154,63700
2012-04-10,10.36,10.4,10,10,1.446095,93700
2012-04-11,10.12,10.24,9.92,10,1.446095,67700
2012-04-12,10,10.2,10,10.16,1.469232,54800
2012-04-13,10.08,10.2,9.88,10,1.446095,45300
2012-04-16,10.08,10.08,9.96,10.08,1.457663,26900
2012-04-17,10.12,10.2,9.92,10.12,1.463448,78900
2012-04-18,10.04,10.08,9.96,9.96,1.44031,57600
2012-04-19,10,10.08,9.96,10.04,1.451879,87100
2012-04-20,10.4,10.4,9.92,10,1.446095,88100
2012-04-23,9.92,10.2,9.8,9.92,1.434526,73800
2012-04-24,9.92,10.12,9.92,10,1.446095,37500
2012-04-25,10.12,10.12,9.96,10.08,1.457663,39600
2012-04-26,10,10.32,9.92,10.24,1.480801,50300
2012-04-27,10.28,10.36,10.04,10.24,1.480801,62700
2012-04-30,10.2,10.28,10.04,10.12,1.463448,41500
2012-05-01,10.08,10.2,9.92,10,1.446095,55700
2012-05-02,9.88,10.04,9.88,9.96,1.44031,41700
2012-05-03,9.92,9.96,9.64,9.76,1.411388,67700
2012-05-04,9.68,10.04,9.52,9.8,1.417173,172900
2012-05-07,9.84,10.08,9.64,9.88,1.428742,67100
2012-05-08,9.8,10.28,9.8,10.12,1.463448,69600
2012-05-09,10,10.08,9.84,9.88,1.428742,128100
2012-05-10,9.96,10.04,9.8,9.88,1.428742,115700
2012-05-11,9.76,10.16,9.76,9.92,1.434526,94600
2012-05-14,9.84,10,9.72,9.72,1.405604,95100
2012-05-15,9.8,10.24,9.64,9.68,1.39982,75500
2012-05-16,9.76,9.84,9.56,9.56,1.382466,42200
2012-05-17,9.48,9.64,9.4,9.4,1.359329,118900
2012-05-18,9.36,9.64,9.32,9.36,1.353545,150800
2012-05-21,9.44,9.6,9.12,9.4,1.359329,119600
2012-05-22,9.44,9.68,9.28,9.28,1.341976,51100
2012-05-23,9.2,9.56,8.96,9.52,1.376682,99200
2012-05-24,9.52,9.8,9.4,9.56,1.382466,105300
2012-05-25,9.52,9.76,9.52,9.56,1.382466,48500
2012-05-29,9.56,9.76,9.56,9.72,1.405604,39900
2012-05-30,9.68,9.96,9.6,9.72,1.405604,86700
2012-05-31,9.76,10.24,9.64,10.16,1.469232,94500
2012-06-01,9.96,10.28,9.92,9.96,1.44031,61800
2012-06-04,9.96,9.96,9.16,9.32,1.34776,116000
2012-06-05,9.24,9.52,9.2,9.4,1.359329,70100
2012-06-06,9.44,10.04,9.4,9.76,1.411388,58800
2012-06-07,9.96,9.96,9.64,9.76,1.411388,66600
2012-06-08,9.68,10,9.48,10,1.446095,60800
2012-06-11,10.16,10.32,10.04,10.16,1.469232,91000
2012-06-12,10.16,10.4,10.12,10.4,1.503938,115500
2012-06-13,10.32,10.64,10.28,10.48,1.515507,90600
2012-06-14,10.52,11,10.24,10.68,1.544429,109300
2012-06-15,10.6,10.68,10.36,10.48,1.515507,118300
2012-06-18,10.4,10.68,10.32,10.36,1.498154,49700
2012-06-19,10.36,10.6,10.16,10.44,1.509723,47600
2012-06-20,10.48,10.76,10.32,10.6,1.53286,48300
2012-06-21,10.56,10.68,10.2,10.24,1.480801,59600
2012-06-22,10.32,10.76,10.32,10.4,1.503938,748300
2012-06-25,10.28,10.36,10,10.12,1.463448,42600
2012-06-26,10.08,10.28,10.08,10.24,1.480801,23800
2012-06-27,10.08,10.56,10.08,10.52,1.521292,28200
2012-06-28,10.4,10.4,10.08,10.32,1.49237,30800
2012-06-29,10.56,10.64,10.4,10.64,1.538645,86800
2012-07-02,10.6,10.68,10.32,10.68,1.544429,81600
2012-07-03,10.68,10.8,10.6,10.76,1.555998,44700
2012-07-05,10.72,10.92,10.68,10.76,1.555998,52200
2012-07-06,10.64,10.84,10.6,10.72,1.550214,37100
2012-07-09,10.64,10.68,10.48,10.64,1.538645,25000
2012-07-10,10.68,10.8,10.48,10.6,1.53286,51100
2012-07-11,10.6,10.84,10.44,10.64,1.538645,74300
2012-07-12,10.6,10.72,10.4,10.68,1.544429,48200
2012-07-13,10.68,11.24,10.64,11.04,1.596489,68300
2012-07-16,11.04,11.16,10.96,11.04,1.596489,28500
2012-07-17,11.12,11.2,11.04,11.16,1.613842,30800
2012-07-18,11.16,11.44,11,11.16,1.613842,49700
2012-07-19,11.16,11.24,10.96,11,1.590704,27500
2012-07-20,10.92,11,10.52,10.64,1.538645,55500
2012-07-23,10.44,10.52,10.12,10.2,1.475016,33300
2012-07-24,10.24,10.28,9.68,9.76,1.411388,37600
2012-07-25,9.88,9.88,9.68,9.8,1.417173,43300
2012-07-26,9.92,9.92,9.4,9.6,1.388251,53900
2012-07-27,9.6,10.08,9.4,10,1.446095,62000
2012-07-30,10.04,10.12,9.92,10,1.446095,40300
2012-07-31,10.04,10.24,9.96,10,1.446095,82200
2012-08-01,10.08,10.08,9.32,9.36,1.353545,69500
2012-08-02,9.4,9.6,9.16,9.44,1.365113,69700
2012-08-03,9.04,10.04,9.04,9.92,1.434526,70900
2012-08-06,9.96,10.04,9.16,9.92,1.434526,86100
2012-08-07,10,10.2,9.6,9.96,1.44031,86900
2012-08-08,9.92,10.24,9.92,10.04,1.451879,29800
2012-08-09,10.08,10.24,9.8,10.16,1.469232,34000
2012-08-10,10.16,10.4,10,10.2,1.475016,52000
2012-08-13,10.16,10.28,9.84,10.12,1.463448,58200
2012-08-14,10.2,10.4,10.04,10.08,1.457663,36200
2012-08-15,10,10.16,9.96,10.12,1.463448,38000
2012-08-16,10.12,10.24,10.04,10.16,1.469232,31200
2012-08-17,10.12,10.32,9.96,10.2,1.475016,53700
2012-08-20,10.16,10.56,10.04,10.4,1.503938,100700
2012-08-21,10.4,10.88,10.4,10.52,1.521292,63800
2012-08-22,10.52,10.56,10.44,10.48,1.515507,23700
2012-08-23,10.48,10.72,10.44,10.48,1.515507,39300
2012-08-24,10.44,10.6,10.4,10.56,1.527076,46800
2012-08-27,10.56,10.72,10.4,10.44,1.509723,61400
2012-08-28,10.4,10.68,10.4,10.48,1.515507,75600
2012-08-29,10.52,10.64,10.44,10.6,1.53286,107800
2012-08-30,10.56,10.6,10.36,10.4,1.503938,38700
2012-08-31,10.48,10.56,10.32,10.44,1.509723,39300
2012-09-04,10.4,10.72,10.36,10.56,1.527076,128900
2012-09-05,10.68,10.84,10.44,10.68,1.544429,107100
2012-09-06,10.72,11.36,10.56,11.2,1.619626,173600
2012-09-07,11.32,11.32,10.88,10.96,1.58492,86900
2012-09-10,11,11.2,10.48,10.8,1.561782,99900
2012-09-11,10.84,11,10.84,10.88,1.573351,86400
2012-09-12,10.96,11,10.68,10.8,1.561782,39000
2012-09-13,10.84,11.4,10.72,11.16,1.613842,128100
2012-09-14,11.28,11.68,10.8,11.6,1.67747,120700
2012-09-17,11.48,11.56,10.84,11.52,1.665901,57400
2012-09-18,11.52,11.76,11.24,11.48,1.660117,36900
2012-09-19,11.56,11.68,11.36,11.6,1.67747,51600
2012-09-20,11.56,11.64,11.16,11.44,1.654332,54200
2012-09-21,11.64,11.72,11.4,11.6,1.67747,128700
2012-09-24,11.48,11.8,11.32,11.56,1.671685,61600
2012-09-25,11.68,11.8,11.12,11.16,1.613842,70000
2012-09-26,11.16,11.36,10.96,11.12,1.608057,39500
2012-09-27,11.12,11.2,11.04,11.12,1.608057,55800
2012-09-28,11,11.04,10.76,10.84,1.567567,59300
2012-10-01,10.88,11.56,10.88,11.2,1.619626,50900
2012-10-02,11.2,11.64,11.04,11.2,1.619626,40500
2012-10-03,11.2,11.24,10.96,11,1.590704,22400
2012-10-04,11.08,11.36,10.88,11.12,1.608057,29900
2012-10-05,11.12,11.32,10.88,10.92,1.579135,24500
2012-10-08,10.84,10.96,10.68,10.88,1.573351,17400
