Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,4.15,4.2,4.14,4.2,4.2,8000
2012-02-22,4.25,4.4,4.21,4.33,4.33,20400
2012-02-23,4.37,4.48,4,4.22,4.22,28000
2012-02-24,4.2,4.2,4.05,4.05,4.05,6400
2012-02-27,4.01,4.01,3.69,3.7,3.7,33900
2012-02-28,3.74,3.89,3.64,3.75,3.75,19700
2012-02-29,3.73,3.9,3.68,3.85,3.85,1100
2012-03-01,3.79,3.79,3.63,3.79,3.79,5900
2012-03-02,3.7,3.79,3.7,3.76,3.76,1600
2012-03-05,3.75,3.91,3.73,3.77,3.77,5400
2012-03-06,3.81,3.99,3.81,3.99,3.99,3300
2012-03-07,3.98,4.19,3.87,3.9,3.9,16700
2012-03-08,3.95,3.95,3.87,3.95,3.95,3100
2012-03-09,3.95,3.95,3.95,3.95,3.95,0
2012-03-12,3.98,4.12,3.86,4.07,4.07,3100
2012-03-13,3.81,4.11,3.81,4.1,4.1,3800
2012-03-14,3.95,4.1,3.93,4.1,4.1,2700
2012-03-15,4.01,4.1,4.01,4.08,4.08,1700
2012-03-16,4.1,4.14,4.1,4.14,4.14,2400
2012-03-19,4.13,4.15,4.13,4.15,4.15,1900
2012-03-20,4.15,4.15,4.15,4.15,4.15,0
2012-03-21,4.12,4.12,4.09,4.11,4.11,1800
2012-03-22,4.12,4.12,4.04,4.04,4.04,500
2012-03-23,3.93,4,3.88,4,4,2000
2012-03-26,4.03,4.15,4.03,4.09,4.09,8100
2012-03-27,4.09,4.09,4.09,4.09,4.09,0
2012-03-28,3.95,3.95,3.95,3.95,3.95,100
2012-03-29,4.02,4.02,3.9,3.9,3.9,600
2012-03-30,4.1,4.1,4.01,4.02,4.02,9200
2012-04-02,4.12,4.15,4.05,4.15,4.15,6800
2012-04-03,4.14,4.2,3.9,3.93,3.93,11500
2012-04-04,3.93,3.93,3.93,3.93,3.93,0
2012-04-05,4.08,4.1,4.08,4.1,4.1,3200
2012-04-09,4.1,4.1,4.08,4.1,4.1,7500
2012-04-10,4.1,4.1,3.97,3.97,3.97,5700
2012-04-11,4.06,4.2,4.06,4.1,4.1,6300
2012-04-12,4.09,4.16,4.09,4.15,4.15,9000
2012-04-13,4.1,4.1,4.1,4.1,4.1,800
2012-04-16,4.08,4.08,4.08,4.08,4.08,300
2012-04-17,4.06,4.15,4.06,4.15,4.15,3900
2012-04-18,4.11,4.11,4.1,4.1,4.1,400
2012-04-19,4.09,4.15,4.09,4.13,4.13,1100
2012-04-20,4.15,4.15,4.01,4.01,4.01,900
2012-04-23,4.02,4.15,4.02,4.15,4.15,2300
2012-04-24,4.09,4.15,3.95,4.14,4.14,23200
2012-04-25,4.14,4.14,4.14,4.14,4.14,0
2012-04-26,4.14,4.14,4.14,4.14,4.14,0
2012-04-27,4.15,4.15,4.14,4.15,4.15,500
2012-04-30,4,4.15,4,4.1,4.1,7800
2012-05-01,4.05,4.09,4,4.09,4.09,3000
2012-05-02,4.04,4.2,4.04,4.2,4.2,5000
2012-05-03,4.2,4.2,4.2,4.2,4.2,0
2012-05-04,4.15,4.15,4.11,4.11,4.11,1200
2012-05-07,4.07,4.07,4.07,4.07,4.07,900
2012-05-08,4.17,4.2,4.17,4.2,4.2,500
2012-05-09,4.2,4.45,4.2,4.38,4.38,22000
2012-05-10,4.42,4.53,4.42,4.5,4.5,3000
2012-05-11,4.49,4.49,4.43,4.45,4.45,8100
2012-05-14,4.41,4.41,4.38,4.38,4.38,8100
2012-05-15,4.38,4.38,4.38,4.38,4.38,0
2012-05-16,4.27,4.27,4.25,4.25,4.25,2000
2012-05-17,4.23,4.23,4.23,4.23,4.23,1400
2012-05-18,4.15,4.18,4.15,4.18,4.18,2100
2012-05-21,4.18,4.18,4.18,4.18,4.18,0
2012-05-22,4.23,4.36,4.23,4.36,4.36,25000
2012-05-23,4.2,4.48,4.2,4.48,4.48,3900
2012-05-24,4.43,4.49,4.35,4.43,4.43,17400
2012-05-25,4.45,4.45,4.45,4.45,4.45,100
2012-05-29,4.43,4.43,4.43,4.43,4.43,200
2012-05-30,4.41,4.43,4.14,4.27,4.27,3700
2012-05-31,4.24,4.43,4.06,4.34,4.34,5600
2012-06-01,4.28,4.38,4.2,4.2,4.2,9400
2012-06-04,4.31,4.31,4.06,4.2,4.2,2600
2012-06-05,4.2,4.2,4.2,4.2,4.2,0
2012-06-06,4.17,4.23,4.05,4.05,4.05,600
2012-06-07,4.08,4.23,4.08,4.23,4.23,700
2012-06-08,4.23,4.23,4.22,4.22,4.22,1100
2012-06-11,4.22,4.22,4.12,4.12,4.12,1400
2012-06-12,4.1,4.12,4.05,4.12,4.12,3300
2012-06-13,4.07,4.07,4.05,4.05,4.05,1100
2012-06-14,4.13,4.14,4.13,4.14,4.14,800
2012-06-15,4,4.24,4,4.24,4.24,500
2012-06-18,4.21,4.21,4.21,4.21,4.21,100
2012-06-19,4.1,4.1,4.08,4.09,4.09,10100
2012-06-20,3.82,4.09,3.82,4.04,4.04,1700
2012-06-21,4.07,4.09,4.07,4.09,4.09,2000
2012-06-22,4,4.09,3.85,4.09,4.09,1400
2012-06-25,4.05,4.06,4,4,4,8200
2012-06-26,4,4,4,4,4,0
2012-06-27,4.05,4.07,4.04,4.04,4.04,7600
2012-06-28,4.04,4.04,4.04,4.04,4.04,0
2012-06-29,4.04,4.04,4,4,4,3500
2012-07-02,4,4.04,3.84,4.04,4.04,7100
2012-07-03,4.04,4.04,4.04,4.04,4.04,0
2012-07-05,4.04,4.06,4,4.01,4.01,9300
2012-07-06,4.06,4.16,4,4.01,4.01,3800
2012-07-09,4.05,4.11,4.05,4.1,4.1,2800
2012-07-10,4.17,4.2,4.17,4.2,4.2,3200
2012-07-11,4.2,4.2,4.2,4.2,4.2,200
2012-07-12,4.17,4.2,4.03,4.03,4.03,4700
2012-07-13,4.03,4.03,4.03,4.03,4.03,0
2012-07-16,4.07,4.07,4.07,4.07,4.07,1100
2012-07-17,4.04,4.04,4,4.01,4.01,11000
2012-07-18,4.03,4.1,4,4.1,4.1,6400
2012-07-19,4.1,4.18,4.09,4.15,4.15,5800
2012-07-20,4.08,4.25,4.01,4.25,4.25,500
2012-07-23,4.18,4.18,4.18,4.18,4.18,300
2012-07-24,4.15,4.15,4.15,4.15,4.15,200
2012-07-25,4.15,4.15,4.15,4.15,4.15,0
2012-07-26,4.12,4.2,4.12,4.2,4.2,5000
2012-07-27,3.97,4.15,3.97,4.14,4.14,3100
2012-07-30,4.16,4.19,4.16,4.16,4.16,15500
2012-07-31,4,4.2,3.97,4.1,4.1,2100
2012-08-01,4.1,4.1,4.1,4.1,4.1,0
2012-08-02,4.1,4.1,4.1,4.1,4.1,0
2012-08-03,4.04,4.04,4.04,4.04,4.04,3900
2012-08-06,4.1,4.14,4.1,4.1,4.1,3100
2012-08-07,4.12,4.16,4.1,4.15,4.15,2600
2012-08-08,4.92,4.99,4.65,4.94,4.94,84800
2012-08-09,4.87,4.99,4.76,4.87,4.87,38200
2012-08-10,4.8,4.83,4.14,4.61,4.61,22900
