Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,6.99,7,6.85,6.94,6.94,13800
2012-02-22,7.05,7.05,6.97,6.98,6.98,9300
2012-02-23,6.95,6.96,6.86,6.93,6.93,8400
2012-02-24,6.93,6.96,6.88,6.94,6.94,6200
2012-02-27,6.85,6.94,6.4,6.84,6.84,24700
2012-02-28,6.81,6.84,6.78,6.82,6.82,13200
2012-02-29,6.87,6.94,6.81,6.9,6.9,17100
2012-03-01,6.99,6.99,6.92,6.97,6.97,15000
2012-03-02,6.94,6.97,6.94,6.97,6.97,4300
2012-03-05,6.92,6.92,6.75,6.86,6.86,5900
2012-03-06,6.76,6.8,6.42,6.75,6.75,12500
2012-03-07,6.75,6.82,6.71,6.8,6.8,4200
2012-03-08,6.85,6.89,6.75,6.88,6.88,3200
2012-03-09,6.81,6.9,6.81,6.9,6.9,2800
2012-03-12,6.9,6.9,6.9,6.9,6.9,0
2012-03-13,6.94,7.02,6.93,7.01,7.01,6500
2012-03-14,7,7.04,6.87,6.98,6.98,12900
2012-03-15,7.03,7.1,7.02,7.1,7.1,9900
2012-03-16,6.99,7.08,6.94,7.07,7.07,3200
2012-03-19,7.03,7.07,7.03,7.07,7.07,1900
2012-03-20,6.95,7.11,6.95,7.09,7.09,13900
2012-03-21,6.97,7.12,6.97,7.12,7.12,2200
2012-03-22,6.93,7.06,6.93,7.06,7.06,2300
2012-03-23,6.98,7.1,6.97,7.07,7.07,5000
2012-03-26,7.65,7.65,7.27,7.5,7.5,215800
2012-03-27,7.5,7.5,7.35,7.4,7.4,36700
2012-03-28,7.51,7.51,7.4,7.43,7.43,22600
2012-03-29,7.47,7.47,7.35,7.42,7.42,20800
2012-03-30,7.41,7.43,7.3,7.34,7.34,10100
2012-04-02,7.4,7.49,7.25,7.46,7.46,23200
2012-04-03,7.39,7.52,7.36,7.45,7.45,5400
2012-04-04,7.44,7.45,7.32,7.36,7.36,12100
2012-04-05,7.37,7.4,7.32,7.39,7.39,6900
2012-04-09,7.34,7.34,7.25,7.34,7.34,19100
2012-04-10,7.3,7.31,7.25,7.28,7.28,13500
2012-04-11,7.26,7.3,7.25,7.25,7.25,1400
2012-04-12,7.25,7.35,7.2,7.32,7.32,4300
2012-04-13,7.28,7.39,7.28,7.37,7.37,8000
2012-04-16,7.35,7.35,7.25,7.25,7.25,5500
2012-04-17,7.25,7.33,7.25,7.33,7.33,7200
2012-04-18,7.34,7.37,7.25,7.32,7.32,8200
2012-04-19,7.26,7.26,7.2,7.25,7.25,3100
2012-04-20,7.35,7.35,7.2,7.2,7.2,7200
2012-04-23,7.25,7.25,7.18,7.21,7.21,2600
2012-04-24,7.27,7.27,7.17,7.2,7.2,7600
2012-04-25,7.16,7.25,7.1,7.25,7.25,4200
2012-04-26,7.25,7.28,7.24,7.28,7.28,6000
2012-04-27,7.29,7.3,7.23,7.25,7.25,6800
2012-04-30,7.25,7.25,7.24,7.24,7.24,13000
2012-05-01,7.19,7.31,7.19,7.3,7.3,6200
2012-05-02,7.21,7.29,7.21,7.29,7.29,10700
2012-05-03,7.23,7.25,7.2,7.22,7.22,3000
2012-05-04,7.26,7.26,7.1,7.2,7.2,9200
2012-05-07,7.12,7.18,7.09,7.18,7.18,3100
2012-05-08,7.15,7.15,7.05,7.15,7.15,25600
2012-05-09,7.07,7.15,7.07,7.09,7.09,3300
2012-05-10,7.1,7.15,7.1,7.15,7.15,2300
2012-05-11,7.15,7.25,7.11,7.11,7.11,3500
2012-05-14,7.1,7.1,7.05,7.06,7.06,12900
2012-05-15,7.07,7.07,7,7.02,7.02,4200
2012-05-16,7.02,7.02,7.02,7.02,7.02,0
2012-05-17,7.01,7.01,6.97,6.97,6.97,2500
2012-05-18,6.97,6.97,6.8,6.81,6.81,14400
2012-05-21,6.84,6.9,6.81,6.9,6.9,2100
2012-05-22,6.9,6.93,6.84,6.93,6.93,11000
2012-05-23,6.85,6.93,6.85,6.93,6.93,2900
2012-05-24,6.89,6.89,6.8,6.83,6.83,5400
2012-05-25,6.86,6.86,6.78,6.84,6.84,4500
2012-05-29,6.9,7,6.84,6.98,6.98,1800
2012-05-30,6.93,6.93,6.86,6.87,6.87,800
2012-05-31,6.81,6.82,6.75,6.82,6.82,8300
2012-06-01,6.73,6.73,6.56,6.62,6.62,21100
2012-06-04,6.62,6.65,6.5,6.55,6.55,40400
2012-06-05,6.54,6.77,6.54,6.7,6.7,9500
2012-06-06,6.73,6.82,6.73,6.82,6.82,23900
2012-06-07,6.84,6.89,6.79,6.83,6.83,5400
2012-06-08,6.75,6.88,6.75,6.88,6.88,1100
2012-06-11,6.88,6.9,6.76,6.78,6.78,4200
2012-06-12,6.8,6.86,6.8,6.85,6.85,4000
2012-06-13,6.78,6.89,6.78,6.89,6.89,1100
2012-06-14,6.84,6.9,6.79,6.9,6.9,11600
2012-06-15,6.88,6.98,6.88,6.97,6.97,9300
2012-06-18,6.7,6.87,6.69,6.87,6.87,23900
2012-06-19,6.9,7,6.88,7,7,42600
2012-06-20,6.95,7,6.93,6.99,6.99,3000
2012-06-21,6.89,7,6.89,6.9,6.9,3900
2012-06-22,6.83,6.92,6.82,6.92,6.92,4700
2012-06-25,6.7,6.75,6.69,6.75,6.75,15800
2012-06-26,6.78,6.85,6.77,6.84,6.84,6300
2012-06-27,6.84,6.89,6.81,6.88,6.88,15800
2012-06-28,6.73,6.9,6.72,6.89,6.89,29000
2012-06-29,6.9,6.97,6.9,6.97,6.97,32400
2012-07-02,6.91,6.97,6.89,6.97,6.97,19400
2012-07-03,6.97,7.04,6.95,7.04,7.04,20200
2012-07-05,7,7.04,7,7.04,7.04,18100
2012-07-06,6.9,6.96,6.89,6.95,6.95,17900
2012-07-09,6.97,7,6.95,7,7,9800
2012-07-10,7,7.02,6.86,6.94,6.94,6500
2012-07-11,6.98,6.98,6.9,6.98,6.98,8200
2012-07-12,6.89,6.95,6.85,6.95,6.95,4000
2012-07-13,6.9,7.02,6.9,7,7,8000
2012-07-16,6.98,6.98,6.95,6.96,6.96,3600
2012-07-17,6.96,7,6.96,7,7,17100
2012-07-18,7.04,7.1,7.04,7.07,7.07,6900
2012-07-19,7.03,7.03,6.95,6.95,6.95,24100
2012-07-20,6.9,6.92,6.84,6.84,6.84,21900
2012-07-23,6.82,6.85,6.75,6.85,6.85,23300
2012-07-24,6.81,6.82,6.76,6.82,6.82,12200
2012-07-25,6.78,6.88,6.78,6.82,6.82,6300
2012-07-26,6.89,7.05,6.83,7.02,7.02,54500
2012-07-27,7.08,7.08,6.99,7.05,7.05,11200
2012-07-30,7.01,7.03,6.94,7.02,7.02,14200
2012-07-31,6.95,6.95,6.91,6.95,6.95,15200
2012-08-01,7.01,7.01,6.86,6.86,6.86,9300
2012-08-02,6.75,6.82,6.75,6.82,6.82,300
2012-08-03,6.98,7,6.9,7,7,16400
2012-08-06,6.95,7.01,6.93,7.01,7.01,26400
2012-08-07,6.99,7.03,6.99,7.02,7.02,41600
2012-08-08,6.98,7.06,6.97,7.04,7.04,7600
2012-08-09,7.02,7.04,7,7.04,7.04,2600
2012-08-10,6.98,7.03,6.98,7.03,7.03,8500
2012-08-13,6.97,7.02,6.97,7.02,7.02,7600
2012-08-14,7.03,7.03,7.01,7.03,7.03,3600
2012-08-15,6.98,7.03,6.98,7,7,8600
2012-08-16,7.03,7.04,7,7.02,7.02,3700
2012-08-17,7,7.05,7,7.05,7.05,10200
2012-08-20,7.01,7.08,7.01,7.06,7.06,3100
2012-08-21,7.05,7.08,7.02,7.03,7.03,19400
2012-08-22,7.02,7.06,7,7.04,7.04,4600
2012-08-23,7,7,6.95,6.99,6.99,10100
2012-08-24,6.99,7,6.99,7,7,4500
2012-08-27,6.96,6.99,6.86,6.97,6.97,11300
2012-08-28,6.91,7,6.91,7,7,2400
2012-08-29,6.88,7.01,6.88,6.99,6.99,26500
2012-08-30,7.02,7.02,6.84,6.85,6.85,3900
2012-08-31,6.96,6.97,6.87,6.92,6.92,16100
2012-09-04,6.87,7.06,6.87,7.06,7.06,21600
2012-09-05,7.02,7.05,7.01,7.05,7.05,7400
2012-09-06,7.09,7.15,7.09,7.15,7.15,10400
2012-09-07,7.17,7.2,7.09,7.2,7.2,2700
2012-09-10,7.12,7.25,7.12,7.23,7.23,12200
2012-09-11,7.17,7.19,7.11,7.17,7.17,8800
2012-09-12,7.24,7.27,7.23,7.24,7.24,60000
2012-09-13,7.25,7.35,7.25,7.28,7.28,31400
2012-09-14,7.32,7.42,7.32,7.39,7.39,7800
2012-09-17,7.34,7.42,7.34,7.39,7.39,3900
2012-09-18,7.35,7.41,7.28,7.39,7.39,37700
2012-09-19,7.32,7.44,7.32,7.44,7.44,9700
2012-09-20,7.44,7.44,7.44,7.44,7.44,1200
2012-09-21,7.4,7.45,7.39,7.42,7.42,12800
2012-09-24,7.4,7.4,7.33,7.39,7.39,6800
2012-09-25,7.35,7.39,7.32,7.32,7.32,2400
2012-09-26,7.31,7.31,7.2,7.28,7.28,37300
2012-09-27,7.29,7.34,7.26,7.34,7.34,8700
2012-09-28,7.34,7.34,7.26,7.3,7.3,8900
2012-10-01,7.33,7.36,7.33,7.34,7.34,16600
2012-10-02,7.34,7.36,7.26,7.32,7.32,6800
2012-10-03,7.35,7.35,7.35,7.35,7.35,1300
2012-10-04,7.31,7.4,7.31,7.38,7.38,6400
2012-10-05,7.4,7.5,7.4,7.45,7.45,20300
2012-10-08,7.37,7.56,7.37,7.55,7.55,24600
2012-10-09,7.54,7.54,7.49,7.51,7.51,5300
2012-10-10,7.49,7.49,7.4,7.4,7.4,400
2012-10-11,7.5,7.54,7.45,7.46,7.46,3000
2012-10-12,7.46,7.49,7.43,7.44,7.44,4400
2012-10-15,7.42,7.51,7.37,7.51,7.51,7500
