Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,7650,7650,6000,7650,7650,0
2012-02-22,7650,7650,7650,7650,7650,0
2012-02-23,6000,6750,6000,6000,6000,0
2012-02-24,6750,7650,6000,7650,7650,0
2012-02-27,7500,7800,7500,7500,7500,0
2012-02-28,7800,7800,7500,7500,7500,0
2012-02-29,7800,7800,7800,7800,7800,0
2012-03-01,7800,7800,7800,7800,7800,0
2012-03-02,7800,8100,6000,7950,7950,0
2012-03-05,6750,8100,6000,8100,8100,0
2012-03-06,8100,8100,8100,8100,8100,0
2012-03-07,8100,8100,8100,8100,8100,0
2012-03-08,8100,8100,8100,8100,8100,0
2012-03-09,6300,7500,5550,7500,7500,0
2012-03-12,7650,7650,6300,7650,7650,0
2012-03-13,7650,7650,5850,7650,7650,0
2012-03-14,6300,7650,6000,7650,7650,0
2012-03-15,7650,7650,6000,6600,6600,0
2012-03-16,6750,7350,6000,7200,7200,0
2012-03-19,6150,6600,6000,6600,6600,0
2012-03-20,6600,7350,6000,7350,7350,0
2012-03-21,7200,7200,5550,6750,6750,0
2012-03-22,6750,7050,5550,7050,7050,0
2012-03-23,6450,7050,6450,7050,7050,0
2012-03-26,7650,7650,5850,6750,6750,0
2012-03-27,6600,6600,6600,6600,6600,0
2012-03-28,7350,7350,5100,6000,6000,0
2012-03-29,6750,6750,5550,6750,6750,0
2012-03-30,7800,7800,5100,6750,6750,0
2012-04-02,6750,6750,6150,6750,6750,0
2012-04-03,6750,6750,6000,6750,6750,0
2012-04-04,6450,6750,5550,6750,6750,0
2012-04-05,6750,6750,5100,6750,6750,0
2012-04-09,6750,6750,6600,6600,6600,0
2012-04-10,6600,6600,5100,6000,6000,0
2012-04-11,6450,6450,4800,5850,5850,0
2012-04-12,5850,6000,4800,6000,6000,0
2012-04-13,6000,6000,5400,6000,6000,0
2012-04-16,6000,6000,6000,6000,6000,0
2012-04-17,5400,6000,4350,6000,6000,0
2012-04-18,6000,6000,5250,6000,6000,0
2012-04-19,6000,6450,4650,6450,6450,0
2012-04-20,4650,6450,4650,6450,6450,0
2012-04-23,6450,7650,4650,7350,7350,0
2012-04-24,7350,7350,7350,7350,7350,0
2012-04-25,4650,5700,4650,5550,5550,0
2012-04-26,5700,5700,4650,5700,5700,0
2012-04-27,4500,5850,4500,5850,5850,0
2012-04-30,5850,7650,5850,7650,7650,0
2012-05-01,5850,7650,5850,7650,7650,0
2012-05-02,7650,7650,4650,7650,7650,0
2012-05-03,7650,8100,4650,8100,8100,0
2012-05-04,8100,8100,7350,8100,8100,0
2012-05-07,8250,8250,5250,8100,8100,0
2012-05-08,8100,8100,8100,8100,8100,0
2012-05-09,5250,7650,5250,7650,7650,0
2012-05-10,7650,7650,7650,7650,7650,0
2012-05-11,7650,7650,5250,7650,7650,0
2012-05-14,7650,7650,5250,7650,7650,0
2012-05-15,7650,7650,7500,7650,7650,0
2012-05-16,7650,8100,7500,8100,8100,0
2012-05-17,8100,8100,8100,8100,8100,0
2012-05-18,8100,8100,8100,8100,8100,0
2012-05-21,8250,8250,5100,8100,8100,0
2012-05-22,7500,7500,5250,7500,7500,0
2012-05-23,8250,8250,8250,8250,8250,0
2012-05-24,8250,8250,7500,7500,7500,0
2012-05-25,7350,7350,7350,7350,7350,0
2012-05-29,7350,7350,7350,7350,7350,0
2012-05-30,5250,7200,5250,7200,7200,0
2012-05-31,7200,7200,7200,7200,7200,0
2012-06-01,7200,7200,5250,6450,6450,0
2012-06-04,7200,7200,7200,7200,7200,0
2012-06-05,7200,7200,5250,7200,7200,0
2012-06-06,7200,7350,5850,7050,7050,0
2012-06-07,6750,7050,5250,6750,6750,0
2012-06-08,6750,6750,6750,6750,6750,0
2012-06-11,6750,6750,6750,6750,6750,0
2012-06-12,6750,6750,6750,6750,6750,0
2012-06-13,6600,6600,6600,6600,6600,0
2012-06-14,6600,6600,6600,6600,6600,0
2012-06-15,6450,6450,4800,6450,6450,0
2012-06-18,6450,6450,6450,6450,6450,0
2012-06-19,6450,6450,4350,6450,6450,0
2012-06-20,6450,6450,4650,4650,4650,0
2012-06-21,6150,6150,4500,5550,5550,0
2012-06-22,6000,6150,4650,6150,6150,0
2012-06-25,6000,6000,4650,6000,6000,0
2012-06-26,4800,6000,4800,6000,6000,0
2012-06-27,6150,6150,4650,4950,4950,0
2012-06-28,6000,6000,4500,5250,5250,0
2012-06-29,5250,5850,4950,5850,5850,0
2012-07-02,5250,5700,4950,5700,5700,0
2012-07-03,5700,5700,4950,5700,5700,0
2012-07-05,5700,5850,4650,5850,5850,0
2012-07-06,5850,5850,4350,5850,5850,0
2012-07-09,5850,6750,4650,6000,6000,0
2012-07-10,6000,6000,4800,6000,6000,0
2012-07-11,6000,6000,5250,6000,6000,0
2012-07-12,6000,6000,4650,6000,6000,0
2012-07-13,6000,7500,6000,6750,6750,0
2012-07-16,6750,6750,4650,6750,6750,0
2012-07-17,6750,6750,4650,6750,6750,0
2012-07-18,5250,7350,4950,6300,6300,0
2012-07-19,6300,7200,6300,7200,7200,0
2012-07-20,7200,7500,5100,5700,5700,0
2012-07-23,7500,7500,5700,6000,6000,0
2012-07-24,8250,8250,5100,6900,6900,0
2012-07-25,6300,7500,5700,7500,7500,0
2012-07-26,7500,7500,6000,7500,7500,0
2012-07-27,7500,7500,7500,7500,7500,0
2012-07-30,7500,7500,5700,7500,7500,0
2012-07-31,7050,7350,7050,7350,7350,0
2012-08-01,7050,7350,4950,7050,7050,0
2012-08-02,6900,6900,5250,6450,6450,0
2012-08-03,6300,6300,4950,6000,6000,0
2012-08-06,6000,6900,5250,6900,6900,0
2012-08-07,5250,6450,5100,6450,6450,0
2012-08-08,5850,6450,5400,6150,6150,0
2012-08-09,6450,6450,5550,6450,6450,0
2012-08-10,6000,6450,5100,6300,6300,0
2012-08-13,6600,6600,5250,6450,6450,0
2012-08-14,5100,6750,5100,5850,5850,0
2012-08-15,5850,6600,4650,5400,5400,0
2012-08-16,5700,6600,5250,6000,6000,0
2012-08-17,6000,6000,6000,6000,6000,0
2012-08-20,4950,5700,4950,5700,5700,0
2012-08-21,5700,5700,4950,5550,5550,0
2012-08-22,5550,5550,4800,5400,5400,0
2012-08-23,4950,5850,4350,5400,5400,0
2012-08-24,4950,5850,4950,5850,5850,0
2012-08-27,5850,5850,4950,5700,5700,0
2012-08-28,5700,5850,4950,5850,5850,0
2012-08-29,5700,5850,5100,5400,5400,0
2012-08-30,5400,5700,5100,5250,5250,0
2012-08-31,5100,5250,4650,5100,5100,0
2012-09-04,4800,4950,4500,4500,4500,0
2012-09-05,4800,5550,4500,5550,5550,0
2012-09-06,5550,5550,4800,5550,5550,0
2012-09-07,4950,5550,4950,5550,5550,0
2012-09-10,4800,5700,4800,5700,5700,0
2012-09-11,5100,5850,5100,5850,5850,0
2012-09-12,4950,5850,4950,5850,5850,0
2012-09-13,5250,5850,5250,5700,5700,0
2012-09-14,5850,7050,5250,7050,7050,0
2012-09-17,7350,7350,5400,6750,6750,0
2012-09-18,5250,7350,5250,7350,7350,0
2012-09-19,5400,6600,5250,6600,6600,0
2012-09-20,6600,6750,5700,6300,6300,0
2012-09-21,6300,6450,5550,6450,6450,0
2012-09-24,5700,6600,5250,6600,6600,0
2012-09-25,5700,6600,5700,6300,6300,0
2012-09-26,5850,6600,5700,6150,6150,0
2012-09-27,5700,6750,5550,6300,6300,0
2012-09-28,6300,6300,5250,6300,6300,0
2012-10-01,5550,6750,5400,6600,6600,0
2012-10-02,6600,6600,5400,5550,5550,0
2012-10-03,5550,6000,4950,5400,5400,0
2012-10-04,5700,5700,4950,5550,5550,0
2012-10-05,4950,5250,4650,5100,5100,0
2012-10-08,4650,5250,4200,5250,5250,0
2012-10-09,4950,4950,4500,4650,4650,0
2012-10-10,4650,4650,4500,4650,4650,0
2012-10-11,4350,4500,4200,4200,4200,0
2012-10-12,4050,4200,3300,3900,3900,0
2012-10-15,3900,4200,3600,3750,3750,0
2012-10-16,3750,3750,2550,3000,3000,0
2012-10-17,2700,2850,2400,2850,2850,0
2012-10-18,2850,3000,2850,3000,3000,0
2012-10-19,3600,3600,3000,3450,3450,0
2012-10-22,3450,3450,2850,3300,3300,0
2012-10-23,2850,3300,2400,2700,2700,0
2012-10-24,3150,3750,2400,3750,3750,0
2012-10-25,2850,3450,2850,3450,3450,0
2012-10-26,3450,3450,3450,3450,3450,0
2012-10-31,3450,3450,2850,3450,3450,0
2012-11-01,3450,3450,2550,2850,2850,0
2012-11-02,2850,2850,2550,2700,2700,0
2012-11-05,2550,2700,2100,2250,2250,0
2012-11-06,2250,2850,2250,2850,2850,0
2012-11-07,2250,2700,2250,2700,2700,0
2012-11-08,2850,3150,2550,3000,3000,0
2012-11-09,2550,3000,2550,2850,2850,0
2012-11-12,2850,2850,2250,2250,2250,0
2012-11-13,2400,2550,2250,2400,2400,0
2012-11-14,2400,2400,2400,2400,2400,0
2012-11-15,2100,2250,2100,2250,2250,0
2012-11-16,2100,2250,2100,2250,2250,0
2012-11-19,2250,2400,1950,2250,2250,0
2012-11-20,2250,2250,2250,2250,2250,0
2012-11-21,1950,2550,1950,2550,2550,0
2012-11-23,2550,2550,2550,2550,2550,0
2012-11-26,2400,2550,2400,2550,2550,0
2012-11-27,2100,2400,2100,2400,2400,0
2012-11-28,2100,2250,2100,2250,2250,0
2012-11-29,2250,2400,2100,2400,2400,0
2012-11-30,1950,2400,1950,2250,2250,0
2012-12-03,1950,2250,1950,2250,2250,0
2012-12-04,1950,2100,1950,2100,2100,0
2012-12-05,1950,2550,1950,2100,2100,0
2012-12-06,2250,2250,2100,2100,2100,0
2012-12-07,2250,2250,2250,2250,2250,0
2012-12-10,2100,2250,2100,2250,2250,0
2012-12-11,1950,1950,1950,1950,1950,0
2012-12-12,1950,1950,1950,1950,1950,0
2012-12-13,1950,2100,1950,1950,1950,0
2012-12-14,1950,1950,1800,1800,1800,0
2012-12-17,1950,1950,1950,1950,1950,0
2012-12-18,1950,1950,1800,1800,1800,0
2012-12-19,1950,1950,1800,1950,1950,0
2012-12-20,1800,1950,1800,1950,1950,0
2012-12-21,1950,2250,1800,2250,2250,0
2012-12-24,2250,2550,2250,2550,2550,0
2012-12-26,2100,2700,2100,2700,2700,0
2012-12-27,2400,2850,2250,2550,2550,0
2012-12-28,2550,2700,2250,2400,2400,0
2012-12-31,3000,3000,2250,2850,2850,0
2013-01-02,2850,2850,2850,2850,2850,0
2013-01-03,2850,2850,2850,2850,2850,0
2013-01-04,2700,2850,2700,2850,2850,0
2013-01-07,2550,2850,2400,2850,2850,0
2013-01-08,2850,3000,2550,3000,3000,0
2013-01-09,2850,2850,2850,2850,2850,0
2013-01-10,2850,2850,2850,2850,2850,0
2013-01-11,2850,2850,2550,2700,2700,0
2013-01-14,2550,2550,2550,2550,2550,0
2013-01-15,2550,2550,2550,2550,2550,0
2013-01-16,2400,2550,2400,2400,2400,0
2013-01-17,2400,2400,2400,2400,2400,0
