Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,38.27,38.360001,37.419998,37.779999,37.779999,63000
2012-02-22,37.52,37.75,37,37.07,37.07,25000
2012-02-23,36.990002,38.189999,36.950001,37.98,37.98,47600
2012-02-24,38.07,38.200001,37.41,37.560001,37.560001,34800
2012-02-27,37.450001,37.669998,36.599998,37.5,37.5,90300
2012-02-28,37.34,37.66,36.689999,36.689999,36.689999,90700
2012-02-29,36.77,37.419998,36.73,37,37,146600
2012-03-01,37.959999,39.439999,37.02,39.299999,39.299999,329100
2012-03-02,39.529999,40.32,38.34,38.82,38.82,139400
2012-03-05,38.810001,40.439999,38.810001,40,40,113700
2012-03-06,39.68,39.970001,39.040001,39.27,39.27,72400
2012-03-07,39.599998,39.740002,38.57,39.029999,39.029999,55600
2012-03-08,39.389999,39.389999,38.279999,38.939999,38.939999,102900
2012-03-09,39.119999,40.889999,38.900002,40.099998,40.099998,98300
2012-03-12,40.150002,41.009998,39.84,40.060001,40.060001,93700
2012-03-13,40.560001,42.580002,40.540001,42.450001,42.450001,98700
2012-03-14,42.77,43.650002,41.700001,42.099998,42.099998,68600
2012-03-15,42.27,42.689999,41.52,42.07,42.07,64300
2012-03-16,42.240002,43,42.009998,42.900002,42.900002,99300
2012-03-19,42.900002,44.439999,42.610001,44.080002,44.080002,86600
2012-03-20,43.939999,43.939999,41.939999,42.380001,42.380001,91400
2012-03-21,42.150002,43.630001,41.84,43.119999,43.119999,59200
2012-03-22,42.849998,43.490002,42.57,43.040001,43.040001,44400
2012-03-23,43.119999,44.380001,42.73,44.189999,44.189999,59400
2012-03-26,45,45.900002,44.720001,45.150002,45.150002,125600
2012-03-27,45.189999,45.759998,44.389999,44.470001,44.470001,86600
2012-03-28,44.639999,44.700001,43.400002,44.060001,44.060001,115800
2012-03-29,43.709999,43.93,42.299999,43.119999,43.119999,114400
2012-03-30,43.349998,43.869999,43.040001,43.490002,43.490002,65500
2012-04-02,43.439999,44.970001,43.209999,44.889999,44.889999,82400
2012-04-03,44.889999,45.73,44.73,45.34,45.34,50600
2012-04-04,45.27,45.389999,44.400002,44.639999,44.639999,80600
2012-04-05,44.599998,45.439999,44.400002,45.259998,45.259998,35400
2012-04-09,44.529999,44.529999,43.619999,43.830002,43.830002,65000
2012-04-10,43.59,43.73,39.759998,40.400002,40.400002,322700
2012-04-11,40.970001,41.52,40.650002,41.52,41.52,175300
2012-04-12,41.630001,42.490002,41.610001,42.150002,42.150002,64700
2012-04-13,42.040001,42.150002,41.439999,41.900002,41.900002,45500
2012-04-16,42.009998,42.389999,41.68,41.970001,41.970001,89100
2012-04-17,42.330002,43.630001,42.330002,43.169998,43.169998,64700
2012-04-18,43.09,43.91,43.09,43.560001,43.560001,55000
2012-04-19,43.740002,44,42.169998,43,43,57800
2012-04-20,43.630001,43.77,42.700001,42.919998,42.919998,44600
2012-04-23,42.099998,42.200001,40.330002,41.07,41.07,73000
2012-04-24,40.919998,42.200001,40.369999,42.139999,42.139999,119800
2012-04-25,42.759998,43.400002,42.470001,42.84,42.84,75800
2012-04-26,42.630001,43.080002,42.619999,42.939999,42.939999,27600
2012-04-27,43,44,42.77,43.970001,43.970001,75300
2012-04-30,43.970001,44.009998,43.060001,43.369999,43.369999,49000
2012-05-01,43.200001,45.389999,43.049999,44.759998,44.759998,124000
2012-05-02,44.73,47.389999,44.560001,46.990002,46.990002,143500
2012-05-03,48.380001,49.5,47.57,49,49,223000
2012-05-04,48.669998,49.119999,48.27,48.549999,48.549999,94300
2012-05-07,47.450001,49.470001,47.41,48.48,48.48,85000
2012-05-08,47.950001,48.630001,47.689999,48.389999,48.389999,69000
2012-05-09,47.610001,48.619999,47.439999,47.959999,47.959999,68000
2012-05-10,48.25,48.5,47.509998,48.130001,48.130001,47000
2012-05-11,47.759998,48.560001,47.599998,48.150002,48.150002,42200
2012-05-14,47.360001,47.810001,46.5,47.459999,47.459999,72300
2012-05-15,47.66,48.41,46.98,47.419998,47.419998,81000
2012-05-16,47.52,47.990002,47.119999,47.490002,47.490002,64200
2012-05-17,47.650002,47.810001,45.259998,45.610001,45.610001,134900
2012-05-18,45.610001,47.049999,45.07,45.630001,45.630001,116800
2012-05-21,45.98,47.66,45.200001,47.41,47.41,64600
2012-05-22,47.459999,48.57,46.900002,47.689999,47.689999,74000
2012-05-23,47.290001,47.549999,46.139999,46.900002,46.900002,80000
2012-05-24,46.900002,47.040001,46.330002,46.84,46.84,57800
2012-05-25,47.060001,48.259998,46.720001,47.709999,47.709999,71100
2012-05-29,48.470001,50.349998,48.470001,50.209999,50.209999,152100
2012-05-30,49.369999,49.369999,47.880001,48.02,48.02,82800
2012-05-31,48.240002,48.400002,46.400002,47,47,115600
2012-06-01,45.689999,46.040001,42.849998,43.200001,43.200001,136400
2012-06-04,43.139999,44.130001,42.02,42.919998,42.919998,114900
2012-06-05,42.41,42.73,41.330002,42.02,42.02,144000
2012-06-06,42.509998,43.139999,42.349998,43,43,110100
2012-06-07,43.880001,44.169998,43.209999,43.509998,43.509998,64600
2012-06-08,43.360001,43.790001,42.75,43.610001,43.610001,50500
2012-06-11,44,45,41.509998,41.580002,41.580002,94600
2012-06-12,41.919998,43.59,40.5,43.529999,43.529999,76900
2012-06-13,43.209999,44.740002,43.02,43.5,43.5,101600
2012-06-14,43.66,44.48,42.959999,44.27,44.27,70900
2012-06-15,44.27,44.740002,43.630001,44.529999,44.529999,78500
2012-06-18,44.5,45.619999,44.02,45.330002,45.330002,66700
2012-06-19,45.779999,47,45.630001,46.73,46.73,66800
2012-06-20,46.860001,46.860001,44.720001,45,45,61700
2012-06-21,44.830002,45.18,43.220001,43.400002,43.400002,73900
2012-06-22,43.700001,44.34,43.119999,43.27,43.27,83000
2012-06-25,42.360001,42.799999,41.220001,41.369999,41.369999,122100
2012-06-26,41.369999,41.369999,36.759998,39.009998,39.009998,415500
2012-06-27,39.209999,39.619999,37.830002,38.150002,38.150002,142100
2012-06-28,37.650002,39.689999,37.27,39.630001,39.630001,168300
