Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,18.889999,19.110001,18.57,18.66,18.66,84300
2012-02-22,18.549999,18.74,18.309999,18.5,18.5,79500
2012-02-23,18.51,18.940001,18.32,18.780001,18.780001,78000
2012-02-24,18.799999,18.950001,18.68,18.77,18.77,40500
2012-02-27,18.67,18.860001,18.6,18.700001,18.700001,49500
2012-02-28,18.75,19.309999,18.540001,19.07,19.07,118200
2012-02-29,18.76,18.92,18.34,18.6,18.6,341500
2012-03-01,18.77,18.809999,18.459999,18.6,18.6,134500
2012-03-02,18.639999,19,18.5,18.719999,18.719999,161600
2012-03-05,18.4,18.440001,17.809999,18.049999,18.049999,275200
2012-03-06,17.76,18.24,17.450001,18.200001,18.200001,186500
2012-03-07,18.17,18.34,17.799999,17.9,17.9,44900
2012-03-08,18.049999,18.110001,17.85,18.01,18.01,77300
2012-03-09,17.959999,18.290001,17.959999,18.16,18.16,60800
2012-03-12,18.17,18.32,17.790001,17.950001,17.950001,39100
2012-03-13,18.1,18.209999,17.85,17.92,17.92,71600
2012-03-14,17.969999,18,17.719999,17.790001,17.790001,43700
2012-03-15,17.85,18.5,17.73,18.41,18.41,104000
2012-03-16,18.389999,18.5,18.120001,18.27,18.27,89700
2012-03-19,18.26,18.42,17.959999,18.219999,18.219999,44700
2012-03-20,18,18.040001,17.200001,17.309999,17.309999,108900
2012-03-21,17.389999,17.549999,17.059999,17.290001,17.290001,53600
2012-03-22,17.08,17.280001,16.74,16.84,16.84,99800
2012-03-23,16.74,17.129999,16.549999,17.030001,17.030001,175000
2012-03-26,17.16,17.4,16.83,16.950001,16.950001,86700
2012-03-27,16.9,17.040001,16.639999,16.74,16.74,84400
2012-03-28,16.809999,16.870001,16.049999,16.129999,16.129999,83000
2012-03-29,16.030001,16.379999,15.9,16.17,16.17,162900
2012-03-30,16.190001,16.32,15.91,16.1,16.1,192200
2012-04-02,16.1,16.66,16.059999,16.51,16.51,114000
2012-04-03,16.459999,16.639999,16.23,16.48,16.48,65700
2012-04-04,16.32,16.32,16.01,16.24,16.24,41400
2012-04-05,17.09,17.09,16.309999,16.32,16.32,89900
2012-04-09,16.120001,16.530001,16.1,16.360001,16.360001,55500
2012-04-10,16.379999,16.59,16.25,16.35,16.35,105200
2012-04-11,16.530001,16.530001,16.120001,16.299999,16.299999,82700
2012-04-12,16.26,16.52,16.190001,16.42,16.42,72500
2012-04-13,16.41,16.41,16.110001,16.17,16.17,23000
2012-04-16,16.200001,16.4,15.96,16.219999,16.219999,24600
2012-04-17,16.280001,16.440001,16.280001,16.379999,16.379999,36500
2012-04-18,16.360001,16.610001,16.209999,16.58,16.58,54900
2012-04-19,16.610001,16.709999,16.389999,16.469999,16.469999,75200
2012-04-20,16.65,16.719999,16.360001,16.68,16.68,106500
2012-04-23,16.51,16.799999,16.469999,16.690001,16.690001,94300
2012-04-24,16.65,16.73,16.49,16.620001,16.620001,61200
2012-04-25,16.719999,16.969999,16.709999,16.950001,16.950001,45100
2012-04-26,16.870001,16.93,16.73,16.85,16.85,77300
2012-04-27,16.870001,17.27,16.639999,17.200001,17.200001,92000
2012-04-30,17.15,17.16,17.01,17.030001,17.030001,90700
2012-05-01,17.01,17.43,17.01,17.190001,17.190001,107000
2012-05-02,17.15,17.24,16.889999,17.08,17.08,57000
2012-05-03,17.01,17.139999,16.98,17.120001,17.120001,71200
2012-05-04,17.129999,17.18,16.85,17.059999,17.059999,75300
2012-05-07,17.110001,17.120001,16.809999,17.030001,17.030001,47400
2012-05-08,16.860001,17.08,16.719999,17.02,17.02,49600
2012-05-09,16.9,17.059999,16.9,16.959999,16.959999,33000
2012-05-10,17.01,17.139999,16.82,17.139999,17.139999,29000
2012-05-11,17.139999,17.360001,16.93,17.34,17.34,71600
2012-05-14,17.18,17.360001,17.110001,17.200001,17.200001,20000
2012-05-15,17.030001,17.84,17.030001,17.790001,17.790001,65500
2012-05-16,17.85,18.01,17.629999,17.76,17.76,45000
2012-05-17,17.709999,17.799999,17.459999,17.75,17.75,102000
2012-05-18,17.73,17.73,16.540001,16.91,16.91,150000
2012-05-21,16.969999,17.450001,16.799999,17.309999,17.309999,113900
2012-05-22,17.35,17.35,16.860001,16.93,16.93,80300
2012-05-23,16.85,16.92,16.530001,16.77,16.77,46600
2012-05-24,16.719999,16.959999,16.57,16.82,16.82,70700
2012-05-25,16.77,17.18,16.719999,17.01,17.01,55500
2012-05-29,17.049999,17.290001,16.82,17.01,17.01,42900
2012-05-30,16.92,17.15,16.549999,17.02,17.02,61000
2012-05-31,17.290001,17.35,16.790001,17.01,17.01,159800
2012-06-01,16.73,16.98,16.25,16.76,16.76,78200
2012-06-04,16.889999,16.969999,16.73,16.9,16.9,71700
2012-06-05,16.82,17.25,16.73,16.879999,16.879999,53100
2012-06-06,16.98,17.65,16.940001,17.620001,17.620001,48600
2012-06-07,17.76,18.07,17.559999,17.84,17.84,179300
2012-06-08,17.780001,17.93,17.57,17.74,17.74,43400
2012-06-11,17.870001,18.610001,17.809999,18.07,18.07,180400
2012-06-12,18.139999,18.290001,17.709999,17.950001,17.950001,141300
2012-06-13,17.870001,18.190001,17.870001,18.110001,18.110001,183200
2012-06-14,18.08,18.26,17.67,17.889999,17.889999,87700
2012-06-15,17.84,18.209999,17.84,18.01,18.01,180200
2012-06-18,17.940001,18.25,17.940001,18.09,18.09,84600
2012-06-19,18.049999,18.700001,18.049999,18.530001,18.530001,132600
2012-06-20,18.6,18.6,18.32,18.51,18.51,62400
2012-06-21,18.42,18.65,17.91,18.450001,18.450001,131900
2012-06-22,18.75,19.16,18.52,18.950001,18.950001,896400
2012-06-25,19.08,19.129999,18.73,18.860001,18.860001,98000
2012-06-26,18.940001,19.15,18.5,18.620001,18.620001,124200
2012-06-27,18.65,18.809999,18.4,18.58,18.58,95100
2012-06-28,18.5,18.690001,18.24,18.66,18.66,60100
2012-06-29,19,19.25,18.870001,19.059999,19.059999,194100
2012-07-02,19.18,19.48,19.17,19.450001,19.450001,251900
2012-07-03,18.85,18.889999,17.969999,18.4,18.4,355800
2012-07-05,18.379999,18.67,18,18.57,18.57,133000
2012-07-06,18.459999,18.639999,18.450001,18.57,18.57,70000
2012-07-09,18.49,18.91,18.440001,18.889999,18.889999,106400
2012-07-10,18.99,19.040001,18.790001,19,19,164900
2012-07-11,19.09,19.190001,18.950001,19.02,19.02,212600
2012-07-12,18.98,19.049999,18.799999,18.99,18.99,144800
2012-07-13,19.040001,19.35,19,19.290001,19.290001,176600
2012-07-16,19.700001,19.969999,19.280001,19.43,19.43,206000
2012-07-17,19.379999,19.48,18.790001,18.969999,18.969999,118900
2012-07-18,18.879999,19.26,18.85,19.08,19.08,148400
2012-07-19,19.049999,19.15,18.85,18.870001,18.870001,151400
2012-07-20,18.5,18.57,17.07,17.290001,17.290001,409200
2012-07-23,17.219999,17.41,16.77,17.24,17.24,134400
2012-07-24,17.459999,17.530001,16.59,16.950001,16.950001,106900
2012-07-25,16.940001,17.290001,16.73,16.959999,16.959999,193900
2012-07-26,17.059999,17.41,16.83,17.17,17.17,268900
2012-07-27,17.280001,18.049999,17,17.92,17.92,242200
2012-07-30,17.889999,17.92,17.68,17.82,17.82,70900
2012-07-31,18,18.219999,17.91,18.040001,18.040001,181300
2012-08-01,18.16,18.16,17.809999,17.84,17.84,140800
2012-08-02,17.790001,18.280001,17.790001,18.139999,18.139999,80900
2012-08-03,18.32,18.75,18.32,18.719999,18.719999,103500
2012-08-06,18.709999,18.83,18.540001,18.639999,18.639999,72300
2012-08-07,18.85,18.85,18.43,18.6,18.6,81400
2012-08-08,18.59,18.74,18.42,18.540001,18.540001,69100
2012-08-09,18.58,18.700001,18.26,18.32,18.32,46500
2012-08-10,18.370001,18.629999,18.24,18.43,18.43,122400
2012-08-13,18.4,18.459999,18.17,18.440001,18.440001,53700
2012-08-14,18.440001,18.889999,18.299999,18.75,18.75,76800
2012-08-15,18.77,18.93,18.629999,18.85,18.85,46000
2012-08-16,18.889999,18.889999,18.540001,18.75,18.75,92000
2012-08-17,18.700001,18.940001,18.700001,18.870001,18.870001,77300
2012-08-20,18.91,19.15,18.58,19.030001,19.030001,43800
2012-08-21,19.120001,19.5,19.08,19.48,19.48,111900
2012-08-22,19.4,19.5,19.16,19.370001,19.370001,81700
2012-08-23,19.4,19.4,19.059999,19.190001,19.190001,68500
2012-08-24,19.129999,19.370001,18.5,19.190001,19.190001,117900
2012-08-27,19.190001,19.309999,18.92,19.290001,19.290001,111700
2012-08-28,18.709999,18.9,17.9,18.280001,18.280001,332300
2012-08-29,18.16,18.52,18.030001,18.309999,18.309999,127800
2012-08-30,18.290001,18.290001,17.9,17.969999,17.969999,60800
2012-08-31,18.049999,18.049999,17.620001,17.709999,17.709999,88200
2012-09-04,17.540001,18.110001,17.389999,17.950001,17.950001,100900
2012-09-05,17.85,18.5,17.85,18.450001,18.450001,102300
2012-09-06,18.49,18.799999,18.309999,18.59,18.59,93800
2012-09-07,18.65,18.65,18.059999,18.1,18.1,70500
2012-09-10,18.09,18.110001,17.6,17.77,17.77,77600
2012-09-11,17.82,17.969999,17.540001,17.629999,17.629999,163700
2012-09-12,17.4,17.85,17.379999,17.83,17.83,56400
2012-09-13,17.75,18.07,17.67,17.860001,17.860001,94000
2012-09-14,17.790001,17.84,17.440001,17.540001,17.540001,159100
2012-09-17,17.51,17.790001,17.469999,17.77,17.77,54900
2012-09-18,17.709999,18.110001,17.620001,17.77,17.77,71500
2012-09-19,17.860001,17.860001,17.450001,17.610001,17.610001,95200
2012-09-20,17.57,17.57,17.209999,17.440001,17.440001,69600
2012-09-21,17.639999,17.780001,17.389999,17.5,17.5,135400
2012-09-24,17.299999,17.4,17.17,17.370001,17.370001,137200
2012-09-25,17.389999,17.610001,17.17,17.280001,17.280001,96300
2012-09-26,17.27,17.290001,16.719999,16.809999,16.809999,113800
2012-09-27,16.83,17.280001,16.620001,17.280001,17.280001,83400
2012-09-28,17.190001,17.4,17,17.15,17.15,126800
2012-10-01,17.23,17.75,17.23,17.65,17.65,100400
2012-10-02,17.67,18.139999,17.67,17.860001,17.860001,67500
2012-10-03,17.83,17.889999,17.459999,17.77,17.77,100900
2012-10-04,17.83,17.940001,17.700001,17.77,17.77,42700
2012-10-05,17.85,17.85,17.59,17.66,17.66,71300
2012-10-08,17.639999,17.700001,17.549999,17.549999,17.549999,52500
2012-10-09,17.549999,17.59,17.1,17.200001,17.200001,92900
2012-10-10,17.209999,17.209999,17.01,17.049999,17.049999,34500
2012-10-11,17.139999,17.200001,16.9,16.959999,16.959999,60800
2012-10-12,16.950001,17.280001,16.92,17.129999,17.129999,92900
2012-10-15,17.219999,17.25,17.09,17.15,17.15,67800
2012-10-16,17.23,17.4,17.139999,17.309999,17.309999,67800
2012-10-17,17.33,17.75,17.33,17.709999,17.709999,27900
2012-10-18,17.709999,17.98,17.690001,17.860001,17.860001,41300
2012-10-19,17.809999,17.879999,17.41,17.549999,17.549999,58600
2012-10-22,17.49,17.6,17.469999,17.530001,17.530001,41800
2012-10-23,17.459999,17.91,17.299999,17.860001,17.860001,99200
2012-10-24,17.870001,17.870001,17.049999,17.15,17.15,87000
2012-10-25,17.15,17.33,16.780001,17.07,17.07,95200
2012-10-26,16.52,16.84,15.7,16.6,16.6,338100
2012-10-31,16.559999,16.940001,16.530001,16.809999,16.809999,80000
2012-11-01,16.77,17.120001,16.75,16.940001,16.940001,87600
2012-11-02,16.950001,17.23,16.6,16.67,16.67,113500
2012-11-05,16.65,16.93,16.52,16.809999,16.809999,72000
2012-11-06,16.75,17.02,16.75,16.91,16.91,43900
2012-11-07,16.709999,16.91,16.559999,16.65,16.65,58700
2012-11-08,16.620001,16.620001,15.9,16.129999,16.129999,56400
2012-11-09,16.1,16.290001,16.040001,16.16,16.16,38300
2012-11-12,16.27,16.299999,16,16.110001,16.110001,26500
2012-11-13,16,16.08,15.7,15.78,15.78,48900
2012-11-14,15.85,15.9,15.59,15.75,15.75,113200
2012-11-15,15.72,15.98,15.5,15.97,15.97,46600
2012-11-16,15.91,16.690001,15.86,16.370001,16.370001,99800
2012-11-19,16.43,17.110001,16.4,16.969999,16.969999,97200
2012-11-20,16.860001,17.5,16.709999,17.41,17.41,89900
2012-11-21,17.57,17.950001,17.360001,17.799999,17.799999,146800
2012-11-23,17.790001,17.790001,16.9,17.77,17.77,42500
2012-11-26,17.790001,18.200001,17.75,18.200001,18.200001,94300
2012-11-27,18.15,18.48,17.969999,18.219999,18.219999,103300
2012-11-28,18.110001,18.110001,17.549999,17.65,17.65,48200
2012-11-29,17.799999,18.059999,17.73,17.870001,17.870001,42800
2012-11-30,17.940001,18.5,17.4,17.57,17.57,79200
2012-12-03,17.74,17.74,17.33,17.389999,17.389999,25300
2012-12-04,17.4,17.65,17.17,17.299999,17.299999,56800
2012-12-05,17.379999,17.57,17.379999,17.43,17.43,36600
2012-12-06,17.389999,17.440001,17.23,17.33,17.33,25400
2012-12-07,17.34,17.709999,17.26,17.67,17.67,43800
2012-12-10,17.74,17.84,17.280001,17.530001,17.530001,44500
2012-12-11,17.57,17.57,17.23,17.360001,17.360001,94700
2012-12-12,17.440001,17.440001,17.139999,17.280001,17.280001,63500
2012-12-13,17.32,17.41,16.950001,17.24,17.24,70600
2012-12-14,17.200001,17.540001,17.15,17.26,17.26,67400
2012-12-17,17.370001,17.370001,17.02,17.219999,17.219999,92600
2012-12-18,17.17,17.52,17.059999,17.370001,17.370001,86900
2012-12-19,17.33,17.5,17.120001,17.219999,17.219999,118100
2012-12-20,17.27,17.68,16.940001,17.190001,17.190001,545100
2012-12-21,17.040001,17.93,16.98,17.440001,17.440001,212400
2012-12-24,17.41,17.59,17.24,17.32,17.32,59300
2012-12-26,17.27,17.559999,16.889999,17.280001,17.280001,542300
2012-12-27,17.25,17.610001,17.059999,17.48,17.48,430600
2012-12-28,17.41,18.139999,17.290001,17.92,17.92,295600
2012-12-31,17.879999,18.200001,17.379999,17.969999,17.969999,350700
2013-01-02,18.16,18.860001,17.809999,18.790001,18.790001,159600
2013-01-03,18.76,18.870001,18.540001,18.59,18.59,82700
2013-01-04,18.690001,18.77,18.440001,18.450001,18.450001,94200
2013-01-07,18.34,18.440001,18.110001,18.290001,18.290001,120100
2013-01-08,18.25,18.690001,18.15,18.57,18.57,114400
2013-01-09,18.65,19.09,18.65,19.07,19.07,148800
2013-01-10,19.059999,19.17,18.91,19.049999,19.049999,157600
2013-01-11,19.09,19.25,18.969999,19.049999,19.049999,81000
2013-01-14,19.049999,19.51,18.879999,19.5,19.5,161700
2013-01-15,19.469999,20.1,19.43,19.639999,19.639999,265400
2013-01-16,19,19.209999,18.25,18.32,18.32,193500
2013-01-17,18.43,18.629999,18.280001,18.459999,18.459999,79100
2013-01-18,18.57,18.690001,18.379999,18.469999,18.469999,109100
2013-01-22,18.530001,18.74,18.42,18.49,18.49,86300
2013-01-23,18.530001,18.77,18.459999,18.690001,18.690001,99100
2013-01-24,18.77,18.91,18.540001,18.73,18.73,71500
2013-01-25,18.870001,18.870001,18.48,18.780001,18.780001,91500
2013-01-28,18.860001,19.16,18.82,19.1,19.1,134100
2013-01-29,19.129999,19.15,18.92,19.1,19.1,98500
2013-01-30,19.07,19.190001,18.370001,18.5,18.5,119100
2013-01-31,18.530001,18.870001,18.48,18.57,18.57,81200
2013-02-01,18.65,18.889999,18.43,18.75,18.75,110700
2013-02-04,18.67,18.870001,18.110001,18.18,18.18,112600
2013-02-05,18.219999,18.870001,17.83,18.77,18.77,123000
