Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,24.57,24.73,24.309999,24.52,24.52,107400
2012-02-22,24.459999,24.459999,23.77,23.790001,23.790001,60000
2012-02-23,23.879999,24.02,23.610001,23.799999,23.799999,44800
2012-02-24,23.75,24.059999,23.25,23.42,23.42,49200
2012-02-27,23.24,23.24,22.83,22.99,22.99,90700
2012-02-28,23.07,23.110001,22.66,22.85,22.85,77000
2012-02-29,22.940001,23.15,22.280001,22.280001,22.280001,83200
2012-03-01,22.469999,22.559999,22.32,22.389999,22.389999,105500
2012-03-02,22.42,22.42,21.67,21.99,21.99,86400
2012-03-05,21.99,22.309999,21.639999,21.940001,21.940001,173700
2012-03-06,21.6,22.34,21.6,21.959999,21.959999,169800
2012-03-07,22.120001,22.389999,21.950001,22.139999,22.139999,74300
2012-03-08,22.26,22.26,21.889999,22.110001,22.110001,38500
2012-03-09,22.059999,22.52,21.639999,22.35,22.35,174200
2012-03-12,22.370001,22.43,22,22.24,22.24,63400
2012-03-13,22.389999,23.4,22.25,23.190001,23.190001,269100
2012-03-14,23.09,23.299999,22.780001,22.879999,22.879999,36500
2012-03-15,22.860001,23.190001,22.68,22.889999,22.889999,53100
2012-03-16,22.959999,22.959999,22.309999,22.59,22.59,103800
2012-03-19,22.5,22.6,22.200001,22.219999,22.219999,128200
2012-03-20,22.030001,22.08,21.700001,21.82,21.82,88400
2012-03-21,21.93,22.49,21.67,21.860001,21.860001,84600
2012-03-22,21.620001,21.620001,20.99,21.01,21.01,167400
2012-03-23,21.07,21.35,20.9,21.290001,21.290001,154900
2012-03-26,21.559999,22.34,21.48,22.24,22.24,101300
2012-03-27,22.309999,22.700001,22.24,22.379999,22.379999,82100
2012-03-28,22.389999,22.469999,22.129999,22.24,22.24,74900
2012-03-29,22.139999,22.42,22,22.190001,22.190001,58100
2012-03-30,22.42,22.700001,22.219999,22.549999,22.549999,143400
2012-04-02,22.41,22.799999,22.25,22.74,22.74,186400
2012-04-03,22.719999,22.780001,22.309999,22.75,22.75,154700
2012-04-04,22.5,22.549999,22,22.040001,22.040001,69300
2012-04-05,21.889999,22.190001,21.690001,22.17,22.17,69000
2012-04-09,21.639999,21.799999,21.459999,21.709999,21.709999,69400
2012-04-10,21.610001,21.719999,21.42,21.49,21.49,84500
2012-04-11,21.690001,22.17,21.49,21.959999,21.959999,86200
2012-04-12,21.93,22.26,21.93,22.219999,22.219999,81600
2012-04-13,22.110001,22.209999,21.719999,21.799999,21.799999,56200
2012-04-16,21.93,21.99,21.459999,21.65,21.65,43900
2012-04-17,21.879999,22.370001,21.620001,21.790001,21.790001,64700
2012-04-18,21.690001,21.85,21.450001,21.780001,21.780001,77800
2012-04-19,21.780001,21.93,21.49,21.75,21.75,66300
2012-04-20,22.290001,22.299999,21.73,22.030001,22.030001,111600
2012-04-23,21.76,22.190001,21.76,22.07,22.07,58600
2012-04-24,22.02,22.42,21.92,22.01,22.01,181000
2012-04-25,22.290001,22.559999,22.08,22.280001,22.280001,147600
2012-04-26,22.27,22.559999,21.74,22.35,22.35,184200
2012-04-27,22.4,23.73,22.18,23.530001,23.530001,230600
2012-04-30,23.559999,23.74,23.309999,23.700001,23.700001,90000
2012-05-01,23.65,24.75,23.65,23.82,23.82,133000
2012-05-02,23.6,24.17,23.299999,24.07,24.07,82000
2012-05-03,24.040001,24.040001,23.459999,23.74,23.74,51000
2012-05-04,23.540001,23.639999,23.030001,23.110001,23.110001,44500
2012-05-07,23.049999,23.34,22.85,23.120001,23.120001,36000
2012-05-08,22.889999,23.83,22.77,23.68,23.68,103300
2012-05-09,23.33,24.379999,23.08,24.209999,24.209999,264000
