Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,18.65,19.139999,18.59,18.59,15.503619,3500
2012-02-22,18.450001,19.200001,18.450001,18.690001,15.587022,2100
2012-02-23,18.65,19.23,18.59,18.93,15.787171,2500
2012-02-24,18.5,19.1,18.5,18.9,15.762156,600
2012-02-27,18.559999,19.1,18.559999,19.1,15.928946,5000
2012-02-28,18.84,19.219999,18.84,19.219999,16.029028,200
2012-02-29,19.16,19.25,18.639999,19.200001,16.012346,1500
2012-03-01,19.200001,19.200001,19.200001,19.200001,16.012346,0
2012-03-02,18.860001,19.379999,18.860001,19.34,16.129107,6600
2012-03-05,19.32,19.34,19.120001,19.34,16.129107,1400
2012-03-06,19.25,19.5,19.25,19.5,16.262539,1700
2012-03-07,19.42,19.42,18.75,19.200001,16.012346,400
2012-03-08,19.15,19.15,19.15,19.15,15.97065,100
2012-03-09,18.950001,19.25,18.950001,18.950001,15.803856,1700
2012-03-12,18.969999,18.969999,18.969999,18.969999,15.820535,100
2012-03-13,18.83,19.200001,18.66,19.200001,16.012346,1700
2012-03-14,18.969999,18.969999,18.969999,18.969999,15.820535,100
2012-03-15,19,19.17,19,19.17,15.987328,2800
2012-03-16,19.219999,19.25,19.219999,19.24,16.045708,2300
2012-03-19,18.66,19.25,18.66,19.25,16.054049,6400
2012-03-20,19.25,19.25,19.030001,19.25,16.054049,3100
2012-03-21,19.25,19.969999,19.200001,19.969999,16.654507,5800
2012-03-22,19.25,19.43,18.66,19.43,16.204165,2200
2012-03-23,19.469999,20.5,19.469999,19.799999,16.512739,22800
2012-03-26,20.1,20.700001,18.889999,20.219999,16.863003,2600
2012-03-27,19.26,20.25,19.26,20.25,16.888021,1500
2012-03-28,19.82,20.25,19.82,20.25,16.888021,1200
2012-03-29,19.940001,20.25,19.940001,20,16.679523,1200
2012-03-30,20,20,19.75,20,16.679523,1600
2012-04-02,19.34,20.25,19.34,20.219999,16.863003,1000
2012-04-03,19.51,20.559999,19.51,20,16.679523,2600
2012-04-04,20.469999,20.469999,20.469999,20.469999,17.071495,200
2012-04-05,20.110001,20.25,19.51,19.889999,16.58779,2400
2012-04-09,19.889999,20.24,19.889999,20.139999,16.796282,500
2012-04-10,20.1,20.25,19.75,20.209999,16.854658,1900
2012-04-11,20.25,20.559999,19.67,20.440001,17.046478,1800
2012-04-12,20.42,20.559999,19.66,20.559999,17.146555,2300
2012-04-13,20.49,20.559999,19.809999,20.559999,17.146555,2400
2012-04-16,20.559999,20.9,20.559999,20.9,17.430115,1000
2012-04-17,20.76,21.26,20.76,21.26,17.730341,2500
2012-04-18,21.24,21.9,21.24,21.9,18.264088,1800
2012-04-19,21.98,22.049999,21.299999,22.040001,18.380844,2900
2012-04-20,22.16,22.42,21.280001,22.42,18.697754,2900
2012-04-23,22.35,22.67,22.34,22.67,18.906244,1200
2012-04-24,22.35,23.42,21.700001,22.93,19.123081,6200
2012-04-25,23.959999,24.200001,23.959999,24.200001,20.18223,900
2012-04-26,24,24,22,23,19.181458,1200
2012-04-27,22.9,24.25,21.450001,24.139999,20.132189,600
2012-04-30,25,25.5,22.5,24.25,20.223928,6900
2012-05-01,24.49,26.49,22.58,26.49,22.092039,3900
2012-05-02,24.51,25.940001,24.07,24.709999,20.607555,8300
2012-05-03,24.280001,25,23.120001,24.6,20.51582,8500
2012-05-04,23.75,23.75,23.75,23.75,19.806942,100
2012-05-07,24.5,24.709999,22.5,24.32,20.282309,1400
2012-05-08,23.58,24.09,22.93,24.01,20.023777,1800
2012-05-09,23.360001,24.33,23.360001,23.6,19.681849,600
2012-05-10,23.57,23.57,22.08,22.200001,18.514277,2700
2012-05-11,23.799999,23.940001,21.049999,21.790001,18.172346,7500
2012-05-14,21.83,21.83,20.51,20.700001,17.263308,4400
2012-05-15,20.75,21.5,19.25,19.75,16.471033,6700
2012-05-16,18.42,20,18.15,19.629999,16.370962,4300
2012-05-17,18.48,19.469999,17.65,18.809999,15.687097,3500
2012-05-18,18.709999,18.860001,17.809999,18.16,15.145017,16000
2012-05-21,18.1,18.25,17.75,18.15,15.220489,3700
2012-05-22,17.85,17.85,17,17.5,14.675398,3500
2012-05-23,17,17,16.01,16.68,13.987754,12000
2012-05-24,16.65,16.9,16.049999,16.700001,14.004525,6400
2012-05-25,16.700001,17.15,16.700001,16.76,14.054841,4300
2012-05-29,17.030001,17.030001,16.23,16.9,14.172244,3400
2012-05-30,16.450001,17.17,16.01,16.9,14.172244,4200
2012-05-31,17.040001,17.379999,16.4,17.309999,14.516064,3000
2012-06-01,16.99,16.99,16.139999,16.950001,14.21417,900
2012-06-04,16.93,16.93,16.42,16.42,13.769716,3300
2012-06-05,16.33,17.040001,16.059999,17.040001,14.289649,2100
2012-06-06,16.959999,17.76,16.16,16.280001,13.652313,10500
2012-06-07,16.41,17.809999,16.379999,16.809999,14.09677,1600
2012-06-08,16.780001,20.15,16.780001,17.98,15.077924,11000
2012-06-11,18.08,18.59,17.25,17.82,14.943748,25500
2012-06-12,18,18,16.75,17.34,14.541224,2800
2012-06-13,17.51,18.9,17,18.9,15.849431,19000
2012-06-14,18.129999,19.41,18,19.110001,16.025536,25500
2012-06-15,18.950001,19.219999,18.18,19.08,16.000374,12400
2012-06-18,18.950001,19.889999,18.18,19.32,16.201637,20600
2012-06-19,19.690001,20.6,19.139999,19.93,16.713181,17700
2012-06-20,19.76,20.32,18.799999,19.709999,16.528692,25300
2012-06-21,19.92,19.92,18.200001,19.23,16.126169,31300
2012-06-22,19.450001,19.559999,18.030001,18.549999,15.555919,803200
2012-06-25,18.219999,18.469999,17.370001,17.43,14.616697,34600
2012-06-26,17.42,17.42,16.309999,16.48,13.82003,13100
2012-06-27,16.92,17,16.25,16.43,13.778103,15000
2012-06-28,16.209999,16.43,15.53,15.53,13.023368,7800
2012-06-29,15.98,16.469999,15.17,16.15,13.543297,17200
2012-07-02,16.209999,19.24,16.209999,19.18,16.08424,21800
2012-07-03,19.190001,19.790001,18.370001,19.290001,16.176483,11300
2012-07-05,18.98,19.799999,18.459999,19.5,16.352589,10200
2012-07-06,19.35,19.879999,19.1,19.139999,16.050692,4400
2012-07-09,19.1,19.75,19.1,19.549999,16.394516,2600
2012-07-10,19.5,20.25,17.16,19.9,16.688023,17500
2012-07-11,19.049999,20.15,18.799999,19.08,16.000374,6400
2012-07-12,18.77,19.450001,18.65,19.190001,16.092623,5800
2012-07-13,19.280001,19.48,18.84,19.25,16.142937,5300
2012-07-16,19.24,19.879999,19.24,19.6,16.436445,1800
2012-07-17,19.75,19.75,19.299999,19.5,16.352589,19600
2012-07-18,19.540001,19.540001,19.43,19.5,16.352589,4700
2012-07-19,19.59,19.59,19.32,19.32,16.201637,2700
2012-07-20,19.219999,19.469999,19.1,19.1,16.017151,5600
2012-07-23,18.77,18.77,17.280001,17.959999,15.061156,6900
2012-07-24,17.91,18.34,17.5,18.09,15.170172,42500
2012-07-25,18.18,19.01,17.5,18.67,15.656558,3600
2012-07-26,18.84,19.07,18.02,18.25,15.304344,10400
2012-07-27,18.190001,18.959999,17.799999,18.200001,15.262417,19800
2012-07-30,18.129999,18.129999,17.690001,17.709999,14.851504,4100
2012-07-31,17.75,18.08,17.549999,17.85,14.968907,9200
2012-08-01,17.83,17.83,16.6,17.200001,14.42382,25300
2012-08-02,17.030001,18.9,17.030001,17.33,14.532837,11000
2012-08-03,17.52,18.73,17.25,18.17,15.237261,8300
2012-08-06,17.92,18.75,17.76,18.65,15.639783,16500
2012-08-07,18.75,19.709999,18.360001,18.870001,15.824275,17300
2012-08-08,19.08,19.08,18.35,18.950001,15.891366,2800
2012-08-09,19.18,19.27,18.5,19.07,15.991989,12800
2012-08-10,18.99,19,18.52,18.99,15.924907,1800
2012-08-13,19.049999,19.950001,18.84,19,15.933292,15600
2012-08-14,19.15,20,18.549999,18.74,15.715253,5300
2012-08-15,19.5,19.5,18.65,19,15.933292,4100
2012-08-16,18.75,18.75,18.299999,18.5,15.51399,5600
2012-08-17,18.5,18.75,17.629999,17.969999,15.069536,10400
2012-08-20,17.84,18.66,17.77,18,15.179169,5700
2012-08-21,18.17,18.17,17.290001,17.290001,14.580429,20500
2012-08-22,17.48,17.5,17.389999,17.43,14.698492,2600
2012-08-23,17.52,17.52,17.059999,17.059999,14.386476,8000
2012-08-24,17.02,17.25,17,17.139999,14.453943,10300
2012-08-27,17.07,17.25,16.98,17.25,14.5467,9700
2012-08-28,17.27,17.530001,17.27,17.530001,14.782823,3600
2012-08-29,17.879999,17.879999,17.860001,17.860001,15.06111,3100
2012-08-30,17.799999,17.799999,17,17,14.335878,4700
2012-08-31,17.059999,17.41,17,17.049999,14.378041,6500
2012-09-04,17.129999,17.18,16.709999,17.139999,14.453943,6900
2012-09-05,17.129999,18.280001,17.030001,17.48,14.740654,9100
2012-09-06,17.65,18.860001,17.65,18.27,15.406855,16600
2012-09-07,18.299999,18.52,18.25,18.440001,15.550209,6600
2012-09-10,18.469999,18.77,18.469999,18.620001,15.702001,3000
2012-09-11,18.6,18.719999,18.5,18.66,15.735733,6600
2012-09-12,18.51,18.51,18.17,18.450001,15.558649,3200
2012-09-13,18.5,19.73,18.5,19.68,16.595888,10800
2012-09-14,19.450001,19.66,19.23,19.66,16.57902,9300
2012-09-17,19.49,19.629999,19.25,19.43,16.385067,6900
2012-09-18,19.09,19.389999,19.09,19.24,16.224846,8100
2012-09-19,19,19,18.719999,18.85,15.89596,5500
2012-09-20,18.719999,19,18.5,18.6,15.68514,15000
2012-09-21,18.959999,19.27,18.5,19.23,16.216408,33000
2012-09-24,19.15,19.74,18.879999,18.91,15.946551,11400
2012-09-25,18.940001,19,18.549999,18.549999,15.642968,9500
2012-09-26,18.549999,18.85,18.190001,18.459999,15.567076,15100
2012-09-27,18.6,18.809999,18.5,18.77,15.828499,6600
2012-09-28,18.67,18.85,18.299999,18.74,15.803196,6700
2012-10-01,18.85,18.85,18.24,18.639999,15.718868,2800
2012-10-02,18.75,18.75,18.450001,18.5,15.600816,4800
2012-10-03,18.530001,18.530001,17.6,18.459999,15.567076,6200
2012-10-04,18.51,18.620001,18.030001,18.5,15.600816,19500
2012-10-05,18.6,18.82,17.799999,18.27,15.406855,10800
2012-10-08,18.190001,18.49,18.030001,18.1,15.263496,2600
2012-10-09,18.17,18.17,17.5,17.639999,14.875577,8700
2012-10-10,17.709999,17.74,16.629999,17.18,14.487669,14400
2012-10-11,17.25,17.790001,17.129999,17.280001,14.572,12200
2012-10-12,17.33,17.540001,17.1,17.440001,14.706925,16200
2012-10-15,17.530001,17.530001,17.139999,17.4,14.673195,3800
2012-10-16,17.49,17.719999,17.360001,17.48,14.740654,3500
2012-10-17,17.690001,18.1,17.42,17.5,14.757519,5200
2012-10-18,17.469999,17.51,17.41,17.41,14.681627,7500
2012-10-19,17.299999,17.5,17,17.01,14.34431,11200
2012-10-22,17.25,17.25,16.75,16.799999,14.167219,13500
2012-10-23,16.74,16.85,16.200001,16.389999,13.821472,10600
2012-10-24,16.389999,16.75,16.1,16.190001,13.652815,22500
