Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,1.36,1.41,1.31,1.34,1.29954,28300
2012-02-22,1.31,1.31,1.31,1.31,1.270446,300
2012-02-23,1.33,1.39,1.33,1.37,1.328634,6900
2012-02-24,1.35,1.36,1.35,1.36,1.318936,3400
2012-02-27,1.31,1.31,1.31,1.31,1.270446,300
2012-02-28,1.35,1.41,1.32,1.37,1.328634,20600
2012-02-29,1.37,1.38,1.35,1.36,1.318936,7200
2012-03-01,1.41,1.51,1.38,1.51,1.464407,49900
2012-03-02,1.5,1.59,1.5,1.52,1.474105,33100
2012-03-05,1.5,1.5,1.38,1.4,1.357728,47000
2012-03-06,1.43,1.45,1.36,1.4,1.357728,28000
2012-03-07,1.42,1.42,1.4,1.4,1.357728,1100
2012-03-08,1.4,1.42,1.35,1.42,1.377124,12500
2012-03-09,1.38,1.4,1.38,1.4,1.357728,14600
2012-03-12,1.47,1.47,1.35,1.36,1.318936,5300
2012-03-13,1.36,1.4,1.36,1.4,1.357728,18500
2012-03-14,1.4,1.4,1.4,1.4,1.357728,7900
2012-03-15,1.4,1.4,1.37,1.4,1.357728,3400
2012-03-16,1.4,1.75,1.39,1.73,1.677764,246500
2012-03-19,1.75,1.84,1.7,1.77,1.716556,140600
2012-03-20,1.78,2,1.78,2,1.939612,55300
2012-03-21,2,2.01,1.98,2,1.939612,30500
2012-03-22,2,2.3,1.99,2.1,2.036592,65000
2012-03-23,2.06,2.15,1.98,2.15,2.085083,119900
2012-03-26,2.14,2.23,2.07,2.1,2.036592,26300
2012-03-27,2.03,2.12,2.03,2.12,2.055988,53000
2012-03-28,2.12,2.12,2.1,2.11,2.046291,21800
2012-03-29,2.11,2.11,2.07,2.09,2.026894,213800
2012-03-30,2.1,2.14,2.1,2.14,2.075385,23700
2012-04-02,2.15,2.2,2.14,2.2,2.133573,55500
2012-04-03,2.2,2.2,2.15,2.15,2.085083,2400
2012-04-04,2.15,2.15,2.14,2.14,2.075385,12000
2012-04-05,2.14,2.17,2.12,2.15,2.085083,8200
2012-04-09,2.13,2.16,2.12,2.12,2.055988,3900
2012-04-10,2.12,2.18,2.04,2.09,2.026894,7600
2012-04-11,2.08,2.11,2.08,2.09,2.026894,7100
2012-04-12,2.12,2.12,2.12,2.12,2.055988,2000
2012-04-13,2.09,2.09,2.07,2.07,2.007498,1100
2012-04-16,2.08,2.08,2.04,2.07,2.007498,13000
2012-04-17,2.07,2.07,2.05,2.07,2.007498,7500
2012-04-18,2.04,2.05,2.04,2.04,1.978404,6200
2012-04-19,2,2.03,2,2,1.939612,17900
2012-04-20,2,2.01,1.98,1.98,1.920216,24700
2012-04-23,2,2.13,2,2.08,2.017196,6900
2012-04-24,2.07,2.13,2.07,2.13,2.065687,14400
2012-04-25,2.13,2.13,2.04,2.11,2.046291,3700
2012-04-26,2.1,2.25,2.1,2.25,2.182063,17700
2012-04-27,2.24,2.27,2.2,2.25,2.182063,75900
2012-04-30,2.24,2.39,2.19,2.39,2.317836,38100
2012-05-01,2.39,2.42,2.38,2.4,2.327534,13000
2012-05-02,2.42,2.42,2.33,2.37,2.29844,7700
2012-05-03,2.5,2.5,2.32,2.32,2.24995,17700
2012-05-04,2.3,2.3,2.1,2.2,2.133573,11900
2012-05-07,2.15,2.15,2,2.1,2.036592,18700
2012-05-08,2.08,2.1,2,2.08,2.017196,24100
2012-05-09,2.09,2.15,2.09,2.15,2.085083,2200
2012-05-10,2.17,2.21,2.17,2.21,2.143271,2000
2012-05-11,2.17,2.25,2.17,2.25,2.182063,7900
2012-05-14,2.17,2.17,2.09,2.09,2.026894,16800
2012-05-15,2.08,2.08,2.07,2.07,2.007498,10000
2012-05-16,2.04,2.08,1.98,1.99,1.929914,18700
2012-05-17,2.06,2.06,2,2.02,1.959008,6700
2012-05-18,1.98,2.05,1.88,1.88,1.823235,13000
2012-05-21,1.88,1.88,1.79,1.8,1.745651,33300
