Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,4.25,4.25,4.25,4.25,4.25,0
2012-02-22,4.25,4.25,4.25,4.25,4.25,0
2012-02-23,4.45,4.45,4.45,4.45,4.45,800
2012-02-24,4.45,4.45,4.45,4.45,4.45,0
2012-02-27,4.45,4.45,4.45,4.45,4.45,0
2012-02-28,4.45,4.45,4.45,4.45,4.45,0
2012-02-29,4.45,4.45,4.45,4.45,4.45,0
2012-03-01,4.45,4.45,4.45,4.45,4.45,0
2012-03-02,4.45,4.45,4.45,4.45,4.45,0
2012-03-05,4.45,4.45,4.45,4.45,4.45,0
2012-03-06,4.45,4.45,4.45,4.45,4.45,0
2012-03-07,4.45,4.45,4.45,4.45,4.45,0
2012-03-08,4.45,4.45,4.45,4.45,4.45,0
2012-03-09,4.45,4.45,4.45,4.45,4.45,0
2012-03-12,4.45,4.45,4.45,4.45,4.45,0
2012-03-13,4.1,4.1,4.1,4.1,4.1,2000
2012-03-14,4.1,4.1,4.1,4.1,4.1,0
2012-03-15,4.1,4.1,4.1,4.1,4.1,0
2012-03-16,4.1,4.1,4.1,4.1,4.1,0
2012-03-19,4.1,4.1,4.1,4.1,4.1,0
2012-03-20,4.1,4.1,4.1,4.1,4.1,0
2012-03-21,4.1,4.1,4.1,4.1,4.1,0
2012-03-22,4.1,4.1,4.1,4.1,4.1,0
2012-03-23,4.1,4.1,4.1,4.1,4.1,0
2012-03-26,4.1,4.1,4.1,4.1,4.1,0
2012-03-27,4.1,4.1,4.1,4.1,4.1,0
2012-03-28,4.1,4.1,4.1,4.1,4.1,0
2012-03-29,4.1,4.1,4.1,4.1,4.1,0
2012-03-30,4.1,4.1,4.1,4.1,4.1,0
2012-04-02,4.1,4.1,4.1,4.1,4.1,0
2012-04-03,4.1,4.1,4.1,4.1,4.1,0
2012-04-04,4.1,4.1,4.1,4.1,4.1,0
2012-04-05,4.1,4.1,4.1,4.1,4.1,0
2012-04-09,4.1,4.1,4.1,4.1,4.1,0
2012-04-10,4.1,4.1,4.1,4.1,4.1,0
2012-04-11,4.1,4.1,4.1,4.1,4.1,0
2012-04-12,4.1,4.1,4.1,4.1,4.1,0
2012-04-13,4.78,4.78,4.78,4.78,4.78,5000
2012-04-16,4.78,4.78,4.78,4.78,4.78,0
2012-04-17,4.78,4.78,4.78,4.78,4.78,0
2012-04-18,4.63,4.63,4.63,4.63,4.63,300
2012-04-19,4.63,4.63,4.63,4.63,4.63,0
2012-04-20,4.63,4.63,4.63,4.63,4.63,0
2012-04-23,4.63,4.63,4.63,4.63,4.63,0
2012-04-24,4.63,4.63,4.63,4.63,4.63,0
2012-04-25,4.55,4.55,4.55,4.55,4.55,2000
2012-04-26,4.55,4.55,4.55,4.55,4.55,0
2012-04-27,4.55,4.55,4.55,4.55,4.55,0
2012-04-30,4.55,4.55,4.55,4.55,4.55,0
2012-05-01,4.55,4.55,4.55,4.55,4.55,0
2012-05-02,4.55,4.55,4.55,4.55,4.55,0
2012-05-03,4.55,4.55,4.55,4.55,4.55,0
2012-05-04,4.55,4.55,4.55,4.55,4.55,0
2012-05-07,4.55,4.55,4.55,4.55,4.55,0
2012-05-08,4.55,4.55,4.55,4.55,4.55,0
2012-05-09,4.55,4.55,4.55,4.55,4.55,0
2012-05-10,4.55,4.55,4.55,4.55,4.55,0
2012-05-11,4.55,4.55,4.55,4.55,4.55,0
2012-05-14,4.55,4.55,4.55,4.55,4.55,0
2012-05-15,4.55,4.55,4.55,4.55,4.55,0
2012-05-16,4.55,4.55,4.55,4.55,4.55,0
2012-05-17,4.25,4.25,4.25,4.25,4.25,2800
2012-05-18,4.25,4.25,4.25,4.25,4.25,0
2012-05-21,4.25,4.25,4.25,4.25,4.25,0
2012-05-22,4.25,4.25,4.25,4.25,4.25,0
2012-05-23,4.25,4.25,4.25,4.25,4.25,0
2012-05-24,4.25,4.25,4.25,4.25,4.25,0
2012-05-25,4.25,4.25,4.25,4.25,4.25,0
2012-05-29,4.25,4.25,4.25,4.25,4.25,0
2012-05-30,4.25,4.25,4.25,4.25,4.25,0
2012-05-31,4.25,4.25,4.25,4.25,4.25,0
2012-06-01,4.25,4.25,4.25,4.25,4.25,0
2012-06-04,4.25,4.25,4.25,4.25,4.25,0
2012-06-05,4.25,4.25,4.25,4.25,4.25,0
2012-06-06,4.25,4.25,4.25,4.25,4.25,0
2012-06-07,4.25,4.25,4.25,4.25,4.25,0
2012-06-08,4.25,4.25,4.25,4.25,4.25,0
2012-06-11,4.25,4.25,4.25,4.25,4.25,0
2012-06-12,4.25,4.25,4.25,4.25,4.25,0
2012-06-13,4.25,4.25,4.25,4.25,4.25,0
2012-06-14,4.25,4.25,4.25,4.25,4.25,0
2012-06-15,4.25,4.25,4.25,4.25,4.25,0
2012-06-18,4.25,4.25,4.25,4.25,4.25,0
2012-06-19,4.25,4.25,4.25,4.25,4.25,0
2012-06-20,4.25,4.25,4.25,4.25,4.25,0
