Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,8.57,8.97,8.55,8.77,8.77,233600
2012-02-22,8.76,8.79,8.55,8.58,8.58,91500
2012-02-23,8.29,8.47,7.91,8.02,8.02,778300
2012-02-24,7.98,8.2,7.53,8.07,8.07,297200
2012-02-27,7.92,8.03,7.63,7.8,7.8,259000
2012-02-28,7.83,7.96,7.69,7.79,7.79,187200
2012-02-29,7.8,7.82,7.21,7.28,7.28,251300
2012-03-01,7.1,7.4,7.02,7.09,7.09,296000
2012-03-02,6.51,6.7,6,6,6,1009800
2012-03-05,6.1,6.4,5.92,5.98,5.98,827500
2012-03-06,5.98,6.25,5.9,5.98,5.98,295500
2012-03-07,6,6.14,6,6.08,6.08,116800
2012-03-08,6.11,6.42,6.03,6.24,6.24,488100
2012-03-09,6.3,6.56,6.3,6.5,6.5,190600
2012-03-12,6.5,6.85,6.41,6.82,6.82,293100
2012-03-13,6.82,7.45,6.72,7.23,7.23,284300
2012-03-14,7.29,7.4,7,7.16,7.16,143100
2012-03-15,7.2,7.2,6.89,6.93,6.93,179800
2012-03-16,6.93,7.01,6.84,6.88,6.88,163300
2012-03-19,6.89,7.12,6.8,6.95,6.95,153200
2012-03-20,6.93,6.95,6.75,6.81,6.81,94200
2012-03-21,6.89,6.92,6.61,6.67,6.67,129900
2012-03-22,6.63,6.7,6.53,6.55,6.55,117900
2012-03-23,6.52,6.62,6.46,6.48,6.48,73700
2012-03-26,6.53,6.6,6.49,6.52,6.52,54600
2012-03-27,6.53,6.68,6.51,6.55,6.55,46000
2012-03-28,6.56,6.64,6.4,6.41,6.41,71800
2012-03-29,6.4,6.51,6.12,6.15,6.15,296400
2012-03-30,6.2,6.28,6.13,6.25,6.25,52300
2012-04-02,6.26,6.34,6.1,6.25,6.25,168000
2012-04-03,6.25,6.29,6.03,6.11,6.11,117200
2012-04-04,6.04,6.18,6,6.06,6.06,137900
2012-04-05,6.09,6.12,6.03,6.08,6.08,38900
2012-04-09,6,6.2,5.97,5.98,5.98,83400
2012-04-10,5.97,6.17,5.9,5.9,5.9,55700
2012-04-11,5.97,6.37,5.95,6.29,6.29,139500
2012-04-12,6.3,6.3,6.01,6.08,6.08,61700
2012-04-13,6.03,6.04,5.9,6,6,82900
2012-04-16,6.01,6.01,5.5,5.55,5.55,139300
2012-04-17,5.58,5.73,5.5,5.68,5.68,101200
2012-04-18,5.62,5.62,5.4,5.4,5.4,68400
2012-04-19,5.4,5.57,5.4,5.46,5.46,60200
2012-04-20,5.51,5.57,5.48,5.5,5.5,21700
2012-04-23,5.47,5.47,5.23,5.27,5.27,63500
2012-04-24,5.28,5.68,5.25,5.65,5.65,103700
2012-04-25,5.72,5.95,5.51,5.86,5.86,110600
2012-04-26,5.87,5.99,5.76,5.88,5.88,39200
2012-04-27,5.88,6.03,5.85,5.9,5.9,99000
2012-04-30,5.9,6.08,5.9,5.97,5.97,66000
2012-05-01,5.98,6.01,5.83,5.94,5.94,68000
2012-05-02,5.9,5.94,5.86,5.86,5.86,50000
2012-05-03,5.87,6.04,5.82,5.88,5.88,44600
2012-05-04,5.85,5.89,5.75,5.84,5.84,55600
2012-05-07,5.8,5.87,5.7,5.85,5.85,41400
2012-05-08,5.9,5.97,5.76,5.88,5.88,295100
2012-05-09,5.85,7.8,5.75,7.79,7.79,395700
2012-05-10,7.75,7.76,6.5,6.58,6.58,216000
2012-05-11,6.34,6.56,6.11,6.37,6.37,218800
2012-05-14,6.31,6.36,6,6.21,6.21,180000
2012-05-15,6.21,6.25,6,6.06,6.06,35200
2012-05-16,6.03,6.14,5.76,6.02,6.02,275000
2012-05-17,6,6.19,5.99,6.01,6.01,197200
2012-05-18,5.98,6.07,5.86,5.91,5.91,246000
2012-05-21,5.94,6.02,5.85,5.94,5.94,167300
2012-05-22,5.94,6.35,5.91,6,6,99400
2012-05-23,6,6.54,5.85,6.41,6.41,286300
2012-05-24,6.45,7.35,6.45,7.07,7.07,328500
2012-05-25,7.03,7.04,6.53,7,7,375900
2012-05-29,7.01,7.06,6.88,6.9,6.9,75900
2012-05-30,7.07,7.08,6.6,6.63,6.63,162700
2012-05-31,6.8,6.8,6.5,6.5,6.5,35700
2012-06-01,6.5,6.51,6.2,6.21,6.21,73900
2012-06-04,6.24,6.57,6.24,6.29,6.29,82100
2012-06-05,6.29,6.68,6.28,6.6,6.6,71900
2012-06-06,6.64,6.9,6.64,6.8,6.8,35300
2012-06-07,6.9,6.97,6.75,6.93,6.93,82200
2012-06-08,6.9,6.99,6.79,6.91,6.91,87100
2012-06-11,6.97,6.98,6.85,6.91,6.91,60500
2012-06-12,6.97,7.04,6.88,6.89,6.89,114800
2012-06-13,6.89,6.99,6.75,6.85,6.85,30600
2012-06-14,6.83,6.85,6.72,6.78,6.78,34600
2012-06-15,6.83,7.01,6.79,6.93,6.93,96400
2012-06-18,6.86,6.94,6.56,6.84,6.84,38500
2012-06-19,6.84,6.97,6.77,6.88,6.88,24300
2012-06-20,6.88,6.98,6.82,6.98,6.98,17600
2012-06-21,7,7.1,6.95,7,7,23500
2012-06-22,7,7.07,6.96,7,7,21100
2012-06-25,6.93,7.02,6.93,6.96,6.96,27700
2012-06-26,6.94,7,6.75,6.75,6.75,23800
2012-06-27,6.83,6.96,6.74,6.86,6.86,30900
2012-06-28,6.8,6.91,6.6,6.64,6.64,27200
2012-06-29,6.79,6.85,6.6,6.84,6.84,33000
2012-07-02,6.71,6.83,6.69,6.79,6.79,37200
2012-07-03,7,7,6.72,6.89,6.89,26100
2012-07-05,6.85,6.96,6.82,6.88,6.88,24700
2012-07-06,6.77,6.93,6.68,6.78,6.78,44900
2012-07-09,6.72,6.72,6.5,6.59,6.59,39500
2012-07-10,6.6,6.65,6.52,6.54,6.54,25500
2012-07-11,6.58,6.69,6.55,6.68,6.68,15800
2012-07-12,6.63,6.66,6.47,6.55,6.55,14200
2012-07-13,6.6,6.63,6.5,6.51,6.51,8000
2012-07-16,6.51,6.54,6.45,6.53,6.53,15100
2012-07-17,6.53,6.53,6.4,6.42,6.42,21100
2012-07-18,6.41,6.41,6.2,6.34,6.34,44000
2012-07-19,6.32,6.32,5.98,6.1,6.1,46000
2012-07-20,6.05,6.1,5.9,6,6,70100
2012-07-23,5.84,6.13,5.75,6.05,6.05,36000
2012-07-24,6.19,6.19,5.88,6.02,6.02,16000
2012-07-25,6,6,5.89,5.9,5.9,5900
2012-07-26,5.97,6.01,5.69,5.89,5.89,41500
2012-07-27,5.93,5.99,5.81,5.93,5.93,12100
2012-07-30,5.93,6.06,5.83,5.96,5.96,26400
2012-07-31,5.94,6.05,5.89,5.94,5.94,43300
2012-08-01,5.95,6.26,5.83,5.91,5.91,107400
2012-08-02,5.89,5.93,5.79,5.85,5.85,14300
2012-08-03,5.95,6,5.86,5.95,5.95,261900
2012-08-06,5.9,6.19,5.82,5.85,5.85,57800
2012-08-07,5.85,5.98,5.81,5.84,5.84,12000
2012-08-08,6.03,6.06,5.82,5.87,5.87,8800
2012-08-09,5.81,5.94,5.81,5.92,5.92,17500
2012-08-10,5.84,5.93,5.8,5.87,5.87,8900
2012-08-13,5.85,5.99,5.85,5.93,5.93,14900
2012-08-14,5.92,5.99,5.91,5.93,5.93,24300
2012-08-15,6,6.03,5.9,5.91,5.91,27200
2012-08-16,5.86,6.08,5.86,6,6,32700
2012-08-17,5.95,6.24,5.75,5.84,5.84,134000
2012-08-20,5.86,5.99,5.65,5.8,5.8,76500
2012-08-21,5.89,5.92,5.5,5.74,5.74,108000
2012-08-22,5.7,5.85,5.6,5.68,5.68,79500
2012-08-23,5.65,5.7,5.4,5.57,5.57,118500
