Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,14.33,14.47,13.97,14.21,5.932341,31300
2012-02-22,14.23,14.48,14.03,14.17,5.915641,19600
2012-02-23,14.25,14.42,14.1,14.38,6.003313,31900
2012-02-24,14.33,14.48,14.2,14.26,5.953215,13600
2012-02-27,14.15,14.22,14.04,14.18,5.919816,16400
2012-02-28,14.22,14.28,14.05,14.24,5.944864,17000
2012-02-29,14.29,14.44,13.85,14.19,5.923992,72800
2012-03-01,14.17,14.27,13.85,14.13,5.898943,23900
2012-03-02,14.17,14.2,13.9,13.9,5.802923,40700
2012-03-05,13.92,14.2,13.91,14,5.84467,20100
2012-03-06,13.56,13.58,13.38,13.5,5.635934,82000
2012-03-07,13.63,13.92,13.55,13.75,5.740303,40500
2012-03-08,13.8,14.1,13.6,13.74,5.736127,29000
2012-03-09,13.79,14.42,13.75,13.94,5.819622,48400
2012-03-12,13.75,13.93,13.62,13.76,5.888089,36400
2012-03-13,13.97,13.97,13.7,13.89,5.943717,38400
2012-03-14,13.97,13.97,13.7,13.76,5.888089,34100
2012-03-15,13.84,13.84,13.25,13.52,5.785389,56900
2012-03-16,13.49,13.85,13.45,13.51,5.781111,23600
2012-03-19,13.55,13.73,13.55,13.7,5.862412,47600
2012-03-20,13.64,13.65,12.96,12.99,5.558594,150700
2012-03-21,13.05,13.35,13.05,13.26,5.674133,25400
2012-03-22,13.22,13.35,13.09,13.18,5.639899,20500
2012-03-23,13.24,13.24,13.02,13.08,5.597107,21500
2012-03-26,13.1,13.57,13.08,13.54,5.793948,21400
2012-03-27,13.6,13.64,13.43,13.47,5.763995,21100
2012-03-28,13.61,14,13.48,13.93,5.960835,72700
2012-03-29,13.91,13.91,13.44,13.58,5.811066,31300
2012-03-30,13.49,14.29,13.47,14.01,5.995068,59600
2012-04-02,13.93,13.99,13.56,13.94,5.965113,12100
2012-04-03,13.73,13.92,13.56,13.72,5.870973,20700
2012-04-04,13.71,13.71,13.39,13.5,5.776832,16300
2012-04-05,13.43,13.7,13.37,13.52,5.785389,28700
2012-04-09,13.5,13.68,13.37,13.68,5.853855,17800
2012-04-10,13.6,13.69,13.45,13.45,5.755435,34000
2012-04-11,13.61,13.77,13.39,13.66,5.845296,24900
2012-04-12,13.61,13.95,13.58,13.82,5.913763,13600
