Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,7.85,7.89,7.85,7.89,7.89,600
2012-02-22,7.8,8.1,7.8,8.1,8.1,13000
2012-02-23,8.04,8.29,8.04,8.29,8.29,2600
2012-02-24,8.32,8.4,8.02,8.02,8.02,2100
2012-02-27,8.04,8.23,7.98,8.14,8.14,2500
2012-02-28,8.06,8.08,8.02,8.05,8.05,2000
2012-02-29,8.06,8.24,8.06,8.09,8.09,6300
2012-03-01,8.09,8.24,7.77,8.24,8.24,1500
2012-03-02,8.12,8.15,8.01,8.04,8.04,5900
2012-03-05,8.25,8.25,8.01,8.01,8.01,4700
2012-03-06,8.02,8.02,7.8,8,8,10000
2012-03-07,8.22,8.37,8.1,8.36,8.36,15100
2012-03-08,8.4,8.66,8.31,8.66,8.66,9000
2012-03-09,8.56,8.65,8.5,8.59,8.59,11600
2012-03-12,8.55,8.55,8.39,8.45,8.45,2800
2012-03-13,8.45,8.5,8.3,8.5,8.5,1700
2012-03-14,8.53,8.53,8.3,8.38,8.38,900
2012-03-15,8.49,8.52,8.42,8.42,8.42,3500
2012-03-16,8.35,8.43,8.25,8.25,8.25,14200
2012-03-19,8.28,8.3,8.14,8.2,8.2,5300
2012-03-20,8.1,8.23,8.08,8.1,8.1,3100
2012-03-21,8.14,8.3,8.14,8.27,8.27,1600
2012-03-22,8.35,8.59,8.11,8.25,8.25,4500
2012-03-23,8.18,8.18,8.15,8.15,8.15,2400
2012-03-26,8.2,8.31,8.15,8.25,8.25,8000
2012-03-27,8.4,8.4,8.17,8.22,8.22,1500
2012-03-28,8.17,8.31,8.17,8.31,8.31,2400
2012-03-29,8.32,8.35,8.26,8.32,8.32,1000
2012-03-30,8.43,8.89,8.27,8.27,8.27,4800
2012-04-02,8.53,8.64,8.36,8.43,8.43,6300
2012-04-03,8.35,8.45,8.3,8.42,8.42,2800
2012-04-04,8.28,8.66,8.25,8.45,8.45,5500
2012-04-05,8.49,8.49,8.31,8.45,8.45,2600
2012-04-09,8.35,8.51,8.25,8.25,8.25,11400
2012-04-10,8.3,8.3,7.8,7.98,7.98,7000
2012-04-11,7.95,8.01,7.86,7.91,7.91,3800
2012-04-12,7.9,7.9,7.8,7.88,7.88,2400
2012-04-13,7.85,8.02,7.85,7.94,7.94,1600
2012-04-16,7.84,7.98,7.61,7.86,7.86,5300
2012-04-17,7.7,7.99,7.55,7.68,7.68,17200
2012-04-18,7.68,7.77,7.55,7.59,7.59,9400
2012-04-19,7.64,7.98,7.55,7.7,7.7,9200
2012-04-20,7.65,7.7,7.43,7.56,7.56,10900
2012-04-23,7.5,7.68,7.35,7.4,7.4,14400
2012-04-24,7.35,7.43,7.28,7.4,7.4,7200
2012-04-25,7.4,7.91,7.34,7.86,7.86,10200
2012-04-26,7.94,8.29,7.83,7.89,7.89,11900
2012-04-27,7.89,7.89,7.89,7.89,7.89,0
2012-04-30,7.91,7.99,7.52,7.6,7.6,1900
2012-05-01,7.78,8.4,7.56,8.12,8.12,9700
2012-05-02,8.18,8.3,7.7,8.06,8.06,4000
2012-05-03,7.99,8.01,7.99,8.01,8.01,1400
2012-05-04,8.11,8.11,7.18,7.86,7.86,4600
2012-05-07,7.86,7.86,7.65,7.8,7.8,4700
2012-05-08,7.79,7.81,7.74,7.81,7.81,2400
2012-05-09,7.81,7.81,7.81,7.81,7.81,0
2012-05-10,7.81,7.81,7.81,7.81,7.81,0
2012-05-11,7.79,7.8,7.66,7.74,7.74,1300
2012-05-14,7.78,7.78,7.77,7.78,7.78,500
2012-05-15,7.75,7.75,7.75,7.75,7.75,200
2012-05-16,7.6,7.89,7.48,7.58,7.58,2400
2012-05-17,7.49,7.49,7.13,7.25,7.25,10000
2012-05-18,7.37,7.49,7.02,7.11,7.11,5100
2012-05-21,7.39,7.39,7.27,7.36,7.36,40600
2012-05-22,7.3,8.12,7.3,8.04,8.04,11000
2012-05-23,8.05,8.05,7.18,7.57,7.57,1500
2012-05-24,7.63,7.78,7.63,7.78,7.78,1400
2012-05-25,7.78,7.78,7.78,7.78,7.78,400
2012-05-29,7.78,7.78,7.35,7.64,7.64,9000
2012-05-30,7.64,7.88,7.63,7.86,7.86,2300
2012-05-31,7.84,8.3,7.75,7.84,7.84,8200
2012-06-01,7.76,7.83,7.4,7.71,7.71,3000
2012-06-04,7.76,7.79,7.42,7.55,7.55,28600
2012-06-05,7.51,7.57,7.42,7.52,7.52,800
2012-06-06,7.55,8.15,7.55,7.7,7.7,4600
2012-06-07,7.74,8.04,7.56,7.94,7.94,11800
2012-06-08,7.77,7.85,7.7,7.75,7.75,2000
2012-06-11,7.78,7.78,7.5,7.71,7.71,2300
2012-06-12,7.65,7.67,7.65,7.66,7.66,1200
2012-06-13,7.71,8,7.68,7.89,7.89,2300
2012-06-14,8,8.17,7.99,8.15,8.15,3700
2012-06-15,8.97,8.97,8.02,8.21,8.21,6200
2012-06-18,8.15,8.61,8,8.18,8.18,20300
2012-06-19,8.02,8.09,7.61,8,8,10000
2012-06-20,8,8.01,7.71,7.95,7.95,1500
2012-06-21,7.51,8.08,7.51,8,8,3200
2012-06-22,8,8.23,7.88,7.95,7.95,12000
2012-06-25,8.16,8.16,8.16,8.16,8.16,200
2012-06-26,8.16,8.16,8.16,8.16,8.16,0
2012-06-27,8.15,8.15,8.12,8.12,8.12,600
2012-06-28,8.18,8.25,7.94,8.18,8.18,2000
2012-06-29,8.25,8.25,8.08,8.15,8.15,5100
2012-07-02,7.96,8.16,7.96,7.99,7.99,2500
2012-07-03,8.08,8.08,8.05,8.05,8.05,600
2012-07-05,7.95,8.04,7.91,8.04,8.04,1900
2012-07-06,8.03,8.04,8.03,8.04,8.04,500
2012-07-09,8.04,8.04,8.04,8.04,8.04,0
2012-07-10,8.17,8.26,7.91,7.95,7.95,7900
2012-07-11,8.36,8.38,7.83,7.9,7.9,7500
2012-07-12,7.93,8,7.65,7.85,7.85,29900
2012-07-13,8,8.75,8,8.34,8.34,19100
2012-07-16,8.13,8.22,7.86,8.15,8.15,20700
2012-07-17,8.03,8.03,8.03,8.03,8.03,500
2012-07-18,8.12,8.14,8.1,8.1,8.1,2200
2012-07-19,8.17,8.17,8,8.05,8.05,50700
2012-07-20,8.05,8.05,8.05,8.05,8.05,0
2012-07-23,8.05,9.5,7.96,9.26,9.26,26400
2012-07-24,9.16,9.27,8.24,8.99,8.99,21900
2012-07-25,8.69,8.9,8.65,8.84,8.84,12800
2012-07-26,8.81,8.81,8.7,8.71,8.71,4200
2012-07-27,8.74,9.1,8.7,8.76,8.76,6500
2012-07-30,8.72,8.82,8.3,8.66,8.66,5200
2012-07-31,8.8,9,8.74,8.93,8.93,13200
2012-08-01,8.95,9.19,8.66,8.84,8.84,10400
2012-08-02,8.98,9.74,8.9,9.62,9.62,24500
2012-08-03,9.62,9.62,9.49,9.54,9.54,2500
2012-08-06,9.45,9.45,9.03,9.2,9.2,2200
2012-08-07,9,9.17,8.54,8.88,8.88,7000
2012-08-08,8.98,9.16,8.94,8.94,8.94,3500
2012-08-09,8.94,8.94,8.94,8.94,8.94,0
2012-08-10,8.55,8.9,8.54,8.76,8.76,1800
2012-08-13,8.78,8.78,8.74,8.74,8.74,1700
2012-08-14,8.45,8.98,8.42,8.74,8.74,7800
2012-08-15,8.76,8.87,8.7,8.7,8.7,3800
2012-08-16,8.5,8.8,8.47,8.68,8.68,6700
2012-08-17,8.7,9.4,8.6,8.88,8.88,9800
2012-08-20,8.88,8.88,8.88,8.88,8.88,0
2012-08-21,8.88,8.88,8.88,8.88,8.88,0
2012-08-22,8.88,8.88,8.88,8.88,8.88,300
2012-08-23,8.85,8.85,8.85,8.85,8.85,300
2012-08-24,8.64,8.71,8.56,8.71,8.71,6300
2012-08-27,8.86,8.88,8.74,8.74,8.74,1200
2012-08-28,8.72,8.72,8.56,8.64,8.64,1000
2012-08-29,8.76,8.77,8.74,8.74,8.74,700
2012-08-30,8.76,8.77,8.75,8.75,8.75,10200
2012-08-31,8.75,8.75,8.68,8.68,8.68,5700
2012-09-04,8.74,8.77,8.66,8.67,8.67,5800
2012-09-05,8.61,8.61,8.54,8.56,8.56,7500
2012-09-06,8.65,8.75,8.47,8.75,8.75,8200
2012-09-07,8.67,8.8,8.5,8.59,8.59,10100
2012-09-10,8.51,8.84,8.51,8.77,8.77,15400
2012-09-11,8.85,8.85,8.75,8.79,8.79,4100
2012-09-12,8.84,8.88,8.66,8.83,8.83,9600
2012-09-13,8.7,8.87,8.7,8.85,8.85,4000
2012-09-14,8.79,8.97,8.7,8.82,8.82,7000
2012-09-17,8.69,8.72,8.6,8.71,8.71,4400
2012-09-18,8.65,8.85,8.65,8.74,8.74,6200
2012-09-19,9.43,9.43,8.75,8.85,8.85,1100
2012-09-20,8.91,9.03,8.85,8.87,8.87,2700
2012-09-21,8.86,8.87,8.64,8.77,8.77,8400
2012-09-24,8.77,8.77,8.55,8.6,8.6,7600
2012-09-25,8.62,8.74,8.6,8.74,8.74,3300
2012-09-26,8.74,8.75,8.6,8.75,8.75,2800
2012-09-27,8.7,8.75,8.5,8.59,8.59,5600
2012-09-28,8.55,8.8,8.55,8.8,8.8,2200
2012-10-01,8.69,8.94,8.69,8.86,8.86,9600
2012-10-02,8.8,8.8,8.72,8.72,8.72,1400
2012-10-03,8.82,8.82,8.82,8.82,8.82,500
2012-10-04,8.83,8.85,8.76,8.76,8.76,1400
2012-10-05,8.82,8.84,8.6,8.65,8.65,4500
2012-10-08,8.72,8.72,8.72,8.72,8.72,200
2012-10-09,8.91,9.01,8.6,8.98,8.98,10100
2012-10-10,9.02,9.02,8.71,8.91,8.91,4000
2012-10-11,8.91,9.02,8.79,9.02,9.02,3100
2012-10-12,9.02,9.2,9.02,9.11,9.11,2500
2012-10-15,9.12,9.12,9.11,9.11,9.11,1000
2012-10-16,8.87,9.11,8.87,9.09,9.09,1200
2012-10-17,8.88,8.9,8.8,8.89,8.89,3500
2012-10-18,8.89,8.89,8.89,8.89,8.89,0
2012-10-19,8.65,8.8,8.62,8.72,8.72,4100
2012-10-22,8.66,8.79,8.62,8.78,8.78,2700
2012-10-23,8.83,8.83,8.75,8.75,8.75,1900
2012-10-24,8.75,9.09,8.75,8.99,8.99,2700
2012-10-25,8.95,9.11,8.95,8.96,8.96,3400
2012-10-26,8.74,8.78,8.55,8.56,8.56,6000
2012-10-31,8.6,8.74,8.39,8.74,8.74,2900
2012-11-01,8.68,8.82,8.26,8.61,8.61,2900
2012-11-02,8.49,8.77,8.49,8.77,8.77,3400
2012-11-05,8.8,8.8,8.8,8.8,8.8,1000
2012-11-06,8.8,9,8.55,8.56,8.56,8800
2012-11-07,8.51,8.51,8.35,8.42,8.42,3000
2012-11-08,8.54,8.78,8.41,8.5,8.5,9100
2012-11-09,8.5,8.5,8.3,8.43,8.43,4000
2012-11-12,8.43,8.68,8.39,8.61,8.61,6200
2012-11-13,8.66,8.74,8.66,8.74,8.74,1200
2012-11-14,8.45,8.51,8.16,8.16,8.16,7300
2012-11-15,8.23,8.23,7.74,7.85,7.85,7300
2012-11-16,8,8.08,7.84,8.07,8.07,4300
2012-11-19,8.06,8.12,6.71,7.87,7.87,26300
2012-11-20,7.98,7.98,7.58,7.88,7.88,2300
2012-11-21,7.97,7.99,7.94,7.94,7.94,1100
2012-11-23,7.88,8,7.84,7.95,7.95,2300
2012-11-26,8.04,8.25,8.02,8.25,8.25,1700
2012-11-27,8.25,8.25,8.25,8.25,8.25,0
2012-11-28,8.5,8.73,8.12,8.65,8.65,5800
2012-11-29,8.65,8.69,8.51,8.69,8.69,700
2012-11-30,8.64,8.64,8.35,8.5,8.5,2000
2012-12-03,7.82,8.49,7.55,8.11,8.11,5200
2012-12-04,8.48,8.48,8,8.12,8.12,9600
2012-12-05,8.14,8.2,8,8.1,8.1,8500
2012-12-06,8.07,8.2,8.06,8.2,8.2,5500
2012-12-07,8.18,8.18,8.15,8.16,8.16,1700
2012-12-10,8.49,8.49,8.49,8.49,8.49,100
