Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,17.450001,17.51,17.139999,17.190001,17.190001,200500
2012-02-22,17.129999,17.200001,16.76,16.77,16.77,190200
2012-02-23,16.84,17.110001,16.709999,17,17,149800
2012-02-24,16.99,17,16.700001,16.809999,16.809999,145800
2012-02-27,16.74,16.969999,16.51,16.879999,16.879999,241700
2012-02-28,16.92,17.049999,16.709999,16.83,16.83,272700
2012-02-29,16.620001,16.709999,16.32,16.370001,16.370001,228800
2012-03-01,16.42,16.73,16.290001,16.33,16.33,220000
2012-03-02,16.35,16.35,15.87,16.110001,16.110001,403500
2012-03-05,16.02,16.610001,16,16.459999,16.459999,435100
2012-03-06,16.309999,16.370001,16.110001,16.25,16.25,370200
2012-03-07,16.34,16.57,16.299999,16.52,16.52,244200
2012-03-08,16.610001,16.870001,16.48,16.84,16.84,282500
2012-03-09,16.85,17.27,16.73,17.08,17.08,238900
2012-03-12,17.040001,17.09,16.870001,16.91,16.91,120100
2012-03-13,17.040001,17.09,16.940001,17.059999,17.059999,428200
2012-03-14,17.09,17.200001,16.870001,16.99,16.99,208600
2012-03-15,17.059999,17.209999,16.860001,17.209999,17.209999,262700
2012-03-16,17.209999,17.549999,17.07,17.42,17.42,521900
2012-03-19,17.389999,17.6,17.15,17.370001,17.370001,351300
2012-03-20,17.219999,17.389999,17.059999,17.27,17.27,205600
2012-03-21,17.35,17.35,17.08,17.200001,17.200001,92900
2012-03-22,17.07,17.07,16.68,16.85,16.85,137000
2012-03-23,16.74,16.98,16.68,16.950001,16.950001,188700
2012-03-26,17.17,17.4,17.059999,17.370001,17.370001,156300
2012-03-27,17.41,17.41,17.16,17.17,17.17,131200
2012-03-28,17.219999,17.459999,17.17,17.440001,17.440001,174200
2012-03-29,17.27,17.35,17.02,17.309999,17.309999,150100
2012-03-30,17.49,17.49,17.209999,17.299999,17.299999,245800
2012-04-02,17.34,17.77,17.25,17.700001,17.700001,368000
2012-04-03,17.690001,17.809999,17.42,17.629999,17.629999,252700
2012-04-04,17.48,17.51,17.049999,17.34,17.34,185300
2012-04-05,17.219999,17.35,17.1,17.200001,17.200001,103700
2012-04-09,16.92,17.040001,16.83,16.860001,16.860001,170100
2012-04-10,16.889999,16.940001,16.43,16.559999,16.559999,210800
2012-04-11,16.799999,16.92,16.6,16.83,16.83,201700
2012-04-12,16.889999,17.08,16.82,17.049999,17.049999,155400
2012-04-13,17.01,17.01,16.5,16.51,16.51,165300
2012-04-16,16.59,16.860001,16.459999,16.83,16.83,169700
2012-04-17,17.040001,17.370001,16.860001,17.219999,17.219999,226100
2012-04-18,17.139999,17.139999,16.719999,16.9,16.9,244500
2012-04-19,16.959999,17.16,16.610001,16.799999,16.799999,212600
2012-04-20,17.08,17.23,16.93,17.1,17.1,205200
2012-04-23,16.790001,16.870001,16.620001,16.780001,16.780001,235700
2012-04-24,16.860001,17.26,16.860001,17.059999,17.059999,209300
2012-04-25,17.34,17.43,16.67,17.1,17.1,299800
2012-04-26,17.110001,17.110001,16.51,16.84,16.84,314600
2012-04-27,16.82,16.99,16.52,16.940001,16.940001,355200
2012-04-30,16.969999,16.969999,16.67,16.809999,16.809999,278000
2012-05-01,16.879999,17.299999,16.84,16.959999,16.959999,369600
2012-05-02,16.92,17.16,16.84,17.01,17.01,217400
2012-05-03,17,17.200001,16.92,16.92,16.92,284300
2012-05-04,16.870001,17.01,16.66,16.799999,16.799999,362600
2012-05-07,16.780001,17.16,16.66,16.92,16.92,289000
2012-05-08,16.83,16.950001,16.700001,16.77,16.77,293500
