Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,2.19,2.19,2.13,2.16,2.16,135100
2012-02-22,2.18,2.18,2.05,2.05,2.05,143200
2012-02-23,2.04,2.14,2.04,2.07,2.07,47600
2012-02-24,2.1,2.12,2.06,2.07,2.07,39100
2012-02-27,2.07,2.09,2.01,2.03,2.03,48100
2012-02-28,2.04,2.07,2.02,2.03,2.03,101100
2012-02-29,2,2.05,1.95,2,2,132100
2012-03-01,2.02,2.04,1.95,1.97,1.97,47900
2012-03-02,1.98,2.03,1.96,1.98,1.98,30400
2012-03-05,1.96,2.03,1.91,1.92,1.92,67800
2012-03-06,1.93,1.96,1.81,1.86,1.86,82400
2012-03-07,1.86,1.89,1.85,1.88,1.88,10400
2012-03-08,1.85,1.93,1.84,1.91,1.91,29100
2012-03-09,1.88,1.94,1.88,1.93,1.93,23300
2012-03-12,1.95,2.15,1.94,2.12,2.12,114000
2012-03-13,2.15,2.36,2.15,2.22,2.22,206700
2012-03-14,2.22,2.42,2.22,2.38,2.38,178500
2012-03-15,2.42,2.43,2.28,2.38,2.38,93100
2012-03-16,2.37,2.37,2.2,2.24,2.24,81100
2012-03-19,2.25,2.25,2.14,2.16,2.16,59900
2012-03-20,2.16,2.2,2.13,2.19,2.19,29300
2012-03-21,2.19,2.19,2.13,2.18,2.18,23200
2012-03-22,2.18,2.65,2.18,2.59,2.59,358500
2012-03-23,2.57,2.89,2.57,2.61,2.61,821700
2012-03-26,2.67,2.68,2.48,2.65,2.65,162300
2012-03-27,2.68,2.79,2.6,2.63,2.63,121000
2012-03-28,2.63,2.63,2.41,2.52,2.52,144900
2012-03-29,2.59,2.68,2.47,2.66,2.66,62500
2012-03-30,2.73,2.8,2.67,2.68,2.68,85900
2012-04-02,2.68,3.06,2.68,3.05,3.05,483900
2012-04-03,3.03,3.36,3.03,3.32,3.32,483400
2012-04-04,3.27,3.27,3.04,3.15,3.15,188900
2012-04-05,3.12,3.3,3.11,3.22,3.22,134100
2012-04-09,3.22,3.68,2.92,3.42,3.42,364000
2012-04-10,3.68,3.75,3.38,3.52,3.52,271200
2012-04-11,3.64,3.8,3.2,3.3,3.3,435300
2012-04-12,3.28,3.49,3.21,3.38,3.38,179600
2012-04-13,3.44,3.86,3.38,3.78,3.78,265700
2012-04-16,3.93,4.34,3.87,4.12,4.12,743100
