Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,22.93,23.129999,22.030001,22.6,18.854143,5100
2012-02-22,22.709999,22.719999,22.15,22.25,18.562155,2100
2012-02-23,22.68,22.700001,22.52,22.700001,18.937571,3600
2012-02-24,22.6,22.6,22,22,18.353592,6600
2012-02-27,21.780001,22.17,21.75,22.16,18.487072,2700
2012-02-28,22.200001,22.43,21.91,22.43,18.71232,1900
2012-02-29,22.49,23.790001,21.91,22.5,18.770718,17000
2012-03-01,22.620001,22.83,21.809999,22.040001,18.386963,7000
2012-03-02,22.09,22.51,21.58,22.059999,18.403646,13100
2012-03-05,21.92,22.4,21.92,22,18.353592,1000
2012-03-06,21.83,22.09,21.530001,21.99,18.345249,9000
2012-03-07,21.99,22.52,21.91,22.52,18.787403,10100
2012-03-08,22.5,23.42,21.82,23.280001,19.421436,3300
2012-03-09,22.9,23.530001,22.709999,23.43,19.546576,6900
2012-03-12,22.75,23.549999,22.75,22.790001,19.012653,1500
2012-03-13,22.99,23.52,22.23,23.52,19.621658,5400
2012-03-14,23.200001,23.360001,23.09,23.299999,19.438122,4300
2012-03-15,23.33,23.5,23.33,23.5,19.604973,2000
2012-03-16,23.49,23.49,22.84,23.360001,19.488178,13500
2012-03-19,23.51,23.65,23.5,23.5,19.604973,8200
2012-03-20,23.200001,23.200001,23.1,23.1,19.271271,2900
2012-03-21,23.15,23.5,23.049999,23.33,19.46315,2800
2012-03-22,22.940001,22.940001,22.4,22.52,18.787403,18900
2012-03-23,23.01,23.549999,23.01,23.549999,19.646685,5000
2012-03-26,23.58,23.58,23.049999,23.52,19.621658,11400
2012-03-27,23.610001,23.75,23.030001,23.370001,19.496521,10400
2012-03-28,23.299999,23.299999,22.709999,22.99,19.179502,4300
2012-03-29,22.74,23.16,22.74,23.030001,19.212873,4700
2012-03-30,23.299999,23.34,22.959999,23.290001,19.429779,8800
2012-04-02,23.129999,23.5,22.690001,23.5,19.604973,6900
2012-04-03,23.16,23.200001,22.77,22.77,18.995968,4200
2012-04-04,22.49,23.200001,22.030001,22.030001,18.37862,5200
2012-04-05,21.99,22.65,21.299999,21.940001,18.303535,18400
2012-04-09,21.32,22.75,21.25,21.27,17.744587,9200
2012-04-10,21.57,22.049999,20.549999,20.77,17.327459,11200
2012-04-11,21.190001,21.700001,20.84,21.450001,17.894753,6600
2012-04-12,21.43,21.799999,21.02,21.360001,17.81967,6100
2012-04-13,21.190001,21.209999,20.610001,20.92,17.452597,7300
2012-04-16,21.02,21.549999,20.620001,21.26,17.736244,4400
2012-04-17,21.4,22.02,21.370001,21.799999,18.186739,4600
2012-04-18,21.799999,21.799999,20.9,21.1,17.602762,9300
2012-04-19,21.24,21.34,20.48,20.48,17.085524,6500
2012-04-20,20.9,21.200001,20.57,21.049999,17.561049,9300
2012-04-23,20.67,20.99,20.629999,20.690001,17.260719,11000
2012-04-24,20.639999,21.1,20.639999,21.1,17.602762,2700
2012-04-25,21.26,21.799999,21.08,21.780001,18.170055,22400
