Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,43.16,43.48,42,42.380001,42.380001,3150200
2012-02-22,42.049999,42.049999,40.25,40.450001,40.450001,3949600
2012-02-23,38.709999,38.990002,36.650002,37.200001,37.200001,7914400
2012-02-24,37.720001,37.93,35.48,35.580002,35.580002,7069300
2012-02-27,35.099998,36.349998,34.5,36.130001,36.130001,4971200
2012-02-28,36.450001,37.18,35.91,36.400002,36.400002,7369300
2012-02-29,33.700001,34.009998,31.860001,32.299999,32.299999,13180300
2012-03-01,32.459999,32.549999,30.190001,30.42,30.42,11943400
2012-03-02,30.360001,30.76,29.9,30.02,30.02,8518900
2012-03-05,29.950001,30.07,27.5,28.08,28.08,10973100
2012-03-06,27.59,28.530001,27.5,27.629999,27.629999,6999700
2012-03-07,28,28.25,25.5,25.799999,25.799999,11784700
2012-03-08,25.549999,26.889999,25.290001,26.15,26.15,7110200
2012-03-09,26.049999,27.879999,26.040001,27.49,27.49,6814400
2012-03-12,27.6,27.969999,25.6,25.83,25.83,7022300
2012-03-13,26.049999,27.42,25.83,27.32,27.32,5088800
2012-03-14,28,28.450001,26.860001,27.1,27.1,4618500
2012-03-15,27.190001,28.139999,27.110001,27.84,27.84,3725600
2012-03-16,28.379999,29.370001,28.08,29.08,29.08,5218700
2012-03-19,28.98,29.629999,28.360001,28.67,28.67,3213800
2012-03-20,28.309999,28.620001,27.08,27.459999,27.459999,6257300
2012-03-21,27.25,27.43,25.73,26.33,26.33,7185300
2012-03-22,26.33,27.35,26.299999,26.950001,26.950001,4905700
2012-03-23,26.84,26.98,25.85,26.110001,26.110001,4857000
2012-03-26,26.43,26.99,26.219999,26.42,26.42,3330200
2012-03-27,26.25,26.85,26.01,26.110001,26.110001,3270400
2012-03-28,26.059999,26.23,24.5,25.07,25.07,6851200
2012-03-29,24.83,25.32,24.5,25.120001,25.120001,4396400
2012-03-30,25.290001,25.469999,24.610001,25.049999,25.049999,2697700
2012-04-02,25.139999,25.16,24.51,24.530001,24.530001,3485700
2012-04-03,24.299999,24.35,22.42,22.6,22.6,8703300
2012-04-04,22.09,23.049999,21.5,21.73,21.73,8950700
2012-04-05,21.65,22,20.5,20.98,20.98,8571300
2012-04-09,20.49,20.92,20.049999,20.190001,20.190001,4722700
2012-04-10,20.16,21.84,20.02,21.379999,21.379999,9073000
2012-04-11,21.700001,23.879999,21.370001,22.5,22.5,13873700
2012-04-12,22.620001,22.959999,21.6,22,22,7500300
2012-04-13,21.82,22.469999,20.75,20.83,20.83,6335100
2012-04-16,21.309999,21.549999,20.549999,20.82,20.82,5223600
2012-04-17,21.629999,23.799999,20.530001,22.959999,22.959999,16783500
2012-04-18,23.700001,23.75,21.280001,21.360001,21.360001,9733900
2012-04-19,21.299999,21.879999,20.99,21.4,21.4,5284000
2012-04-20,21.469999,22.08,20.6,20.65,20.65,7116200
2012-04-23,20.01,20.129999,18.969999,19.25,19.25,6200500
2012-04-24,19.190001,19.360001,18.57,18.639999,18.639999,5969900
2012-04-25,18.870001,18.959999,18.049999,18.299999,18.299999,5285000
2012-04-26,18.299999,18.84,18.110001,18.309999,18.309999,3892000
2012-04-27,18.4,18.700001,17.809999,18.35,18.35,3700400
2012-04-30,17.93,18.940001,17.84,18.4,18.4,5324200
2012-05-01,19.17,19.48,18.35,18.42,18.42,7359800
2012-05-02,18.26,18.379999,17.65,18.209999,18.209999,4405400
2012-05-03,18.049999,18.33,17.5,18.07,18.07,6482300
2012-05-04,18.530001,19.200001,16.799999,16.940001,16.940001,11556100
2012-05-07,16.879999,17.67,16.620001,17.67,17.67,6511900
2012-05-08,17.559999,17.58,16.48,16.540001,16.540001,6677200
2012-05-09,16.25,17.25,16.049999,16.92,16.92,5431800
2012-05-10,17.139999,17.4,16.08,16.09,16.09,6713700
2012-05-11,15.94,16.440001,15.75,16.139999,16.139999,5084700
2012-05-14,15.88,16.65,15.68,16.16,16.16,4056500
2012-05-15,16.1,16.34,15.15,15.23,15.23,4891000
2012-05-16,15.33,15.63,13.75,13.98,13.98,8790700
2012-05-17,13.96,15.25,13.91,14.92,14.92,10456400
2012-05-18,15.02,15.1,13.65,13.66,13.66,6758300
2012-05-21,13.7,14.2,13.37,13.83,13.83,4874800
2012-05-22,13.84,13.93,13.21,13.6,13.6,5474900
2012-05-23,13.42,14.32,13.27,14.26,14.26,3813600
2012-05-24,14.53,14.54,13.58,14.22,14.22,3635300
2012-05-25,14.19,14.85,14.05,14.33,14.33,4498900
2012-05-29,14.23,14.7,14.08,14.23,14.23,3643100
2012-05-30,13.95,13.97,13.37,13.4,13.4,3381000
2012-05-31,13.37,13.4,12.19,12.56,12.56,9159900
2012-06-01,12.13,12.25,11.54,11.77,11.77,6542900
2012-06-04,11.83,12.39,11.43,12.28,12.28,6352800
2012-06-05,12.14,12.97,12.1,12.65,12.65,4156300
2012-06-06,12.73,13.77,12.71,13.31,13.31,5079800
2012-06-07,13.51,13.84,12.77,12.84,12.84,4609800
2012-06-08,12.7,12.84,12.51,12.8,12.8,2837400
2012-06-11,13.19,13.19,12.29,12.33,12.33,3344200
2012-06-12,12.54,15.43,12.5,14.95,14.95,21550300
2012-06-13,14.75,14.77,13.64,13.84,13.84,18205100
2012-06-14,13.95,14.13,13.28,13.45,13.45,6741400
2012-06-15,13.45,14.15,13.25,13.95,13.95,7291200
2012-06-18,13.85,15.17,13.76,14.47,14.47,8595200
2012-06-19,14.87,15.62,14.48,15.23,15.23,9538500
2012-06-20,15.3,15.56,14.8,14.93,14.93,5537400
2012-06-21,15,15.34,14.52,14.54,14.54,5841100
2012-06-22,15.12,16.42,15.06,15.88,15.88,18523800
2012-06-25,15.57,15.65,14.9,15.2,15.2,5528800
2012-06-26,15.32,15.7,14.83,14.89,14.89,4011800
2012-06-27,14.87,15.49,14.85,15.35,15.35,3128300
2012-06-28,15.25,15.3,14.5,14.75,14.75,5370800
2012-06-29,15.35,15.36,14.62,15.06,15.06,4648500
2012-07-02,15.19,15.55,15.01,15.28,15.28,4637000
2012-07-03,15.45,16.190001,15.35,15.67,15.67,3759700
2012-07-05,15.88,15.96,15.35,15.43,15.43,2720500
2012-07-06,15.23,15.38,14.8,15.01,15.01,2667100
2012-07-09,14.94,15.18,14.5,14.55,14.55,2231100
2012-07-10,14.66,15.05,13.88,14.18,14.18,3564900
2012-07-11,14.12,14.72,14.07,14.65,14.65,2647200
2012-07-12,14.18,14.47,13.86,14.01,14.01,3411000
2012-07-13,14.01,14.24,13.87,14.17,14.17,2360900
2012-07-16,14.23,15.51,13.98,14.98,14.98,5967900
2012-07-17,15.02,15.11,14.28,14.46,14.46,3054200
2012-07-18,14.3,14.76,14.15,14.47,14.47,2266700
2012-07-19,14.5,15.7,14.46,15.13,15.13,4237400
2012-07-20,15.03,15.09,14.74,14.79,14.79,2253200
2012-07-23,14.4,14.44,14.01,14.22,14.22,2583700
2012-07-24,13.84,14.3,13.81,14.07,14.07,2428700
2012-07-25,14.15,14.59,13.86,14.18,14.18,2585700
2012-07-26,14.38,14.6,13.97,14,14,3011700
2012-07-27,14.09,14.54,13.91,14.5,14.5,2853300
2012-07-30,14.48,14.58,13.93,14.21,14.21,4009500
2012-07-31,14.32,15.59,14.32,15.54,15.54,6087400
2012-08-01,15.6,15.78,14.59,14.8,14.8,9201100
2012-08-02,17,19.120001,16.709999,17.93,17.93,28193500
2012-08-03,18.299999,18.48,17.01,17.059999,17.059999,10085400
2012-08-06,17.129999,19.370001,17.110001,19.059999,19.059999,12552600
2012-08-07,19.530001,21.15,19.43,20.68,20.68,13130700
2012-08-08,21.15,21.790001,20.68,21.41,21.41,8586900
2012-08-09,21.35,22.120001,20.82,21.700001,21.700001,7491600
2012-08-10,21.540001,21.629999,20.92,21.43,21.43,5385000
2012-08-13,21.370001,21.389999,20.030001,20.49,20.49,5550200
2012-08-14,20.700001,20.84,19.59,20.040001,20.040001,4890900
2012-08-15,19.559999,21.27,19.559999,21.1,21.1,5147100
2012-08-16,21.139999,22.190001,21.110001,21.49,21.49,5298500
2012-08-17,21.549999,21.98,21.09,21.26,21.26,4554800
2012-08-20,21.290001,23.16,21.02,22.459999,22.459999,8280300
2012-08-21,23.08,25.059999,22.77,24.139999,24.139999,14398100
2012-08-22,23.93,24.82,23.309999,23.93,23.93,8362200
2012-08-23,24.4,25.16,24,24.610001,24.610001,7817400
2012-08-24,24.73,24.98,24.280001,24.77,24.77,5778800
2012-08-27,25.129999,25.91,24.860001,25.540001,25.540001,6567200
2012-08-28,25.48,26.309999,25.360001,25.700001,25.700001,5316100
2012-08-29,25.610001,25.790001,24.01,24.200001,24.200001,6346500
2012-08-30,23.4,23.5,19.65,19.67,19.67,25107800
2012-08-31,20.389999,21.18,19.83,19.99,19.99,11597600
2012-09-04,19.799999,19.940001,18.299999,18.92,18.92,11056500
2012-09-05,19.26,19.450001,18.57,18.65,18.65,6709700
2012-09-06,19,21.049999,18.709999,20.030001,20.030001,13616000
2012-09-07,20.120001,20.67,19.379999,20.440001,20.440001,10538100
2012-09-10,20.74,21.709999,20.639999,20.790001,20.790001,7506800
2012-09-11,21.58,22.23,21.26,21.799999,21.799999,8078000
2012-09-12,22.040001,22.690001,21.85,22.48,22.48,6762400
2012-09-13,22.549999,22.799999,21.709999,22.610001,22.610001,7111000
2012-09-14,23.01,24.93,22.85,24.610001,24.610001,10219900
2012-09-17,24.540001,24.59,23.030001,23.24,23.24,6264900
2012-09-18,23.209999,23.950001,22.6,23.15,23.15,5895300
2012-09-19,23.42,24.6,23.219999,23.48,23.48,7274700
2012-09-20,23.49,23.58,22.32,22.57,22.57,6168000
2012-09-21,22.33,22.780001,21.02,21.200001,21.200001,9799200
2012-09-24,20.93,21.15,20.32,21,21,5670900
2012-09-25,21.41,21.73,20.5,20.51,20.51,5738200
2012-09-26,20.549999,21.33,20,20.9,20.9,4930300
2012-09-27,21.6,24.33,21.559999,23.110001,23.110001,14629500
2012-09-28,22.51,23,22.02,22.15,22.15,5968500
2012-10-01,22.43,22.6,21.809999,21.93,21.93,4710600
2012-10-02,22.389999,23.290001,21.92,22.879999,22.879999,6212000
2012-10-03,23,23.389999,21.799999,22,22,5578300
2012-10-04,22.27,23.15,21.6,22.549999,22.549999,6371400
2012-10-05,21.9,22.120001,19.68,20.07,20.07,15042000
2012-10-08,20.379999,20.940001,20.139999,20.26,20.26,4586100
2012-10-09,20.4,21.129999,20.120001,20.799999,20.799999,6341700
2012-10-10,20.85,21.290001,20.559999,21.040001,21.040001,5316700
