Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,2.032136,2.05104,1.890359,1.890359,1.890359,1293900
2012-02-22,1.890359,1.918715,1.852552,1.852552,1.852552,1173500
2012-02-23,1.852552,1.975425,1.852552,1.956522,1.956522,917300
2012-02-24,1.94707,1.94707,1.899811,1.909263,1.909263,568300
2012-02-27,1.909263,1.956522,1.909263,1.937618,1.937618,639600
2012-02-28,1.94707,2.013232,1.937618,1.956522,1.956522,1530600
2012-02-29,1.937618,1.984877,1.890359,1.890359,1.890359,916800
2012-03-01,1.918715,1.937618,1.880907,1.890359,1.890359,913000
2012-03-02,1.899811,1.928166,1.824197,1.833648,1.833648,1306800
2012-03-05,1.833648,1.8431,1.758034,1.776938,1.776938,744000
2012-03-06,1.767486,1.776938,1.691871,1.691871,1.691871,1166200
2012-03-07,1.795841,1.795841,1.701323,1.729679,1.729679,922300
2012-03-08,1.748582,1.758034,1.663516,1.68242,1.68242,938400
2012-03-09,1.691871,1.73913,1.68242,1.73913,1.73913,835700
2012-03-12,1.748582,1.767486,1.672968,1.672968,1.672968,460600
2012-03-13,1.672968,1.691871,1.616257,1.635161,1.635161,1206700
2012-03-14,1.625709,1.654064,1.616257,1.625709,1.625709,568200
2012-03-15,1.625709,1.654064,1.568998,1.616257,1.616257,940000
2012-03-16,1.616257,1.73913,1.616257,1.691871,1.691871,1188900
2012-03-19,1.691871,1.786389,1.691871,1.767486,1.767486,994400
2012-03-20,1.748582,1.748582,1.710775,1.710775,1.710775,458600
2012-03-21,1.720227,1.786389,1.701323,1.786389,1.786389,473000
2012-03-22,1.758034,1.786389,1.672968,1.701323,1.701323,734000
2012-03-23,1.701323,1.720227,1.68242,1.701323,1.701323,389100
2012-03-26,1.710775,1.729679,1.68242,1.68242,1.68242,564700
2012-03-27,1.672968,1.73913,1.672968,1.710775,1.710775,576600
2012-03-28,1.710775,1.710775,1.663516,1.672968,1.672968,415100
2012-03-29,1.663516,1.663516,1.606805,1.616257,1.616257,725800
2012-03-30,1.635161,1.644612,1.597353,1.606805,1.606805,790800
2012-04-02,1.587902,1.606805,1.559546,1.597353,1.597353,919100
2012-04-03,1.597353,1.597353,1.550094,1.57845,1.57845,672300
2012-04-04,1.559546,1.559546,1.512287,1.512287,1.512287,716600
2012-04-05,1.502836,1.512287,1.446125,1.493384,1.493384,690300
2012-04-09,1.47448,1.493384,1.436673,1.436673,1.436673,642800
2012-04-10,1.427221,1.559546,1.417769,1.427221,1.427221,2055000
2012-04-11,1.436673,1.465028,1.427221,1.446125,1.446125,740900
2012-04-12,1.446125,1.47448,1.427221,1.47448,1.47448,703100
2012-04-13,1.465028,1.512287,1.455577,1.465028,1.465028,646500
2012-04-16,1.47448,1.493384,1.446125,1.47448,1.47448,335400
2012-04-17,1.465028,1.540643,1.465028,1.512287,1.512287,745500
2012-04-18,1.502836,1.512287,1.465028,1.465028,1.465028,416300
2012-04-19,1.47448,1.531191,1.47448,1.502836,1.502836,763400
2012-04-20,1.550094,1.597353,1.512287,1.57845,1.57845,1352200
2012-04-23,1.559546,1.568998,1.521739,1.550094,1.550094,593500
2012-04-24,1.550094,1.568998,1.531191,1.568998,1.568998,847900
2012-04-25,1.587902,1.616257,1.559546,1.606805,1.606805,681400
2012-04-26,1.606805,1.616257,1.587902,1.606805,1.606805,529000
2012-04-27,1.625709,1.644612,1.587902,1.635161,1.635161,465400
2012-04-30,1.625709,1.654064,1.568998,1.587902,1.587902,540200
2012-05-01,1.57845,1.597353,1.540643,1.540643,1.540643,596900
2012-05-02,1.512287,1.512287,1.417769,1.47448,1.47448,1029000
2012-05-03,1.47448,1.483932,1.417769,1.465028,1.465028,919900
2012-05-04,1.455577,1.502836,1.417769,1.427221,1.427221,639200
2012-05-07,1.417769,1.455577,1.417769,1.436673,1.436673,327900
2012-05-08,1.427221,1.446125,1.417769,1.417769,1.417769,611800
2012-05-09,1.417769,1.417769,1.379962,1.398866,1.398866,773200
2012-05-10,1.417769,1.465028,1.398866,1.455577,1.455577,387200
2012-05-11,1.455577,1.465028,1.398866,1.408318,1.408318,473500
2012-05-14,1.417769,1.436673,1.37051,1.37051,1.37051,609700
2012-05-15,1.379962,1.417769,1.37051,1.37051,1.37051,305700
2012-05-16,1.379962,1.408318,1.323251,1.379962,1.379962,806100
2012-05-17,1.379962,1.379962,1.332703,1.332703,1.332703,625200
2012-05-18,1.3138,1.351607,1.294896,1.294896,1.294896,979900
2012-05-21,1.304348,1.342155,1.294896,1.323251,1.323251,947300
2012-05-22,1.3138,1.351607,1.3138,1.3138,1.3138,470700
2012-05-23,1.304348,1.332703,1.294896,1.332703,1.332703,375500
2012-05-24,1.351607,1.389414,1.294896,1.3138,1.3138,579300
2012-05-25,1.3138,1.361059,1.304348,1.342155,1.342155,391000
2012-05-29,1.342155,1.342155,1.3138,1.323251,1.323251,515700
2012-05-30,1.3138,1.323251,1.238185,1.247637,1.247637,956300
2012-05-31,1.266541,1.275992,1.20983,1.238185,1.238185,1185000
2012-06-01,1.200378,1.228733,1.181474,1.20983,1.20983,548600
2012-06-04,1.200378,1.228733,1.200378,1.200378,1.200378,452700
2012-06-05,1.200378,1.257089,1.181474,1.228733,1.228733,1009800
