Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,61.5,61.5,61.5,61.5,61.5,0
2012-02-22,63,69,60,63,63,100
2012-02-23,60,60,51.599998,51.599998,51.599998,500
2012-02-24,57,57,54,54,54,0
2012-02-27,57,57,57,57,57,0
2012-02-28,54,54,54,54,54,0
2012-02-29,54,54,54,54,54,0
2012-03-01,51,54,51,54,54,0
2012-03-02,54,57,54,57,57,0
2012-03-05,57,57,48,48,48,0
2012-03-06,57,57,45,45,45,0
2012-03-07,66,66,66,66,66,0
2012-03-08,66,66,66,66,66,0
2012-03-09,66,66,51,57,57,0
2012-03-12,51,51,51,51,51,0
2012-03-13,51,60,51,60,60,100
2012-03-14,66,66,66,66,66,0
2012-03-15,54,54,54,54,54,0
2012-03-16,66,72,60,69,69,400
2012-03-19,69,75,69,75,75,0
2012-03-20,75,87,75,78,78,200
2012-03-21,78,78,78,78,78,0
2012-03-22,78,84,69,78,78,200
2012-03-23,81,87,78,87,87,200
2012-03-26,84,85.5,70.5,78,78,400
2012-03-27,81,81,72,72,72,100
2012-03-28,72,72,70.800003,72,72,0
2012-03-29,72,72,72,72,72,0
2012-03-30,72,72,72,72,72,0
2012-04-02,72,72,72,72,72,0
2012-04-03,72,76.5,72,76.5,76.5,0
2012-04-04,75,75,72,72,72,0
2012-04-05,72,75,72,75,75,0
2012-04-09,70.800003,70.800003,70.800003,70.800003,70.800003,0
2012-04-10,70.800003,70.800003,70.5,70.5,70.5,0
2012-04-11,69,69,66,66,66,200
2012-04-12,66,66,66,66,66,0
2012-04-13,67.5,67.5,67.5,67.5,67.5,0
2012-04-16,67.5,67.5,66.300003,66.900002,66.900002,100
2012-04-17,66.300003,66.300003,57,58.5,58.5,800
2012-04-18,60,60,60,60,60,0
2012-04-19,60,66,60,61.5,61.5,100
2012-04-20,57,66,57,57,57,100
2012-04-23,57,57,57,57,57,0
2012-04-24,54,54,51,51,51,0
2012-04-25,51,51,51,51,51,0
2012-04-26,51,51,51,51,51,0
2012-04-27,51,51,51,51,51,0
2012-04-30,58.5,63,58.5,63,63,0
2012-05-01,58.5,58.5,58.5,58.5,58.5,0
2012-05-02,58.5,58.5,54,54,54,0
2012-05-03,54,54,54,54,54,0
2012-05-04,57,57,51,55.5,55.5,100
2012-05-07,51.599998,55.5,51,55.5,55.5,0
2012-05-08,51,51,51,51,51,0
2012-05-09,55.5,57,49.799999,57,57,100
2012-05-10,51,51,49.799999,49.799999,49.799999,0
2012-05-11,49.799999,49.799999,49.799999,49.799999,49.799999,0
2012-05-14,49.799999,49.799999,49.5,49.5,49.5,0
2012-05-15,49.5,49.5,49.5,49.5,49.5,0
2012-05-16,49.799999,51,49.5,49.5,49.5,0
2012-05-17,51,51,49.5,49.5,49.5,0
2012-05-18,49.799999,60,49.5,60,60,200
2012-05-21,58.5,58.5,54.599998,54.599998,54.599998,0
2012-05-22,54,54,54,54,54,0
2012-05-23,54.599998,57,48,55.5,55.5,200
2012-05-24,55.5,55.5,55.5,55.5,55.5,0
2012-05-25,54,54,54,54,54,0
