Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,410.600006,412.600006,393.799988,396.799988,396.799988,74000
2012-02-22,392.200012,397.399994,387,388.200012,388.200012,59600
2012-02-23,392,394,376,387.799988,387.799988,75800
2012-02-24,387.399994,396,385,390,390,67700
2012-02-27,384.799988,394.600006,384.200012,389.799988,389.799988,60100
2012-02-28,392,410,389.799988,397.399994,397.399994,123700
2012-02-29,399,403.600006,391.799988,394.399994,394.399994,68500
2012-03-01,395,397.799988,385.799988,390.200012,390.200012,62500
2012-03-02,391.399994,397.600006,382.399994,384,384,67600
2012-03-05,382.399994,384.200012,360,362.600006,362.600006,151300
2012-03-06,356.799988,370.799988,350,366.600006,366.600006,81400
2012-03-07,367.600006,371.600006,346,346.399994,346.399994,115600
2012-03-08,351,352,325,339.600006,339.600006,224800
2012-03-09,340.600006,351.600006,335.399994,341.200012,341.200012,97100
2012-03-12,342.600006,348.799988,333.799988,334.799988,334.799988,64500
2012-03-13,334.600006,344.600006,328,341.200012,341.200012,95600
2012-03-14,342.399994,347.399994,333.200012,337.600006,337.600006,66800
2012-03-15,340.200012,366.399994,334.200012,356.799988,356.799988,179700
2012-03-16,356.799988,361.600006,351.799988,360.399994,360.399994,101200
2012-03-19,357.600006,366.399994,353.200012,356.399994,356.399994,48000
2012-03-20,359.399994,363.200012,350.600006,354.399994,354.399994,80300
2012-03-21,358.399994,358.399994,338.600006,346,346,118000
2012-03-22,343.399994,345.399994,334.600006,337.799988,337.799988,110500
2012-03-23,337.600006,341.600006,332.799988,337.799988,337.799988,104000
2012-03-26,341,349.799988,334,347.600006,347.600006,111600
2012-03-27,350,370,346.399994,365.600006,365.600006,108400
2012-03-28,363.600006,375.200012,352,356,356,128200
2012-03-29,355.200012,364.600006,351,354,354,56300
2012-03-30,356,379.600006,355.799988,367.600006,367.600006,129600
2012-04-02,330.200012,331.399994,305,305.600006,305.600006,504500
2012-04-03,305.600006,309.600006,298,300.399994,300.399994,175000
2012-04-04,295,304.600006,290.200012,290.799988,290.799988,178400
2012-04-05,288.200012,295,280.200012,283.600006,283.600006,218500
2012-04-09,280,284.600006,270,277.799988,277.799988,161900
2012-04-10,277.200012,279,266,271,271,173100
2012-04-11,282.399994,282.399994,259,261.600006,261.600006,121100
2012-04-12,285.799988,286,265.399994,271.200012,271.200012,140900
2012-04-13,270.399994,271,257,262.399994,262.399994,97600
2012-04-16,263,265.200012,251,253.399994,253.399994,83500
2012-04-17,253,258.600006,245,251.600006,251.600006,92500
2012-04-18,247.800003,251,236.600006,240.800003,240.800003,122500
2012-04-19,239,245.399994,233.600006,235.199997,235.199997,99700
2012-04-20,236.199997,237.199997,220.399994,222.600006,222.600006,119600
2012-04-23,229,238.600006,222,237,237,254400
2012-04-24,236.399994,241.399994,232,239.199997,239.199997,147500
2012-04-25,240.800003,246.399994,239.600006,245.399994,245.399994,46000
2012-04-26,242,243,237,238.399994,238.399994,50100
2012-04-27,241.199997,245.199997,232.199997,239.600006,239.600006,74700
2012-04-30,239.399994,239.800003,212.800003,214.199997,214.199997,139800
2012-05-01,220,228,211.199997,217.399994,217.399994,258900
2012-05-02,216,220,210,211.600006,211.600006,172600
2012-05-03,211.600006,215.600006,198.600006,206.199997,206.199997,201100
2012-05-04,206.199997,210,196.399994,199.399994,199.399994,127000
2012-05-07,202,216,200.800003,209.199997,209.199997,128900
2012-05-08,209.399994,210,202,206.600006,206.600006,78100
2012-05-09,204.399994,208.800003,200,201.399994,201.399994,60500
2012-05-10,205.600006,205.800003,197.199997,197.399994,197.399994,70000
2012-05-11,196.199997,203.199997,192.600006,198,198,74600
2012-05-14,204.399994,243.600006,201.600006,234.800003,234.800003,822700
2012-05-15,297.799988,298.600006,240,243.399994,243.399994,1234200
2012-05-16,243.399994,264,243.199997,261,261,354200
2012-05-17,253.199997,258,243.199997,248.199997,248.199997,333200
2012-05-18,249.800003,250,226.600006,231.600006,231.600006,298900
2012-05-21,232.199997,254.800003,218,247.800003,247.800003,368000
2012-05-22,247.600006,248.600006,235.199997,239,239,150400
2012-05-23,233.800003,248,232,240.600006,240.600006,177800
2012-05-24,239.600006,243.600006,235,237.800003,237.800003,105800
2012-05-25,240,244,238,241,241,112800
2012-05-29,240.399994,243,231,235.800003,235.800003,155500
2012-05-30,230.800003,232,218.199997,222,222,175500
2012-05-31,219,219,204,212.800003,212.800003,299200
2012-06-01,194.399994,202,190.600006,193.800003,193.800003,1168400
2012-06-04,194,195.800003,176,179,179,627700
2012-06-05,180,196,179,195.800003,195.800003,536800
2012-06-06,200,214.800003,199.600006,212.600006,212.600006,668600
2012-06-07,220,221,207,212.399994,212.399994,430800
2012-06-08,208.399994,215.399994,204.600006,215.199997,215.199997,318600
2012-06-11,216.800003,217.600006,205.199997,206.800003,206.800003,287700
2012-06-12,210.800003,211,196.399994,199,199,485000
2012-06-13,193.600006,199.600006,190.199997,192,192,513400
2012-06-14,184.800003,189.199997,182.600006,188.600006,188.600006,379900
2012-06-15,184.399994,202.800003,182,201.199997,201.199997,893200
2012-06-18,208.399994,227.800003,206.600006,223,223,682700
2012-06-19,220.199997,223,210.199997,218.600006,218.600006,628700
2012-06-20,220,223.600006,212,213.399994,213.399994,283800
2012-06-21,215.199997,215.600006,207.199997,210,210,219800
2012-06-22,210.800003,212.399994,207.399994,208,208,185500
2012-06-25,205.199997,206.800003,194.800003,197.800003,197.800003,242300
2012-06-26,200,206.600006,198.199997,205,205,218200
2012-06-27,203.399994,207.399994,198.199997,202.600006,202.600006,251400
2012-06-28,201.399994,201.600006,191.800003,197,197,305800
2012-06-29,203,213.399994,200,212.600006,212.600006,333900
2012-07-02,208.600006,210,189.600006,190.199997,190.199997,635700
2012-07-03,191.800003,191.800003,174.399994,175.800003,175.800003,609900
2012-07-05,175.600006,180,170.199997,176.399994,176.399994,292700
2012-07-06,175.199997,176.399994,165,168.800003,168.800003,366300
2012-07-09,168,176.600006,165.600006,175.800003,175.800003,284400
2012-07-10,176.399994,178.399994,165,166.199997,166.199997,378800
2012-07-11,166.199997,166.199997,154.399994,155.399994,155.399994,647100
2012-07-12,153,160.199997,145,159.600006,159.600006,789600
2012-07-13,159.600006,162,155.399994,155.800003,155.800003,365900
2012-07-16,158.199997,163.199997,152.199997,153.399994,153.399994,388000
2012-07-17,153.800003,154.800003,143.399994,144.199997,144.199997,541400
2012-07-18,143.600006,146,140.399994,141.399994,141.399994,567700
2012-07-19,146,152.199997,143.199997,148,148,351900
2012-07-20,147,151.600006,146,148,148,319400
2012-07-23,142.800003,148.399994,141.199997,147.600006,147.600006,163700
2012-07-24,146.399994,149.800003,143.199997,144.800003,144.800003,153500
2012-07-25,146,147,142.399994,144.800003,144.800003,132500
2012-07-26,137.600006,141.399994,131,132.199997,132.199997,682600
2012-07-27,130.199997,161,130,151.800003,151.800003,1016500
2012-07-30,151.600006,156,136.199997,138,138,485400
2012-07-31,140.600006,141,132.399994,133.199997,133.199997,265500
2012-08-01,133.800003,134.399994,127.599998,129.600006,129.600006,433200
2012-08-02,128,132,127,127.599998,127.599998,257800
2012-08-03,132,134.600006,128.600006,131.800003,131.800003,153400
2012-08-06,133,145.800003,132.399994,145,145,423200
2012-08-07,144.800003,147.199997,137.800003,145.600006,145.600006,287800
2012-08-08,142,150,138.399994,138.600006,138.600006,253900
2012-08-09,138.399994,139.800003,131.800003,133,133,298700
2012-08-10,133.399994,152.399994,133.199997,148.800003,148.800003,525500
2012-08-13,155,161,145,151,151,1542600
2012-08-14,116.400002,120,109.199997,110.199997,110.199997,3117100
2012-08-15,111,112.599998,105.599998,106.400002,106.400002,1062600
2012-08-16,103.599998,104,99.400002,100,100,1654600
2012-08-17,96.599998,97.199997,90.199997,95,95,1976900
2012-08-20,93.599998,97.599998,90,93,93,864600
2012-08-21,88.599998,95.599998,86.800003,90.800003,90.800003,779200
2012-08-22,90,92.800003,88.599998,90.800003,90.800003,503400
2012-08-23,90.599998,94,89.800003,90.400002,90.400002,389100
2012-08-24,89.599998,90,88.199997,88.800003,88.800003,423000
2012-08-27,88.400002,89.400002,86.400002,88.199997,88.199997,474800
2012-08-28,87,90.199997,87,87.400002,87.400002,269000
2012-08-29,87.800003,88.400002,85.199997,86.199997,86.199997,382600
2012-08-30,85.599998,87.199997,83.199997,83.800003,83.800003,459600
2012-08-31,83,86,82.400002,83,83,300200
2012-09-04,82.199997,85.400002,80,84.800003,84.800003,530500
2012-09-05,84.800003,87.199997,83.199997,83.599998,83.599998,432800
2012-09-06,84,85.800003,82.800003,84.599998,84.599998,404800
2012-09-07,85,87.199997,84.400002,85.400002,85.400002,271800
2012-09-10,85.400002,86.400002,84.599998,85.400002,85.400002,257000
2012-09-11,85.400002,93.400002,85,92.199997,92.199997,792800
2012-09-12,94.199997,95.599998,90,93.199997,93.199997,656100
2012-09-13,92.800003,96.199997,91,95.199997,95.199997,296400
2012-09-14,97.199997,106,96,105.400002,105.400002,1000500
2012-09-17,103,103.599998,94.800003,95,95,753200
2012-09-18,95,96.800003,93,93.800003,93.800003,342400
2012-09-19,96,107.800003,95.199997,106.800003,106.800003,2079700
2012-09-20,104.400002,109.400002,101.199997,103,103,1563900
2012-09-21,104.599998,107.400002,104.599998,105.599998,105.599998,1095200
2012-09-24,103.599998,105,101.400002,104,104,570600
2012-09-25,103.400002,105.400002,93.400002,96.599998,96.599998,809400
2012-09-26,95.800003,97,91.800003,94,94,337800
2012-09-27,95.800003,98.599998,94.199997,95.599998,95.599998,326800
2012-09-28,97,98.400002,94,95.400002,95.400002,283000
2012-10-01,96,97.599998,93.599998,94.400002,94.400002,213100
2012-10-02,94.599998,94.599998,92.400002,93,93,149500
2012-10-03,94.400002,94.599998,92.599998,93.599998,93.599998,210300
2012-10-04,93.800003,97.199997,91.199997,96,96,296200
2012-10-05,94.800003,107.400002,94.199997,105,105,909000
2012-10-08,102.800003,109.800003,101.199997,109.400002,109.400002,661900
2012-10-09,107,108.800003,104.199997,105.400002,105.400002,466600
2012-10-10,107.800003,110,99.400002,101,101,610700
2012-10-11,102.800003,107.400002,101,105,105,315900
2012-10-12,104.400002,108,104,105.800003,105.800003,284300
2012-10-15,105.599998,108,101.199997,104,104,339700
2012-10-16,105,105,101,101,101,275800
2012-10-17,101,103,100,101.599998,101.599998,271000
2012-10-18,101,101.800003,96.599998,98.199997,98.199997,493300
2012-10-19,98,98.599998,92.800003,93.800003,93.800003,509200
2012-10-22,93.400002,95.400002,90.400002,91.599998,91.599998,486900
2012-10-23,90,91.400002,87,89.599998,89.599998,660700
2012-10-24,94,95,87.599998,88.400002,88.400002,607700
2012-10-25,89.599998,90,86.599998,89.199997,89.199997,680000
2012-10-26,88.800003,90.400002,87,89.400002,89.400002,670500
2012-10-31,90,90.199997,80,82.400002,82.400002,2231900
2012-11-01,84,84.599998,80,80.599998,80.599998,424200
2012-11-02,81.199997,81.599998,73.599998,76.599998,76.599998,1416800
2012-11-05,77.400002,81,75.400002,78,78,1332500
2012-11-06,78.599998,81,76,79.800003,79.800003,887600
