Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,10.56,10.67,10.41,10.58,10.58,293200
2012-02-22,10.55,10.56,10.2,10.2,10.2,333900
2012-02-23,10.24,10.58,10.16,10.58,10.58,190300
2012-02-24,10.55,10.6,10.37,10.46,10.46,157300
2012-02-27,10.34,10.56,10.3,10.52,10.52,154700
2012-02-28,10.49,10.6,10.44,10.51,10.51,426700
2012-02-29,10.52,10.64,10.19,10.25,10.25,298900
2012-03-01,10.3,10.39,10.16,10.16,10.16,281900
2012-03-02,10.14,10.21,9.8,9.88,9.88,370400
2012-03-05,9.82,10.14,9.78,10.07,10.07,319800
2012-03-06,10,10.02,9.75,9.76,9.76,270300
2012-03-07,9.77,10.09,9.76,10.06,10.06,333600
2012-03-08,10.13,10.16,10,10.13,10.13,221100
2012-03-09,10.1,10.48,9.73,10.3,10.3,309900
2012-03-12,10.31,10.5,10.3,10.46,10.46,623700
2012-03-13,10.5,11,10.43,10.98,10.98,768300
2012-03-14,10.94,11.15,10.8,11,11,558500
2012-03-15,11.01,11.11,10.81,11.06,11.06,359400
2012-03-16,11.13,11.22,10.99,11.2,11.2,1417400
2012-03-19,11.18,11.59,10.95,11.39,11.39,550100
2012-03-20,11.27,11.58,11.12,11.14,11.14,311600
2012-03-21,11.15,11.26,10.76,10.98,10.98,459900
2012-03-22,10.85,10.93,10.65,10.88,10.88,328500
2012-03-23,10.89,10.91,10.7,10.85,10.85,335700
2012-03-26,10.96,11.16,10.93,11.01,11.01,371000
2012-03-27,11.04,11.15,10.95,11.07,11.07,398100
2012-03-28,11.07,11.27,10.65,11.26,11.26,290800
2012-03-29,11.14,11.19,10.83,11.07,11.07,264800
2012-03-30,11.18,11.21,10.97,11.13,11.13,270000
2012-04-02,11.07,11.38,10.98,11.35,11.35,395200
2012-04-03,11.35,11.4,11.19,11.3,11.3,262600
2012-04-04,11.13,11.23,10.84,10.89,10.89,355300
2012-04-05,10.81,11,10.75,10.87,10.87,203500
2012-04-09,10.62,10.67,10.45,10.55,10.55,241300
2012-04-10,10.57,10.79,10.22,10.31,10.31,272200
2012-04-11,10.41,10.52,10.4,10.49,10.49,196600
2012-04-12,10.48,10.72,10.48,10.66,10.66,280000
2012-04-13,10.57,10.59,10.23,10.27,10.27,261200
2012-04-16,10.3,10.49,10.16,10.33,10.33,148000
2012-04-17,10.45,10.86,10.37,10.82,10.82,373100
2012-04-18,10.75,10.82,10.65,10.69,10.69,278600
2012-04-19,10.7,10.88,10.4,10.55,10.55,283200
2012-04-20,10.86,10.86,10.5,10.58,10.58,280500
2012-04-23,10.41,10.41,10.21,10.23,10.23,429400
2012-04-24,10.35,11.13,10.35,10.9,10.9,803400
2012-04-25,11.08,11.49,10.52,11.44,11.44,705300
2012-04-26,11.4,11.49,11.28,11.39,11.39,273000
2012-04-27,11.35,11.35,11.14,11.26,11.26,515100
2012-04-30,11.22,11.23,10.96,11,11,347200
2012-05-01,11.04,11.36,10.94,11.13,11.13,434800
2012-05-02,11.06,11.5,11.02,11.5,11.5,296700
2012-05-03,11.46,11.47,11.24,11.46,11.46,357200
2012-05-04,11.35,11.35,11.14,11.26,11.26,256100
2012-05-07,11.17,11.46,11.17,11.35,11.35,138000
2012-05-08,11.23,11.55,11.21,11.47,11.47,280400
2012-05-09,11.3,11.43,11.15,11.35,11.35,154000
2012-05-10,11.43,11.48,11.23,11.31,11.31,242000
2012-05-11,11.19,11.4,11.03,11.12,11.12,312700
2012-05-14,10.99,11.18,10.92,11.11,11.11,215200
2012-05-15,11.07,11.29,10.98,11.07,11.07,306700
2012-05-16,11.11,11.23,10.84,10.93,10.93,198100
2012-05-17,10.91,11,10.71,10.8,10.8,265200
2012-05-18,10.76,10.89,10.59,10.62,10.62,314000
2012-05-21,10.66,10.85,10.56,10.74,10.74,281900
2012-05-22,10.71,10.9,10.4,10.52,10.52,327700
2012-05-23,10.37,10.63,10.25,10.57,10.57,191000
2012-05-24,10.61,10.84,10.41,10.82,10.82,231500
2012-05-25,10.86,10.92,10.75,10.79,10.79,194500
2012-05-29,10.88,11,10.77,10.95,10.95,147900
2012-05-30,10.85,11.05,10.7,10.72,10.72,214600
2012-05-31,10.71,10.89,10.53,10.79,10.79,303900
2012-06-01,10.52,10.84,10.23,10.27,10.27,308500
2012-06-04,10.33,10.43,9.98,10.12,10.12,221000
2012-06-05,10.07,10.23,9.99,10.06,10.06,204800
2012-06-06,10.15,10.24,10.07,10.24,10.24,431600
2012-06-07,10.38,10.59,10.24,10.33,10.33,261600
2012-06-08,10.3,10.88,10.16,10.61,10.61,262300
2012-06-11,10.77,10.92,10.25,10.27,10.27,223300
2012-06-12,10.34,10.38,10.17,10.37,10.37,163700
2012-06-13,10.32,10.65,10.29,10.42,10.42,299100
2012-06-14,10.4,10.71,10.37,10.64,10.64,174400
2012-06-15,10.6,10.95,10.52,10.86,10.86,1006100
2012-06-18,10.76,11.02,10.63,10.88,10.88,253200
