Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,16.65,16.84,16.469999,16.5,6.201108,25700
2012-02-22,16.540001,16.57,16.299999,16.42,6.17104,23700
2012-02-23,16.42,16.58,16.299999,16.42,6.17104,13700
2012-02-24,16.35,16.42,16.139999,16.280001,6.118426,35000
2012-02-27,16.209999,16.59,16.209999,16.42,6.17104,15800
2012-02-28,16.379999,16.4,16.219999,16.370001,6.15225,28300
2012-02-29,16.35,16.549999,16.35,16.549999,6.219898,14500
2012-03-01,16.4,16.530001,16.23,16.5,6.201108,15400
2012-03-02,16.5,16.6,16.360001,16.360001,6.148491,7900
2012-03-05,16.360001,16.41,16.32,16.379999,6.156008,9900
2012-03-06,16.26,16.33,16.049999,16.219999,6.095876,23000
2012-03-07,16.26,16.389999,16.25,16.360001,6.148491,14500
2012-03-08,16.4,16.4,16.16,16.26,6.11091,7900
2012-03-09,16.299999,16.299999,16.15,16.290001,6.122185,23400
2012-03-12,16.290001,16.4,16.25,16.4,6.163523,14800
2012-03-13,16.41,16.540001,16.35,16.440001,6.178558,44200
2012-03-14,16.450001,16.450001,16.299999,16.43,6.174798,63700
2012-03-15,16.4,16.469999,16.35,16.450001,6.182314,23000
2012-03-16,16.5,16.85,16.5,16.85,6.332645,179600
2012-03-19,16.9,17.1,16.700001,17.049999,6.40781,60600
2012-03-20,16.83,17.120001,16.799999,16.98,6.381503,80000
2012-03-21,16.629999,17,16.5,16.889999,6.520482,39800
2012-03-22,16.9,16.9,16.57,16.73,6.458715,25300
2012-03-23,16.6,16.82,16.59,16.73,6.458715,20500
2012-03-26,16.84,16.84,16.35,16.57,6.396945,34100
2012-03-27,16.530001,16.620001,16.360001,16.42,6.339035,39700
2012-03-28,16.389999,16.5,16.370001,16.389999,6.327455,12500
2012-03-29,16.389999,16.639999,16.389999,16.639999,6.423967,42500
2012-03-30,16.74,16.799999,16.530001,16.610001,6.412386,40600
2012-04-02,16.629999,16.889999,16.6,16.85,6.505041,30300
2012-04-03,16.85,16.889999,16.709999,16.82,6.493462,15600
2012-04-04,16.59,16.780001,16.559999,16.629999,6.420105,18500
2012-04-05,16.639999,16.84,16.639999,16.77,6.474156,14200
2012-04-09,16.75,16.76,16.65,16.690001,6.44327,17900
2012-04-10,16.709999,16.799999,16.25,16.299999,6.292709,38100
2012-04-11,16.469999,16.58,16.280001,16.469999,6.358339,16100
2012-04-12,16.5,16.549999,16.360001,16.450001,6.350617,18000
2012-04-13,16.5,16.610001,16.459999,16.57,6.396945,22400
2012-04-16,16.52,16.780001,16.52,16.75,6.466434,23500
2012-04-17,16.610001,16.889999,16.6,16.83,6.497318,32700
2012-04-18,16.75,16.860001,16.540001,16.719999,6.454853,20200
2012-04-19,16.73,16.889999,16.559999,16.790001,6.481877,10100
2012-04-20,16.870001,16.93,16.58,16.700001,6.447132,40400
2012-04-23,16.67,16.690001,16.35,16.48,6.362201,25100
2012-04-24,16.299999,16.68,16.27,16.57,6.396945,26800
2012-04-25,16.530001,16.82,16.440001,16.58,6.400804,35600
2012-04-26,16.799999,16.9,16.57,16.57,6.396945,55600
2012-04-27,16.690001,17,16.65,16.9,6.524343,96000
2012-04-30,17,17.209999,16.75,16.98,6.555226,87700
2012-05-01,17,17.15,16.969999,17.049999,6.582253,39000
2012-05-02,17,17.219999,17,17.09,6.597692,47000
2012-05-03,17.049999,17.309999,17,17.120001,6.609275,83000
2012-05-04,17,17.139999,16.950001,17,6.56295,43500
2012-05-07,16.870001,17.1,16.77,16.99,6.559091,39300
2012-05-08,16.9,17.02,16.799999,16.950001,6.543645,37700
2012-05-09,16.799999,16.9,16.58,16.75,6.466434,36900
2012-05-10,16.75,16.9,16.709999,16.75,6.466434,56000
2012-05-11,16.59,16.99,16.59,16.73,6.458715,46400
2012-05-14,16.75,16.950001,16.700001,16.76,6.470297,70000
2012-05-15,16.4,16.59,16.299999,16.4,6.505996,99800
2012-05-16,16.48,16.84,16.379999,16.799999,6.66468,119000
2012-05-17,16.85,16.85,16.4,16.52,6.553605,49700
2012-05-18,16.549999,16.549999,16.049999,16.24,6.442523,42000
2012-05-21,16.309999,16.49,16.059999,16.379999,6.498064,20300
2012-05-22,16.34,16.530001,16.290001,16.389999,6.502032,19500
2012-05-23,16.299999,16.379999,16.120001,16.35,6.486164,15700
2012-05-24,16.459999,16.459999,16.049999,16.24,6.442523,24500
2012-05-25,16.23,16.23,16.02,16.15,6.406821,16900
2012-05-29,16.129999,16.4,16.07,16.18,6.418723,33100
2012-05-30,16.139999,16.139999,15.68,15.88,6.29971,42400
2012-05-31,16.030001,16.030001,15.41,15.83,6.279877,58700
2012-06-01,15.55,15.55,15.25,15.32,6.077554,30800
2012-06-04,15.25,15.58,15.2,15.35,6.089456,20300
2012-06-05,15.25,16.1,15.12,15.85,6.28781,38000
2012-06-06,15.99,16.440001,15.81,16.309999,6.470296,21200
2012-06-07,16.360001,16.719999,16.200001,16.360001,6.490132,17200
2012-06-08,16.360001,16.51,15.97,16.01,6.351281,29500
2012-06-11,16.27,16.27,15.6,15.79,6.264006,33200
2012-06-12,15.68,15.69,14.91,15.03,5.962507,84300
2012-06-13,15.1,15.58,15.1,15.46,6.133093,40000
2012-06-14,15.47,15.94,15.35,15.84,6.283844,84800
2012-06-15,15.89,15.89,15.46,15.76,6.252104,32700
2012-06-18,15.73,16.049999,15.57,16.02,6.355252,61200
2012-06-19,16.01,16.299999,15.98,16.25,6.446492,42100
2012-06-20,16.25,16.379999,15.8,16.34,6.482197,35800
2012-06-21,16.379999,16.4,15.88,16.110001,6.390954,44900
2012-06-22,16.190001,16.290001,15.66,15.87,6.295743,852400
2012-06-25,15.7,16.379999,15.51,16.120001,6.394923,53800
2012-06-26,16.190001,16.559999,15.97,16.450001,6.525834,31700
2012-06-27,16.59,16.75,16.41,16.68,6.617078,31300
2012-06-28,16.639999,16.65,16.299999,16.43,6.5179,19300
2012-06-29,16.65,16.65,16.280001,16.49,6.541701,40300
2012-07-02,16.41,16.75,16.309999,16.74,6.640878,41700
2012-07-03,16.73,16.75,16.639999,16.75,6.644851,18400
2012-07-05,16.85,16.85,16.66,16.73,6.636914,13800
2012-07-06,16.65,16.77,16.469999,16.58,6.577404,22600
2012-07-09,16.620001,16.83,16.370001,16.639999,6.601208,32800
2012-07-10,16.48,16.74,16.43,16.51,6.549637,18700
2012-07-11,16.6,16.6,16.07,16.15,6.406821,34800
2012-07-12,16.110001,16.5,16.110001,16.48,6.537734,35400
2012-07-13,16.6,16.92,16.559999,16.77,6.652781,28800
2012-07-16,16.780001,17,16.65,16.74,6.640878,35000
2012-07-17,16.870001,16.98,16.74,16.84,6.680552,26700
2012-07-18,16.15,16.74,16.139999,16.6,6.58534,721600
2012-07-19,16.6,16.610001,16.309999,16.450001,6.525834,156500
2012-07-20,16.4,16.65,16.34,16.58,6.577404,95000
2012-07-23,16.49,16.49,16.26,16.290001,6.46236,91600
2012-07-24,16.4,16.4,16.200001,16.27,6.454427,63200
2012-07-25,16.299999,16.459999,16.23,16.27,6.454427,79100
2012-07-26,16.4,16.5,16.280001,16.370001,6.494095,51100
2012-07-27,16.450001,16.690001,16.35,16.57,6.573438,78100
2012-07-30,16.700001,17.059999,16.299999,16.67,6.613111,147500
2012-07-31,16.719999,16.76,16.209999,16.379999,6.498064,265500
2012-08-01,16.5,16.73,16.4,16.5,6.545669,78900
2012-08-02,16.52,16.52,16.200001,16.34,6.482197,56300
2012-08-03,16.52,16.549999,16.200001,16.459999,6.529801,54400
2012-08-06,16.540001,16.639999,16.4,16.549999,6.565501,70600
2012-08-07,16.559999,16.82,16.51,16.540001,6.561536,92100
2012-08-08,16.4,16.6,16.4,16.51,6.549637,127900
2012-08-09,16.559999,16.59,16.41,16.52,6.553605,69900
2012-08-10,16.530001,16.58,16.389999,16.389999,6.502032,89300
2012-08-13,16.48,16.700001,16.389999,16.49,6.541701,86600
2012-08-14,16.610001,16.83,16.5,16.67,6.613111,113100
2012-08-15,16.139999,16.34,16.049999,16.32,6.653881,58000
2012-08-16,16.35,16.379999,16.209999,16.280001,6.637573,58200
2012-08-17,16.4,16.4,16.15,16.370001,6.674266,72600
2012-08-20,16.4,16.610001,16.290001,16.5,6.727271,90100
2012-08-21,16.49,16.65,16.1,16.33,6.657958,152900
2012-08-22,16.35,16.35,16.09,16.309999,6.649803,87700
2012-08-23,16.34,16.360001,16.120001,16.209999,6.609035,51900
2012-08-24,16.18,16.309999,16.120001,16.280001,6.637573,59100
2012-08-27,16.32,16.49,16.15,16.35,6.666112,64400
2012-08-28,16.370001,16.549999,16.360001,16.49,6.723189,46200
2012-08-29,16.52,16.67,16.389999,16.559999,6.751733,56900
2012-08-30,16.57,16.68,16.42,16.629999,6.780271,53900
2012-08-31,16.83,16.9,16.639999,16.75,6.8292,78200
2012-09-04,16.77,16.780001,16.52,16.74,6.825121,58100
2012-09-05,16.790001,16.809999,16.5,16.540001,6.743577,70700
2012-09-06,16.530001,16.719999,16.34,16.48,6.719115,73800
2012-09-07,16.15,16.290001,16.049999,16.139999,6.58049,135800
2012-09-10,16.08,16.450001,16.07,16.17,6.592726,99000
2012-09-11,16.1,16.370001,15.93,15.93,6.494872,142000
2012-09-12,15.93,16.07,15.92,15.97,6.51118,76200
2012-09-13,16.040001,16.219999,15.97,16.16,6.588646,136800
2012-09-14,16.23,16.34,16.09,16.16,6.588646,150600
2012-09-17,16.190001,16.200001,16.030001,16.190001,6.600878,45600
2012-09-18,16.110001,16.540001,16.059999,16.459999,6.71096,78100
2012-09-19,16.5,16.799999,16.450001,16.77,6.837355,110800
2012-09-20,16.73,16.84,16.6,16.75,6.8292,42700
2012-09-21,16.85,16.85,16.52,16.700001,6.808814,58000
2012-09-24,16.67,16.77,16.51,16.629999,6.780271,37400
2012-09-25,16.639999,16.84,16.23,16.24,6.62126,70400
2012-09-26,16.299999,16.59,16.1,16.16,6.588646,49200
2012-09-27,16.209999,16.280001,16.059999,16.16,6.588646,83700
2012-09-28,16.110001,16.26,16.110001,16.16,6.588646,63200
2012-10-01,16.219999,16.440001,16.219999,16.299999,6.645728,53000
2012-10-02,16.379999,16.379999,16.139999,16.219999,6.613111,79900
2012-10-03,16.32,16.32,16.110001,16.16,6.588646,44800
2012-10-04,16.18,16.370001,16.18,16.32,6.653881,44000
2012-10-05,16.440001,16.559999,16.34,16.450001,6.706885,88900
2012-10-08,16.5,16.530001,16.389999,16.440001,6.702809,46800
2012-10-09,16.549999,16.549999,16.17,16.299999,6.645728,92100
2012-10-10,16.32,16.42,16.18,16.190001,6.600878,72000
2012-10-11,16.309999,16.309999,16.1,16.129999,6.576413,40700
2012-10-12,16.120001,16.4,16.059999,16.110001,6.568261,75700
2012-10-15,16.15,16.309999,16.049999,16.24,6.62126,109400
2012-10-16,16.299999,16.440001,16.299999,16.4,6.686494,76900
2012-10-17,16.459999,16.459999,16.27,16.450001,6.706885,106200
2012-10-18,16.469999,18.17,16.280001,16.51,6.731347,74000
2012-10-19,16.51,16.51,16.15,16.17,6.592726,85400
2012-10-22,16.200001,16.24,16.129999,16.190001,6.600878,67700
2012-10-23,16.16,16.17,16,16.15,6.58457,63900
2012-10-24,16.200001,16.59,16.190001,16.43,6.698729,84500
2012-10-25,16.450001,16.49,16.25,16.299999,6.645728,32200
2012-10-26,16.299999,16.440001,16.110001,16.219999,6.613111,56500
2012-10-31,16.219999,16.4,16.129999,16.309999,6.649803,49700
2012-11-01,16.4,16.639999,16.290001,16.58,6.759886,65100
2012-11-02,16.52,16.629999,16.370001,16.450001,6.706885,62200
2012-11-05,16.49,16.549999,16.32,16.450001,6.706885,52600
2012-11-06,16.450001,16.790001,16.389999,16.540001,6.743577,91600
2012-11-07,16.559999,16.559999,16,16.01,6.527487,110900
2012-11-08,15.9,15.92,14.79,15.02,6.123854,388800
2012-11-09,14.89,15.32,14.5,15.14,6.172778,194100
2012-11-12,15.14,15.2,14.82,14.82,6.042311,107400
2012-11-13,14.77,14.94,14.52,14.53,5.924073,115900
2012-11-14,14.06,14.06,13.66,13.77,5.793643,227900
2012-11-15,13.89,14.4,13.71,14,5.890415,205800
2012-11-16,13.94,14.95,13.8,14.86,6.252253,181000
2012-11-19,14.89,15.24,14.6,14.69,6.180729,112100
2012-11-20,14.72,14.76,14.16,14.24,5.991394,94200
2012-11-21,14.25,14.5,14.09,14.18,5.966151,73400
2012-11-23,14.01,14.2,14,14.17,5.961942,101000
2012-11-26,14.17,14.28,14.02,14.15,5.953526,128200
2012-11-27,14.15,14.33,14.03,14.17,5.961942,142500
2012-11-28,14.36,14.36,14.03,14.09,5.928279,93600
2012-11-29,14,14.35,13.9,14.19,5.970355,334000
2012-11-30,14.17,14.5,13.92,14.05,5.911452,207200
2012-12-03,14,14.15,13.83,13.95,5.869379,162400
2012-12-04,13.77,14.01,13.46,13.56,5.705286,224900
2012-12-05,13.53,14.03,13.46,14.02,5.898828,120800
2012-12-06,14.04,14.21,13.87,13.99,5.886208,59600
2012-12-07,14.04,14.09,13.9,13.97,5.877793,46500
2012-12-10,14.03,14.2,13.88,14.15,5.953526,80500
2012-12-11,14.19,14.49,14.16,14.34,6.033468,78500
2012-12-12,14.38,14.54,14.2,14.41,6.06292,57900
2012-12-13,14.49,14.49,14.28,14.3,6.016637,54100
2012-12-14,14.22,14.35,14.21,14.33,6.029263,36600
2012-12-17,14.35,14.74,14.32,14.73,6.197556,74700
2012-12-18,15.25,15.51,14.95,15.32,6.496514,145000
2012-12-19,15.37,15.37,14.65,15.13,6.415947,85000
2012-12-20,15.12,15.25,15,15.04,6.377781,74500
2012-12-21,14.99,15.06,14.8,14.99,6.356579,119300
2012-12-24,14.85,14.96,14.72,14.86,6.301449,37000
2012-12-26,14.93,14.97,14.7,14.82,6.284488,73700
2012-12-27,14.77,14.83,14.71,14.74,6.250565,61900
2012-12-28,14.69,14.81,14.63,14.63,6.203922,36600
2012-12-31,14.63,14.96,14.63,14.92,6.326894,64200
2013-01-02,15.04,15.36,14.97,15.19,6.441391,101700
2013-01-03,15.19,15.48,15.11,15.32,6.496514,54100
2013-01-04,15.4,15.6,15.37,15.49,6.568606,42900
2013-01-07,15.49,15.73,15.37,15.61,6.619493,59300
2013-01-08,15.55,15.75,15.5,15.6,6.615253,45300
2013-01-09,15.68,15.85,15.5,15.82,6.708541,48300
2013-01-10,15.9,16,15.66,15.93,6.755191,57100
2013-01-11,15.99,15.99,15.65,15.76,6.683099,40000
2013-01-14,15.83,15.88,15,15.1,6.403227,414100
2013-01-15,15.1,15.15,14.8,15.12,6.411706,210300
2013-01-16,15.03,15.15,14.85,14.89,6.362568,58000
2013-01-17,14.85,15,14.57,14.77,6.311289,95900
2013-01-18,14.88,14.88,14.68,14.82,6.332653,97700
2013-01-22,14.85,15.08,14.81,15.08,6.443754,112300
2013-01-23,15.03,15.14,15.02,15.09,6.448026,37200
2013-01-24,15.09,15.17,15.06,15.13,6.465118,41300
2013-01-25,15.25,15.39,15.12,15.37,6.567671,60400
2013-01-28,15.3,15.37,15.2,15.25,6.516393,49700
2013-01-29,15.25,15.47,15.22,15.47,6.610401,37300
2013-01-30,15.4,15.49,15.22,15.29,6.533486,45100
2013-01-31,15.26,15.48,15.2,15.37,6.567671,49600
2013-02-01,15.41,15.5,15.35,15.45,6.601855,40100
2013-02-04,15.43,15.53,15.36,15.37,6.567671,53700
2013-02-05,15.35,15.66,15.31,15.45,6.601855,76800
2013-02-06,15.45,15.62,15.45,15.56,6.648862,36100
2013-02-07,15.59,15.61,15.45,15.47,6.610401,28800
2013-02-08,15.63,15.73,15.36,15.62,6.674497,115800
2013-02-11,15.57,15.65,15.55,15.6,6.665954,57300
2013-02-12,15.64,15.65,15.55,15.59,6.661677,86000
2013-02-13,15.6,15.72,15.51,15.65,6.687319,69600
2013-02-14,15.67,15.74,15.57,15.65,6.687319,39100
2013-02-15,15.68,15.68,15.32,15.41,6.584764,78700
2013-02-19,15.34,15.5,15.24,15.3,6.586915,70400
2013-02-20,15.3,15.4,15.18,15.32,6.595526,81900
2013-02-21,15.29,15.31,14.74,14.85,6.393183,75800
2013-02-22,14.94,14.98,14.85,14.94,6.431927,43400
2013-02-25,14.9,15.05,14.59,14.62,6.294168,69800
2013-02-26,14.64,14.74,14.51,14.62,6.294168,42900
2013-02-27,14.59,14.73,14.52,14.61,6.289858,45500
2013-02-28,14.56,14.74,14.5,14.72,6.337215,51100
2013-03-01,14.77,15.18,14.7,15.06,6.483594,76000
2013-03-04,15,15.19,15,15.18,6.535255,42200
2013-03-05,15.23,15.68,15.1,15.53,6.685934,61600
2013-03-06,15.47,15.52,15,15.17,6.530947,56800
2013-03-07,15.17,15.46,15.11,15.35,6.608441,41000
2013-03-08,15.48,15.48,15.06,15.09,6.496506,58400
2013-03-11,15.12,15.24,15.05,15.15,6.522338,44600
2013-03-12,15.17,15.36,15.08,15.23,6.556782,57100
2013-03-13,15,15.04,14.7,14.78,6.363048,159900
2013-03-14,14.78,14.86,14.6,14.81,6.375963,108700
2013-03-15,14.76,14.95,14.7,14.92,6.42332,69200
2013-03-18,14.7,14.98,14.67,14.85,6.442844,55200
2013-03-19,14.95,14.96,14.7,14.89,6.4602,83300
2013-03-20,14.93,15.03,14.46,14.6,6.33438,170700
2013-03-21,14.6,14.71,14.5,14.54,6.308347,48200
2013-03-22,14.55,14.72,14.55,14.68,6.369085,31700
2013-03-25,14.8,14.81,14.5,14.54,6.308347,64400
2013-03-26,14.25,14.47,14.05,14.38,6.238929,117700
2013-03-27,14.34,15.51,14.25,15.14,6.568663,312600
2013-03-28,15.12,15.12,14.6,14.61,6.338717,90800
2013-04-01,14.68,14.68,14.02,14.09,6.113108,250900
2013-04-02,14.24,14.28,14.02,14.08,6.108773,148300
2013-04-03,14.06,14.14,13.61,13.64,5.917874,209900
2013-04-04,13.71,13.87,13.6,13.68,5.935225,162600
2013-04-05,13.6,13.9,13.6,13.79,5.98295,44800
2013-04-08,13.88,14.07,13.8,14.06,6.100096,33900
2013-04-09,14.1,14.37,13.87,14.18,6.152154,89900
2013-04-10,14.26,14.4,14.13,14.34,6.221573,94900
2013-04-11,14.39,14.44,14.35,14.4,6.247605,69700
2013-04-12,14.28,14.37,14.2,14.27,6.191205,67300
2013-04-15,14.27,14.35,13.92,14.09,6.113108,96300
2013-04-16,14.03,14.14,13.77,14.09,6.163413,92000
2013-04-17,14.02,14.02,13.25,13.39,5.857213,157400
2013-04-18,13.44,13.92,13.4,13.59,5.944696,115800
2013-04-19,13.62,13.85,13.53,13.84,6.054056,38700
2013-04-22,13.9,14.18,13.61,14.16,6.194035,42500
2013-04-23,14.16,14.46,14.11,14.39,6.294641,98600
2013-04-24,14.42,14.42,14,14.23,6.224652,53400
2013-04-25,14.23,14.41,14.15,14.29,6.250901,43900
2013-04-26,14.31,14.38,14.2,14.29,6.250901,41200
2013-04-29,14.32,14.45,14.3,14.41,6.303394,46400
2013-04-30,14.4,14.74,14.35,14.69,6.425872,103300
2013-05-01,14.63,14.65,14.07,14.12,6.176536,84200
2013-05-02,14.15,14.43,14.12,14.37,6.285893,52200
2013-05-03,14.45,14.61,14.42,14.48,6.334012,75800
2013-05-06,14.5,14.57,14.35,14.52,6.351509,33400
2013-05-07,14.57,14.58,14.4,14.48,6.334012,36900
2013-05-08,14.48,14.76,14.39,14.68,6.421497,118700
2013-05-09,14.71,14.75,14.37,14.4,6.299016,57800
2013-05-10,14.36,14.5,14.2,14.46,6.325264,96200
2013-05-13,14.47,14.5,14.26,14.3,6.255274,37900
2013-05-14,14.29,14.6,14.29,14.57,6.37338,73700
2013-05-15,14.58,14.59,14.48,14.54,6.360258,61400
2013-05-16,14.37,14.52,14.3,14.39,6.344827,43600
2013-05-17,14.43,14.54,14.26,14.36,6.331598,41200
2013-05-20,14.31,14.52,14.31,14.42,6.358054,30400
2013-05-21,14.47,14.47,14.3,14.36,6.331598,52200
2013-05-22,14.35,14.63,14.23,14.32,6.313964,63500
2013-05-23,14.16,14.37,14.1,14.28,6.296323,38800
2013-05-24,14.25,14.52,14.25,14.45,6.371284,26300
2013-05-28,14.53,14.72,14.49,14.58,6.428599,50700
2013-05-29,14.45,14.55,14.1,14.18,6.252232,69300
2013-05-30,14.2,14.28,13.96,14.16,6.243413,102400
2013-05-31,14.08,14.16,13.95,14.02,6.181683,63800
2013-06-03,14.1,14.23,13.45,13.69,6.036181,131100
2013-06-04,13.6,13.93,13.52,13.73,6.053816,48300
2013-06-05,13.99,13.99,13.64,13.74,6.058228,62100
2013-06-06,13.7,13.83,13.52,13.82,6.093501,44000
2013-06-07,13.91,13.92,13.8,13.87,6.115545,43200
2013-06-10,14.01,14.1,13.81,14.07,6.203733,55200
2013-06-11,14.04,14.17,13.9,14,6.172868,22100
2013-06-12,14.06,14.06,13.8,13.81,6.089094,29700
2013-06-13,13.83,13.98,13.67,13.93,6.142003,26600
2013-06-14,13.96,14.05,13.93,13.97,6.159637,33200
2013-06-17,14.14,14.2,14.04,14.11,6.221366,78500
2013-06-18,13.99,14,13.86,13.96,6.20581,62000
2013-06-19,13.98,14.17,13.98,14.05,6.245821,41900
2013-06-20,13.92,14,13.54,13.58,6.036882,81700
2013-06-21,13.67,13.87,13.39,13.55,6.023547,104100
2013-06-24,13.46,13.46,12.77,12.93,5.747927,87100
2013-06-25,12.93,13.16,12.93,13.14,5.841284,51900
2013-06-26,13.19,13.49,13,13.33,5.925746,50100
2013-06-27,13.39,13.76,13.38,13.71,6.094676,29900
2013-06-28,13.69,13.9,13.61,13.74,6.10801,91600
2013-07-01,13.75,14.15,13.69,14.09,6.263598,69400
2013-07-02,14.11,14.15,13.9,13.94,6.196919,85400
2013-07-03,13.95,14,13.87,13.92,6.188028,30700
2013-07-05,14.07,14.2,13.84,14.19,6.308054,104300
2013-07-08,14.19,14.22,14,14.17,6.299165,109200
2013-07-09,14.17,14.18,14,14.13,6.281382,65100
2013-07-10,14.15,14.16,14.03,14.12,6.276937,65800
2013-07-11,14.2,14.4,14.03,14.35,6.379181,59000
2013-07-12,14.32,14.38,14.1,14.25,6.334725,63800
2013-07-15,14.26,14.27,14.15,14.21,6.368339,53600
2013-07-16,14.28,14.28,14.19,14.21,6.368339,62600
2013-07-17,14.27,14.27,14.18,14.22,6.372819,62200
2013-07-18,14.25,14.32,14.12,14.32,6.417634,118400
2013-07-19,14.33,14.44,14.21,14.38,6.444526,56700
2013-07-22,14.38,14.45,14.31,14.38,6.444526,82700
2013-07-23,14.47,14.49,14.39,14.47,6.48486,32000
2013-07-24,14.59,14.59,14.3,14.37,6.440044,109500
2013-07-25,14.31,14.42,14.21,14.3,6.408673,79200
2013-07-26,14.25,14.47,14.2,14.32,6.417634,53400
2013-07-29,14.34,14.34,14.15,14.28,6.39971,37400
2013-07-30,14.33,14.35,14.1,14.18,6.354893,71700
2013-07-31,14.21,14.25,13.94,13.99,6.269744,68200
2013-08-01,14.07,14.1,13.92,13.97,6.260777,49600
2013-08-02,13.94,14.04,13.94,14,6.274222,26600
2013-08-05,14,14,13.95,13.97,6.260777,33700
2013-08-06,13.99,13.99,13.91,13.93,6.242854,23200
2013-08-07,13.99,14.19,13.93,13.99,6.269744,74000
2013-08-08,13.99,14.16,13.95,14.06,6.301113,86900
2013-08-09,14.06,14.27,13.96,14.04,6.29215,83800
2013-08-12,14.1,14.24,14.1,14.15,6.34145,68600
2013-08-13,14.38,14.39,14.08,14.14,6.336967,46200
2013-08-14,14.1,14.2,13.95,14.05,6.296631,58100
2013-08-15,13.85,13.94,13.79,13.79,6.231114,35900
2013-08-16,13.75,13.82,13.48,13.59,6.140743,84700
2013-08-19,13.63,13.63,13.48,13.5,6.100077,49000
2013-08-20,13.5,13.62,13.32,13.61,6.149778,51000
2013-08-21,13.56,13.69,13.53,13.55,6.122668,35100
2013-08-22,13.54,13.64,13.53,13.55,6.122668,24700
2013-08-23,13.55,13.8,13.5,13.72,6.199482,64100
2013-08-26,13.76,13.82,13.61,13.64,6.163335,51300
2013-08-27,13.54,13.59,13.4,13.47,6.086519,62400
2013-08-28,13.42,13.45,13.18,13.27,5.996148,57900
2013-08-29,13.27,13.46,13.27,13.34,6.027779,16400
2013-08-30,13.34,13.52,13.34,13.35,6.032297,26600
2013-09-03,13.51,13.54,13.22,13.26,5.99163,38200
2013-09-04,13.31,13.65,13.31,13.54,6.118149,36600
2013-09-05,13.58,13.63,13.41,13.56,6.127187,27600
2013-09-06,13.61,13.69,13.5,13.54,6.118149,30900
2013-09-09,13.6,13.6,13.44,13.5,6.100077,39500
2013-09-10,13.51,13.55,13.44,13.54,6.118149,31400
2013-09-11,13.54,13.68,13.49,13.53,6.113632,31400
2013-09-12,13.55,13.55,13.42,13.45,6.077481,37500
2013-09-13,13.45,13.57,13.31,13.53,6.113632,45500
2013-09-16,13.6,13.6,13.3,13.42,6.115906,47100
2013-09-17,13.46,13.51,13.35,13.44,6.125026,31900
2013-09-18,13.41,13.54,13.36,13.45,6.129581,30100
2013-09-19,13.55,13.55,13.36,13.49,6.147809,45200
2013-09-20,13.46,13.5,13.35,13.5,6.152367,44900
2013-09-23,13.41,13.54,13.36,13.48,6.143252,31600
2013-09-24,13.45,13.55,13.45,13.49,6.147809,44700
2013-09-25,13.53,13.55,13.41,13.41,6.111351,33900
2013-09-26,13.48,13.54,13.42,13.43,6.120468,14700
2013-09-27,13.4,13.52,13.35,13.38,6.097679,20000
2013-09-30,13.3,13.35,13.22,13.32,6.070338,44100
2013-10-01,13.27,13.43,13.24,13.4,6.106796,41800
2013-10-02,13.43,13.48,13.2,13.21,6.020206,63900
2013-10-03,13.13,13.2,12.93,13,5.924503,61500
2013-10-04,13.03,13.16,12.99,13,5.924503,31700
2013-10-07,12.98,13.15,12.91,13.08,5.960961,58100
2013-10-08,13.14,13.2,12.96,13.03,5.938172,35000
2013-10-09,13.04,13.1,12.95,12.95,5.901718,25100
2013-10-10,13.11,13.23,13.01,13.12,5.97919,29300
2013-10-11,13.15,13.34,13.13,13.34,6.07945,39300
2013-10-14,13.3,13.45,13.27,13.43,6.120468,43000
2013-10-15,13.41,13.41,13.14,13.21,6.072202,53400
2013-10-16,13.3,13.4,13.15,13.19,6.063005,63400
2013-10-17,13.15,13.4,13.15,13.31,6.118168,43700
2013-10-18,13.4,13.44,13.34,13.44,6.177927,40000
2013-10-21,13.45,13.49,13.3,13.36,6.141152,51900
2013-10-22,13.36,13.47,13.3,13.38,6.150344,47200
2013-10-23,13.38,13.5,13.34,13.41,6.164135,36800
2013-10-24,13.36,13.5,13.36,13.49,6.200907,22900
2013-10-25,13.45,13.55,13.45,13.54,6.223891,23900
2013-10-28,13.55,13.64,13.51,13.63,6.265262,28400
2013-10-29,13.63,13.65,13.55,13.58,6.242278,31500
2013-10-30,13.63,13.84,13.57,13.6,6.251471,65700
2013-10-31,13.59,13.77,13.45,13.48,6.196311,55600
2013-11-01,13.45,13.62,13.41,13.5,6.205503,41300
2013-11-04,13.55,13.7,13.51,13.58,6.242278,38700
2013-11-05,13.57,13.89,13.5,13.76,6.325017,56900
2013-11-06,13.94,13.99,13.84,13.89,6.384778,85000
2013-11-07,13.97,13.97,13.87,13.87,6.375581,37200
2013-11-08,13.82,13.95,13.61,13.87,6.375581,36600
2013-11-11,13.89,14.05,13.87,13.91,6.39397,49000
