Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,7.12,7.2,7.12,7.2,7.2,300
2012-02-22,7.28,7.36,6.48,7.36,7.36,2000
2012-02-23,7.36,7.44,7.12,7.44,7.44,1400
2012-02-24,7.12,7.44,7.12,7.44,7.44,1600
2012-02-27,7.2,7.44,7.2,7.36,7.36,900
2012-02-28,7.28,7.36,6.96,7.36,7.36,2300
2012-02-29,6.96,7.28,6.88,7.2,7.2,700
2012-03-01,7.12,7.76,7.12,7.76,7.76,1400
2012-03-02,7.84,9.2,7.76,9.12,9.12,13000
2012-03-05,9.2,9.28,8,9.04,9.04,4900
2012-03-06,8.8,8.8,8.32,8.56,8.56,1600
2012-03-07,8.72,9.04,8.4,9.04,9.04,7100
2012-03-08,9.2,10.16,8.56,10.16,10.16,21800
2012-03-09,10.4,10.4,9.68,10.16,10.16,9800
2012-03-12,10.24,10.64,9.76,10,10,5200
2012-03-13,9.84,11.12,9.84,11.12,11.12,12800
2012-03-14,11.12,11.12,10.24,10.48,10.48,6100
2012-03-15,10.56,11.2,10.56,11.2,11.2,6200
2012-03-16,11.6,11.68,10.64,11.44,11.44,6100
2012-03-19,11.44,12.08,11.28,11.76,11.76,48400
2012-03-20,11.76,11.76,10.64,11.36,11.36,3800
2012-03-21,11.28,12.4,11.28,11.84,11.84,12400
2012-03-22,11.84,12.8,11.6,12.16,12.16,12300
2012-03-23,12.32,13.36,11.6,13.2,13.2,13800
2012-03-26,13.6,13.6,12.56,13.2,13.2,4700
2012-03-27,13.12,13.12,12.4,12.8,12.8,1600
2012-03-28,12.8,12.8,12.08,12.56,12.56,3900
2012-03-29,12.4,12.88,12.08,12.88,12.88,5100
2012-03-30,12.88,13.6,12.8,13.6,13.6,4900
2012-04-02,13.6,13.6,12.64,13.6,13.6,4000
2012-04-03,13.52,13.6,13.12,13.2,13.2,1600
2012-04-04,13.28,13.28,11.2,11.52,11.52,7900
2012-04-05,11.52,11.52,11.12,11.2,11.2,18000
2012-04-09,11.12,11.12,10.24,10.32,10.32,2800
2012-04-10,10.64,10.88,10.4,10.56,10.56,2000
2012-04-11,10.48,10.64,10.48,10.48,10.48,500
2012-04-12,10.4,11.12,10.4,11.12,11.12,1300
2012-04-13,11.04,11.2,10.24,10.48,10.48,1300
2012-04-16,10.48,11.2,10.48,10.64,10.64,2700
2012-04-17,10.8,10.96,10.32,10.72,10.72,400
2012-04-18,10.72,10.96,10.48,10.8,10.8,300
2012-04-19,10.8,12.72,10.8,12.48,12.48,9700
2012-04-20,12.24,12.48,12.24,12.32,12.32,2000
2012-04-23,12.24,12.24,12,12.08,12.08,800
2012-04-24,12.08,12.8,12.08,12.64,12.64,1500
2012-04-25,12.72,12.72,10.8,11.84,11.84,5400
2012-04-26,11.92,11.92,11.28,11.92,11.92,400
2012-04-27,11.68,13.2,11.68,13.12,13.12,5000
2012-04-30,13.36,13.36,12.4,12.8,12.8,1000
2012-05-01,12.8,13.52,12.4,13.52,13.52,2000
2012-05-02,13.44,15.52,13.44,14.8,14.8,16400
2012-05-03,14.8,15.68,14.48,14.48,14.48,11200
