Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,23.41,23.690001,23.219999,23.440001,23.440001,350200
2012-02-22,23.27,23.48,23.08,23.34,23.34,150000
2012-02-23,23.4,23.629999,23.17,23.469999,23.469999,200400
2012-02-24,23.450001,23.83,23.4,23.709999,23.709999,472300
2012-02-27,23.4,23.700001,22.959999,23.450001,23.450001,265300
2012-02-28,23.4,23.6,23.129999,23.42,23.42,219300
2012-02-29,23.4,23.639999,23.27,23.389999,23.389999,449200
2012-03-01,23.57,23.629999,23.139999,23.17,23.17,282000
2012-03-02,23.200001,23.200001,22.43,22.52,22.52,264000
2012-03-05,22.34,22.700001,22,22.58,22.58,188200
2012-03-06,22.26,22.48,22.01,22.1,22.1,168100
2012-03-07,22.15,22.42,22.049999,22.41,22.41,443800
2012-03-08,22.610001,22.91,22.459999,22.860001,22.860001,107400
2012-03-09,22.93,23.26,22.74,23.059999,23.059999,169200
2012-03-12,23.02,23.26,22.92,23.139999,23.139999,161800
2012-03-13,23.370001,23.84,23.27,23.790001,23.790001,170900
2012-03-14,23.68,23.68,23.290001,23.43,23.43,206000
2012-03-15,23.389999,23.969999,23.34,23.92,23.92,156600
2012-03-16,23.969999,24.34,23.809999,24.01,24.01,316500
2012-03-19,23.969999,24.5,23.74,24.18,24.18,140400
2012-03-20,24.01,24.030001,23.43,23.74,23.74,112400
2012-03-21,23.82,23.959999,23.540001,23.780001,23.780001,86000
2012-03-22,23.459999,23.5,23.059999,23.33,23.33,88400
2012-03-23,23.34,23.700001,23.07,23.66,23.66,115300
2012-03-26,23.950001,24.59,23.530001,24.469999,24.469999,212900
2012-03-27,24.43,24.629999,23.870001,23.870001,23.870001,219600
2012-03-28,23.84,24.059999,22.85,23.129999,23.129999,269100
2012-03-29,22.870001,23.5,22.76,23.389999,23.389999,180600
2012-03-30,23.67,23.91,23.559999,23.65,23.65,293700
2012-04-02,23.5,24.110001,23.299999,24.110001,24.110001,204400
2012-04-03,23.99,24.24,23.379999,23.52,23.52,152400
2012-04-04,23.23,23.23,22.59,22.66,22.66,236100
2012-04-05,22.620001,23.07,22.610001,22.780001,22.780001,197200
2012-04-09,22.280001,22.5,22.26,22.43,22.43,243400
2012-04-10,22.309999,22.450001,21.75,21.879999,21.879999,304200
2012-04-11,22.18,22.200001,22.01,22.18,22.18,164200
2012-04-12,22.190001,22.610001,22,22.5,22.5,158000
2012-04-13,22.309999,22.41,21.700001,21.719999,21.719999,213700
2012-04-16,21.870001,21.92,21.450001,21.610001,21.610001,213900
2012-04-17,21.82,22.110001,21.73,21.93,21.93,513500
2012-04-18,21.83,21.950001,21.610001,21.77,21.77,133500
2012-04-19,21.77,21.879999,21.299999,21.370001,21.370001,227600
2012-04-20,21.799999,21.799999,21.200001,21.24,21.24,350800
2012-04-23,21,21.049999,20.629999,20.790001,20.790001,267400
