Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,30.32,30.4,29.9,30.219999,25.484669,423300
2012-02-22,30.26,30.26,29.709999,29.879999,25.197939,334100
2012-02-23,29.780001,30.26,28.870001,30.110001,25.57163,216200
2012-02-24,30,30.360001,29.709999,30.200001,25.648058,241200
2012-02-27,30.040001,30.799999,29.85,30.620001,26.004753,380800
2012-02-28,30.6,30.99,29.99,30.209999,25.656553,429400
2012-02-29,30.379999,30.459999,29.57,29.610001,25.146986,585400
2012-03-01,29.84,30.209999,29.16,29.83,25.333828,522600
2012-03-02,29.91,30.09,29.32,29.530001,25.079048,435400
2012-03-05,29.389999,29.92,29.25,29.82,25.325336,595900
2012-03-06,29.610001,29.889999,29.450001,29.51,25.062061,381300
2012-03-07,29.709999,30.049999,29.559999,29.84,25.342319,515800
2012-03-08,30.059999,30.1,29.59,29.98,25.461218,339700
2012-03-09,30.049999,30.440001,30.01,30.190001,25.639568,253400
2012-03-12,30.34,30.49,29.9,29.98,25.461218,268200
2012-03-13,30.25,30.43,29.950001,30.15,25.605591,348900
2012-03-14,30.24,30.370001,29.879999,29.959999,25.444231,268400
2012-03-15,30.059999,30.120001,29.91,30,25.478207,200200
2012-03-16,30.129999,30.24,29.950001,30.129999,25.588606,336800
2012-03-19,30.1,30.790001,30,30.540001,25.936811,272200
2012-03-20,30.33,30.459999,30.040001,30.299999,25.732988,188300
2012-03-21,30.370001,30.42,30.040001,30.27,25.707508,164500
2012-03-22,30,30.33,29.690001,30.33,25.758471,162400
2012-03-23,30.33,30.48,30,30.219999,25.665045,252800
2012-03-26,30.43,30.790001,30.24,30.559999,25.953796,461100
2012-03-27,30.700001,30.719999,29.98,30,25.478207,571800
2012-03-28,30,30.120001,29.700001,29.799999,25.30835,319700
2012-03-29,29.700001,29.700001,28.700001,29,24.628931,462500
2012-03-30,29.27,29.27,28.629999,28.68,24.357162,336100
2012-04-02,28.799999,28.82,27.950001,28.35,24.076902,658400
2012-04-03,28.360001,28.440001,27.700001,27.799999,23.6098,381400
2012-04-04,27.639999,27.719999,27,27.1,23.015312,640900
2012-04-05,27.049999,27.15,26.799999,26.969999,22.904907,833800
2012-04-09,26.68,26.950001,26.32,26.51,22.514242,347600
2012-04-10,26.59,26.6,26.290001,26.34,22.369869,472300
2012-04-11,26.549999,26.809999,26.17,26.24,22.284933,841100
2012-04-12,26.27,26.360001,26.120001,26.24,22.284933,472900
2012-04-13,26.219999,26.25,25.91,25.950001,22.038651,228300
2012-04-16,26.15,26.209999,25.860001,25.889999,21.987692,259800
2012-04-17,26.01,26.43,26.01,26.139999,22.20001,284800
2012-04-18,26.07,26.07,25.65,25.780001,21.89427,473300
2012-04-19,25.799999,25.92,25.379999,25.66,21.79236,247400
2012-04-20,25.92,25.959999,25.700001,25.799999,21.911259,433500
2012-04-23,25.49,25.51,25.110001,25.299999,21.486622,357600
2012-04-24,25.27,25.49,25.25,25.379999,21.554562,295500
2012-04-25,25.709999,25.969999,25.360001,25.459999,21.622503,372800
2012-04-26,25.459999,25.65,25.26,25.26,21.45265,352300
2012-04-27,25.299999,25.68,25.26,25.440001,21.605518,804800
2012-04-30,25.440001,26.129999,25.280001,25.83,21.936733,984300
2012-05-01,25.969999,26.059999,25.67,25.860001,21.962217,769100
2012-05-02,25.85,25.860001,25.450001,25.719999,21.843313,725000
2012-05-03,25.799999,25.9,25.41,25.559999,21.707432,902900
2012-05-04,26.290001,26.99,25.85,26.26,22.301922,1264100
2012-05-07,26.17,26.309999,25.620001,25.75,21.868792,757000
2012-05-08,25.57,25.67,25.34,25.379999,21.554562,680300
2012-05-09,25.15,25.27,25.01,25.07,21.291288,478100
2012-05-10,25.18,25.280001,25.01,25.09,21.30827,273000
2012-05-11,25.049999,25.190001,24.889999,24.940001,21.18088,311200
2012-05-14,24.58,24.690001,24.290001,24.450001,20.945299,297000
2012-05-15,24.41,24.73,24.209999,24.459999,20.953865,221000
2012-05-16,24.610001,24.67,24.049999,24.09,20.636902,441800
2012-05-17,24.17,24.290001,23.76,23.77,20.36277,395900
2012-05-18,23.709999,24.049999,23.549999,23.620001,20.234274,431600
2012-05-21,23.65,24.23,23.559999,24.200001,20.731134,373500
2012-05-22,24.209999,24.49,23.74,23.870001,20.448439,720300
2012-05-23,23.799999,24.120001,23.629999,24.049999,20.602634,613000
2012-05-24,24,24.309999,23.969999,24.280001,20.799671,391900
2012-05-25,24.25,24.35,24.07,24.309999,20.825367,294700
2012-05-29,24.5,24.74,24.309999,24.559999,21.039534,314100
2012-05-30,24.370001,24.469999,23.98,24.030001,20.585501,293900
2012-05-31,24.110001,24.32,23.889999,24.190001,20.722572,476700
2012-06-01,23.870001,24.34,23.82,24.059999,20.611204,475700
2012-06-04,24.1,24.23,23.92,24.190001,20.722572,428800
2012-06-05,24.02,24.209999,23.950001,24,20.559805,251700
2012-06-06,24.120001,24.41,24,24.15,20.688301,391200
2012-06-07,24.360001,24.780001,24.15,24.209999,20.739704,274900
2012-06-08,24.1,24.34,24.01,24.049999,20.602634,145000
2012-06-11,24.219999,24.219999,23.91,23.92,20.491276,401900
2012-06-12,24.040001,24.110001,23.879999,23.98,20.542671,238600
2012-06-13,23.950001,24.59,23.950001,24.280001,20.799671,416400
2012-06-14,24.309999,24.52,24.17,24.49,20.979567,246300
2012-06-15,24.5,24.84,24.469999,24.809999,21.2537,472100
2012-06-18,24.74,25.15,24.629999,25.110001,21.510695,264300
2012-06-19,25.190001,25.790001,25.02,25.6,21.930462,262700
2012-06-20,25.52,25.719999,25.27,25.629999,21.956156,283500
2012-06-21,25.58,25.690001,24.93,25,21.416466,466700
2012-06-22,25.07,25.450001,24.950001,25.42,21.776258,610400
2012-06-25,25.17,25.67,25.17,25.639999,21.964722,386200
2012-06-26,25.74,26.030001,25.73,25.9,22.187458,336000
2012-06-27,26.139999,26.24,26,26.18,22.427317,266900
2012-06-28,26.1,26.299999,25.74,25.93,22.213158,302500
2012-06-29,26.33,26.73,25.99,26.42,22.632917,266100
2012-07-02,26.57,26.65,25.940001,26.34,22.564388,647800
2012-07-03,26.459999,26.799999,26.309999,26.799999,22.958447,139500
2012-07-05,26.799999,26.959999,26.35,26.84,22.99271,407300
2012-07-06,26.66,26.719999,25.950001,26.25,22.487286,218400
2012-07-09,26.25,26.280001,25.83,26.110001,22.367352,398400
2012-07-10,26.25,26.59,25.85,25.98,22.255989,171600
2012-07-11,25.99,25.99,25.73,25.84,22.136055,269100
2012-07-12,25.77,25.870001,25.5,25.73,22.041822,171800
2012-07-13,25.85,26.280001,25.75,26.23,22.470158,136000
2012-07-16,28.280001,29.4,27.280001,28.469999,24.389065,1715100
2012-07-17,28.629999,29.49,28.58,29.4,25.185757,633500
2012-07-18,29.4,29.74,29.129999,29.549999,25.314257,302100
2012-07-19,29.620001,29.790001,29.41,29.559999,25.322823,312800
2012-07-20,29.35,29.83,29.209999,29.41,25.194328,353200
2012-07-23,29.190001,29.65,28.83,29.610001,25.365658,447600
2012-07-24,29.629999,29.68,29.200001,29.65,25.399927,403700
2012-07-25,29.73,29.76,29.309999,29.52,25.288559,491100
2012-07-26,29.879999,29.99,29.559999,29.9,25.614088,479200
