Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,2.2375,2.2675,2.175,2.1775,2.1775,328000
2012-02-22,2.245,2.25,2.1625,2.1825,2.1825,28800
2012-02-23,2.1875,2.25,2.1875,2.2375,2.2375,5200
2012-02-24,2.2,2.25,2.2,2.2,2.2,20800
2012-02-27,2.1875,2.2275,2.1875,2.225,2.225,68000
2012-02-28,2.245,2.2575,2.1875,2.2575,2.2575,12000
2012-02-29,2.2625,2.2875,2.2625,2.2875,2.2875,41600
2012-03-01,2.285,2.285,2.285,2.285,2.285,2000
2012-03-02,2.2875,2.2875,2.225,2.285,2.285,10800
2012-03-05,2.25,2.2625,2.2275,2.2375,2.2375,24000
2012-03-06,2.2625,2.2625,2.2625,2.2625,2.2625,400
2012-03-07,2.25,2.2875,2.25,2.285,2.285,8400
2012-03-08,2.285,2.375,2.285,2.3025,2.3025,26000
2012-03-09,2.35,2.35,2.3,2.325,2.325,22800
2012-03-12,2.3175,2.3175,2.3175,2.3175,2.3175,800
2012-03-13,2.3,2.3125,2.2975,2.2975,2.2975,7200
2012-03-14,2.2575,2.3175,2.2525,2.2925,2.2925,4400
2012-03-15,2.2775,2.3175,2.2775,2.3175,2.3175,3600
2012-03-16,2.255,2.2775,2.255,2.2775,2.2775,2400
2012-03-19,2.305,2.325,2.275,2.325,2.325,46000
2012-03-20,2.325,2.325,2.325,2.325,2.325,0
2012-03-21,2.2775,2.2775,2.225,2.23,2.23,2800
2012-03-22,2.23,2.23,2.23,2.23,2.23,0
2012-03-23,2.2375,2.275,2.2375,2.2425,2.2425,8800
2012-03-26,2.2525,2.2525,2.225,2.225,2.225,3200
2012-03-27,2.225,2.225,2.225,2.225,2.225,800
2012-03-28,2.225,2.225,2.225,2.225,2.225,0
2012-03-29,2.225,2.225,2.225,2.225,2.225,0
2012-03-30,2.25,2.25,2.225,2.225,2.225,2000
2012-04-02,2.225,2.225,2.21,2.225,2.225,8000
2012-04-03,2.1925,2.2875,2.1925,2.2625,2.2625,8000
2012-04-04,2.3125,2.3125,2.3125,2.3125,2.3125,800
2012-04-05,2.3125,2.3125,2.3125,2.3125,2.3125,0
2012-04-09,2.2625,2.2625,2.2275,2.24,2.24,12000
2012-04-10,2.24,2.24,2.24,2.24,2.24,0
2012-04-11,2.24,2.24,2.24,2.24,2.24,0
2012-04-12,2.2875,2.29,2.2525,2.2525,2.2525,8800
2012-04-13,2.2525,2.2525,2.2525,2.2525,2.2525,0
2012-04-16,2.255,2.275,2.24,2.275,2.275,19600
2012-04-17,2.275,2.275,2.275,2.275,2.275,0
2012-04-18,2.2625,2.2625,2.2625,2.2625,2.2625,1600
2012-04-19,2.2625,2.2625,2.2625,2.2625,2.2625,0
2012-04-20,2.2625,2.2625,2.2625,2.2625,2.2625,0
2012-04-23,2.2625,2.2625,2.2625,2.2625,2.2625,0
2012-04-24,2.2625,2.2625,2.2625,2.2625,2.2625,0
2012-04-25,2.2625,2.2625,2.2625,2.2625,2.2625,0
2012-04-26,2.19,2.275,2.19,2.27,2.27,133600
2012-04-27,2.27,2.27,2.27,2.27,2.27,0
2012-04-30,2.27,2.27,2.27,2.27,2.27,0
2012-05-01,2.1925,2.1925,2.1925,2.1925,2.1925,400
2012-05-02,2.1925,2.1925,2.1925,2.1925,2.1925,0
2012-05-03,2.25,2.25,2.25,2.25,2.25,800
2012-05-04,2.25,2.2575,2.25,2.2575,2.2575,11600
2012-05-07,2.25,2.25,2.25,2.25,2.25,1200
2012-05-08,2.25,2.2625,2.25,2.2625,2.2625,6000
