Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,16.389999,16.52,16.290001,16.290001,14.679316,1000
2012-02-22,16.290001,16.290001,16.290001,16.290001,14.679316,0
2012-02-23,16.290001,16.290001,16.290001,16.290001,14.724508,0
2012-02-24,15.72,15.72,15.72,15.72,14.209285,100
2012-02-27,15.38,15.38,15.38,15.38,13.901962,200
2012-02-28,15.22,15.22,15.22,15.22,13.757337,100
2012-02-29,15.22,15.22,15.22,15.22,13.757337,0
2012-03-01,15.22,15.22,15.22,15.22,13.757337,0
2012-03-02,15.22,15.22,15.22,15.22,13.757337,0
2012-03-05,14.45,14.45,14.45,14.45,13.061337,200
2012-03-06,14.45,14.45,14.45,14.45,13.061337,0
2012-03-07,14.45,14.45,14.45,14.45,13.061337,0
2012-03-08,14.45,14.45,14.45,14.45,13.061337,0
2012-03-09,14.45,14.45,14.45,14.45,13.061337,0
2012-03-12,15.02,15.02,15.02,15.02,13.576556,3400
2012-03-13,15.02,15.02,15.02,15.02,13.576556,0
2012-03-14,15.02,15.02,15.02,15.02,13.576556,0
2012-03-15,15.02,15.02,15.02,15.02,13.576556,0
2012-03-16,15.02,15.02,15.02,15.02,13.576556,0
2012-03-19,15.02,15.02,15.02,15.02,13.576556,0
2012-03-20,15.02,15.02,15.02,15.02,13.576556,0
2012-03-21,15.02,15.02,15.02,15.02,13.576556,0
2012-03-22,14.97,14.97,14.97,14.97,13.531361,200
2012-03-23,14.97,14.97,14.97,14.97,13.531361,0
2012-03-26,14.97,14.97,14.97,14.97,13.531361,0
2012-03-27,14.97,14.97,14.97,14.97,13.531361,0
2012-03-28,14.97,14.97,14.97,14.97,13.531361,0
2012-03-29,14.97,14.97,14.97,14.97,13.531361,0
2012-03-30,14.97,14.97,14.97,14.97,13.531361,0
2012-04-02,16.280001,18.02,15.93,16.83,15.212611,3100
2012-04-03,16.030001,16.07,15.99,15.99,14.45334,500
2012-04-04,15.99,15.99,15.99,15.99,14.45334,0
2012-04-05,15.99,15.99,15.99,15.99,14.45334,0
2012-04-09,14.87,15.11,14.82,15.09,13.639828,2700
2012-04-10,15.09,15.09,15.09,15.09,13.639828,0
2012-04-11,15.09,15.09,15.09,15.09,13.639828,0
2012-04-12,15.09,15.09,15.09,15.09,13.639828,0
2012-04-13,15.09,15.09,15.09,15.09,13.639828,0
2012-04-16,14.93,14.96,14.34,14.34,12.961905,500
2012-04-17,14.8,14.8,14.8,14.8,13.377697,200
2012-04-18,14.8,14.8,14.8,14.8,13.377697,0
2012-04-19,14.8,14.8,14.8,14.8,13.377697,0
2012-04-20,14.8,14.8,14.8,14.8,13.377697,0
2012-04-23,14.8,14.8,14.8,14.8,13.377697,0
2012-04-24,14.8,14.8,14.8,14.8,13.377697,0
2012-04-25,14.9,15.62,14.05,14.05,12.699776,1600
2012-04-26,13.98,14.18,13.98,14.18,12.817282,800
2012-04-27,14.18,14.18,14.18,14.18,12.817282,0
2012-04-30,14.18,14.18,14.18,14.18,12.817282,0
2012-05-01,14.18,14.18,14.18,14.18,12.817282,0
2012-05-02,14.18,14.18,14.18,14.18,12.817282,0
2012-05-03,14.18,14.18,14.18,14.18,12.817282,0
2012-05-04,14.18,14.18,14.18,14.18,12.817282,0
2012-05-07,14.18,14.18,14.18,14.18,12.817282,0
