Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,12.78,12.79,12.51,12.56,12.56,10900
2012-02-22,12.49,12.7,12.31,12.33,12.33,10800
2012-02-23,12.44,12.53,12.29,12.5,12.5,16800
2012-02-24,12.2,12.59,12.2,12.36,12.36,18200
2012-02-27,12.25,12.42,12.15,12.23,12.23,29400
2012-02-28,11.83,12.2,11.83,12.03,12.03,22300
2012-02-29,12.1,12.11,11.48,11.68,11.68,22500
2012-03-01,11.57,11.87,11.51,11.53,11.53,14300
2012-03-02,11.48,11.6,10.96,11.16,11.16,28400
2012-03-05,11.1,11.22,11,11.22,11.22,71900
2012-03-06,11,11.14,10.95,11.03,11.03,29700
2012-03-07,11.01,11.2,10.93,11.17,11.17,19500
2012-03-08,10.99,11.22,10.52,11.1,11.1,37900
2012-03-09,11.04,11.06,10.95,11.05,11.05,50500
2012-03-12,11.01,11.07,10.32,10.54,10.54,44700
2012-03-13,10.66,10.88,10.66,10.86,10.86,16000
2012-03-14,10.83,10.88,10.44,10.53,10.53,21900
2012-03-15,10.56,10.56,10.3,10.52,10.52,26000
2012-03-16,10.52,10.61,10.35,10.59,10.59,38800
2012-03-19,10.64,11.08,10.57,10.9,10.9,18400
2012-03-20,10.84,10.86,10.51,10.7,10.7,21000
2012-03-21,10.83,10.95,10.71,10.87,10.87,16900
2012-03-22,10.75,10.91,10.53,10.65,10.65,12600
2012-03-23,10.83,10.84,10.61,10.77,10.77,12600
2012-03-26,10.73,11.13,10.73,11.13,11.13,21200
2012-03-27,10.92,11.12,10.8,11.07,11.07,13500
2012-03-28,11.14,11.16,10.98,11.14,11.14,10600
2012-03-29,11.03,11.29,11.01,11.21,11.21,50800
2012-03-30,11.33,11.33,11.17,11.24,11.24,14300
2012-04-02,11.2,11.33,11.15,11.33,11.33,16000
2012-04-03,11.32,11.32,11.16,11.17,11.17,20100
2012-04-04,11.1,11.16,10.89,10.93,10.93,14900
2012-04-05,10.81,11,10.74,10.77,10.77,19300
2012-04-09,10.52,10.77,10.52,10.58,10.58,16500
2012-04-10,10.6,10.61,10.11,10.18,10.18,32300
2012-04-11,10.36,10.64,10.25,10.55,10.55,31400
2012-04-12,10.5,11.12,10.44,10.86,10.86,17200
