Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,4.09,4.2,4,4.02,4.02,800500
2012-02-22,4.01,4.08,3.9,3.92,3.92,799800
2012-02-23,3.91,4.01,3.89,3.98,3.98,625200
2012-02-24,3.99,4.04,3.92,3.94,3.94,658500
2012-02-27,3.9,3.94,3.72,3.86,3.86,789300
2012-02-28,3.91,4,3.85,3.92,3.92,701700
2012-02-29,3.93,3.95,3.76,3.77,3.77,1175600
2012-03-01,3.79,3.87,3.76,3.76,3.76,727500
2012-03-02,3.78,3.83,3.67,3.69,3.69,738400
2012-03-05,3.66,3.66,3.51,3.53,3.53,740100
2012-03-06,3.47,3.5,3.34,3.37,3.37,1192500
2012-03-07,3.41,3.45,3.33,3.45,3.45,564100
2012-03-08,3.46,3.54,3.45,3.53,3.53,508400
2012-03-09,3.52,3.68,3.47,3.57,3.57,673800
2012-03-12,3.57,3.6,3.51,3.55,3.55,260200
2012-03-13,3.6,3.79,3.49,3.78,3.78,949200
2012-03-14,3.78,3.86,3.58,3.62,3.62,984300
2012-03-15,3.62,3.79,3.6,3.78,3.78,617300
2012-03-16,3.78,3.78,3.46,3.62,3.62,1451400
2012-03-19,3.61,3.84,3.58,3.71,3.71,834100
2012-03-20,3.71,3.76,3.65,3.68,3.68,433500
2012-03-21,3.69,3.73,3.45,3.5,3.5,2510000
2012-03-22,3.45,3.49,3.32,3.37,3.37,829200
2012-03-23,3.36,3.44,3.34,3.42,3.42,891800
2012-03-26,3.47,3.54,3.42,3.44,3.44,875300
2012-03-27,3.43,3.49,3.36,3.37,3.37,644300
2012-03-28,3.37,3.41,3.27,3.36,3.36,798900
2012-03-29,3.32,3.42,3.28,3.39,3.39,485100
2012-03-30,3.43,3.43,3.28,3.29,3.29,635400
2012-04-02,3.27,3.35,3.26,3.33,3.33,445000
2012-04-03,3.31,3.34,3.17,3.2,3.2,809100
2012-04-04,3.15,3.18,3.02,3.04,3.04,886900
2012-04-05,3.04,3.1,3.03,3.04,3.04,778700
2012-04-09,2.99,3.08,2.98,3.05,3.05,440400
2012-04-10,3.06,3.08,2.93,2.93,2.93,1016300
2012-04-11,2.97,3.03,2.97,3.01,3.01,448200
2012-04-12,3.02,3.22,3.02,3.2,3.2,826000
2012-04-13,3.17,3.18,3.02,3.03,3.03,429300
2012-04-16,3.06,3.12,2.96,3.04,3.04,556200
2012-04-17,3.06,3.19,3.04,3.1,3.1,665800
2012-04-18,3.08,3.09,3,3.01,3.01,323600
2012-04-19,3.03,3.1,3,3.02,3.02,429000
2012-04-20,3.09,3.09,2.96,2.98,2.98,487300
2012-04-23,2.95,2.96,2.9,2.92,2.92,652000
2012-04-24,2.92,2.92,2.79,2.85,2.85,695500
2012-04-25,2.92,2.94,2.85,2.9,2.9,446100
2012-04-26,2.9,3,2.9,2.93,2.93,642100
2012-04-27,2.94,2.95,2.81,2.87,2.87,608900
2012-04-30,2.88,2.88,2.72,2.74,2.74,529700
2012-05-01,2.73,2.81,2.72,2.77,2.77,430100
2012-05-02,2.74,2.8,2.72,2.79,2.79,432600
2012-05-03,2.77,2.79,2.56,2.65,2.65,862200
2012-05-04,2.72,2.74,2.53,2.58,2.58,1338000
2012-05-07,2.6,2.6,2.48,2.51,2.51,1043000
2012-05-08,2.49,2.56,2.43,2.55,2.55,1143000
2012-05-09,2.51,2.62,2.46,2.59,2.59,829300
2012-05-10,2.64,2.65,2.51,2.53,2.53,1161100
2012-05-11,2.51,2.57,2.49,2.56,2.56,1170100
2012-05-14,2.52,2.58,2.51,2.53,2.53,805800
2012-05-15,2.52,2.66,2.52,2.64,2.64,964700
2012-05-16,2.66,2.75,2.58,2.59,2.59,788100
2012-05-17,2.58,2.66,2.52,2.57,2.57,914600
2012-05-18,2.57,2.62,2.52,2.53,2.53,879000
2012-05-21,2.54,2.73,2.53,2.69,2.69,658700
2012-05-22,2.72,2.77,2.65,2.69,2.69,644000
2012-05-23,2.61,2.76,2.61,2.72,2.72,603000
2012-05-24,2.72,2.75,2.64,2.73,2.73,558700
2012-05-25,2.71,2.76,2.59,2.71,2.71,784500
2012-05-29,2.73,2.79,2.7,2.77,2.77,440200
2012-05-30,2.7,2.76,2.7,2.74,2.74,467900
2012-05-31,2.74,2.77,2.66,2.72,2.72,620400
2012-06-01,2.6,2.68,2.58,2.63,2.63,532200
2012-06-04,2.63,2.72,2.6,2.7,2.7,471100
2012-06-05,2.44,2.53,2.3,2.36,2.36,2337900
2012-06-06,2.37,2.5,2.36,2.39,2.39,1364100
2012-06-07,2.42,2.49,2.36,2.4,2.4,827700
2012-06-08,2.39,2.66,2.37,2.57,2.57,933300
2012-06-11,2.59,2.66,2.53,2.54,2.54,701300
2012-06-12,2.54,2.67,2.54,2.62,2.62,786900
2012-06-13,2.63,2.71,2.6,2.68,2.68,775000
2012-06-14,2.68,2.75,2.65,2.73,2.73,510600
2012-06-15,2.74,2.83,2.72,2.8,2.8,873400
2012-06-18,2.79,2.84,2.73,2.81,2.81,453300
2012-06-19,2.83,2.88,2.77,2.85,2.85,865400
2012-06-20,2.84,2.85,2.77,2.81,2.81,274000
2012-06-21,2.81,2.83,2.7,2.74,2.74,625400
2012-06-22,2.74,2.84,2.71,2.83,2.83,2141900
2012-06-25,2.77,2.83,2.71,2.79,2.79,197500
2012-06-26,2.79,2.84,2.75,2.8,2.8,219900
2012-06-27,2.8,2.85,2.74,2.77,2.77,402100
2012-06-28,2.74,2.83,2.71,2.8,2.8,563700
2012-06-29,2.86,3.02,2.8,2.93,2.93,882500
2012-07-02,2.92,3.1,2.88,2.99,2.99,1048800
2012-07-03,2.97,3.08,2.97,3.08,3.08,207700
2012-07-05,3.06,3.17,3.02,3.1,3.1,519300
2012-07-06,3.06,3.12,3.04,3.09,3.09,481000
2012-07-09,3.08,3.08,3,3.02,3.02,255600
2012-07-10,3.02,3.02,2.76,2.8,2.8,403400
2012-07-11,2.82,2.89,2.8,2.88,2.88,225500
2012-07-12,2.85,2.92,2.75,2.89,2.89,286100
2012-07-13,2.89,2.97,2.85,2.89,2.89,288300
2012-07-16,2.87,2.87,2.73,2.75,2.75,254500
2012-07-17,2.76,2.94,2.71,2.85,2.85,668800
2012-07-18,2.83,2.89,2.76,2.77,2.77,248100
2012-07-19,2.78,2.83,2.72,2.73,2.73,406400
2012-07-20,2.73,2.79,2.66,2.73,2.73,418500
2012-07-23,2.66,2.74,2.6,2.67,2.67,522800
2012-07-24,2.67,2.73,2.63,2.67,2.67,410400
2012-07-25,2.69,2.8,2.67,2.73,2.73,396800
2012-07-26,2.8,2.86,2.72,2.75,2.75,337700
2012-07-27,2.76,2.84,2.76,2.83,2.83,336300
2012-07-30,2.79,2.86,2.76,2.76,2.76,145500
2012-07-31,2.78,2.83,2.75,2.78,2.78,308600
2012-08-01,2.84,2.84,2.63,2.63,2.63,414300
2012-08-02,2.6,2.61,2.38,2.42,2.42,854800
2012-08-03,2.49,2.53,2.41,2.44,2.44,906100
2012-08-06,2.44,2.51,2.44,2.49,2.49,493700
2012-08-07,2.5,2.72,2.48,2.61,2.61,586200
2012-08-08,2.56,2.63,2.38,2.39,2.39,775800
2012-08-09,2.41,2.6,2.41,2.59,2.59,619600
2012-08-10,2.58,2.59,2.5,2.53,2.53,271400
2012-08-13,2.55,2.56,2.46,2.53,2.53,210400
2012-08-14,2.54,2.56,2.5,2.51,2.51,159100
2012-08-15,2.54,2.88,2.53,2.6,2.6,872900
2012-08-16,2.59,2.65,2.55,2.61,2.61,246500
2012-08-17,2.6,2.62,2.53,2.59,2.59,255600
2012-08-20,2.59,2.67,2.53,2.6,2.6,355100
2012-08-21,2.61,2.62,2.53,2.53,2.53,218500
2012-08-22,2.53,2.65,2.52,2.58,2.58,208000
2012-08-23,2.57,2.57,2.52,2.53,2.53,126400
2012-08-24,2.52,2.52,2.44,2.49,2.49,222700
2012-08-27,2.49,2.58,2.46,2.51,2.51,242700
2012-08-28,2.5,2.54,2.46,2.5,2.5,211400
2012-08-29,2.51,2.54,2.48,2.53,2.53,149900
2012-08-30,2.5,2.54,2.46,2.51,2.51,165300
2012-08-31,2.54,2.54,2.27,2.31,2.31,1165400
2012-09-04,2.31,2.41,2.26,2.38,2.38,411000
2012-09-05,2.4,2.4,2.32,2.34,2.34,303100
2012-09-06,2.36,2.4,2.29,2.32,2.32,490700
2012-09-07,2.36,2.36,2.22,2.26,2.26,648500
2012-09-10,2.28,2.36,2.28,2.35,2.35,428700
2012-09-11,2.35,2.44,2.35,2.42,2.42,263300
2012-09-12,2.42,2.45,2.38,2.43,2.43,290900
2012-09-13,2.42,2.45,2.4,2.41,2.41,406700
2012-09-14,2.43,2.45,2.4,2.45,2.45,330100
2012-09-17,2.42,2.53,2.42,2.49,2.49,309700
2012-09-18,2.48,2.48,2.4,2.44,2.44,309700
2012-09-19,2.45,2.5,2.42,2.45,2.45,198600
2012-09-20,2.44,2.47,2.42,2.43,2.43,172800
2012-09-21,2.42,2.42,2.37,2.4,2.4,412200
2012-09-24,2.38,2.41,2.31,2.39,2.39,224900
2012-09-25,2.42,2.47,2.34,2.37,2.37,239100
2012-09-26,2.35,2.35,2.26,2.33,2.33,247900
2012-09-27,2.33,2.43,2.32,2.4,2.4,494000
2012-09-28,2.37,2.44,2.34,2.34,2.34,156500
2012-10-01,2.35,2.4,2.32,2.37,2.37,202900
2012-10-02,2.39,2.41,2.32,2.34,2.34,254400
2012-10-03,2.34,2.37,2.24,2.3,2.3,484600
2012-10-04,2.31,2.38,2.26,2.35,2.35,183900
2012-10-05,2.36,2.42,2.29,2.31,2.31,201700
2012-10-08,2.29,2.29,2.18,2.25,2.25,205100
2012-10-09,2.25,2.28,2.24,2.26,2.26,136600
2012-10-10,2.26,2.35,2.26,2.31,2.31,190700
2012-10-11,2.32,2.36,2.31,2.35,2.35,185500
2012-10-12,2.34,2.35,2.29,2.3,2.3,105200
2012-10-15,2.3,2.31,2.17,2.21,2.21,343300
2012-10-16,2.21,2.21,2.08,2.11,2.11,758100
2012-10-17,2.1,2.17,2.1,2.13,2.13,290800
2012-10-18,2.13,2.14,2.1,2.1,2.1,304500
2012-10-19,2.12,2.12,2.05,2.1,2.1,473700
2012-10-22,2.11,2.29,2.09,2.17,2.17,390300
2012-10-23,2.15,2.21,2.11,2.15,2.15,210300
2012-10-24,2.15,2.2,2.11,2.16,2.16,203600
2012-10-25,2.19,2.23,2.13,2.17,2.17,261900
2012-10-26,2.1,2.18,2.09,2.11,2.11,235000
2012-10-31,2.1,2.18,2.1,2.11,2.11,254300
2012-11-01,2.1,2.17,2.1,2.16,2.16,324600
2012-11-02,2.08,2.18,2.08,2.09,2.09,386100
2012-11-05,2.07,2.14,2.05,2.07,2.07,261000
2012-11-06,2.09,2.09,1.97,1.99,1.99,613300
2012-11-07,1.99,2.01,1.88,1.88,1.88,457800
2012-11-08,1.9,1.91,1.8,1.8,1.8,454400
2012-11-09,1.79,1.81,1.75,1.76,1.76,484800
2012-11-12,1.77,1.78,1.68,1.75,1.75,558000
2012-11-13,1.73,1.8,1.7,1.78,1.78,366200
2012-11-14,1.79,1.86,1.79,1.85,1.85,380000
2012-11-15,1.84,1.85,1.8,1.81,1.81,185800
2012-11-16,1.8,1.83,1.77,1.78,1.78,295200
2012-11-19,1.78,1.82,1.66,1.7,1.7,527200
2012-11-20,1.7,1.73,1.66,1.68,1.68,442900
2012-11-21,1.67,1.72,1.62,1.69,1.69,548100
2012-11-23,1.7,1.72,1.65,1.71,1.71,403000
2012-11-26,1.71,1.71,1.66,1.67,1.67,692500
2012-11-27,1.69,1.83,1.66,1.81,1.81,1876600
2012-11-28,1.79,1.95,1.76,1.95,1.95,919300
2012-11-29,1.97,1.97,1.83,1.95,1.95,812300
2012-11-30,1.96,2,1.91,1.94,1.94,745200
2012-12-03,1.96,2.05,1.95,2.04,2.04,875400
2012-12-04,2.04,2.11,1.98,2.03,2.03,731900
2012-12-05,2.05,2.09,1.99,2.07,2.07,433300
2012-12-06,2.08,2.09,1.99,2.07,2.07,658400
2012-12-07,2.08,2.1,2.02,2.06,2.06,443300
2012-12-10,2.06,2.12,2.04,2.11,2.11,644600
2012-12-11,2.12,2.13,2.06,2.12,2.12,740800
2012-12-12,2.13,2.25,2.1,2.19,2.19,915100
2012-12-13,2.18,2.24,2.14,2.15,2.15,556400
2012-12-14,2.14,2.18,2.06,2.16,2.16,777900
2012-12-17,2.16,2.29,2.14,2.22,2.22,629800
2012-12-18,2.16,2.29,2.05,2.25,2.25,612200
2012-12-19,2.24,2.35,2.18,2.33,2.33,824400
2012-12-20,2.29,2.29,2.25,2.28,2.28,657000
2012-12-21,2.18,2.24,2.12,2.17,2.17,1107600
2012-12-24,2.15,2.25,2.15,2.24,2.24,399200
2012-12-26,2.24,2.35,2.22,2.35,2.35,1241100
2012-12-27,2.35,2.35,2.22,2.29,2.29,838700
2012-12-28,2.27,2.29,2.22,2.22,2.22,691200
2012-12-31,2.21,2.24,2.16,2.22,2.22,1408700
2013-01-02,2.29,2.42,2.26,2.34,2.34,818800
2013-01-03,2.25,2.31,2.25,2.28,2.28,315200
2013-01-04,2.3,2.33,2.25,2.27,2.27,246700
2013-01-07,2.25,2.3,2.25,2.29,2.29,285500
2013-01-08,2.28,2.31,2.24,2.29,2.29,156000
2013-01-09,2.29,2.29,2.24,2.25,2.25,140700
2013-01-10,2.27,2.29,2.26,2.28,2.28,158600
2013-01-11,2.29,2.29,2.24,2.26,2.26,203000
2013-01-14,2.24,2.4,2.24,2.37,2.37,498200
2013-01-15,2.35,2.4,2.3,2.33,2.33,518900
2013-01-16,2.31,2.35,2.29,2.3,2.3,239000
2013-01-17,2.31,2.35,2.28,2.34,2.34,228400
2013-01-18,2.39,2.4,2.31,2.32,2.32,620600
2013-01-22,2.31,2.34,2.25,2.33,2.33,399400
2013-01-23,2.31,2.4,2.3,2.38,2.38,391800
2013-01-24,2.37,2.52,2.31,2.48,2.48,884400
2013-01-25,2.5,2.5,2.42,2.45,2.45,356400
2013-01-28,2.45,2.48,2.42,2.46,2.46,318900
2013-01-29,2.47,2.49,2.36,2.49,2.49,467400
2013-01-30,2.47,2.49,2.34,2.34,2.34,427000
2013-01-31,2.3,2.4,2.26,2.36,2.36,298200
2013-02-01,2.33,2.39,2.29,2.37,2.37,455300
2013-02-04,2.35,2.45,2.34,2.39,2.39,476300
2013-02-05,2.41,2.44,2.37,2.41,2.41,285700
2013-02-06,2.39,2.45,2.37,2.4,2.4,193800
2013-02-07,2.39,2.39,2.27,2.28,2.28,473500
2013-02-08,2.29,2.31,2.26,2.28,2.28,354700
2013-02-11,2.27,2.34,2.25,2.3,2.3,288100
2013-02-12,2.31,2.4,2.3,2.38,2.38,247800
2013-02-13,2.39,2.41,2.32,2.36,2.36,408100
2013-02-14,2.35,2.36,2.12,2.17,2.17,906900
2013-02-15,2.21,2.37,2.17,2.31,2.31,439900
2013-02-19,2.32,2.4,2.3,2.38,2.38,543000
2013-02-20,2.3,2.3,2.08,2.2,2.2,654800
2013-02-21,2.18,2.2,2.11,2.15,2.15,440200
2013-02-22,2.17,2.28,2.13,2.26,2.26,605700
2013-02-25,2.26,2.29,2.17,2.19,2.19,401400
2013-02-26,2.2,2.2,2.11,2.13,2.13,355200
2013-02-27,2.13,2.16,2.09,2.14,2.14,287400
2013-02-28,2.14,2.17,2.12,2.12,2.12,573300
2013-03-01,2.1,2.16,2.1,2.14,2.14,376300
2013-03-04,2.12,2.13,2.07,2.1,2.1,308800
2013-03-05,2.1,2.15,2.08,2.13,2.13,355100
2013-03-06,2.13,2.19,2.13,2.16,2.16,254200
2013-03-07,2.15,2.25,2.14,2.25,2.25,292000
2013-03-08,2.26,2.33,2.22,2.25,2.25,314500
2013-03-11,2.24,2.26,2.2,2.23,2.23,136200
2013-03-12,2.19,2.22,2.12,2.14,2.14,340700
2013-03-13,2.15,2.25,2.1,2.22,2.22,278900
2013-03-14,2.22,2.25,2.18,2.23,2.23,197300
2013-03-15,2.25,2.27,2.16,2.17,2.17,491200
2013-03-18,2.15,2.17,2.12,2.14,2.14,131300
2013-03-19,2.13,2.17,2.07,2.11,2.11,322300
2013-03-20,2.1,2.14,2.04,2.06,2.06,244100
2013-03-21,2.06,2.14,2.05,2.13,2.13,251800
2013-03-22,2.1,2.15,2.08,2.14,2.14,157400
2013-03-25,2.14,2.15,2.03,2.13,2.13,384400
2013-03-26,2.14,2.14,2.07,2.12,2.12,147100
2013-03-27,2.1,2.2,2.1,2.19,2.19,280000
2013-03-28,2.2,2.2,2.06,2.08,2.08,283200
2013-04-01,2.06,2.07,2,2.04,2.04,328900
2013-04-02,2.05,2.09,2.02,2.04,2.04,208400
2013-04-03,2.04,2.05,1.95,2.03,2.03,284900
2013-04-04,2.02,2.08,2,2.03,2.03,185400
2013-04-05,1.97,2,1.88,1.92,1.92,319900
2013-04-08,1.93,2.01,1.9,2.01,2.01,287800
2013-04-09,2,2,1.92,1.92,1.92,203400
2013-04-10,1.9,2.01,1.9,2,2,344300
2013-04-11,1.99,2.08,1.97,1.97,1.97,191800
2013-04-12,1.96,2.02,1.93,1.95,1.95,154800
2013-04-15,1.95,1.97,1.82,1.84,1.84,278500
2013-04-16,1.86,2.06,1.86,1.94,1.94,255500
