Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,189.350006,189.350006,181.300003,182,182,7500
2012-02-22,176.75,183.75,172.550003,173.600006,173.600006,8000
2012-02-23,173.600006,182.350006,171.850006,182.350006,182.350006,8300
2012-02-24,183.050003,183.75,177.800003,181.300003,181.300003,3600
2012-02-27,179.199997,179.199997,169.75,170.100006,170.100006,9200
2012-02-28,170.800003,178.149994,170.800003,175.699997,175.699997,5500
2012-02-29,181.649994,183.050003,166.25,167.300003,167.300003,10200
2012-03-01,167.649994,169.050003,159.949997,159.949997,159.949997,5700
2012-03-02,160.300003,162.75,155.75,155.75,155.75,5200
2012-03-05,155.050003,156.800003,152.25,153.649994,153.649994,5800
2012-03-06,151.899994,153.649994,141.050003,147.699997,147.699997,12200
2012-03-07,148.399994,154.350006,147,150.5,150.5,4200
2012-03-08,151.899994,154.350006,149.449997,151.550003,151.550003,6100
2012-03-09,151.899994,157.850006,151.899994,156.800003,156.800003,5000
2012-03-12,157.5,161.350006,154.350006,160.300003,160.300003,7300
2012-03-13,161.699997,161.699997,156.100006,157.5,157.5,4200
2012-03-14,157.149994,162.399994,155.75,162.399994,162.399994,4500
2012-03-15,162.75,167.300003,159.949997,167.300003,167.300003,7100
2012-03-16,167.649994,172.899994,166.949997,167.300003,167.300003,13300
2012-03-19,167.649994,170.100006,162.75,163.800003,163.800003,6500
2012-03-20,161.699997,164.149994,159.600006,161,161,4300
2012-03-21,161,163.449997,157.5,157.850006,157.850006,5400
2012-03-22,157.5,158.550003,154,157.5,157.5,3200
2012-03-23,157.850006,158.899994,151.899994,153.649994,153.649994,4400
2012-03-26,156.449997,163.100006,156.100006,158.550003,158.550003,7200
2012-03-27,158.899994,162.75,156.800003,157.149994,157.149994,3200
2012-03-28,157.5,159.949997,152.600006,153.649994,153.649994,6900
2012-03-29,152.949997,158.199997,152.949997,156.800003,156.800003,5700
2012-03-30,158.550003,158.899994,151.899994,153.649994,153.649994,6600
