Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,22.98,24.620001,22.98,24.610001,24.610001,599800
2012-02-22,24.83,25.74,24.049999,24.370001,24.370001,465400
2012-02-23,24.6,25.92,24,25.67,25.67,309300
2012-02-24,25.889999,26.76,25.889999,26.09,26.09,415100
2012-02-27,26.190001,26.190001,24.67,25.75,25.75,253000
2012-02-28,25.879999,26.02,24.540001,24.77,24.77,215700
2012-02-29,24.700001,24.959999,23.26,23.370001,23.370001,387800
2012-03-01,23.469999,24.58,23.299999,23.75,23.75,261700
2012-03-02,23.68,23.68,21.540001,21.889999,21.889999,558300
2012-03-05,21.85,22.120001,21.24,21.91,21.91,295500
2012-03-06,21.5,21.709999,20.299999,20.68,20.68,301200
2012-03-07,20.67,21.309999,20.35,21.280001,21.280001,153100
2012-03-08,21.52,22,21.5,21.780001,21.780001,127300
2012-03-09,22.209999,23.16,21.950001,22.389999,22.389999,261000
2012-03-12,22.34,22.34,21.5,21.799999,21.799999,142000
2012-03-13,21.99,22.4,21.67,22.35,22.35,170300
2012-03-14,22.33,22.440001,21.85,22,22,91400
2012-03-15,22.01,22.34,21.459999,21.709999,21.709999,153400
2012-03-16,21.75,21.790001,20.42,21.25,21.25,481400
2012-03-19,21.01,22.43,20.59,22.35,22.35,292600
2012-03-20,22.200001,22.33,21.73,21.9,21.9,95700
2012-03-21,21.91,22.209999,21.25,21.76,21.76,164000
2012-03-22,21.41,21.530001,20.940001,21.27,21.27,168800
2012-03-23,21.110001,22.35,21.049999,22.209999,22.209999,139000
2012-03-26,22.57,23.08,22.35,23.02,23.02,176500
2012-03-27,23.120001,23.23,22.129999,22.33,22.33,121600
2012-03-28,22.33,22.5,21.74,22.08,22.08,127300
2012-03-29,21.799999,22.09,21.379999,21.950001,21.950001,67300
2012-03-30,22.15,22.620001,21.950001,22.459999,22.459999,138600
2012-04-02,22.41,23.51,22.200001,23.49,23.49,268700
2012-04-03,23.59,24.799999,23.59,24.32,24.32,690300
2012-04-04,26.120001,26.440001,22.809999,23.440001,23.440001,1740500
2012-04-05,23.799999,24.4,23.530001,24.09,24.09,683400
2012-04-09,23.51,23.83,23.110001,23.4,23.4,210100
2012-04-10,23.4,23.5,21.65,21.940001,21.940001,352800
2012-04-11,22.4,23.200001,22.360001,22.98,22.98,329900
2012-04-12,22.959999,23.889999,22.76,23.450001,23.450001,227000
2012-04-13,23.389999,23.690001,23.07,23.139999,23.139999,153300
2012-04-16,23.26,23.610001,22.42,22.700001,22.700001,149600
2012-04-17,22.9,23.860001,22.82,23.639999,23.639999,194100
2012-04-18,23.59,23.98,23,23.17,23.17,158100
2012-04-19,23.129999,23.370001,22.35,22.639999,22.639999,204400
2012-04-20,23.09,23.1,22.07,22.32,22.32,188100
2012-04-23,22,22.93,21.540001,22.74,22.74,193300
2012-04-24,22.780001,23.299999,22.450001,22.799999,22.799999,152500
2012-04-25,23.120001,23.41,22.870001,23.33,23.33,169000
2012-04-26,23.17,23.690001,22.950001,23.65,23.65,113300
2012-04-27,23.74,23.950001,23.469999,23.860001,23.860001,167900
2012-04-30,23.92,23.950001,23.299999,23.76,23.76,188000
2012-05-01,23.83,24.68,23.52,24.52,24.52,316900
2012-05-02,24.23,24.41,23.77,24.120001,24.120001,188000
2012-05-03,23.940001,24,22.879999,23.1,23.1,216500
2012-05-04,23.01,23.09,22.01,22.360001,22.360001,201600
2012-05-07,22.139999,22.41,21.35,22.02,22.02,187000
2012-05-08,21.77,21.780001,20.75,21.110001,21.110001,296400
2012-05-09,20.639999,21.969999,20.559999,21.65,21.65,272000
2012-05-10,21.940001,22.299999,21.68,21.870001,21.870001,109000
2012-05-11,21.66,22.110001,21.139999,21.35,21.35,90000
2012-05-14,20.950001,21.040001,19.860001,20.01,20.01,250700
2012-05-15,19.969999,20.110001,19.18,19.360001,19.360001,214000
2012-05-16,19.450001,19.74,19.02,19.059999,19.059999,159300
2012-05-17,19.190001,19.299999,18.57,18.57,18.57,180600
2012-05-18,18.59,18.98,18.1,18.219999,18.219999,200100
2012-05-21,18.23,18.559999,17.719999,18.469999,18.469999,193700
2012-05-22,18.549999,18.74,17.84,18.040001,18.040001,188000
2012-05-23,17.77,18.92,17.4,18.84,18.84,113000
2012-05-24,19.01,19.15,18.34,18.639999,18.639999,79700
2012-05-25,18.68,18.9,18.209999,18.77,18.77,82000
2012-05-29,19.030001,19.83,19.02,19.66,19.66,188500
2012-05-30,19.309999,19.309999,18.530001,18.75,18.75,125200
2012-05-31,18.690001,19.16,18.15,18.9,18.9,277600
2012-06-01,18.15,18.299999,17.450001,17.540001,17.540001,212600
2012-06-04,17.59,17.83,16.809999,17.139999,17.139999,302100
2012-06-05,17.02,18.32,17.02,18.309999,18.309999,350400
2012-06-06,16.610001,17.540001,16.290001,16.76,16.76,1227200
2012-06-07,16.879999,17.219999,15.85,16.309999,16.309999,494400
2012-06-08,16.129999,16.469999,16,16.290001,16.290001,391800
2012-06-11,16.5,16.530001,16,16.02,16.02,277400
2012-06-12,16.059999,16.41,15.9,16.4,16.4,239300
2012-06-13,16.35,16.49,16.200001,16.389999,16.389999,349600
2012-06-14,16.360001,17.17,16.120001,16.83,16.83,195000
2012-06-15,16.969999,17.629999,16.950001,17.6,17.6,194500
2012-06-18,17.33,17.540001,17.17,17.42,17.42,235900
2012-06-19,17.51,17.99,17.450001,17.74,17.74,161600
2012-06-20,17.790001,17.959999,17.58,17.85,17.85,183900
2012-06-21,17.889999,17.889999,16.809999,16.950001,16.950001,281300
2012-06-22,17.1,17.41,16.91,17.35,17.35,261300
2012-06-25,16.98,17.219999,16.790001,16.93,16.93,257600
2012-06-26,16.959999,16.959999,16.51,16.530001,16.530001,107000
2012-06-27,16.639999,16.879999,16.450001,16.73,16.73,96300
2012-06-28,16.5,16.93,16.040001,16.59,16.59,100800
2012-06-29,17.040001,17.209999,16.76,16.969999,16.969999,173300
2012-07-02,17.02,17.34,16.9,17.34,17.34,133600
2012-07-03,17.379999,17.85,17.34,17.73,17.73,86800
2012-07-05,17.67,17.77,17.219999,17.34,17.34,144800
2012-07-06,17.09,17.49,17.01,17.15,17.15,112700
2012-07-09,17.040001,17.4,17,17.35,17.35,116300
2012-07-10,17.51,17.719999,17.07,17.139999,17.139999,88000
2012-07-11,17.18,17.18,16.35,16.58,16.58,115700
2012-07-12,16.35,16.35,15.5,16.18,16.18,234700
2012-07-13,16.209999,16.620001,16.120001,16.360001,16.360001,165500
2012-07-16,16.389999,16.5,16.15,16.280001,16.280001,133300
2012-07-17,16.41,16.5,15.93,16.34,16.34,51300
2012-07-18,16.33,16.66,16.33,16.440001,16.440001,62000
2012-07-19,16.59,16.84,16.48,16.49,16.49,99700
2012-07-20,16.309999,16.870001,16.309999,16.82,16.82,89900
2012-07-23,16.41,17.16,16.309999,16.950001,16.950001,164700
2012-07-24,17,17.030001,16.52,16.83,16.83,166600
2012-07-25,16.940001,17.540001,16.940001,17.07,17.07,171000
2012-07-26,17.440001,17.440001,17.030001,17.41,17.41,92800
2012-07-27,17.549999,17.950001,17.209999,17.83,17.83,83400
2012-07-30,17.77,17.940001,17.33,17.35,17.35,68300
2012-07-31,17.32,17.98,16.959999,17.67,17.67,148600
2012-08-01,17.879999,17.879999,17.040001,17.280001,17.280001,146000
2012-08-02,17.09,17.52,17.01,17.09,17.09,119700
2012-08-03,17.440001,17.83,17.440001,17.66,17.66,77900
2012-08-06,17.040001,17.360001,16.16,16.51,16.51,166300
2012-08-07,16.549999,16.93,16.41,16.85,16.85,90600
2012-08-08,16.68,17.049999,16.620001,16.809999,16.809999,79400
2012-08-09,16.65,17.1,16.620001,17.040001,17.040001,53700
2012-08-10,16.83,16.85,16.24,16.51,16.51,83300
2012-08-13,16.389999,16.57,16.190001,16.290001,16.290001,68200
2012-08-14,16.370001,16.58,16.18,16.33,16.33,60500
2012-08-15,16.360001,16.76,16.309999,16.73,16.73,63900
2012-08-16,16.74,17.049999,16.530001,17.030001,17.030001,48000
2012-08-17,16.98,17.43,16.76,17.34,17.34,73300
