Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,21.59,22,21.25,21.389999,18.280289,394300
2012-02-22,21.379999,21.52,21.16,21.360001,18.254652,525800
2012-02-23,21.4,22.040001,21.09,21.959999,18.767424,206300
2012-02-24,21.99,22.129999,21.42,21.450001,18.331566,121200
2012-02-27,21.15,21.68,20.82,21.450001,18.331566,179700
2012-02-28,21.41,21.76,21.110001,21.459999,18.340109,180500
2012-02-29,21.51,21.66,20.99,21,17.965406,242600
2012-03-01,21.059999,21.860001,21.059999,21.469999,18.367481,416100
2012-03-02,21.48,21.48,20.450001,20.620001,17.640322,249800
2012-03-05,20.52,21.24,20.5,21.110001,18.059515,187000
2012-03-06,20.77,20.940001,20.280001,20.450001,17.494883,186100
2012-03-07,20.52,20.799999,20.33,20.76,17.760088,293500
2012-03-08,20.969999,21.4,20.75,21.35,18.264828,223800
2012-03-09,21.35,22.33,21.059999,21.719999,18.581373,453300
2012-03-12,21.65,21.700001,21.23,21.440001,18.341816,932200
2012-03-13,21.6,21.66,21.290001,21.6,18.478708,969200
2012-03-14,21.51,21.73,21.16,21.280001,18.204941,214200
2012-03-15,21.379999,21.58,21.08,21.5,18.39316,429800
2012-03-16,21.5,21.68,21.4,21.5,18.39316,590700
2012-03-19,21.51,22.4,21.51,21.860001,18.701128,441900
2012-03-20,21.67,22.07,21.48,21.879999,18.718237,201100
2012-03-21,21.940001,22.27,21.52,21.9,18.735352,458500
2012-03-22,21.5,23,21,22.889999,19.582291,1112000
2012-03-23,22.860001,22.969999,22.27,22.6,19.334202,439200
2012-03-26,22.809999,23.02,22.610001,22.940001,19.625063,289300
2012-03-27,23.01,23.190001,22.84,22.99,19.667841,308200
2012-03-28,23.049999,23.110001,22.620001,22.92,19.607956,323100
2012-03-29,22.68,23.200001,22.52,22.99,19.667841,473400
2012-03-30,23.23,23.42,22.959999,22.959999,19.642178,404800
2012-04-02,22.809999,23,22.57,22.68,19.402643,299300
2012-04-03,22.639999,22.91,22.440001,22.59,19.325644,222100
2012-04-04,22.25,22.610001,21.85,22.33,19.103218,186200
2012-04-05,22.07,22.219999,21.92,22.02,18.838009,195200
2012-04-09,21.459999,21.700001,21.27,21.639999,18.512922,237600
2012-04-10,21.52,21.540001,20.59,20.620001,17.640322,295000
2012-04-11,20.940001,21.01,20.68,20.950001,17.922628,240900
2012-04-12,20.99,21.530001,20.98,21.34,18.256271,223000
2012-04-13,21.17,21.18,20.620001,20.639999,17.657427,263400
2012-04-16,20.809999,21.219999,20.690001,20.92,17.896965,313500
2012-04-17,21.16,21.75,21.059999,21.299999,18.222054,213700
2012-04-18,21.139999,21.139999,20.780001,21,17.965406,221200
2012-04-19,20.98,20.98,20.18,20.4,17.45211,345400
2012-04-20,20.77,21,20.379999,20.559999,17.588987,339100
2012-04-23,20.15,20.23,19.93,20.139999,17.229681,258800
2012-04-24,20.190001,20.57,20,20.280001,17.349447,234100
2012-04-25,20.629999,21.110001,20.389999,20.43,17.47777,256200
2012-04-26,20.35,20.58,20.08,20.299999,17.366558,313900
2012-04-27,20.450001,20.610001,20,20.17,17.255342,514900
2012-04-30,20.120001,20.139999,19.49,19.530001,16.707825,354000
2012-05-01,19.48,20.43,19.280001,19.76,16.904594,434300
2012-05-02,19.66,19.9,19.18,19.85,16.98159,243000
2012-05-03,19.83,20.110001,19.620001,19.879999,17.007254,326600
2012-05-04,19.780001,19.85,19.190001,19.25,16.468285,234100
