Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,2.15,2.25,2.1,2.25,2.25,29100
2012-02-22,2.25,2.25,1.95,2.1,2.1,27800
2012-02-23,2,2.1,2,2,2,2800
2012-02-24,2.1,2.15,2.05,2.1,2.1,7800
2012-02-27,2.15,2.15,2.05,2.15,2.15,5400
2012-02-28,2.05,2.15,2.05,2.1,2.1,1000
2012-02-29,2.1,2.15,2.1,2.1,2.1,6400
2012-03-01,2.1,2.15,2.1,2.1,2.1,7700
2012-03-02,2.1,2.1,2.05,2.05,2.05,6500
2012-03-05,2.05,2.15,2.05,2.15,2.15,23700
2012-03-06,2.1,2.15,2.1,2.15,2.15,6300
2012-03-07,2.15,2.4,2.15,2.4,2.4,44800
2012-03-08,2.3,2.5,2.3,2.45,2.45,16500
2012-03-09,2.35,2.45,2.35,2.45,2.45,4800
2012-03-12,2.45,2.45,2.4,2.45,2.45,7000
2012-03-13,2.5,2.5,2.35,2.45,2.45,8000
2012-03-14,2.35,2.5,2.35,2.45,2.45,5700
2012-03-15,2.35,2.45,2.35,2.35,2.35,7200
2012-03-16,2.35,2.35,2.25,2.25,2.25,7000
2012-03-19,2.25,2.35,2.25,2.25,2.25,5900
2012-03-20,2.25,2.25,2,2.05,2.05,18700
2012-03-21,2.05,2.05,1.75,2,2,26800
2012-03-22,1.75,2,1.75,2,2,9600
2012-03-23,1.9,1.9,1.85,1.85,1.85,8700
2012-03-26,1.8,1.9,1.8,1.8,1.8,10800
2012-03-27,1.8,2,1.8,2,2,5600
2012-03-28,1.8,2.15,1.8,2.05,2.05,18000
2012-03-29,2.05,2.25,2.05,2.15,2.15,13600
2012-03-30,2.3,2.55,2.1,2.2,2.2,94000
2012-04-02,2.2,2.5,2.15,2.3,2.3,26000
2012-04-03,2.3,2.3,2.15,2.25,2.25,3900
2012-04-04,2.15,2.15,2.15,2.15,2.15,3300
2012-04-05,2.15,2.45,2.15,2.15,2.15,6900
2012-04-09,2.3,2.45,2.3,2.35,2.35,11200
2012-04-10,2.35,2.4,2.3,2.4,2.4,6200
2012-04-11,2.4,2.4,2.1,2.25,2.25,17200
2012-04-12,2.1,2.4,2.1,2.25,2.25,4000
2012-04-13,2.1,2.25,2.1,2.25,2.25,6400
2012-04-16,2.25,2.25,2.1,2.15,2.15,3200
2012-04-17,2.1,2.25,1.9,2.25,2.25,11300
2012-04-18,1.95,2.25,1.95,2.25,2.25,3000
2012-04-19,2.2,2.2,1.95,1.95,1.95,2300
2012-04-20,1.95,2,1.95,1.95,1.95,3600
2012-04-23,1.95,1.95,1.9,1.9,1.9,6300
2012-04-24,1.9,1.9,1.85,1.85,1.85,7500
2012-04-25,1.85,1.85,1.75,1.75,1.75,19400
2012-04-26,1.7,1.75,1.65,1.75,1.75,16200
2012-04-27,1.65,2.2,1.65,2.1,2.1,53500
2012-04-30,1.9,1.9,1.7,1.8,1.8,12200
2012-05-01,1.8,1.8,1.6,1.7,1.7,14600
2012-05-02,1.7,1.75,1.7,1.7,1.7,5200
2012-05-03,1.7,2,1.7,2,2,12800
2012-05-04,1.8,2,1.75,2,2,6000
2012-05-07,1.8,2.1,1.8,1.8,1.8,69400
2012-05-08,1.8,1.95,1.6,1.65,1.65,45000
2012-05-09,1.6,1.75,1.6,1.75,1.75,8000
2012-05-10,1.65,1.75,1.65,1.75,1.75,1400
2012-05-11,1.75,2,1.6,1.65,1.65,17200
2012-05-14,1.6,2,1.6,1.9,1.9,2300
2012-05-15,1.7,1.9,1.7,1.9,1.9,1300
2012-05-16,1.65,1.65,1.25,1.5,1.5,84200
2012-05-17,1.4,1.6,1.4,1.6,1.6,17900
2012-05-18,1.6,1.65,1.5,1.65,1.65,3700
2012-05-21,1.65,1.75,1.45,1.45,1.45,10000
2012-05-22,1.45,1.6,1.45,1.5,1.5,5800
2012-05-23,1.6,1.65,1.45,1.65,1.65,2400
2012-05-24,1.65,1.65,1.65,1.65,1.65,0
2012-05-25,1.45,1.5,1.4,1.4,1.4,8800
2012-05-29,1.4,1.4,1.4,1.4,1.4,300
2012-05-30,1.4,1.5,1.4,1.45,1.45,2100
2012-05-31,1.45,1.5,1.45,1.45,1.45,4900
2012-06-01,1.65,1.65,1.45,1.65,1.65,2600
2012-06-04,1.65,1.65,1.45,1.45,1.45,7200
2012-06-05,1.45,1.45,1.35,1.4,1.4,20500
2012-06-06,1.4,1.5,1.4,1.4,1.4,6600
2012-06-07,1.4,1.45,1.4,1.4,1.4,2700
2012-06-08,1.4,1.4,1.4,1.4,1.4,800
2012-06-11,1.4,1.65,1.4,1.4,1.4,11700
2012-06-12,1.45,1.45,1.35,1.4,1.4,20000
2012-06-13,1.4,1.45,1.35,1.45,1.45,6400
2012-06-14,1.35,1.45,1.25,1.35,1.35,11600
2012-06-15,1.35,1.65,1.35,1.65,1.65,25900
2012-06-18,1.5,1.55,1.4,1.45,1.45,5400
2012-06-19,1.4,1.4,1.35,1.4,1.4,5100
2012-06-20,1.35,1.45,1.3,1.35,1.35,24500
2012-06-21,1.35,1.45,1.35,1.4,1.4,10600
2012-06-22,1.4,1.4,1.4,1.4,1.4,0
2012-06-25,1.4,1.45,1.4,1.4,1.4,3100
2012-06-26,1.4,1.4,1.35,1.35,1.35,6900
2012-06-27,1.35,1.45,1.35,1.4,1.4,6700
2012-06-28,1.4,1.4,1.35,1.35,1.35,1800
2012-06-29,1.45,1.45,1.35,1.4,1.4,2600
2012-07-02,1.35,1.4,1.35,1.35,1.35,5700
2012-07-03,1.35,1.4,1.35,1.35,1.35,7700
2012-07-05,1.35,1.35,1.3,1.35,1.35,14300
2012-07-06,1.35,1.4,1.35,1.4,1.4,1900
2012-07-09,1.35,1.35,1.35,1.35,1.35,300
2012-07-10,1.35,1.4,1.35,1.35,1.35,31300
2012-07-11,1.35,1.35,1.35,1.35,1.35,1000
2012-07-12,1.35,1.35,1.35,1.35,1.35,7700
2012-07-13,1.35,1.35,1.35,1.35,1.35,2400
2012-07-16,1.35,1.35,1.3,1.3,1.3,3900
2012-07-17,1.4,1.4,1.3,1.3,1.3,4800
2012-07-18,1.3,1.3,1.3,1.3,1.3,7500
2012-07-19,1.3,1.3,1.3,1.3,1.3,25300
2012-07-20,1.3,1.3,1.3,1.3,1.3,11700
2012-07-23,1.25,1.25,1.25,1.25,1.25,32100
2012-07-24,1.25,1.4,1.25,1.4,1.4,8200
2012-07-25,1.25,1.25,1.15,1.15,1.15,15600
2012-07-26,1.15,1.2,1.15,1.15,1.15,7100
2012-07-27,1.15,1.3,1.15,1.15,1.15,3700
2012-07-30,1.15,1.25,1.15,1.15,1.15,6300
2012-07-31,1.25,1.25,1.15,1.2,1.2,4800
2012-08-01,1.15,1.15,1.15,1.15,1.15,400
2012-08-02,1.15,1.2,1.15,1.15,1.15,4700
2012-08-03,1.15,1.25,1.15,1.15,1.15,6300
2012-08-06,1.15,1.15,1.15,1.15,1.15,2200
2012-08-07,1.15,1.25,1.15,1.15,1.15,5700
2012-08-08,1.15,1.45,1.15,1.45,1.45,12800
2012-08-09,1.25,1.45,1.25,1.45,1.45,1000
2012-08-10,1.25,1.45,1.2,1.45,1.45,4900
2012-08-13,1.2,1.4,1.2,1.4,1.4,9600
2012-08-14,1.25,1.55,1.25,1.55,1.55,21200
2012-08-15,1.3,1.55,1.3,1.55,1.55,2800
2012-08-16,1.3,1.5,1.3,1.5,1.5,3500
2012-08-17,1.3,1.5,1.3,1.5,1.5,1100
2012-08-20,1.4,1.65,1.4,1.5,1.5,18400
2012-08-21,1.4,1.5,1.4,1.4,1.4,2100
2012-08-22,1.4,1.5,1.4,1.5,1.5,2700
2012-08-23,1.35,1.35,1.35,1.35,1.35,2500
2012-08-24,1.35,1.35,1.3,1.3,1.3,2900
2012-08-27,1.35,1.35,1.35,1.35,1.35,2100
2012-08-28,1.35,1.35,1.25,1.35,1.35,20300
2012-08-29,1.3,1.4,1.3,1.35,1.35,7000
2012-08-30,1.35,1.45,1.35,1.45,1.45,2600
2012-08-31,1.35,1.45,1.35,1.35,1.35,17000
2012-09-04,1.35,1.45,1.35,1.35,1.35,3300
2012-09-05,1.35,1.45,1.3,1.4,1.4,6700
2012-09-06,1.4,1.45,1.4,1.4,1.4,1000
2012-09-07,1.4,1.4,1.4,1.4,1.4,1200
2012-09-10,1.4,1.4,1.35,1.4,1.4,6300
2012-09-11,1.4,1.4,1.35,1.35,1.35,2500
2012-09-12,1.35,1.35,1.35,1.35,1.35,7700
2012-09-13,1.35,1.4,1.3,1.3,1.3,2300
2012-09-14,1.3,1.4,1.3,1.35,1.35,3000
2012-09-17,1.35,1.5,1.35,1.4,1.4,3400
2012-09-18,1.4,1.6,1.4,1.6,1.6,4800
2012-09-19,1.5,1.55,1.45,1.45,1.45,16600
2012-09-20,1.45,1.5,1.45,1.45,1.45,4000
2012-09-21,1.45,1.5,1.45,1.45,1.45,18500
2012-09-24,1.5,1.5,1.45,1.45,1.45,3400
2012-09-25,1.45,1.45,1.45,1.45,1.45,1000
2012-09-26,1.45,1.45,1.45,1.45,1.45,2800
2012-09-27,1.45,1.5,1.45,1.45,1.45,2600
2012-09-28,1.45,1.5,1.4,1.45,1.45,10900
2012-10-01,1.45,1.45,1.45,1.45,1.45,8800
2012-10-02,1.45,1.5,1.45,1.45,1.45,5500
2012-10-03,1.45,1.45,1.45,1.45,1.45,1400
2012-10-04,1.45,1.45,1.35,1.4,1.4,14200
2012-10-05,1.35,1.4,1.35,1.4,1.4,8400
2012-10-08,1.35,1.35,1.35,1.35,1.35,1600
2012-10-09,1.35,1.4,1.35,1.35,1.35,5700
2012-10-10,1.35,1.35,1.3,1.3,1.3,6600
2012-10-11,1.3,1.3,1.3,1.3,1.3,1100
2012-10-12,1.3,1.3,1.3,1.3,1.3,2100
2012-10-15,1.3,1.3,1.3,1.3,1.3,800
2012-10-16,1.3,1.35,1.3,1.3,1.3,22300
2012-10-17,1.35,1.4,1.25,1.25,1.25,20900
2012-10-18,1.25,1.4,1.25,1.4,1.4,1500
2012-10-19,1.25,1.35,1.25,1.3,1.3,30200
2012-10-22,1.3,1.3,1.3,1.3,1.3,3600
2012-10-23,1.35,1.35,1.25,1.3,1.3,19300
2012-10-24,1.4,1.4,1.3,1.3,1.3,6200
2012-10-25,1.3,1.3,1.25,1.25,1.25,6100
2012-10-26,1.25,1.3,1.25,1.3,1.3,4200
2012-10-31,1.3,1.3,1.3,1.3,1.3,1200
2012-11-01,1.35,1.4,1.3,1.3,1.3,7300
2012-11-02,1.3,1.4,1.3,1.3,1.3,4500
2012-11-05,1.25,1.25,1.25,1.25,1.25,5600
2012-11-06,1.3,1.4,1.3,1.3,1.3,10400
2012-11-07,1.3,1.3,1.3,1.3,1.3,8300
2012-11-08,1.3,1.3,1.25,1.25,1.25,43000
2012-11-09,1.25,1.3,1.25,1.3,1.3,3800
2012-11-12,1.25,1.35,1.25,1.25,1.25,19200
2012-11-13,1.25,1.35,1.25,1.25,1.25,4100
2012-11-14,1.25,1.3,1.25,1.25,1.25,4200
2012-11-15,1.25,1.25,1.25,1.25,1.25,3300
2012-11-16,1.25,1.45,1.25,1.35,1.35,83500
2012-11-19,1.35,1.35,1.35,1.35,1.35,2400
2012-11-20,1.35,1.35,1.35,1.35,1.35,1800
2012-11-21,1.35,1.4,1.35,1.35,1.35,4500
2012-11-23,1.35,1.35,1.35,1.35,1.35,1400
2012-11-26,1.35,1.35,1.3,1.3,1.3,19300
2012-11-27,1.3,1.3,1.3,1.3,1.3,17100
2012-11-28,1.3,1.4,1.3,1.35,1.35,7700
2012-11-29,1.35,1.4,1.35,1.35,1.35,36200
2012-11-30,1.35,1.35,1.35,1.35,1.35,13800
2012-12-03,1.35,1.4,1.35,1.35,1.35,3700
2012-12-04,1.35,1.35,1.15,1.2,1.2,92200
2012-12-05,1.15,1.2,1.15,1.15,1.15,95600
2012-12-06,1.15,1.15,1.1,1.15,1.15,27800
2012-12-07,1.15,1.15,1.05,1.05,1.05,20800
2012-12-10,1.05,1.3,1.05,1.3,1.3,180700
2012-12-11,1.3,1.55,1.3,1.35,1.35,166200
2012-12-12,1.35,1.6,1.35,1.5,1.5,102600
2012-12-13,1.5,1.85,1.45,1.8,1.8,89400
2012-12-14,1.8,2.1,1.8,1.95,1.95,93300
2012-12-17,1.95,2,1.65,1.9,1.9,57900
2012-12-18,1.85,1.9,1.8,1.9,1.9,24300
2012-12-19,1.85,1.9,1.8,1.8,1.8,51300
2012-12-20,1.75,1.75,1.7,1.7,1.7,21500
2012-12-21,1.65,1.7,1.6,1.7,1.7,30200
2012-12-24,1.6,1.7,1.6,1.6,1.6,15300
2012-12-26,1.6,1.8,1.6,1.75,1.75,96600
2012-12-27,1.7,1.8,1.7,1.8,1.8,27900
2012-12-28,1.85,2.1,1.7,1.95,1.95,120200
2012-12-31,1.95,2.1,1.9,2,2,78200
2013-01-02,2.05,2.4,2,2.25,2.25,80700
2013-01-03,2.35,2.9,2.35,2.8,2.8,162500
