Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,10.06,10.07,9.98,9.98,7.938842,900
2012-02-22,10,10.25,10,10.25,8.153621,4000
2012-02-23,10.25,10.25,10.25,10.25,8.153621,0
2012-02-24,10,10,9.84,9.84,7.827472,400
2012-02-27,10.49,10.49,10.01,10.05,7.994527,5400
2012-02-28,10.05,10.05,10.05,10.05,7.994527,0
2012-02-29,10.11,11.43,10.11,10.89,8.662724,4100
2012-03-01,10.9,10.9,10.5,10.72,8.527493,2200
2012-03-02,10.83,10.83,10.3,10.3,8.193391,3500
2012-03-05,10.3,10.3,10.3,10.3,8.193391,0
2012-03-06,10.17,10.17,9.97,9.97,7.930886,300
2012-03-07,10.1,10.1,10.1,10.1,8.034294,300
2012-03-08,10.85,10.85,10.25,10.25,8.153621,2900
2012-03-09,10.73,10.85,10.56,10.56,8.400214,1300
2012-03-12,10.56,10.56,10.56,10.56,8.400214,0
2012-03-13,10.56,10.56,10.56,10.56,8.400214,0
2012-03-14,10.36,10.36,10.36,10.36,8.241118,200
2012-03-15,10.84,10.84,10.84,10.84,8.62295,100
2012-03-16,10.89,10.89,10.85,10.85,8.630902,300
2012-03-19,10.63,10.63,10.63,10.63,8.455898,200
2012-03-20,10.85,10.85,10.85,10.85,8.630902,500
2012-03-21,10.8,10.85,10.8,10.85,8.630902,1100
2012-03-22,10.85,10.85,10.85,10.85,8.630902,0
2012-03-23,10.85,10.85,10.85,10.85,8.630902,0
2012-03-26,10.85,10.85,10.85,10.85,8.630902,0
2012-03-27,10.95,10.95,10.27,10.94,8.702495,4200
2012-03-28,10.35,10.55,10.01,10.01,7.962705,2400
2012-03-29,10.03,10.03,9.54,9.98,7.938842,5000
2012-03-30,10,10.1,10,10.1,8.034294,1500
2012-04-02,10.15,10.58,9.5,10.4,8.27294,5100
2012-04-03,10.4,10.68,10.01,10.14,8.066116,3500
2012-04-04,10.14,10.14,10.14,10.14,8.066116,0
2012-04-05,10.14,10.14,10.14,10.14,8.066116,0
2012-04-09,10.83,10.85,10.56,10.56,8.400214,1100
2012-04-10,10.51,10.95,9.94,10.12,8.050206,3000
2012-04-11,10.13,10.55,10.04,10.21,8.121798,1600
2012-04-12,10.21,10.21,10.21,10.21,8.121798,0
2012-04-13,10.21,10.21,10.21,10.21,8.121798,0
2012-04-16,9.9,10.19,9.9,10.19,8.10589,300
2012-04-17,10.19,10.19,10.19,10.19,8.10589,0
2012-04-18,10.19,10.19,10.19,10.19,8.10589,0
2012-04-19,10.19,10.19,10.19,10.19,8.10589,0
2012-04-20,10,10,10,10,7.95475,200
2012-04-23,10.2,10.3,10.2,10.3,8.193391,200
2012-04-24,10.5,10.5,9.62,10.18,8.097937,1200
2012-04-25,9.83,9.83,9.83,9.83,7.819518,100
2012-04-26,9.53,9.81,9.5,9.81,7.803609,400
2012-04-27,9.5,9.5,9.5,9.5,7.557015,500
2012-04-30,10.38,10.38,9.91,9.91,7.883156,300
2012-05-01,9.91,9.91,9.91,9.91,7.883156,0
2012-05-02,9.91,9.91,9.91,9.91,7.883156,0
2012-05-03,10,10,10,10,7.95475,300
2012-05-04,10,10,10,10,7.95475,200
2012-05-07,10,10,10,10,7.994725,0
2012-05-08,9.97,9.97,9.97,9.97,7.970741,100
2012-05-09,9.87,9.87,9.87,9.87,7.890792,100
2012-05-10,9.99,9.99,9.99,9.99,7.986728,400
2012-05-11,9.91,9.91,9.86,9.86,7.882794,200
2012-05-14,9.86,9.86,9.86,9.86,7.882794,0
2012-05-15,10.18,10.18,10.18,10.18,8.13863,100
2012-05-16,10,10,10,10,7.994725,500
2012-05-17,10.04,10.12,9.5,9.81,7.842823,6700
2012-05-18,9.67,9.99,9.66,9.67,7.730895,2500
2012-05-21,9.63,9.63,9.63,9.63,7.698917,100
2012-05-22,9.5,9.5,9.5,9.5,7.594989,300
2012-05-23,9.5,9.5,9.5,9.5,7.594989,600
2012-05-24,9.5,9.5,9.5,9.5,7.594989,300
2012-05-25,9.5,9.5,9.5,9.5,7.594989,0
2012-05-29,10.18,10.8,10.18,10.8,8.6343,4100
2012-05-30,10.75,10.75,10.75,10.75,8.594328,200
2012-05-31,10.76,10.76,9.51,9.51,7.602981,500
2012-06-01,9.54,9.54,9.54,9.54,7.626966,300
2012-06-04,9.51,9.51,9.45,9.45,7.555015,900
2012-06-05,10.72,10.72,10.72,10.72,8.570344,100
2012-06-06,10.8,10.8,10.8,10.8,8.6343,300
2012-06-07,10.81,10.81,10.81,10.81,8.642298,400
2012-06-08,10.81,10.81,10.81,10.81,8.642298,400
2012-06-11,10.8,10.8,10.8,10.8,8.6343,300
2012-06-12,9.45,9.55,9.45,9.55,7.634961,2700
2012-06-13,9.6,9.6,9.6,9.6,7.674937,400
2012-06-14,9.93,9.93,9.59,9.7,7.754882,1100
2012-06-15,9.7,9.7,9.7,9.7,7.754882,0
2012-06-18,9.7,9.7,9.7,9.7,7.754882,0
2012-06-19,9.7,9.7,9.7,9.7,7.754882,0
2012-06-20,10.55,10.55,10.52,10.52,8.410449,400
2012-06-21,10.48,11.5,10.48,10.95,8.754222,1000
2012-06-22,10.95,10.95,10.95,10.95,8.754222,0
2012-06-25,10.95,10.95,10.95,10.95,8.754222,0
2012-06-26,10.95,10.95,10.95,10.95,8.754222,0
2012-06-27,10.95,10.95,10.95,10.95,8.754222,0
2012-06-28,10.95,10.95,10.95,10.95,8.754222,0
2012-06-29,10.95,10.95,10.95,10.95,8.754222,0
2012-07-02,10.95,10.95,10.95,10.95,8.754222,0
2012-07-03,10.74,10.75,10.74,10.75,8.594328,600
2012-07-05,10.75,10.75,10.75,10.75,8.594328,0
2012-07-06,10.25,10.25,10.25,10.25,8.194592,200
2012-07-09,10.25,10.25,10.25,10.25,8.194592,0
2012-07-10,10.25,10.25,10.25,10.25,8.194592,200
2012-07-11,10.3,10.3,10.25,10.25,8.194592,600
2012-07-12,10.5,10.5,10,10,7.994725,1200
2012-07-13,9.5,10.25,9.5,10.25,8.194592,3200
2012-07-16,9.7,9.72,8.97,8.99,7.187257,3400
2012-07-17,10.25,10.25,9.66,9.81,7.842823,1400
2012-07-18,9.5,9.8,9.41,9.75,7.794854,2600
2012-07-19,9.75,9.75,9.75,9.75,7.794854,0
2012-07-20,9.71,9.71,9.71,9.71,7.762875,400
2012-07-23,9.71,10.14,9.71,10.14,8.106649,3700
2012-07-24,10.16,10.25,10,10,7.994725,900
2012-07-25,10.24,10.24,10,10.2,8.154615,1000
2012-07-26,10,10,10,10,7.994725,800
2012-07-27,10.2,10.25,9.8,10,7.994725,9100
2012-07-30,10,10,10,10,7.994725,0
2012-07-31,10,10,10,10,7.994725,0
2012-08-01,10.05,10.05,10.05,10.05,8.034699,300
