Date,Open,High,Low,Close,AdjClose,Volume
2012-02-21,16.389999,16.530001,15.99,16,13.896739,12798200
2012-02-22,16,16.35,15.91,16,13.896739,15893100
2012-02-23,15.97,16.08,15.66,16.059999,13.948849,16040700
2012-02-24,16.309999,16.309999,15.35,15.46,13.427722,26893100
2012-02-27,15.35,15.55,15.22,15.33,13.31481,13641600
2012-02-28,15.36,15.42,15.08,15.26,13.254014,14522400
2012-02-29,15.27,15.28,14.89,15,13.028191,14473100
2012-03-01,15.02,15.25,14.92,15.1,13.115046,10879000
2012-03-02,15.04,15.25,14.96,15.07,13.088989,12991700
2012-03-05,15,15.04,14.56,14.79,12.845795,15286000
2012-03-06,14.56,14.79,14.47,14.62,12.698144,10650800
2012-03-07,14.69,14.98,14.62,14.81,12.863168,8150200
2012-03-08,14.88,15.04,14.8,14.96,12.993447,13081700
2012-03-09,14.94,15.11,14.78,14.87,12.915281,11425900
2012-03-12,14.87,15.21,14.78,15.04,13.062934,11592000
2012-03-13,15.22,15.48,15.1,15.48,13.445094,10555300
2012-03-14,15.62,15.73,15.14,15.37,13.349556,12974600
2012-03-15,15.37,15.7,15.32,15.63,13.575377,9896700
2012-03-16,15.6,15.73,15.36,15.38,13.358238,8215200
2012-03-19,15.31,15.57,15.27,15.44,13.410352,5464500
2012-03-20,15.34,15.83,15.31,15.76,13.688288,11192000
2012-03-21,15.74,15.85,15.56,15.74,13.670915,5764700
2012-03-22,15.62,15.97,15.55,15.78,13.705658,10655200
2012-03-23,15.75,15.87,15.57,15.84,13.757769,8087600
2012-03-26,15.9,16,15.75,15.87,13.783828,8052900
2012-03-27,15.85,15.92,15.62,15.75,13.6796,6886900
2012-03-28,15.76,15.91,15.57,15.62,13.566688,7943500
2012-03-29,15.53,15.8,15.33,15.74,13.670915,8021100
2012-03-30,15.78,15.8,15.49,15.73,13.66223,7010300
2012-04-02,15.65,15.89,15.44,15.88,13.792511,8221100
2012-04-03,15.78,15.88,15.55,15.65,13.592747,11192800
2012-04-04,15.5,15.58,15.14,15.29,13.280073,9248000
2012-04-05,15.19,15.33,15.1,15.14,13.14979,5133100
2012-04-09,14.94,15,14.78,14.94,12.976079,11006400
2012-04-10,14.94,14.99,14.54,14.75,12.811056,15641900
2012-04-11,14.83,15.14,14.83,15.07,13.088989,10005000
2012-04-12,15.04,15.44,15.03,15.31,13.29744,4815900
2012-04-13,15.2,15.3,15,15.12,13.132418,5189400
2012-04-16,15.17,15.41,15.03,15.25,13.245327,6708900
2012-04-17,15.3,15.47,15.28,15.41,13.384297,6641100
2012-04-18,15.3,15.67,15.12,15.6,13.549319,8418700
2012-04-19,15.58,15.9,15.34,15.44,13.410352,8235900
2012-04-20,15.42,15.51,15.18,15.2,13.201899,8484400
2012-04-23,15.11,15.17,14.78,15.11,13.123734,11558500
2012-04-24,15.15,15.2,14.69,14.72,12.785,7563600
2012-04-25,15.01,15.05,14.74,14.96,12.993447,13347900
2012-04-26,14.99,15.37,14.93,15.35,13.332185,13143600
2012-04-27,15.07,15.15,14.65,14.89,12.93265,13392000
2012-04-30,14.87,15.06,14.73,15.01,13.036876,8718400
2012-05-01,15.01,15.26,14.92,14.99,13.019507,9856500
2012-05-02,14.88,14.98,14.73,14.82,12.871856,7768200
2012-05-03,14.81,14.94,14.17,14.28,12.402841,13178000
2012-05-04,14.22,14.34,13.8,14.02,12.177019,10295800
2012-05-07,13.92,14.15,13.88,13.97,12.13359,11615800
2012-05-08,13.92,13.94,13.57,13.9,12.072793,14489500
2012-05-09,13.41,13.79,13.27,13.66,11.86434,15593200
2012-05-10,13.72,13.78,13.4,13.56,11.777483,9122100
2012-05-11,13.53,14,13.52,13.81,11.994619,9608000
2012-05-14,13.67,13.81,13.49,13.53,11.75143,8736900
2012-05-15,13.55,13.73,13.34,13.38,11.621147,8849700
2012-05-16,13.43,13.76,13.42,13.56,11.777483,14835400
2012-05-17,13.65,13.79,13.3,13.3,11.551665,14600900
2012-05-18,13.81,13.84,12.67,12.76,11.082649,25079800
2012-05-21,12.78,13.29,12.77,13.25,11.508236,20246200
2012-05-22,13.25,13.26,12.78,12.99,11.282415,24103200
2012-05-23,12.87,13.15,12.69,13.1,11.377954,18618300
2012-05-24,13.11,13.11,12.75,12.86,11.169504,13832200
2012-05-25,12.83,13.16,12.83,13.07,11.351897,8254100
2012-05-29,13.14,13.27,12.95,13.05,11.334526,10718100
2012-05-30,12.89,12.89,12.71,12.78,11.100019,12065000
2012-05-31,12.74,12.79,12.4,12.53,10.882881,13368000
2012-06-01,12.34,12.4,11.96,11.97,10.396498,18853900
2012-06-04,12.04,12.28,11.89,12.02,10.439927,8512800
2012-06-05,12.25,12.34,12,12.3,10.683117,9071400
2012-06-06,12.36,12.7,12.35,12.67,11.00448,8919900
2012-06-07,12.78,12.92,12.23,12.23,10.622319,14187400
2012-06-08,12.11,12.35,12.03,12.28,10.665746,8871100
2012-06-11,12.28,12.37,11.89,11.91,10.344383,9429700
2012-06-12,11.98,12.15,11.93,12.05,10.46598,7668700
2012-06-13,12,12.01,11.67,11.77,10.222789,12123200
2012-06-14,11.83,11.83,11.56,11.6,10.075133,11950700
2012-06-15,11.57,11.7,11.5,11.52,10.005651,9844200
2012-06-18,11.43,12.06,11.43,12,10.422551,9657900
2012-06-19,11.98,12.15,11.9,12.1,10.562217,6025400
2012-06-20,12.08,12.18,11.93,12.01,10.483657,7223600
2012-06-21,11.96,12,11.36,11.4,9.95118,9567400
2012-06-22,11.5,11.51,11.33,11.43,9.977368,8632900
2012-06-25,11.36,11.45,11.02,11.05,9.64566,12969500
2012-06-26,11.09,11.15,10.94,11.03,9.628206,12292400
2012-06-27,11.12,11.43,10.99,11.33,9.890081,14825400
2012-06-28,11.16,11.27,10.87,11.03,9.628206,13371500
2012-06-29,11.23,11.32,11.14,11.28,9.84643,9106600
2012-07-02,11.33,11.4,11.14,11.17,9.750412,6784100
2012-07-03,11.12,11.22,11.06,11.12,9.706767,3437000
2012-07-05,11.12,11.16,10.93,11.04,9.636935,7307900
2012-07-06,10.96,11.01,10.64,10.8,9.427436,10355800
2012-07-09,10.77,10.87,10.6,10.84,9.462349,11104000
2012-07-10,10.84,10.96,10.56,10.65,9.296499,8449600
2012-07-11,10.66,10.74,10.45,10.52,9.183021,9237000
2012-07-12,10.42,10.51,10.27,10.44,9.113189,10807400
2012-07-13,10.47,10.62,10.45,10.53,9.191751,12058300
2012-07-16,10.48,10.6,10.36,10.38,9.060812,9677100
2012-07-17,10.42,10.57,10.35,10.51,9.174289,10818600
2012-07-18,10.48,11.01,10.44,10.87,9.488539,7250200
2012-07-19,11.06,11.4,11,11.14,9.724225,10887400
2012-07-20,11.17,11.22,10.8,10.86,9.479809,8840600
2012-07-23,10.65,10.75,10.47,10.7,9.340142,9371000
2012-07-24,10.69,10.75,10.49,10.65,9.296499,7812000
2012-07-25,10.72,10.97,10.67,10.89,9.505997,6568300
2012-07-26,11.43,11.52,11.18,11.4,9.95118,14672600
2012-07-27,11.35,11.69,11.2,11.62,10.143221,11288300
2012-07-30,11.55,11.75,11.22,11.33,9.890081,7248000
2012-07-31,11.37,11.63,11.26,11.26,9.828972,11167900
2012-08-01,11.32,11.42,10.96,11.14,9.724225,11468400
2012-08-02,11.08,11.26,10.91,11.11,9.698038,9691500
2012-08-03,11.21,11.44,11.15,11.35,9.907538,11909900
2012-08-06,11.4,11.41,11.09,11.12,9.706767,9163800
2012-08-07,11.2,11.76,11.17,11.68,10.195598,12590500
2012-08-08,11.68,11.89,11.62,11.8,10.300347,8093700
2012-08-09,11.8,11.98,11.77,11.94,10.422551,7259700
2012-08-10,11.89,12.13,11.87,12.11,10.57095,8047200
2012-08-13,12.11,12.2,11.81,11.99,10.466198,6161000
2012-08-14,12.13,12.17,11.72,11.78,10.282889,12870000
2012-08-15,11.78,11.97,11.77,11.94,10.422551,8725700
2012-08-16,12,12.33,11.92,12.28,10.719338,16812800
2012-08-17,10.73,10.85,10.3,10.54,9.200479,54101900
2012-08-20,10.51,10.58,10.41,10.44,9.113189,14118500
2012-08-21,10.45,10.74,10.45,10.62,9.27031,11720200
2012-08-22,10.58,10.67,10.49,10.58,9.235397,8894000
